Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Daschhund,12791.4192,21.3754,12.0575,high,med,short,male,Yang
Daschhund,6890.083,20.7722,12.8499,med,med,short,female,Olson
Daschhund,7342.6847,20.7118,12.9118,med,med,med,male,Thomas
Dalmatian,22780.5341,,12.3036,high,high,short,male,Davidson
French Bulldog,11869.9582,29.2313,9.2932,med,high,short,male,Rodriguez
Dalmatian,23253.096,48.0,11.7293,high,high,short,female,Chan
Akita,34325.5473,64.8982,10.25,med,med,med,male,Patrick
Akita,51915.1685,65.5604,10.606,med,med,med,male,Gibson
Daschhund,8533.1906,20.4901,12.6806,high,med,short,male,Fitzpatrick
Daschhund,11552.2312,20.8428,13.3104,high,med,short,female,Baldwin
French Bulldog,12279.6433,29.1715,8.2877,med,med,short,female,Baker
Dalmatian,20880.7979,48.0,12.1016,high,high,med,male,Rose
Akita,49768.5708,65.9083,11.063,low,med,med,female,Mcdaniel
Daschhund,8013.3986,20.8749,13.9123,med,med,short,male,Avery
Akita,39070.9976,,9.9869,med,high,med,male,Schroeder
French Bulldog,12223.9895,29.6928,11.161,med,high,short,male,Thomas
Dalmatian,25316.6959,48.0,12.5105,high,high,short,female,Lisa
French Bulldog,11403.2661,29.1683,10.2654,med,high,short,female,Thompson
Dalmatian,23595.4187,48.0,13.9057,high,high,short,female,Davis
French Bulldog,11854.1093,29.6587,10.6503,med,high,short,female,Brady
French Bulldog,11278.7433,29.7689,9.9171,med,high,short,male,Tucker
French Bulldog,11462.604,29.0295,10.4489,high,high,short,male,Anderson
French Bulldog,11939.1713,29.4464,10.1768,med,high,short,male,Williams
Akita,45123.4122,65.9766,9.8423,med,med,med,male,Reyes
French Bulldog,11590.537,29.3024,9.498,med,high,short,male,Maldonado
Dalmatian,19371.3453,48.0,11.784,high,high,short,male,Christian
Dalmatian,19943.0468,48.0,12.6688,high,high,short,male,May
French Bulldog,12798.1192,,11.5077,med,high,med,female,Jimenez
Akita,34690.4463,,9.2197,med,med,med,male,Zimmerman
Daschhund,10146.5176,20.1077,12.1048,high,low,short,male,Nguyen
French Bulldog,11899.7499,,9.9689,med,high,short,female,Lee
Daschhund,10863.5755,19.7833,12.2613,high,med,short,female,Olsen
Akita,43142.7206,64.9534,10.8123,high,med,med,male,Carroll
Akita,46076.3902,67.6177,11.5899,low,med,med,female,Stanton
Akita,42266.7264,69.8892,11.4476,med,med,med,male,Wood
Daschhund,9382.4616,20.6271,13.2535,high,med,short,male,Williams
French Bulldog,11966.7919,28.4418,10.3751,med,high,short,female,Cole
French Bulldog,12329.3309,28.6212,9.9577,med,high,med,male,Thomas
French Bulldog,12115.3573,28.6555,10.0709,high,high,short,female,Powers
Akita,56079.6235,68.2354,12.3206,high,med,med,male,Shaw
French Bulldog,12185.8633,28.6364,10.0809,med,high,short,female,Garza
Daschhund,10853.1253,21.5859,13.1021,high,low,short,male,Martinez
French Bulldog,12138.0412,28.8535,9.2465,med,med,short,male,Mendoza
Daschhund,7080.8136,20.7507,13.9357,high,med,short,male,Huber
French Bulldog,11830.2482,,9.5158,med,med,med,male,Smith
Akita,43941.5056,,11.4892,low,high,med,female,Austin
French Bulldog,12269.5544,29.1394,9.4874,med,high,short,male,Randolph
Dalmatian,22330.2712,48.0,13.1874,high,high,short,female,Taylor
Dalmatian,20146.044,48.0,13.0718,high,high,short,male,Lewis
Akita,41648.6343,,11.2387,med,med,med,male,Figueroa
Dalmatian,22153.3314,,12.9969,high,high,short,male,Johnson
Akita,57083.2744,,11.3958,med,med,med,female,Ramsey
Dalmatian,21979.2699,48.0,13.4882,high,high,short,male,Bass
Dalmatian,22677.1512,,12.9137,high,med,short,male,Barrett
Akita,48198.4004,65.3174,10.8696,med,med,med,male,Swanson
Akita,50526.1015,65.5125,11.1065,low,med,med,female,Smith
Dalmatian,27017.0255,48.0,12.5603,high,high,short,male,Jensen
Dalmatian,26189.4055,48.0,13.5601,high,high,short,female,Cohen
Dalmatian,24804.7745,48.0,13.3481,high,high,short,male,Smith
Akita,36577.312,67.3492,10.121,med,med,med,female,Taylor
Daschhund,12049.3916,21.2779,12.9188,high,med,short,male,Perry
Dalmatian,21600.8589,48.0,12.637,high,high,short,female,Nguyen
Akita,53003.4192,66.9715,10.1163,med,low,med,male,Gates
Daschhund,5725.8147,22.1128,12.5997,med,med,short,male,Gates
Daschhund,7184.1917,21.9991,13.5469,high,med,short,male,Brown
Akita,34596.4937,65.2353,10.886,low,low,long,female,Cooley
French Bulldog,11413.8165,,8.6587,med,high,short,male,Casey
French Bulldog,12764.8562,28.3469,9.9714,med,high,short,female,Rodriguez
Daschhund,10678.2216,,12.8826,high,med,short,female,Rodriguez
Akita,61369.7701,65.6181,10.2019,med,low,med,female,Mcmillan
Dalmatian,22165.2539,48.0,12.6578,high,high,short,male,White
French Bulldog,12064.0164,28.3186,9.9683,med,high,short,male,Grant
Akita,57008.0557,68.7729,10.0757,med,med,med,male,Hopkins
Dalmatian,22324.7302,,13.4149,high,high,short,female,Simon
Akita,54145.6847,65.8867,10.6715,med,med,med,female,Gonzalez
French Bulldog,12313.7039,29.7813,10.1009,med,high,short,male,Robles
Akita,45270.8644,64.6954,11.1345,med,med,med,female,Woodard
French Bulldog,11928.3081,29.7717,9.5459,med,high,short,female,Glover
French Bulldog,12391.5806,29.6428,9.1288,med,high,short,female,Robinson
Daschhund,13525.2552,,14.1703,high,med,short,male,Edwards
Daschhund,8312.4636,,12.3881,high,med,short,female,Collins
French Bulldog,12043.9554,28.9821,9.8082,med,high,short,male,Barton
Akita,49043.1573,66.4684,10.9873,high,med,med,male,Jacobs
Dalmatian,22964.5015,48.0,14.6318,high,high,short,male,Benson
Akita,38714.2628,,11.1189,med,high,med,female,Herrera
Akita,42247.2611,66.6422,10.8571,med,med,long,male,Wheeler
Daschhund,13670.8754,20.3301,12.6089,high,med,short,female,Anderson
French Bulldog,13173.0357,,10.0932,med,high,short,male,Richardson
French Bulldog,11893.4872,29.5766,9.4189,med,med,short,male,Anthony
Dalmatian,27369.308,48.0,13.1029,high,med,short,female,Brown
Akita,49913.1146,65.7143,10.4524,med,med,med,female,Christina
Dalmatian,23281.5808,48.0,12.7569,high,high,short,female,Reyes
Akita,47592.1283,67.0193,11.5174,med,low,med,female,Torres
French Bulldog,13009.4013,28.6367,10.4959,med,med,short,male,Evans
Daschhund,8125.9189,21.6163,12.6491,high,med,short,male,Turner
Daschhund,13710.8978,,12.4582,med,med,short,female,Green
Daschhund,10980.6659,,12.1954,high,med,short,male,Fleming
Daschhund,7749.1967,21.1984,12.6931,high,high,short,female,Lee
Akita,43495.2324,66.35,11.8415,med,high,short,male,Smith
Daschhund,14101.5244,20.5482,13.9435,high,med,short,male,Macias
Daschhund,6505.3029,21.9192,12.7758,high,med,short,female,Costa
Daschhund,8356.1201,,12.8164,high,high,short,male,Oliver
Dalmatian,23865.6141,48.0,13.1702,high,high,short,female,Thompson
Daschhund,8686.45,21.0187,12.3937,high,med,short,female,Keith
French Bulldog,11501.184,,9.4776,med,high,short,female,Mcconnell
French Bulldog,11708.1402,28.3174,9.9091,med,high,med,male,Moran
French Bulldog,12488.0079,29.5497,9.6957,med,high,short,female,Salazar
French Bulldog,12079.4222,27.9744,9.7301,med,med,short,female,Thomas
Dalmatian,22160.2893,48.0,12.8382,high,high,short,male,Smith
Akita,42788.1452,63.6111,11.2604,med,high,med,male,Gill
Dalmatian,24475.2794,,13.543,high,high,short,female,Hoffman
Daschhund,9509.1443,22.12,12.8986,high,med,short,male,Walton
Dalmatian,25249.6103,48.0,13.2498,high,high,short,female,Long
Dalmatian,23898.6903,48.0,13.6558,med,high,short,female,Parker
French Bulldog,12688.8704,29.8816,10.4304,med,high,med,female,Anderson
Dalmatian,23340.2254,,13.7136,high,high,med,female,Gay
Daschhund,10291.2471,21.3293,13.4558,high,med,short,male,Nichols
French Bulldog,11240.5504,28.8046,10.0642,low,high,short,male,Contreras
French Bulldog,12791.8021,,9.4554,med,high,short,male,White
Daschhund,9821.7616,20.2426,12.6523,high,med,med,female,Baker
Akita,46063.7008,67.2043,11.4777,med,high,med,male,Gutierrez
Dalmatian,25515.4136,,13.5635,high,high,short,male,Mosley
Akita,49215.0403,66.2194,11.0502,med,med,med,female,Ramirez
Dalmatian,26460.5104,48.0,12.9406,med,high,short,male,Hodges
French Bulldog,11318.3338,,9.7768,high,high,short,male,Roberts
