Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
German Shepherd,35209.2325,63.7426,10.9407,med,med,med,male,Ferguson
German Shepherd,38321.3884,57.6966,11.3091,med,med,short,female,Johnson
Amstaff,27419.1108,46.3232,14.0744,med,high,short,female,Giles
Amstaff,25025.5141,45.6018,12.6765,med,high,short,female,Joseph
Beagle,12392.5526,34.4978,13.8029,med,high,short,female,Lucas
Daschhund,3709.298,20.5134,12.6652,high,low,short,male,Fisher
Amstaff,24767.8759,45.9672,12.686,med,high,short,female,Burton
Daschhund,13306.2219,,12.6769,high,med,short,male,Petersen
Amstaff,25291.3598,46.6471,11.9727,high,high,short,male,Holland
Amstaff,25577.4128,,13.1237,med,high,short,male,Francis
Daschhund,7458.7287,21.6097,13.2308,high,low,short,female,Robert
Daschhund,11767.1337,21.4723,13.2757,high,med,short,male,Buck
Beagle,10311.9552,34.7801,13.679,high,med,short,female,Freeman
Amstaff,26450.6309,46.8798,14.2924,med,high,short,male,Heath
Beagle,9621.3372,,13.4332,med,high,short,male,Harvey
Beagle,11080.7104,,12.5612,med,high,short,male,Rodriguez
Beagle,10805.0554,,14.0892,med,med,short,female,Fowler
German Shepherd,37497.114,61.0725,10.6185,med,med,short,female,Jones
Daschhund,11303.5678,21.4071,12.1297,high,med,short,male,Williams
Daschhund,7558.5822,21.9163,12.0378,high,low,short,male,Roberts
Daschhund,12411.6167,20.6267,12.9099,high,med,short,female,Thompson
Beagle,11450.6359,,14.7284,med,high,short,female,Murphy
Beagle,11707.4629,36.7884,12.5166,high,med,short,male,Smith
Daschhund,11466.549,22.0477,13.2718,high,med,short,male,Roberts
German Shepherd,37149.6438,,10.6981,high,med,med,male,Lee
Amstaff,24367.354,44.935,13.4766,med,high,short,female,Pierce
Daschhund,12635.4972,22.2731,12.4978,med,high,short,male,Kerr
German Shepherd,36109.3785,58.5643,10.2874,med,med,med,female,Taylor
Daschhund,9463.3144,19.9784,12.4843,high,med,short,male,Ross
Daschhund,4058.831,20.6188,13.9907,high,med,short,male,Freeman
Beagle,13283.5931,35.3707,13.3048,med,high,med,female,Smith
German Shepherd,37573.967,60.5301,11.8185,med,low,med,female,Gibson
Beagle,7757.4599,,14.0203,low,high,med,male,Penny
Daschhund,10487.4974,,13.3874,high,med,short,female,Jackson
Beagle,10415.6006,35.9816,12.6066,high,high,short,female,Collier
Amstaff,28639.7158,46.5035,13.1845,high,high,short,male,White
Daschhund,9111.5639,21.5361,12.9946,high,med,short,female,Calderon
Beagle,9770.5134,34.11,14.0271,high,high,short,male,Randall
German Shepherd,37648.7217,62.5649,11.2172,med,high,med,male,Price
German Shepherd,35826.022,,11.3811,med,med,long,female,King
Amstaff,29462.8905,45.4065,13.1009,med,high,short,male,Cox
German Shepherd,36424.8732,59.1472,10.6216,low,med,med,male,Mcbride
Beagle,11026.2684,35.408,14.1213,high,high,short,female,Martin
Beagle,11067.6614,34.6319,12.4702,med,high,short,male,Hill
Amstaff,28540.3732,46.1837,12.9837,med,high,short,male,Walls
German Shepherd,35360.2553,,10.4585,med,med,med,male,Hall
Daschhund,10025.4699,,14.1199,high,med,med,female,Harrison
Beagle,10375.0953,33.7451,13.8767,med,high,short,male,Fields
Beagle,10442.7276,33.0288,12.3659,low,high,short,male,Hawkins
Daschhund,7886.6835,21.8276,14.2892,high,med,short,male,Knight
Daschhund,10728.841,20.4478,13.9422,high,med,short,male,Koch
Amstaff,30769.6305,45.3943,12.4831,med,high,short,female,Baker
Amstaff,27392.0027,45.65,13.3922,med,med,short,female,Morris
Daschhund,5966.6355,20.657,13.3574,high,med,short,female,Coleman
Daschhund,13493.0335,21.0089,12.4563,high,med,short,male,Vaughn
German Shepherd,35802.0398,63.8635,10.3673,med,high,med,male,James
German Shepherd,39957.8638,58.7893,11.1167,med,med,short,female,Bass
Beagle,10144.2371,38.0547,13.3806,med,high,short,female,Parker
German Shepherd,34584.3815,59.5054,10.4398,low,med,short,male,Walsh
Daschhund,10357.2684,21.2151,14.0865,high,med,short,male,Crane
Daschhund,11787.3443,20.6342,12.1949,high,high,short,female,Taylor
Beagle,9950.8927,36.1348,14.9911,med,high,short,male,Beltran
Daschhund,10404.9573,20.4971,13.3332,high,low,short,male,Wolfe
Beagle,10685.3887,,13.7369,med,high,short,female,Luna
Daschhund,11071.2732,,12.8315,high,med,short,female,Thomas
Beagle,10504.327,,13.9599,med,high,short,male,Shaffer
Amstaff,27087.3197,45.9964,13.7151,med,high,short,female,Ramos
German Shepherd,35751.7708,,10.9558,med,med,med,male,Malone
Amstaff,29666.4088,47.0071,12.3784,med,high,short,female,Medina
