Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Siberian Husky,20967.2691,,11.1466,med,high,med,female,Sheppard
Rottweiler,59173.1238,65.0219,8.0432,med,high,short,female,Dennis
Siberian Husky,19369.6893,54.1413,11.4176,med,med,med,female,Rogers
Welsh Corgi,13149.198,30.8949,11.012,high,high,med,male,Young
Siberian Husky,16791.4872,53.5377,13.1109,med,med,long,male,Miller
Welsh Corgi,14971.209,27.3134,10.8765,med,high,med,male,Johnson
Siberian Husky,14741.1577,53.0827,11.9917,low,high,short,female,Valdez
Rottweiler,33997.0695,,7.6505,med,high,short,male,Peterson
Siberian Husky,20200.8326,51.7691,12.5501,low,low,med,female,Combs
German Shepherd,36679.3317,58.612,11.4983,med,med,med,male,Knox
Welsh Corgi,13419.6272,27.9711,11.3004,med,high,long,female,Warner
German Shepherd,36428.5921,61.6734,11.7298,med,med,med,female,Baxter
Rottweiler,62563.8143,63.0002,10.2487,med,high,short,female,Jones
Welsh Corgi,14835.9538,,12.6496,med,high,short,female,Castro
Welsh Corgi,13284.0621,30.883,10.7493,med,med,med,male,Johnson
Siberian Husky,20683.0782,50.0513,11.7544,med,med,med,male,Calhoun
German Shepherd,37121.4065,58.4377,11.6416,med,med,med,female,Mullins
Rottweiler,60108.8543,62.0233,10.224,low,high,short,female,Cunningham
Rottweiler,59050.9405,62.7119,9.9746,med,high,short,male,Phillips
Welsh Corgi,12839.398,28.4095,11.4318,med,high,med,female,Green
Rottweiler,49053.3505,65.8756,9.6858,low,high,short,male,Saunders
Siberian Husky,22547.0133,53.9589,11.1565,med,med,med,female,Todd
Siberian Husky,18722.4048,52.6614,13.3529,med,med,med,female,Jennings
German Shepherd,36486.9842,,11.5036,med,med,med,male,Lindsey
Welsh Corgi,13984.6638,27.7131,11.1919,med,high,med,male,Nguyen
German Shepherd,38283.7626,58.1356,9.7232,med,med,med,male,Cooper
German Shepherd,37092.6398,62.2132,10.2157,med,med,med,male,Rodgers
Rottweiler,49967.1062,62.735,9.1924,med,high,short,female,Smith
Siberian Husky,18605.9323,49.4533,12.5408,med,high,med,female,Trujillo
Siberian Husky,17871.6636,51.9003,12.0547,med,med,short,female,Marquez
Siberian Husky,17143.0797,52.3982,11.7571,med,med,med,male,King
German Shepherd,34523.461,61.7304,10.2675,med,high,med,female,Reynolds
Rottweiler,49770.5662,,9.9401,med,high,short,female,Sherman
Siberian Husky,21422.1194,55.9838,11.8935,med,med,med,female,Patton
Welsh Corgi,14294.2537,30.6851,11.4573,med,high,med,female,Simmons
German Shepherd,36140.0668,63.4313,10.9732,high,med,med,female,Sanchez
Welsh Corgi,13255.1394,,10.3,high,high,med,female,Smith
Welsh Corgi,15719.8202,27.203,11.2684,med,high,med,male,Fields
German Shepherd,36957.0715,,11.1801,med,med,med,male,Miller
Rottweiler,47615.1795,64.6759,9.4572,med,high,short,male,Joyce
Welsh Corgi,17392.2801,24.7874,10.9569,low,high,med,male,Jones
Siberian Husky,16864.5565,,11.1016,med,med,med,male,Watson
Rottweiler,57014.977,,10.4294,med,high,short,male,Sanchez
Siberian Husky,16661.8408,,12.4632,med,low,med,female,Williams
Rottweiler,51938.6197,,11.4207,med,high,short,male,Barnes
Rottweiler,65331.0161,63.6964,10.1613,med,high,short,male,Escobar
Rottweiler,49483.5798,,11.3011,med,high,short,male,Mcgee
