Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Bearded Collie,22433.8365,53.2136,12.2597,high,high,long,male,Jarvis
Boxer,25893.7596,,9.1339,high,med,short,female,Valdez
Bearded Collie,26163.7278,56.1456,12.9525,high,med,long,male,Logan
Bearded Collie,23524.3148,54.5628,12.3302,high,high,long,male,Castillo
German Shepherd,32637.3022,60.2861,10.7185,med,med,med,male,Ward
German Shepherd,35156.4152,,11.4991,med,med,med,male,Lopez
Akita,36089.6099,67.0718,10.6925,med,med,med,female,Flores
Akita,52665.7707,65.1372,10.4648,med,med,med,female,Smith
Boxer,31978.136,57.4019,8.505,high,high,med,female,Hooper
Bearded Collie,22747.3377,53.4104,13.4217,high,med,long,male,Harvey
German Shepherd,33165.3746,60.8618,10.3464,med,high,med,male,Reid
German Shepherd,38138.7705,62.9871,10.8652,med,low,med,male,Castillo
German Shepherd,36898.9669,60.7382,10.5296,high,med,med,female,Roberts
Boxer,26904.2807,59.1493,8.237,high,high,short,female,Smith
German Shepherd,35183.3612,59.939,10.525,med,med,med,female,Phillips
Boxer,34415.182,53.1881,10.236,high,high,short,male,Adams
Akita,43096.0275,68.4421,12.1905,med,low,med,male,Carlson
German Shepherd,36450.8769,63.3973,11.3996,low,med,med,male,Greene
Boxer,34098.289,,7.653,high,high,med,male,Kennedy
Akita,40391.7402,67.442,9.837,med,med,med,female,Henderson
German Shepherd,37796.8537,64.0708,10.7383,med,low,short,male,Jones
Akita,44753.2409,65.4777,10.6762,med,med,med,male,Tucker
Bearded Collie,19584.9276,,12.9328,high,high,long,male,Rodriguez
Boxer,30149.4882,58.6561,9.1816,high,high,short,female,Ortiz
Bearded Collie,18672.131,,12.1227,high,high,long,female,Fernandez
Boxer,28840.4116,56.8698,9.5112,high,high,short,female,Smith
German Shepherd,36666.5474,63.5116,11.3266,med,med,med,male,Ray
Bearded Collie,20232.4321,,12.5753,high,high,long,male,Wilson
Bearded Collie,27134.3106,54.5645,14.3409,high,high,long,female,Lee
Akita,40681.8457,63.737,11.2026,med,med,med,female,Henderson
Akita,51480.9255,70.9918,11.7174,low,med,med,male,Smith
Bearded Collie,21113.1708,52.1498,13.531,high,high,long,female,Ross
Akita,53096.3629,,11.74,med,med,med,female,Wagner
Akita,41240.8049,66.636,11.1389,low,med,med,male,Stokes
Boxer,35949.9995,59.102,8.2012,high,high,short,male,Browning
Akita,42030.2778,66.0755,11.4658,med,med,long,male,Moore
German Shepherd,37399.9893,60.3975,11.279,med,med,med,female,Woodward
Akita,40658.4595,68.7041,11.9222,low,med,med,female,Martin
Boxer,30105.2777,60.458,8.7428,med,med,med,male,Leach
Boxer,27253.8051,57.9782,9.4186,high,med,short,female,Schneider
German Shepherd,37164.361,61.6174,11.4385,med,high,med,male,Young
Akita,69111.6301,67.8169,10.6118,med,med,short,female,Perez
German Shepherd,35587.0317,59.901,11.1313,med,med,med,female,Weber
German Shepherd,37744.3559,60.4824,9.9709,med,low,short,male,Wilson
German Shepherd,35060.4442,59.8816,10.1844,med,med,med,female,Smith
Boxer,30112.0689,58.4514,8.6575,high,high,med,male,Johnson
Boxer,24247.5572,55.8233,8.2089,high,high,short,male,Brown
Akita,41005.288,,11.6787,med,med,med,female,White
Akita,40608.896,64.9328,9.6647,high,med,med,male,Henderson
German Shepherd,38311.3726,58.3078,10.7608,low,high,short,male,Garcia
Bearded Collie,23831.4603,,13.3648,high,high,long,female,Bradley
Boxer,28259.0939,55.9849,9.0003,high,high,short,female,Brown
Boxer,27822.159,60.4748,8.8994,high,high,short,male,Wright
Boxer,29106.9677,60.0437,8.7492,high,med,short,female,Harrell
Boxer,25298.1591,59.5461,8.7769,high,high,med,female,Smith
Boxer,36763.5969,58.3989,9.1666,high,high,short,male,Watson
German Shepherd,37382.2631,60.1337,9.9448,med,med,med,male,Cummings
Bearded Collie,19461.1844,52.5001,13.0471,high,high,long,male,Singleton
German Shepherd,34726.2563,,11.0889,high,med,med,female,Garza
Bearded Collie,19036.0703,,12.4026,high,high,long,male,Christian
German Shepherd,35608.1178,56.9241,11.7333,med,low,med,male,Shaw
Boxer,24826.3588,58.1452,8.6632,high,med,short,male,Taylor
German Shepherd,39714.7766,,11.3564,low,low,med,male,Mueller
German Shepherd,36555.3907,62.1124,10.3591,med,med,short,male,Sexton
German Shepherd,36831.5888,61.2283,11.2013,med,med,long,male,Cisneros
Bearded Collie,23745.5116,52.5522,13.1462,high,high,long,female,Smith
Boxer,28578.7604,,8.1385,med,high,short,female,Smith
German Shepherd,35749.9415,59.0923,9.5269,low,med,med,female,Johnson
Bearded Collie,21229.8655,52.5952,13.3798,high,high,long,female,Berry
Akita,40812.9567,63.8996,11.9334,med,med,med,male,Meyer
Bearded Collie,26456.9197,54.7015,12.3347,high,high,long,male,Glass
German Shepherd,33006.0453,60.329,11.3683,med,med,long,male,Herrera
Bearded Collie,24047.8348,50.1912,13.0497,med,med,long,male,Williams
Boxer,30006.0427,,7.9705,med,high,short,male,Bradshaw
Bearded Collie,25986.0901,50.0497,14.0866,high,med,long,male,Joyce
Boxer,36603.1034,57.4878,8.1883,high,high,short,male,Giles
Bearded Collie,26542.5942,54.3594,13.4615,high,high,long,female,Jones
Boxer,31798.3314,57.7088,9.5344,high,med,short,male,Parsons
German Shepherd,35345.2695,60.583,11.1585,med,med,med,male,Wallace
German Shepherd,33536.1957,,10.5782,med,med,med,female,Scott
Bearded Collie,22785.9857,53.7996,12.585,high,high,long,male,Santiago
Boxer,26223.5308,58.8408,9.1236,high,high,short,male,Peters
Bearded Collie,21928.6245,,13.0898,high,med,long,male,Long
Boxer,27162.2617,58.6759,9.9785,high,high,med,male,Jones
Akita,46283.8127,66.5726,10.8356,med,low,med,male,Thompson
German Shepherd,37785.4362,60.4494,11.9327,med,med,med,female,Peterson
German Shepherd,34269.1876,,10.7673,med,high,med,male,Johnson
Bearded Collie,25336.1619,,12.7063,high,high,long,male,Duran
Boxer,33374.5032,59.5181,8.3534,high,high,short,female,Rodriguez
Boxer,31133.399,57.4569,10.043,high,high,short,male,Anderson
Bearded Collie,23487.613,53.5356,13.0988,high,high,long,male,Morse
Akita,35140.4791,,10.2709,med,med,med,male,Townsend
Bearded Collie,18004.8815,51.187,13.4142,high,high,long,male,Melton
German Shepherd,37066.2277,61.1971,10.3504,med,low,med,male,Davidson
Boxer,33129.0177,55.3023,9.1766,high,high,short,female,Taylor
Akita,37907.7749,68.1804,11.5134,high,med,med,male,Clark
Boxer,26056.4062,60.8155,8.7445,high,high,med,male,Ortega
Boxer,33753.3117,58.6478,8.4237,high,high,short,male,Sexton
Bearded Collie,21832.5292,48.2542,13.6364,high,high,long,female,Young
German Shepherd,35307.2302,61.4886,11.7665,low,med,long,female,Dixon
Akita,38707.2142,68.3388,11.621,med,med,med,female,Howell
Akita,43910.6057,66.7374,10.8614,med,high,med,female,Simpson
German Shepherd,36891.7487,62.3964,10.5573,med,med,med,female,Peterson
Bearded Collie,19464.6316,51.4829,12.9521,high,high,long,male,Brown
Bearded Collie,24143.9925,,13.5179,med,high,long,male,Perez
Boxer,34979.2736,59.8301,9.9684,high,high,med,female,Thomas
Akita,56981.3751,66.5465,9.3836,high,med,med,female,Hess
Boxer,29958.007,57.8351,9.0536,high,high,short,female,Harris
Bearded Collie,21806.5843,55.5307,13.1912,high,high,long,female,Brewer
German Shepherd,37132.2059,,11.2275,med,med,med,male,Chavez
Boxer,32966.0648,60.9982,9.8548,med,high,short,female,Anderson
German Shepherd,36393.4367,61.2495,11.5947,low,med,med,female,Bates
Boxer,33643.2526,60.2163,9.4644,high,high,short,male,Coleman
German Shepherd,38042.9521,59.5828,11.8889,med,med,long,female,Santos
German Shepherd,37006.5568,58.4944,11.1264,high,med,short,female,Gutierrez
German Shepherd,39260.5971,60.9957,11.1368,med,low,med,female,Robertson
Akita,47723.9201,68.6818,10.8112,med,med,med,male,Watson
