Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Australian Shepherd,23608.8645,52.9716,12.2725,high,high,med,male,Nguyen
Australian Shepherd,22368.6209,53.7093,13.7348,high,high,med,female,Steven
Samoyed,26482.8731,56.7537,11.3786,med,high,med,female,Harris
Rottweiler,41694.0434,64.2688,10.7531,med,high,short,male,Hansen
Australian Shepherd,24681.4636,52.7418,11.9511,high,high,med,male,Roth
German Shepherd,37088.6719,61.1902,9.2959,med,low,med,female,English
German Shepherd,33259.4366,62.1872,11.3674,med,low,med,female,Perez
Rottweiler,59135.9866,60.5201,9.7013,med,high,short,female,Phillips
Rottweiler,49006.6125,63.6365,8.8751,low,high,short,male,Robinson
German Shepherd,38479.9077,59.8447,11.5378,med,med,med,male,Acosta
German Shepherd,36249.6064,60.67,11.3836,med,med,med,female,Mosley
Samoyed,19685.5317,,11.077,med,high,med,male,Crane
Rottweiler,47444.6271,60.7833,9.5363,med,med,short,male,Gomez
German Shepherd,37111.1349,60.5744,11.1533,med,med,med,male,Martinez
Australian Shepherd,29635.3517,53.0969,12.3261,high,high,short,male,Cooper
Rottweiler,52611.8124,63.6727,9.0463,med,high,short,male,Anderson
Australian Shepherd,23670.8469,52.1077,12.4556,high,high,med,female,Compton
Samoyed,24907.7669,52.7878,11.186,med,high,short,male,Miller
Samoyed,17265.0632,53.2779,10.8294,med,high,med,female,Richmond
German Shepherd,37528.9886,58.9035,11.1086,med,med,long,male,Wagner
Samoyed,19895.5699,52.4894,12.1844,med,high,med,male,Miller
Samoyed,24416.9204,55.8665,9.8655,med,high,med,male,Mitchell
Australian Shepherd,28709.8394,,13.4369,high,high,med,male,Johnson
Australian Shepherd,27708.6437,54.1586,12.0049,high,med,med,female,Davis
German Shepherd,34553.093,62.6172,10.9589,med,low,med,male,Carlson
Australian Shepherd,23302.6847,54.1723,13.1168,high,high,med,female,Smith
Samoyed,16093.7572,,11.093,low,high,med,female,Bowman
German Shepherd,36092.5934,61.7839,11.0808,med,med,long,female,Jackson
German Shepherd,34509.124,61.7623,10.1679,med,med,med,female,Wilson
Samoyed,23926.1304,54.4533,11.1956,med,high,med,male,Burton
Samoyed,19379.7622,54.8671,10.1366,med,high,med,male,Franklin
Australian Shepherd,23727.9433,55.3225,13.0864,high,high,med,male,Davis
German Shepherd,38054.9136,61.3428,10.9234,med,low,med,female,Jensen
Samoyed,21180.1537,53.6151,11.2749,med,high,long,female,Gibson
Australian Shepherd,22397.0078,,12.8459,high,high,med,male,Schmitt
German Shepherd,37854.5064,61.5456,10.8816,med,low,med,male,Davis
Rottweiler,49552.3792,63.8004,9.7147,low,med,short,female,Alvarado
Samoyed,23950.3238,53.5128,10.7855,high,high,med,male,Krause
Samoyed,31783.449,,10.5545,med,high,med,female,Garcia
Australian Shepherd,18861.7961,52.1321,12.9526,high,high,med,male,Randall
Rottweiler,43931.3363,62.9998,8.5803,med,high,short,male,May
Rottweiler,48668.3209,63.763,10.0817,med,high,med,female,Lopez
German Shepherd,34724.2473,58.8323,10.5797,med,med,long,male,Ramos
Rottweiler,46135.588,61.1941,8.6799,high,high,short,male,Juarez
Rottweiler,43650.3189,65.3133,9.8994,low,high,short,female,Krause
Samoyed,21546.1673,54.6057,11.2968,low,high,med,female,Justin
Samoyed,22397.1069,53.4578,11.4091,med,high,med,male,Williams
Australian Shepherd,22353.2954,52.5799,13.2068,high,high,med,male,Fox
Australian Shepherd,23732.8681,,12.23,high,med,med,female,Barrett
Samoyed,15811.2777,54.8999,11.6066,med,high,med,male,Roberts
Rottweiler,36581.938,64.288,10.3099,med,high,short,male,Flores
Australian Shepherd,26688.3137,53.6951,13.7507,high,high,long,female,Ramsey
Samoyed,21529.8633,52.5011,11.2548,med,high,short,female,Scott
Samoyed,27777.797,53.7353,10.6068,high,high,med,male,Martinez
German Shepherd,34617.6533,,10.5387,high,med,med,male,Williams
Samoyed,22794.2606,55.1758,11.6599,med,high,med,male,Porter
Australian Shepherd,23221.8937,,12.3152,high,high,med,female,Griffith
German Shepherd,37324.7495,61.7517,10.6181,high,med,med,female,Perez
German Shepherd,37148.4555,58.9053,10.6076,med,med,med,female,Thomas
German Shepherd,34739.4244,61.1664,11.5061,low,med,med,male,Yates
Rottweiler,38045.2497,63.8284,9.0172,low,high,short,male,Cooper
Rottweiler,45658.9581,62.1837,7.5413,med,high,short,male,Tucker
Samoyed,20982.2914,52.9513,11.2494,med,high,med,male,Green
German Shepherd,38947.8499,60.6299,11.1862,med,med,short,male,Wright
German Shepherd,38134.8862,59.9845,11.2197,high,med,med,female,Zavala
Australian Shepherd,22798.4245,54.8653,14.0638,high,high,short,female,Mason
Australian Shepherd,18131.8115,53.3117,12.7962,high,high,short,female,Amanda
German Shepherd,34406.9865,58.1069,11.021,high,med,med,male,Carter
German Shepherd,35626.1021,61.072,9.8678,med,med,med,male,Thompson
Australian Shepherd,21128.6303,52.3976,13.5316,high,high,med,male,Cannon
Australian Shepherd,27249.9715,55.2483,12.0746,high,high,long,female,Nelson
Rottweiler,44164.0072,,10.4116,low,high,short,male,West
Samoyed,25638.3296,52.9533,11.9381,med,high,med,male,Woods
German Shepherd,37409.5748,59.9456,11.3046,med,high,med,female,Black
Australian Shepherd,22745.3775,52.679,13.3666,high,high,med,male,Donovan
Rottweiler,58434.4043,61.588,8.0291,med,high,short,female,Barber
Rottweiler,43581.1355,63.0429,8.7977,med,high,short,male,Rogers
German Shepherd,34660.5878,,11.292,med,med,short,male,Nathan
Australian Shepherd,23757.7518,,12.6318,high,med,med,female,Wilson
Rottweiler,36141.3429,65.3223,9.1226,med,high,med,male,Snow
German Shepherd,36806.8582,60.5994,10.7432,med,med,med,male,Daniels
German Shepherd,36823.4154,59.304,10.4943,med,med,long,female,Davis
Australian Shepherd,19048.9874,53.5325,14.1945,high,high,long,female,Collins
Samoyed,16252.9371,54.1296,10.8777,med,high,long,female,Ortega
Australian Shepherd,25011.2267,51.3453,11.9577,high,high,med,male,Turner
German Shepherd,35437.7247,59.907,10.7572,high,med,long,male,Amanda
Australian Shepherd,25393.9173,,12.8275,high,high,med,female,Taylor
Rottweiler,46477.0062,65.0596,10.0344,med,high,short,female,Knight
Rottweiler,55397.2861,63.5896,10.1055,med,high,short,male,Hernandez
Rottweiler,42163.1182,64.59,10.2567,med,high,short,male,Garcia
Samoyed,20668.5605,52.5486,10.5686,med,high,med,male,Boone
Rottweiler,48971.9805,63.9645,9.7389,med,high,short,male,Carroll
Australian Shepherd,27125.7239,51.3236,12.4738,high,high,med,male,Moran
Samoyed,25649.8581,51.3558,10.284,med,high,med,male,Scott
Rottweiler,52356.3742,64.5068,8.8968,med,high,short,male,Potter
Australian Shepherd,19255.0165,,12.0472,high,high,med,female,Smith
Australian Shepherd,20051.3051,52.8,13.0005,high,high,med,male,Short
Australian Shepherd,22213.8639,54.271,13.0121,high,high,med,male,Tucker
