Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Golden Retriever,30794.5949,56.1307,10.261,med,high,med,male,Medina
Daschhund,9424.6287,22.8933,14.0014,high,med,short,male,Jackson
Jack Russel Terrier,7259.3659,33.9667,13.7909,high,med,short,male,Jones
Golden Retriever,26891.8345,57.2601,11.5787,med,med,med,male,Garcia
Beagle,9810.0107,32.9152,12.3722,high,high,short,male,Johnston
Golden Retriever,32300.6984,57.4224,12.6882,low,high,med,male,Robbins
Daschhund,11014.8113,,13.3571,high,low,short,female,Cowan
Golden Retriever,25841.4561,55.4368,11.2724,high,high,med,female,Baker
Golden Retriever,26801.1384,57.7487,11.2777,med,high,med,female,Lewis
Jack Russel Terrier,7537.4065,33.6149,14.8562,high,high,short,male,Zamora
Jack Russel Terrier,6940.7692,34.659,12.6424,high,med,short,female,Thomas
Daschhund,10047.2978,20.1021,13.1388,high,med,short,female,Pearson
Daschhund,12601.9394,21.0686,13.3126,med,med,short,female,Barnes
Daschhund,5651.3494,20.9935,12.9787,high,med,med,female,Payne
Jack Russel Terrier,7223.1325,34.5062,14.6915,high,med,short,male,Doyle
Daschhund,10527.0465,21.4231,12.4184,high,med,short,female,Ball
Jack Russel Terrier,7108.9719,34.8016,14.4279,high,med,short,male,Dyer
Beagle,11648.126,,14.4539,med,high,short,female,Brown
Golden Retriever,27927.0973,,12.0705,med,high,med,female,Wolf
Beagle,11535.0576,32.0909,12.8113,low,high,short,male,Nelson
Beagle,8479.49,34.2094,15.0354,med,high,med,female,Ward
Jack Russel Terrier,6914.5247,34.6236,14.0058,high,med,med,female,Haas
Golden Retriever,26724.0043,59.7502,10.3025,med,high,med,male,Martinez
Jack Russel Terrier,6995.3996,34.1254,14.2755,high,med,short,female,Hahn
Beagle,13030.8036,35.061,14.0141,med,high,short,male,Burke
Daschhund,11069.2439,21.6131,12.6469,high,med,short,male,Rose
Jack Russel Terrier,8352.4792,33.7975,13.1988,high,med,short,male,Stevens
Jack Russel Terrier,6847.8472,34.9119,13.7493,high,med,short,male,Dixon
Golden Retriever,30187.9559,57.0651,11.2166,high,high,med,male,Thompson
Golden Retriever,23900.3514,,11.2495,med,high,short,male,Perkins
Jack Russel Terrier,6299.2309,34.5914,13.4225,high,med,short,male,Lopez
Daschhund,15434.2164,21.1994,13.2818,high,med,short,female,Romero
Daschhund,6622.4013,21.8608,12.4827,med,med,short,male,Williams
Beagle,12844.6146,35.7068,13.9583,low,med,short,female,West
Jack Russel Terrier,6966.3293,34.4473,14.7979,high,med,short,female,Vargas
Daschhund,7578.5987,21.4645,12.3498,high,med,short,female,Riley
Beagle,9849.6213,,13.2514,med,high,short,female,Dominguez
Beagle,10576.8027,36.4094,13.136,med,med,short,male,Cline
Daschhund,8454.9792,21.066,12.1059,high,med,med,male,Reid
Golden Retriever,27943.8241,56.9681,11.9414,low,high,short,male,Mcdonald
Golden Retriever,29855.8409,,12.0828,med,high,med,male,Williams
Golden Retriever,28194.9075,56.2126,12.7042,med,high,med,female,Rodriguez
Golden Retriever,29282.1499,58.6269,11.4204,high,high,med,female,Mejia
Beagle,11028.5862,,12.5131,med,high,short,male,Smith
Golden Retriever,30771.5633,56.5169,13.3315,low,high,med,male,Gray
Daschhund,8534.569,21.0732,14.4802,high,med,short,male,Allen
Golden Retriever,29764.509,60.345,13.1738,med,high,med,female,Johnson
Golden Retriever,30660.6777,58.3729,12.0744,med,high,med,female,Moreno
Jack Russel Terrier,5575.4006,34.8957,14.4585,high,med,short,male,Brewer
Jack Russel Terrier,7098.7027,,14.1359,high,med,short,male,Jackson
Jack Russel Terrier,6166.5515,32.8784,14.0912,high,med,short,female,Long
Jack Russel Terrier,6972.2423,34.1529,13.5893,high,med,short,male,Hampton
Beagle,11913.3875,,13.721,med,high,short,female,Garza
Daschhund,17482.7394,21.0823,12.6,high,low,short,male,Morris
Daschhund,7099.6935,21.2811,12.6527,high,med,short,male,Goodman
Daschhund,7014.9538,,13.0737,high,med,short,female,Smith
Beagle,11807.6319,37.3878,12.846,med,high,short,female,Flores
Jack Russel Terrier,7213.2088,33.7873,13.7561,high,med,short,male,Olson
Golden Retriever,26627.7424,57.2677,10.7854,med,high,long,male,Bailey
Jack Russel Terrier,7109.7413,34.7317,13.1229,high,med,med,male,Foster
Golden Retriever,28322.8808,,11.7881,med,med,short,female,Lopez
Beagle,10267.511,32.9775,12.217,med,high,short,male,Moss
Daschhund,10895.0886,,12.4421,high,med,short,female,Brown
Beagle,13367.1807,34.4158,14.6232,med,high,short,female,Page
Beagle,10931.6475,34.3714,13.2356,med,high,short,male,Curry
Golden Retriever,31366.8888,54.6968,11.6055,low,high,med,female,Watkins
Golden Retriever,28656.8116,59.108,10.481,med,high,med,male,Williams
Jack Russel Terrier,4979.773,34.5553,14.1809,high,med,short,male,Graham
Jack Russel Terrier,6784.9467,33.6936,14.0967,high,med,short,male,Turner
Beagle,10325.6661,37.3714,14.4349,med,high,short,male,Smith
Beagle,11068.0731,,14.6281,med,high,short,female,Wells
Beagle,9196.7435,,15.3622,med,high,med,female,Wilson
Daschhund,9212.9284,20.3143,13.1691,high,med,short,female,Jones
Golden Retriever,36570.1686,58.8757,11.6334,high,high,med,female,Hill
Daschhund,7981.6565,20.6945,12.5413,high,med,short,male,Casey
Jack Russel Terrier,7765.4908,33.9239,14.4451,high,high,short,female,Olson
Daschhund,8050.8052,20.3064,13.3743,med,med,short,male,Curtis
Golden Retriever,34039.2726,54.8748,11.1059,med,high,med,male,Adkins
Jack Russel Terrier,7929.5418,34.0018,13.7731,high,med,med,female,Hurst
Jack Russel Terrier,6636.9973,,14.1212,high,high,short,male,Pugh
Daschhund,15127.0614,20.9183,12.6842,high,med,short,male,Graham
Jack Russel Terrier,7519.7859,34.7601,14.3909,high,med,short,female,Berry
Daschhund,7150.4289,22.0316,12.6977,high,med,short,male,Cooper
Jack Russel Terrier,7177.3102,33.7554,14.6083,high,med,short,male,Cole
Daschhund,9714.3489,,13.2885,med,med,short,female,Caldwell
Golden Retriever,27020.8743,57.3171,11.7602,med,high,med,male,Snyder
Golden Retriever,31108.0763,60.1494,11.776,med,high,med,male,Lester
Daschhund,9303.1101,20.9618,13.0502,high,low,short,female,Cox
Beagle,8393.0496,36.5592,14.8166,med,med,short,female,Morris
Beagle,12255.2101,,13.09,high,high,short,male,Smith
Daschhund,7979.1918,21.1804,12.8163,high,med,short,female,Brown
Beagle,10261.7149,36.9699,14.4159,med,med,short,male,Hamilton
Daschhund,13758.4185,21.0506,12.74,high,med,short,female,Ward
Golden Retriever,27999.3015,58.3305,11.5173,med,high,med,male,Allen
Jack Russel Terrier,7350.9982,33.962,12.9517,med,med,short,female,Smith
Golden Retriever,32389.0041,57.8851,11.9884,med,high,med,male,Nunez
Jack Russel Terrier,6420.8647,33.0854,12.5401,high,med,short,male,Boyd
Daschhund,13035.1031,20.5522,12.9409,med,med,short,female,Mitchell
Jack Russel Terrier,6824.3311,34.4826,14.4123,high,med,short,female,Young
Golden Retriever,22842.236,56.5762,13.0421,med,high,med,female,Wright
Jack Russel Terrier,5948.1757,34.2485,14.1574,high,med,short,male,Vargas
Beagle,12832.5996,35.8253,14.8776,high,high,short,female,Hall
Daschhund,4219.6598,21.4473,13.0959,high,med,short,male,Carlson
Beagle,11464.9857,37.5024,14.521,low,high,short,female,White
Daschhund,12125.6917,20.8836,12.5672,high,med,short,female,Hamilton
Golden Retriever,27611.4005,56.707,11.5147,med,med,med,male,Clayton
Daschhund,9671.9407,20.1725,12.6669,high,med,short,male,Sullivan
Beagle,11552.2614,36.3061,13.9318,low,high,short,female,Goodman
Golden Retriever,29245.4247,59.4461,11.5505,med,high,short,male,Martin
Beagle,10403.5753,35.0096,12.819,med,high,short,female,Gibson
Golden Retriever,23782.5394,59.4993,11.4821,med,high,med,male,Flores
Golden Retriever,31441.7152,55.2957,11.478,med,high,med,female,Williamson
Jack Russel Terrier,6874.0207,34.8897,14.2429,high,med,short,male,Johnson
Daschhund,8426.3647,20.8244,11.7007,med,low,short,female,Lawrence
Beagle,7420.1928,34.5508,12.8382,med,high,short,male,Roy
Daschhund,9456.898,20.8481,13.1649,high,med,short,male,Foster
Golden Retriever,30860.078,59.4702,12.6403,med,high,med,male,Rodriguez
Jack Russel Terrier,7415.8232,,13.7371,high,med,short,male,Wright
Golden Retriever,24589.668,55.4333,12.0022,med,high,med,female,Wood
Daschhund,13761.3619,20.3537,13.7633,high,med,short,female,Smith
Golden Retriever,29295.8325,57.4948,10.6686,med,high,med,female,Parsons
Jack Russel Terrier,7301.7558,33.926,13.6937,high,high,short,male,Jones
Jack Russel Terrier,6265.0603,35.1993,14.4941,high,med,short,female,Williams
Daschhund,5683.1482,21.1612,14.8422,high,med,short,female,Randall
