Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Pug,7850.8788,31.4171,13.2464,med,high,short,male,Stein
Airedale Terrier,22857.048,56.8426,10.3627,high,high,med,female,Parker
Airedale Terrier,21642.592,57.7455,12.5064,med,high,med,male,Richardson
Airedale Terrier,20653.3344,56.6851,12.5965,high,high,med,male,Garza
Airedale Terrier,22833.2097,57.6401,11.3693,high,high,long,male,Davis
French Bulldog,12060.4524,28.0078,10.8322,high,high,short,male,Wong
French Bulldog,12470.7846,29.0704,10.3816,med,high,short,female,Roberts
Rottweiler,57692.3296,62.6651,9.8901,med,high,med,male,Freeman
Rottweiler,47521.5939,62.1142,9.6645,med,high,short,female,Gary
Rottweiler,61848.9239,,9.8849,high,high,short,female,Stewart
Rottweiler,50372.4994,62.7747,10.3812,med,high,short,male,Dawson
Pug,7358.1675,,13.8386,low,high,short,female,Ayers
Airedale Terrier,19844.5729,57.3816,11.9613,high,high,med,male,Brown
Rottweiler,39812.1268,64.1566,10.2267,med,high,short,female,Jones
Airedale Terrier,20694.6926,,10.2337,high,high,long,female,Moody
Airedale Terrier,17487.0118,,11.4622,high,high,long,female,Miller
French Bulldog,11862.7796,29.548,9.8712,med,high,short,female,Smith
French Bulldog,11786.6261,28.4934,10.0297,med,high,short,female,Kim
French Bulldog,12887.7566,28.7686,9.7663,med,high,short,male,Coleman
Rottweiler,35204.9186,65.3492,8.9849,med,med,short,male,Singleton
French Bulldog,12186.8568,29.9459,10.4072,med,med,short,male,Johnson
Pug,6067.4075,33.0734,14.3227,med,high,short,male,Phillips
Rottweiler,46209.2421,61.9093,10.1757,med,high,short,male,Mccarthy
French Bulldog,12488.3222,29.0976,9.9737,med,high,short,male,Carrillo
French Bulldog,12771.6528,28.736,8.6784,med,high,short,female,Marquez
Pug,7059.8876,32.5619,14.8124,med,high,short,male,Cross
Rottweiler,61429.5722,60.1727,8.7387,low,high,short,male,Wells
Pug,5353.9632,34.6761,13.3512,med,high,short,male,Barnett
French Bulldog,12085.5168,28.2222,10.0236,med,high,short,male,Lynch
French Bulldog,12326.9174,,9.8592,high,high,short,female,Johnson
Pug,6827.9264,30.5439,13.7062,med,high,short,male,Anderson
Pug,6716.6458,34.7472,13.4751,low,high,med,male,Miller
Airedale Terrier,21300.7178,,12.0099,high,high,med,female,Roberts
Airedale Terrier,20194.444,,11.6582,high,med,short,male,Wright
Pug,6230.231,,13.9526,med,high,short,female,Butler
French Bulldog,12039.6798,27.9171,10.6397,med,high,med,female,Jackson
Pug,7185.1614,32.1863,14.1608,med,med,med,female,Carlson
Rottweiler,69253.0845,,9.2538,med,high,short,male,Harrison
Airedale Terrier,19205.3264,,13.1627,high,high,med,female,Hoffman
Pug,7240.8575,,13.4635,low,high,short,female,Everett
Pug,6861.7621,32.0865,13.0706,med,high,short,female,Elliott
French Bulldog,13159.3064,28.2289,10.2728,high,high,short,male,Johnson
Rottweiler,47584.9285,,8.4706,med,high,short,male,Hart
Pug,7161.4986,,12.8761,med,high,med,male,Snyder
Rottweiler,56987.0282,,10.1126,med,high,short,male,Alexander
Pug,7090.1188,,15.1349,low,high,short,female,Lewis
Airedale Terrier,19203.5627,56.938,11.518,med,high,med,male,Dickerson
Rottweiler,44395.6466,62.3543,9.3032,med,high,short,female,Evans
Pug,7602.2768,31.233,12.98,med,med,med,male,Williams
Pug,7739.1639,30.9465,13.0261,med,high,short,male,Rivera
Airedale Terrier,19099.4385,,11.7829,high,high,med,male,Brown
French Bulldog,12481.4899,30.0838,11.3934,med,high,short,male,Hodges
Airedale Terrier,20502.4105,58.2749,11.0596,high,high,med,female,Wise
