Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Daschhund,7801.1483,21.1423,12.0064,high,med,short,female,Byrd
Bloodhound,43887.1576,63.5193,7.9969,med,high,short,female,Johnson
Daschhund,10356.651,,13.5805,high,med,short,female,Sawyer
Siberian Husky,17832.2871,52.1902,11.7706,med,med,med,male,Johnson
Bloodhound,45539.3608,60.6652,7.8684,med,high,short,female,Martin
Daschhund,7321.9461,21.1201,11.8991,high,med,short,female,Martin
Siberian Husky,20640.1181,,10.8668,med,med,med,male,Washington
Dalmatian,20529.5942,48.0,14.5285,high,high,short,female,Allen
Daschhund,8485.7079,,12.597,high,low,short,male,Oneill
Dalmatian,22062.8285,,13.8133,high,high,short,female,Reed
Bloodhound,47194.2458,64.313,8.1775,med,high,short,male,Carlson
Daschhund,6544.7142,20.8684,13.4622,high,med,short,female,Hall
Bloodhound,38662.2534,61.1727,8.0804,high,high,med,female,Carter
Bloodhound,43030.1724,62.3603,6.2438,med,high,short,female,Collins
Siberian Husky,21492.4482,,12.6719,med,high,med,male,Morrow
Bloodhound,41728.9268,63.1286,8.5685,low,high,short,female,Morales
Dalmatian,20116.8618,48.0,12.851,high,high,med,female,Crawford
Bloodhound,42514.4389,65.0855,8.4076,med,med,short,female,Brady
Dalmatian,25341.812,,13.6707,high,high,short,female,Phelps
Daschhund,9138.3088,,13.5679,high,low,short,female,Morales
Dalmatian,19732.5914,48.0,13.7773,high,high,short,male,Koch
Siberian Husky,20288.9733,54.9608,12.4823,med,med,med,female,Osborn
Dalmatian,26690.6252,48.0,12.5062,high,high,short,female,Young
Bloodhound,38360.1572,,7.0794,med,high,short,male,Alvarez
Siberian Husky,16774.9784,54.4813,12.8202,high,med,med,female,Stanley
Siberian Husky,17289.0535,54.3795,12.6688,high,med,med,female,West
Siberian Husky,18267.4268,,12.2638,low,med,med,male,White
Dalmatian,24747.0419,48.0,13.1855,high,high,short,female,Walker
Siberian Husky,23245.1418,57.7343,12.3876,low,med,long,male,Johnson
Daschhund,5309.1497,20.6843,13.3855,med,med,med,male,Robertson
