Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Airedale Terrier,18286.5939,56.7989,11.2384,high,high,med,male,Johnson
Airedale Terrier,19002.9087,56.4084,10.7565,high,high,med,male,Stewart
Golden Retriever,31430.3594,58.2075,10.6935,med,high,short,male,Brown
Great Dane,48145.3224,77.6497,6.8749,med,high,short,male,Ward
German Shepherd,34429.0447,59.0808,11.1584,low,med,med,female,Hudson
Airedale Terrier,21023.186,56.7841,11.5204,high,high,short,female,Garcia
Airedale Terrier,18325.719,,12.6109,high,med,med,female,Bryant
German Shepherd,35518.761,61.1112,10.3042,high,med,med,male,Owens
German Shepherd,37379.1721,62.4458,11.4808,low,med,med,male,Williams
Great Dane,48709.3071,76.7551,7.1495,med,high,short,female,Moore
German Shepherd,36945.6581,61.1738,11.3421,med,med,short,female,Thompson
Airedale Terrier,21210.5378,,11.2409,high,high,med,female,Henson
German Shepherd,38218.0672,59.6243,11.5708,low,med,med,female,Michael
Airedale Terrier,19578.8151,56.9167,13.1031,high,high,med,female,Johnson
Great Dane,52055.4918,75.6584,7.3727,high,high,short,female,Henry
Great Dane,49358.2985,78.475,6.0988,med,med,short,female,Lowery
Golden Retriever,31016.3701,53.6478,10.2432,med,med,med,female,Brown
Airedale Terrier,18786.7286,57.0204,11.6522,high,high,short,male,Jackson
Golden Retriever,27947.6073,56.0482,11.993,med,high,med,female,Berger
Golden Retriever,30608.9618,59.2723,10.2483,high,high,med,male,Paul
Airedale Terrier,16895.9572,,10.5314,high,high,short,male,Gonzalez
Golden Retriever,28438.9435,60.097,11.4933,high,high,med,female,Villa
German Shepherd,35809.4144,61.763,10.0482,high,med,long,male,Martinez
Airedale Terrier,21813.264,57.6244,11.4803,high,high,med,female,Wright
German Shepherd,39047.6232,61.3496,12.3587,med,med,med,male,Rice
Golden Retriever,33911.9943,55.8847,13.0391,med,high,short,female,Johnson
Airedale Terrier,19636.7123,57.2625,11.652,high,high,med,male,Simmons
Airedale Terrier,21108.2754,56.0886,10.8465,high,high,med,male,Fletcher
Golden Retriever,25361.022,,13.926,med,med,long,female,Flores
Great Dane,50648.9723,78.9701,6.5888,med,high,short,female,Allen
Great Dane,54791.5529,81.0861,6.8433,med,high,short,female,Harrington
German Shepherd,36558.316,59.3165,11.3204,med,med,med,male,Watson
Great Dane,51581.4415,79.6792,8.0084,med,high,short,male,Palmer
Golden Retriever,30240.2931,,11.6319,med,high,med,female,Castillo
Airedale Terrier,19561.2576,56.8164,9.9278,high,high,med,female,Wall
German Shepherd,37125.795,60.4114,11.4759,med,high,med,female,Beck
Airedale Terrier,20507.6284,57.3907,12.1104,high,high,med,male,Brown
Great Dane,43828.7029,78.7123,7.8405,low,high,short,female,Smith
Golden Retriever,29929.9503,61.6199,12.3993,med,high,med,male,Collins
Great Dane,48962.0254,,7.1434,high,high,short,female,Martinez
Airedale Terrier,22326.5997,58.2553,11.0139,high,high,long,male,Steele
Golden Retriever,31330.3345,55.9471,11.5738,low,high,med,female,Miller
Golden Retriever,30103.2629,58.4261,11.8753,med,high,short,female,Lopez
Airedale Terrier,21497.7376,,11.7204,high,high,med,male,Goodman
Great Dane,51253.6285,81.7162,7.153,med,high,short,female,Miller
Airedale Terrier,19716.2554,56.4173,11.7107,high,high,med,male,Porter
Airedale Terrier,21566.5602,56.8836,10.8562,high,high,med,male,Campbell
Great Dane,42846.4517,77.865,7.079,med,high,short,female,Watkins
Great Dane,47485.1559,77.7166,6.7508,med,high,short,male,Torres
Great Dane,47632.8091,82.2045,7.1176,med,high,short,male,Hoffman
Great Dane,51069.8782,,7.2023,med,high,short,female,Jimenez
German Shepherd,37812.1504,63.7936,11.2533,med,med,med,male,Nguyen
Great Dane,54167.9799,82.007,7.0292,med,med,short,male,Bruce
Airedale Terrier,20316.9115,56.8793,11.9078,high,high,med,male,Mcclure
Great Dane,47116.1888,77.2419,6.8664,med,high,short,female,Ray
German Shepherd,37282.7739,59.7638,10.1462,med,med,med,female,Henderson
Great Dane,48140.265,76.2174,6.4644,med,high,short,female,Reed
German Shepherd,36102.074,55.8541,11.5096,low,med,short,male,Carlson
German Shepherd,36649.6409,,11.2585,med,high,med,female,Payne
Great Dane,46582.2057,78.8357,5.7462,med,high,short,female,Alvarez
German Shepherd,37386.1449,60.677,11.6708,med,med,med,female,Villegas
German Shepherd,39382.6778,60.753,10.5874,med,med,med,female,Brown
