Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Dalmatian,23726.8829,48.0,13.9527,high,high,med,female,Coleman
German Shepherd,34776.5832,62.9251,11.2046,med,med,med,female,Graham
German Shepherd,37535.0388,59.9834,11.3355,high,low,short,female,Elliott
Bloodhound,41054.7999,63.0717,8.8328,med,high,short,male,Beck
German Shepherd,35523.5715,61.6555,10.8445,med,med,med,male,Calhoun
Dalmatian,20164.0583,48.0,12.5005,high,high,short,female,King
Dalmatian,25180.4155,48.0,12.9516,high,high,short,male,Levy
Bloodhound,35559.7348,62.2213,8.5831,med,high,short,female,Thompson
German Shepherd,38794.5954,60.1095,10.6615,med,med,short,male,Nguyen
Amstaff,25911.3663,46.4813,12.8365,low,high,short,male,Wilson
Amstaff,31379.657,47.3982,13.085,med,high,short,female,Brown
Amstaff,29337.8416,,12.8004,med,high,short,female,Flores
Bloodhound,41991.5499,64.3734,8.8641,low,high,short,male,Warren
Bloodhound,42229.0037,,8.3285,med,high,short,male,Moore
German Shepherd,36124.4563,,10.5508,med,med,med,male,Hannah
Bloodhound,31072.5586,63.7727,8.0601,med,high,short,male,Harrington
German Shepherd,38072.2806,58.0531,11.2584,low,med,med,female,Garcia
Amstaff,20918.7329,45.1083,12.998,med,high,short,female,Ross
Dalmatian,22198.7184,,12.1798,med,high,short,female,Caldwell
Amstaff,22896.0899,,13.3535,low,high,short,female,Williams
Dalmatian,23369.9529,48.0,12.3556,high,high,short,male,Schroeder
Dalmatian,20974.585,,13.3678,high,high,short,male,Parrish
Dalmatian,21083.4163,48.0,13.1707,high,high,med,female,Carlson
German Shepherd,32959.7264,59.2281,11.1326,med,med,short,female,Hamilton
German Shepherd,38237.9949,,10.7687,med,med,med,female,Smith
Bloodhound,37965.5873,64.1138,8.5785,low,high,short,male,Wilkinson
German Shepherd,33276.4324,57.1922,11.5184,med,low,med,female,Mitchell
Bloodhound,38128.0364,61.8694,8.6527,med,high,short,female,Esparza
German Shepherd,37923.3716,61.2975,10.671,med,med,med,male,Bernard
Amstaff,23882.8385,45.5924,13.3603,med,high,med,male,Rodriguez
German Shepherd,35738.4945,61.1463,10.4327,med,med,med,male,Spencer
Dalmatian,21969.4345,48.0,13.1687,high,high,short,female,Crosby
Amstaff,20519.3183,,12.6416,med,high,short,female,Ramirez
Amstaff,28253.226,46.496,13.9146,med,med,short,male,Bennett
Bloodhound,41042.4605,66.515,9.0146,med,high,short,female,Johnson
Bloodhound,38188.0051,64.4929,8.2223,low,high,short,male,Lamb
Dalmatian,17963.6473,48.0,13.3309,high,high,med,female,Daniels
German Shepherd,35174.6016,61.1,10.7411,med,med,med,female,Lopez
Dalmatian,18481.5885,48.0,13.2052,high,high,short,female,Castillo
Bloodhound,45972.3792,64.5233,8.6934,med,high,short,male,Hoffman
German Shepherd,35618.0806,,11.9781,med,med,med,female,Jones
Dalmatian,27067.2671,48.0,13.2879,med,high,short,male,Rice
German Shepherd,33414.3672,61.9008,11.2335,high,med,med,female,Berry
Bloodhound,44252.2406,62.724,8.8532,med,high,short,male,Taylor
Amstaff,22497.9563,46.381,13.2082,low,med,short,female,Martinez
German Shepherd,35823.3887,62.2954,11.0295,low,med,med,male,Green
Bloodhound,39389.2729,,10.303,med,high,short,male,Lopez
Bloodhound,46018.4296,62.5464,8.1835,med,high,short,female,Holder
Amstaff,21041.2888,45.5436,12.3518,med,high,short,female,Ellis
German Shepherd,38038.3742,57.834,11.1143,med,med,med,male,Douglas
German Shepherd,34722.9401,62.3508,10.6051,med,high,med,female,Hill
Amstaff,31651.5561,,12.4243,med,high,short,male,Park
Dalmatian,24225.7041,48.0,11.8227,high,high,short,male,Schneider
Bloodhound,45137.297,63.0051,8.3568,high,high,short,female,King
Dalmatian,24172.9727,48.0,13.5306,high,high,short,male,Benson
Amstaff,27312.0963,,11.8249,med,high,short,female,Ramirez
Bloodhound,46444.7491,62.7359,7.8049,med,high,short,male,Phillips
Bloodhound,44376.1478,64.1455,9.4032,med,high,short,female,Scott
German Shepherd,38280.6717,61.4431,10.7691,low,med,long,male,Ian
German Shepherd,36182.357,58.2219,10.9951,med,med,long,male,Stevens
German Shepherd,37318.2764,,10.467,med,med,med,male,Little
Amstaff,26176.1931,46.3687,13.0693,med,high,short,female,Michael
Bloodhound,41457.1555,64.7898,6.813,med,high,short,male,Jones
Dalmatian,21333.4709,48.0,12.5163,med,high,short,female,Wilson
Bloodhound,41877.3755,62.2324,9.2192,high,high,short,male,Rodriguez
Dalmatian,24124.172,48.0,13.7561,high,high,short,female,Zamora
Amstaff,28422.2864,46.0531,12.4753,med,high,short,female,Kelly
Bloodhound,41440.7287,,7.538,med,high,short,female,Tucker
Dalmatian,20427.6768,,13.2412,high,high,short,female,Keller
Amstaff,23108.1108,47.0186,13.2393,med,high,short,male,Grant
Dalmatian,20780.8018,,12.7091,high,high,short,female,Nunez
Dalmatian,23503.2077,48.0,12.2763,high,high,short,female,Baker
Amstaff,31925.6493,,13.4525,med,high,short,male,Sanchez
German Shepherd,38540.0244,60.7673,9.9167,low,med,med,male,Moss
German Shepherd,38492.6729,58.6793,10.2641,high,med,med,male,Stafford
Amstaff,25764.0634,46.694,13.6511,med,high,short,female,James
Bloodhound,40791.6763,61.9145,11.3566,med,high,short,female,Sherman
German Shepherd,34408.8255,59.0251,11.2046,high,med,med,male,Deleon
Amstaff,26004.1402,45.741,13.8605,high,high,short,male,Guerra
Bloodhound,38970.9801,61.6789,8.0754,med,high,med,female,Higgins
German Shepherd,35160.6913,61.8759,12.153,med,med,short,male,Jordan
Bloodhound,45619.7727,62.2614,10.0695,med,high,short,female,Hall
Bloodhound,41573.3671,60.1027,9.0616,low,high,short,male,Williams
German Shepherd,36812.3951,62.0242,11.3965,med,med,med,male,Berg
Dalmatian,21094.9088,48.0,12.8505,high,high,short,female,Raymond
Dalmatian,28421.3446,48.0,13.9983,high,high,short,female,Phillips
German Shepherd,35428.2358,60.9523,10.8766,med,med,med,male,Joseph
German Shepherd,35758.6844,63.3611,10.1507,med,med,med,female,Torres
Bloodhound,41128.7756,,8.7811,med,med,short,male,Fields
German Shepherd,35208.1384,63.3097,10.6932,med,med,short,male,Campbell
Amstaff,25160.2632,46.2987,13.2321,med,high,short,male,Contreras
German Shepherd,36370.4414,64.1346,10.5506,low,med,med,female,Burns
Amstaff,27947.1563,46.7509,13.3958,med,high,med,female,Vang
German Shepherd,36270.9992,63.4373,10.929,med,low,med,female,Turner
German Shepherd,36556.1759,59.7857,10.4864,med,low,med,male,Rodriguez
Bloodhound,39302.3348,63.9911,7.693,med,high,short,male,Valencia
German Shepherd,35964.5685,,10.7148,med,med,short,female,Valencia
Amstaff,24155.8523,46.6061,12.9206,med,high,short,male,Sutton
Amstaff,28243.3377,46.3376,13.9595,med,high,short,female,Morgan
Bloodhound,42868.4245,63.505,7.2633,med,high,short,female,Jackson
Dalmatian,21243.1188,48.0,12.8519,high,high,short,female,Armstrong
Amstaff,29997.1122,45.7598,12.9745,med,high,short,male,Taylor
Dalmatian,24901.8424,,12.4876,high,high,short,male,Brooks
Amstaff,30223.2083,,13.3377,high,high,short,female,Ramos
Bloodhound,43328.345,61.9769,8.8498,med,high,short,male,Duncan
German Shepherd,37474.0777,63.6696,10.6519,med,med,med,male,Bauer
Amstaff,26757.6217,,12.3896,med,high,med,male,Ramos
German Shepherd,36600.5327,60.6217,11.3175,med,high,med,female,Taylor
Bloodhound,41892.9297,,9.3685,med,high,short,male,Smith
