Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Australian Shepherd,23113.567,55.128,12.9824,high,high,med,male,Wheeler
Golden Retriever,29289.9934,60.4262,11.6795,med,high,med,female,Williams
Samoyed,17555.4028,56.9008,11.7964,med,high,med,male,Collins
Golden Retriever,27607.434,58.6686,11.975,med,high,med,female,Allen
Australian Shepherd,21183.0994,54.9372,13.6885,high,high,med,male,Harvey
Australian Shepherd,27224.7383,52.0121,13.9494,high,high,med,female,Austin
Australian Shepherd,30947.1399,53.7767,13.7531,high,med,short,male,Conrad
Samoyed,28758.9764,,10.0161,high,high,med,female,Harris
Samoyed,18338.7382,53.6785,11.2878,med,high,med,female,Howell
Pug,6487.447,,12.6529,med,high,short,male,Juarez
Golden Retriever,31324.7213,60.1982,12.0379,med,high,med,male,Johnson
Golden Retriever,32225.6073,57.9034,11.1994,med,high,med,female,Weiss
Samoyed,21678.8845,54.8615,11.0207,med,high,med,female,Le
Samoyed,17066.9193,53.0346,9.9431,med,high,med,female,Nelson
Samoyed,21187.0755,54.0821,10.38,med,med,med,female,Owens
Pug,7635.1946,33.7843,13.2789,med,high,short,male,Fleming
Golden Retriever,28026.1401,58.3786,11.6422,med,high,short,male,Woods
Golden Retriever,22169.1931,58.1914,11.9109,med,med,long,male,Sparks
Golden Retriever,28801.7676,60.866,11.1512,high,high,med,male,Smith
Australian Shepherd,23535.7032,50.7879,13.0151,high,high,med,female,Huff
Australian Shepherd,22689.1485,52.9328,13.6461,high,high,med,male,Ayala
Samoyed,24574.9784,54.7349,9.8126,low,high,med,female,Miller
Pug,8177.1172,,13.5695,med,high,short,male,Maddox
Golden Retriever,27967.5499,61.625,11.0338,med,high,med,female,Manning
Samoyed,21580.7449,53.5057,10.9147,med,high,med,male,Hansen
Pug,7206.0492,31.5107,12.0664,low,high,short,male,Wright
Pug,6810.2086,33.5687,13.7904,med,high,short,male,Vaughn
Golden Retriever,25554.4723,57.022,9.703,med,high,med,female,Fields
Golden Retriever,27340.7865,59.1032,12.9169,med,high,med,male,Pope
Golden Retriever,26748.2927,56.0337,11.0244,med,high,med,female,Rhodes
Australian Shepherd,26960.9465,55.7519,13.2672,high,med,short,female,Ruiz
Pug,7135.2262,34.424,12.9263,low,high,short,female,Bates
Australian Shepherd,24327.6446,53.8763,13.5702,high,high,med,female,Carroll
Australian Shepherd,19951.097,,13.1853,high,high,med,female,Miller
Pug,7625.1164,33.0422,13.3628,high,high,short,female,Hines
Samoyed,24087.016,51.5252,10.8439,high,high,med,male,Bailey
Golden Retriever,26806.3111,,12.5439,med,high,med,male,Perry
Australian Shepherd,24080.6962,54.2975,12.5374,high,high,med,female,Brewer
Golden Retriever,25386.5703,,10.7025,high,high,med,male,Chen
Samoyed,22686.3477,51.2041,11.2756,low,high,short,female,Johnson
Golden Retriever,29200.4427,,11.1908,low,med,med,female,Baker
Australian Shepherd,18880.8717,54.0002,13.1323,high,high,long,female,Holland
Pug,6176.4597,36.0321,14.3085,med,high,short,female,Richardson
Samoyed,21662.4436,53.9118,12.1596,med,high,med,male,Martin
Golden Retriever,28997.2632,59.6059,11.1857,high,med,med,female,Wright
Australian Shepherd,21164.3609,54.3718,12.8827,high,high,med,male,Osborne
Pug,6776.4895,,13.8796,med,high,short,male,Dickson
Samoyed,18278.2279,,10.7687,med,high,med,male,Le
Australian Shepherd,23784.7655,55.9082,12.0606,high,high,short,female,Clayton
Golden Retriever,29580.0807,53.7467,10.8059,med,high,short,male,Gonzalez
Golden Retriever,26865.8176,58.4187,13.6048,med,high,med,male,Hayes
Golden Retriever,31941.0522,,13.3122,high,med,med,female,Bentley
Pug,6115.714,30.8744,13.6576,med,high,short,male,Garner
Australian Shepherd,23409.3719,51.4851,12.7331,high,high,short,male,Cox
Golden Retriever,33742.0498,57.6157,11.6574,med,high,med,female,Morgan
Golden Retriever,27237.8656,55.1085,12.0863,med,high,long,female,Mata
Australian Shepherd,21629.7159,,13.3739,high,high,med,female,Burch
Golden Retriever,28562.6652,57.0712,10.3542,med,high,med,female,John
Australian Shepherd,27628.4074,53.6794,12.369,high,high,med,female,Barnes
Golden Retriever,25789.3593,57.7018,10.7326,high,high,med,female,Dillon
