Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Jack Russel Terrier,4485.6163,34.5011,14.0232,high,med,short,female,Schmitt
Rottweiler,52704.924,63.4101,7.8005,high,high,short,male,Jackson
Rottweiler,49068.0666,61.9073,8.45,low,high,short,male,Joseph
French Bulldog,12314.7849,,11.15,med,high,short,female,Bautista
Welsh Corgi,12665.6099,29.0588,10.8583,low,high,long,female,Burton
Jack Russel Terrier,6290.06,35.0051,14.8451,high,low,med,female,Washington
Welsh Corgi,17363.8263,25.8913,11.179,low,high,med,male,Shannon
French Bulldog,11604.8821,29.0474,9.6595,med,high,short,male,Terry
Rottweiler,48869.6256,62.3631,9.1177,med,med,med,male,Williams
Jack Russel Terrier,5448.2537,34.0117,13.3535,high,med,short,male,Pope
Rottweiler,46838.8289,63.1545,9.7447,med,high,med,male,Myers
Jack Russel Terrier,5921.1491,34.1517,14.4182,high,med,short,male,Abbott
Welsh Corgi,11280.1039,,11.5209,high,high,med,male,Sanchez
Rottweiler,59118.3268,,8.5087,high,high,short,male,Ryan
Welsh Corgi,10507.4464,29.7063,10.3793,med,high,short,female,Gonzalez
French Bulldog,11889.5991,28.4001,9.1204,med,high,short,female,Davenport
Jack Russel Terrier,7770.8057,34.3794,14.815,high,med,short,female,Brown
Rottweiler,50314.5215,66.0601,10.1742,med,high,med,female,Smith
Welsh Corgi,16239.9719,29.5021,11.6851,med,high,med,male,Kim
French Bulldog,12085.0413,29.2968,10.2906,med,high,short,female,Holder
Jack Russel Terrier,7372.0686,,14.1991,high,med,short,female,Clark
Welsh Corgi,15613.7021,29.2338,10.6423,med,high,med,male,Nelson
Welsh Corgi,11856.47,32.1849,10.9535,med,high,med,male,Thornton
Welsh Corgi,14528.1981,31.9945,11.2072,med,high,short,female,Rogers
Welsh Corgi,12326.0044,29.958,12.1705,med,high,med,female,Dorsey
Welsh Corgi,13785.5501,29.1537,10.4424,med,high,med,male,Navarro
Rottweiler,47114.1984,61.2211,8.4158,low,high,short,male,Cunningham
French Bulldog,11563.9193,29.4796,9.4604,high,high,short,male,Bradley
Jack Russel Terrier,6722.8936,34.2181,14.1713,med,med,short,male,Mason
Jack Russel Terrier,5919.3537,34.0449,15.221,high,high,short,female,Parks
Jack Russel Terrier,5437.8061,33.8049,14.1097,high,med,med,female,Rush
French Bulldog,11402.6182,28.4116,10.764,med,high,short,female,Morrow
Jack Russel Terrier,5252.6624,34.6611,14.0783,high,med,short,male,Cox
Rottweiler,35919.9622,65.6223,7.763,med,high,short,female,Perez
Jack Russel Terrier,6120.8144,33.879,14.4498,high,high,short,male,Henry
Jack Russel Terrier,6113.9156,33.6299,13.8907,high,med,short,male,Potter
Welsh Corgi,10373.7517,26.6051,10.8076,med,med,med,male,Cohen
Welsh Corgi,14142.2168,28.9939,10.9792,med,high,long,female,Moss
Rottweiler,37803.8076,63.1401,10.0936,med,med,short,female,Peterson
Welsh Corgi,13772.6093,,11.7365,med,high,med,male,Sampson
Welsh Corgi,13234.5559,27.5868,10.8924,med,high,med,female,Clarke
Rottweiler,43004.8504,60.724,8.9984,low,high,short,male,Burton
Rottweiler,46554.0958,65.1066,9.8556,med,high,short,female,Holmes
Jack Russel Terrier,6966.6561,34.0174,14.7414,high,med,short,female,Valenzuela
Welsh Corgi,15741.5579,,10.4731,low,high,med,female,Tiffany
Jack Russel Terrier,8172.9569,,13.7758,high,med,short,female,Mendoza
Rottweiler,57265.6102,64.6198,8.5207,med,high,short,male,Erickson
Welsh Corgi,13373.3192,31.5217,10.9976,med,high,med,female,Rodriguez
Welsh Corgi,16165.465,30.5045,10.5335,low,high,med,male,Chung
Rottweiler,44868.7626,64.9683,8.8157,med,high,short,female,Werner
Welsh Corgi,15519.0313,30.8761,11.5956,med,high,med,male,Miller
Jack Russel Terrier,5821.8077,,13.8301,med,med,short,male,Roach
Jack Russel Terrier,6037.9893,,13.2399,high,med,short,male,Carr
Rottweiler,61587.8669,,10.9472,med,med,short,male,Garcia
Jack Russel Terrier,4225.2868,,13.7451,high,med,short,male,Edwards
Jack Russel Terrier,6102.4851,,12.9042,high,med,med,male,Taylor
Rottweiler,42309.8593,62.1177,8.5347,high,high,short,male,Blair
French Bulldog,12658.2565,28.2587,9.9433,med,high,med,female,Chavez
Rottweiler,53658.9909,62.4683,9.477,med,high,short,female,Gonzalez
French Bulldog,11343.1124,27.9118,10.9391,med,med,short,male,Blankenship
Rottweiler,41057.6782,62.609,9.7286,med,high,short,male,Joseph
Jack Russel Terrier,5968.1405,34.4518,14.4125,high,med,short,female,Oneal
French Bulldog,12235.5175,29.1044,10.4818,med,high,short,female,Williams
Welsh Corgi,14561.8339,27.4681,12.0268,med,high,med,female,Kelly
Jack Russel Terrier,6520.5384,34.8254,13.7495,med,med,short,male,Thomas
Rottweiler,57450.0062,63.5927,10.6708,med,high,short,male,Mckinney
Rottweiler,42178.537,65.7604,9.6382,low,high,short,female,Wong
French Bulldog,13118.4924,29.0818,10.4472,med,high,short,male,Reed
Welsh Corgi,13574.9926,26.302,10.7781,med,high,med,male,Jordan
Jack Russel Terrier,6400.991,33.9791,13.9863,high,med,short,male,Thomas
Rottweiler,52549.9304,,8.8308,med,high,short,male,Wells
French Bulldog,11735.934,28.7951,9.5659,med,high,short,male,Smith
French Bulldog,12650.4645,28.2553,10.2088,med,high,med,male,Carroll
Jack Russel Terrier,6669.9357,33.5833,13.3295,high,low,short,male,Lucas
Jack Russel Terrier,7122.4632,33.5853,12.8594,high,med,short,female,Newman
French Bulldog,12066.8429,29.2842,9.4609,med,high,short,female,Flores
Jack Russel Terrier,7129.619,,14.4043,med,med,short,male,Holt
French Bulldog,11826.1788,28.7197,10.5827,med,high,short,female,Lopez
Jack Russel Terrier,6851.5492,33.7625,13.6475,high,med,short,male,Wolfe
French Bulldog,11166.3888,,9.8362,med,high,short,male,Harrison
Jack Russel Terrier,6476.5654,35.5472,13.3672,high,med,short,male,Trujillo
Welsh Corgi,13983.8784,30.2956,10.1839,high,high,med,female,Jenkins
French Bulldog,11157.5789,28.6129,9.269,med,high,short,male,Cameron
Welsh Corgi,12953.9075,,11.0625,med,high,med,male,Hess
Rottweiler,42666.7816,62.8704,9.4015,high,high,short,female,French
French Bulldog,11561.8936,29.0578,10.4735,high,high,short,female,Johnson
