Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Pug,6925.5341,36.216,12.7409,med,high,short,female,Diaz
Pug,7181.7487,33.1855,14.0144,med,high,short,male,Williams
Akita,60440.4352,68.4625,10.3768,high,med,med,male,Conrad
Akita,34292.1776,,12.2287,med,med,long,male,Bates
English Setter,23369.0617,61.787,10.9552,high,high,short,male,Mullins
English Setter,21203.7111,59.3716,12.0314,high,high,med,female,Mendoza
Pug,8568.1723,38.6734,13.4752,med,high,short,male,Wagner
English Setter,24757.3776,61.1409,11.6776,med,high,med,female,Ortiz
Akita,34473.1693,,12.1748,high,med,med,male,Lyons
Akita,45819.6528,64.0498,10.5464,med,low,med,male,Downs
Pug,7992.3506,33.0267,14.0899,med,high,short,female,Stark
Pug,6112.7537,31.2495,13.7943,med,med,short,male,Daugherty
English Setter,25732.0262,63.8133,11.8817,high,high,med,female,Smith
English Setter,33262.5047,60.2768,12.3445,high,high,med,female,Patrick
English Setter,29355.5412,62.9381,13.8262,high,high,med,male,Garner
Akita,51589.0397,66.3608,10.9432,med,med,long,male,Rhodes
English Setter,28450.6849,60.9215,10.5516,high,high,med,female,Wood
English Setter,21189.5758,66.7522,14.0768,high,high,med,male,Jacobs
Australian Shepherd,25282.8513,54.3227,13.6793,high,high,med,male,Dickerson
Akita,36277.8596,67.1253,10.9666,med,high,long,male,Williams
Pug,6121.0577,28.6734,13.1786,high,high,short,female,Haynes
English Setter,27476.8932,,13.6027,high,high,short,male,Day
Pug,7202.7956,29.6268,13.242,med,high,med,female,Alvarado
Australian Shepherd,17555.8951,51.6242,13.3133,high,high,med,female,Holder
Australian Shepherd,27078.5503,53.1619,13.7965,high,high,med,female,Jones
Akita,49949.0234,66.5322,11.2314,med,med,med,male,Lawrence
Australian Shepherd,23364.733,54.4091,14.3814,high,high,med,female,Levy
English Setter,39075.8501,60.6701,11.4323,high,high,med,male,Jane
Akita,55900.402,66.8626,11.6384,med,med,med,female,Santiago
Akita,37636.7308,65.2783,11.4488,med,med,long,male,Wilson
Akita,41720.065,65.1593,10.88,med,med,med,female,Singh
English Setter,29187.5168,64.9534,12.3795,high,high,med,female,Griffin
English Setter,36732.9174,,13.2702,high,high,med,male,Rodriguez
English Setter,31936.6091,63.2502,11.5883,high,med,med,female,Ruiz
Pug,6029.978,29.3085,12.9121,med,high,short,male,Colon
English Setter,30015.0876,61.409,13.5448,high,high,med,male,Hernandez
Akita,54517.9872,66.6043,11.8402,med,med,med,male,Price
English Setter,29996.9948,60.8799,15.2313,high,high,med,male,Gomez
English Setter,24643.262,61.3913,12.2561,high,high,short,male,Byrd
Akita,43734.7379,68.635,11.4921,med,med,med,female,Case
Akita,29572.3968,65.6168,11.5809,high,med,med,male,Mitchell
Australian Shepherd,23368.7379,52.0645,12.7894,high,high,med,male,Potts
English Setter,32469.4753,62.791,12.2353,high,high,long,male,Mcgee
Pug,7167.921,33.4639,13.1866,med,high,short,female,Williams
Akita,32856.8428,64.5878,10.5618,med,med,med,male,Perkins
Australian Shepherd,22040.4621,52.8179,12.9352,high,high,med,female,West
English Setter,27045.1732,59.346,12.5194,high,high,med,female,Jordan
English Setter,34282.4412,62.2008,12.1546,high,high,med,male,Hall
Akita,46892.6071,69.4085,10.7752,med,med,short,female,Sparks
Akita,30352.439,,10.2149,med,med,med,female,Vang
Akita,52394.4246,,11.7249,med,med,med,female,Cherry
English Setter,33255.0233,57.1815,8.0842,high,high,med,female,Coleman
Akita,41255.1023,66.9035,11.4941,med,med,med,female,Gomez
English Setter,23584.1074,61.449,11.3784,high,high,med,male,Long
Akita,53538.8293,,11.4437,med,med,med,male,Robinson
Australian Shepherd,24168.4063,53.3049,12.3516,high,high,med,male,Davis
Akita,41824.9088,66.5171,10.9774,med,low,short,female,Smith
Australian Shepherd,25461.637,52.1898,13.4533,high,high,med,male,Carrillo
Pug,7090.7315,27.9414,12.8501,med,high,short,female,Miller
Australian Shepherd,31079.9526,55.407,13.6678,high,high,med,female,Woods
Australian Shepherd,24471.3373,53.3248,11.7612,high,high,med,female,Mack
English Setter,37886.5399,,10.0464,high,high,short,female,Torres
Akita,51198.239,,11.4806,med,high,med,male,Lopez
Pug,6431.6946,28.3551,13.4683,low,high,short,male,Vega
Pug,6622.1819,37.4375,13.2422,high,high,short,male,Cunningham
Pug,6489.7259,37.5444,13.1406,med,high,short,female,Quinn
English Setter,27600.3146,,11.3473,high,high,med,male,Payne
English Setter,28485.5987,61.9509,12.2727,med,high,med,male,Russell
English Setter,26680.7414,,12.1442,high,high,med,male,Reed
Akita,42263.8998,,10.8856,med,low,long,female,Vazquez
