Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Pug,6891.7817,33.6434,13.4965,low,high,short,female,Nelson
Beagle,9451.3155,,13.0032,high,high,short,female,Nolan
Beagle,9908.6436,33.7651,12.9111,med,high,short,male,Vasquez
Airedale Terrier,18568.6778,56.6977,10.3255,high,high,short,female,Stevenson
Daschhund,14480.9093,20.9458,12.7326,high,low,short,female,Jones
Daschhund,6889.7748,20.8011,13.3453,high,med,med,female,Thomas
Pug,7488.7534,30.3182,11.8042,med,high,short,female,Peters
Pug,6086.5257,28.8735,13.5798,med,high,short,female,Walsh
Daschhund,8962.2804,20.6343,13.0011,high,med,short,female,Simmons
Beagle,9753.0052,38.0483,14.1416,med,high,short,female,Jones
Pug,7805.8174,36.31,13.9499,med,high,short,male,Cantu
Daschhund,8619.3604,20.2847,13.3354,med,med,short,male,Colon
Pug,7140.5659,36.416,13.306,low,high,short,male,Barrera
Daschhund,11132.4788,22.0993,13.331,high,med,short,male,Stanley
Beagle,11074.8419,34.3359,13.2747,med,high,short,female,Carroll
Pug,7715.6955,,13.488,med,high,short,female,Green
Beagle,9209.055,35.9968,13.5524,med,high,short,male,Bates
Pug,7044.6498,27.9897,13.277,med,high,short,female,Payne
Airedale Terrier,21577.5296,,12.1732,high,high,med,female,Johnson
Daschhund,10532.8016,21.9614,11.8396,high,med,short,female,Ochoa
Beagle,10560.9009,32.7325,11.7289,high,med,short,male,Townsend
Beagle,9041.8608,36.0462,12.7271,med,high,med,female,Pena
Airedale Terrier,17859.6877,57.6371,10.9283,high,high,med,female,Davis
Beagle,9353.9491,35.8832,13.7015,med,high,short,female,Bell
Airedale Terrier,22335.8341,56.3494,9.5621,high,med,med,female,Conner
Pug,6959.8604,36.1677,13.4012,med,high,short,female,Rodriguez
Airedale Terrier,18534.5104,57.6265,11.7439,high,high,med,female,Rodriguez
Beagle,11706.8407,37.3504,13.9824,med,high,short,female,Sandoval
Daschhund,7282.5325,,12.0143,high,low,short,male,Russell
Airedale Terrier,22927.1809,56.9825,10.6289,high,high,med,female,Graham
Daschhund,8374.2351,20.8982,13.2051,high,med,med,female,Griffith
Beagle,12901.3539,34.8417,14.72,med,med,short,female,Webb
Pug,6669.1443,36.0999,14.0055,med,high,short,male,Baker
Pug,7161.2478,36.336,13.4388,high,high,short,male,Mcconnell
Pug,6252.6839,33.4596,15.4623,med,high,short,female,Lewis
Beagle,10169.0564,33.7315,13.6849,med,high,short,male,Holland
Daschhund,10970.8323,20.3889,13.3823,high,med,short,male,Smith
Beagle,12062.712,38.3111,11.4943,med,high,short,male,Pierce
Beagle,11373.7132,35.5169,13.839,med,high,short,male,Robinson
Daschhund,1986.1033,20.0743,13.3988,high,med,short,male,Yates
Pug,7515.255,34.148,12.0484,low,med,short,female,Castillo
Pug,6462.3979,31.1398,14.1827,med,high,short,female,Davidson
Airedale Terrier,21593.884,56.4624,9.7901,high,high,med,female,Francis
Airedale Terrier,20835.8101,,14.0072,high,high,med,male,Jones
Airedale Terrier,19808.6171,56.4001,10.8764,high,high,short,male,Mccann
Pug,5920.1189,30.4566,12.9617,med,high,short,male,Walker
Daschhund,11150.6043,22.3962,12.3223,med,med,short,female,Wolf
Daschhund,5609.7752,20.7439,12.8046,high,med,short,female,Wilson
Beagle,10264.2335,38.1651,12.7291,low,high,short,male,Crawford
Daschhund,12617.4931,20.4009,13.6672,high,med,short,male,Powers
Pug,6422.8714,30.0957,15.2098,med,high,short,female,Wood
Daschhund,8392.0252,20.931,14.1022,med,med,short,female,Woods
Pug,7212.2914,30.1561,13.835,med,high,short,male,Pierce
Beagle,13911.5023,34.9847,13.1653,med,high,short,female,Reid
Airedale Terrier,21148.6593,,10.1953,high,high,med,male,Spencer
Pug,6542.3194,35.3516,14.1316,med,high,short,male,Cole
Pug,6829.0552,30.8853,13.122,med,high,short,male,Roberts
Beagle,11731.4161,33.5829,13.2932,med,high,short,male,Wall
Airedale Terrier,19981.4468,56.2716,10.3635,high,high,med,female,Rodriguez
Airedale Terrier,22689.8744,57.4896,12.3484,high,high,med,female,Pratt
Pug,7447.9894,41.7057,14.5549,med,high,short,male,Kelly
Daschhund,7281.5043,21.1148,12.9133,high,med,med,female,Hatfield
Daschhund,7726.6347,20.7056,11.5283,high,med,short,female,Vasquez
Airedale Terrier,19002.0164,57.0708,11.8447,high,high,med,male,Smith
Airedale Terrier,19884.8046,55.4041,13.6591,high,high,med,male,Williams
Airedale Terrier,22746.4741,56.5295,12.1083,high,med,med,female,Williams
Airedale Terrier,22639.5058,57.3285,10.8647,high,high,med,male,Hawkins
Beagle,10380.4065,34.9373,13.8417,high,high,short,female,Boyle
Beagle,10300.4975,34.3155,13.1081,med,high,short,female,Mata
Pug,6768.6359,36.0471,12.9455,low,high,short,female,Osborn
Daschhund,12895.3746,,13.3229,high,med,short,male,Rice
Airedale Terrier,22776.4416,57.4012,12.2087,med,high,med,male,Lopez
Airedale Terrier,19911.2638,56.9595,12.4507,high,high,med,male,Chaney
Beagle,9517.4844,34.2747,14.0504,low,high,short,female,Gamble
Pug,7872.5897,33.0344,14.2764,med,high,short,male,Miller
Pug,6137.5231,,13.0772,med,high,med,male,Jones
