Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Boxer,26123.6611,58.4894,7.9326,high,high,short,female,Durham
Akita,42401.9498,67.411,10.6468,med,med,med,female,Dominguez
Pug,6887.7721,29.0101,13.1731,low,high,short,female,Sullivan
Boxer,22550.2058,57.7334,8.313,high,high,med,female,Castillo
Great Dane,48825.677,78.5349,7.1971,med,high,short,male,Bond
Great Dane,45583.2677,83.6349,6.4559,med,med,short,female,Mahoney
Boxer,29491.8248,61.0295,8.2002,med,high,short,female,Moore
Boxer,29537.9597,,9.0523,high,high,med,female,Charles
Boxer,27335.8804,,9.3015,high,high,short,male,Gutierrez
Great Dane,55141.4755,77.19,6.3963,med,high,short,male,Parker
Akita,40954.7807,67.4467,10.412,med,med,med,female,Bishop
Akita,49261.1162,67.5195,10.6216,med,med,med,male,Doyle
Pug,6789.2519,,11.9475,med,med,short,female,Boyd
Akita,36405.7582,,10.7039,med,med,short,male,Anderson
Akita,45295.9568,,11.7964,med,med,med,female,Donovan
Akita,50896.9752,64.1874,10.1631,high,med,long,female,Roberts
Pug,7183.2558,31.6465,14.9098,med,high,short,male,Miranda
Pug,7138.5339,30.4942,13.4057,high,high,short,female,Wu
Pug,7392.7614,33.2897,12.6736,med,high,short,female,Thompson
Boxer,37578.2353,,9.1958,high,med,med,female,Boyd
Pug,8393.9645,30.3385,13.2855,med,high,short,male,Hancock
Akita,42023.2481,66.1538,10.3566,med,med,med,female,Smith
Great Dane,44345.1796,76.2982,5.615,med,high,short,female,Jackson
Akita,40430.6231,68.1781,10.502,med,med,long,female,Duncan
Boxer,35744.5177,60.4475,8.6934,high,high,short,male,Grant
Akita,55497.4422,,11.93,high,med,short,female,Wilkinson
Pug,7614.2936,,13.7421,med,high,short,male,Lambert
Boxer,32605.7179,60.9815,8.8186,high,high,short,female,Atkinson
Akita,42679.8063,67.9488,11.3081,med,med,med,female,Delgado
Great Dane,50390.6124,79.8021,8.1106,med,high,short,female,Thomas
Boxer,34063.0856,,8.4929,high,high,med,female,Burgess
Pug,7206.5284,32.852,13.8565,med,high,short,female,Stanton
Akita,44253.8268,,11.383,low,med,med,male,Tran
Boxer,30838.1425,,8.318,high,high,short,male,Montgomery
Akita,43139.2713,67.5027,11.1548,low,low,med,male,Murray
Akita,39003.364,,10.3559,med,med,med,female,Stevenson
Great Dane,50210.3666,77.6047,7.6433,med,high,short,female,Patrick
Pug,6472.1846,,11.601,med,high,med,female,Thompson
Great Dane,47256.9038,76.1216,6.1894,low,high,short,male,Kenneth
Boxer,35505.755,55.9898,9.3934,high,high,short,female,Fletcher
Boxer,33939.3004,58.8923,8.4356,high,high,med,male,Braun
Great Dane,49518.6528,,7.8803,med,high,short,male,Gamble
Akita,59373.4271,64.7712,10.6447,med,low,med,female,Mitchell
Akita,43480.7144,66.3797,10.7577,med,high,med,female,Mcclure
Great Dane,48143.0231,79.8387,7.692,med,high,short,male,Hall
Akita,40217.191,65.6483,10.9925,med,med,med,female,Rogers
Boxer,30687.4496,61.7681,8.5456,high,high,short,female,Lopez
Boxer,27660.0331,60.1189,9.5018,high,high,short,female,Park
Pug,7395.3475,32.7849,13.1108,med,high,short,female,Flores
Great Dane,49575.3992,79.2263,7.2402,med,high,short,female,Roberts
Pug,6511.1891,31.249,14.5205,med,high,short,female,King
Boxer,34685.5107,,8.5478,high,high,med,female,Alexander
Akita,57263.1668,67.8642,9.9642,med,med,med,female,Green
Akita,37502.9828,,11.8425,med,med,med,male,Lee
Boxer,31604.8234,57.5551,9.0963,high,med,short,male,Vasquez
Boxer,31459.9641,58.679,8.8268,high,high,short,male,James
Great Dane,50226.2416,77.1881,7.1138,med,high,short,female,Brooks
Pug,6759.4947,32.7147,13.8679,med,high,short,female,Rosales
Akita,37846.2975,67.1895,11.1408,low,med,med,male,Bailey
Akita,47990.0358,71.5162,11.1723,high,med,med,female,Sanders
Akita,33672.5778,64.751,11.2254,med,med,med,male,Gray
Akita,58427.2891,67.5086,11.825,med,med,med,male,Conway
Great Dane,49187.0758,80.0642,7.6283,med,high,short,male,Kline
