Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
German Shepherd,34849.0423,62.9763,10.8892,med,med,long,female,Rogers
Welsh Corgi,12513.8737,30.5642,10.8615,med,high,med,female,Walton
Bichon Frise,3635.4744,30.8088,13.6851,med,high,med,male,Rivas
Bichon Frise,3613.4668,31.1445,12.6184,med,high,med,male,Spencer
Australian Shepherd,24801.4241,,13.2304,high,high,long,male,Boyd
Australian Shepherd,24211.3978,52.7981,13.6202,high,med,med,male,Rodriguez
Welsh Corgi,14212.4403,30.6288,11.5493,med,high,med,female,Smith
Australian Shepherd,32798.6615,52.7866,13.4782,high,high,med,male,May
Welsh Corgi,12162.7294,27.7382,11.7395,med,high,med,female,Watson
Bichon Frise,4086.9396,31.2527,14.559,med,high,med,female,Ellis
Welsh Corgi,16183.4529,29.9033,11.4935,med,high,med,female,Hill
German Shepherd,37632.3304,,12.0877,med,med,med,female,Case
Bichon Frise,4495.3656,30.408,14.4195,med,high,med,female,Fowler
Australian Shepherd,21307.3593,51.5104,11.7269,high,high,short,female,Cole
Australian Shepherd,24634.7012,55.5161,11.8994,med,high,med,female,Chambers
Welsh Corgi,11316.2917,26.6205,10.2932,low,high,med,male,Lewis
Australian Shepherd,21118.1239,,12.3653,high,high,med,female,Wilkerson
Bichon Frise,3206.7088,30.5779,12.9186,med,high,long,male,Walker
Bichon Frise,6143.9514,30.4594,12.7444,high,high,med,male,Jones
German Shepherd,37369.624,62.5768,10.9966,med,med,med,female,French
Welsh Corgi,15215.4382,28.8454,11.8873,high,high,long,female,Thompson
German Shepherd,37657.8539,,11.3168,med,med,med,male,Day
Welsh Corgi,12608.6044,26.9012,10.9762,med,high,med,female,Michelle
Welsh Corgi,12997.8372,33.0097,10.9715,med,med,med,female,Bowman
Bichon Frise,4730.2859,30.0996,13.0394,med,med,med,male,Ferguson
Australian Shepherd,25171.3337,54.1808,13.7344,high,high,med,male,Herrera
Australian Shepherd,29982.8066,54.4573,13.0858,high,high,med,male,Simmons
Bichon Frise,4217.6209,31.0089,14.8366,med,med,med,female,Mclean
German Shepherd,37453.0377,59.1128,11.8351,high,med,med,female,Anderson
Australian Shepherd,20708.5874,52.0975,12.6801,high,high,med,female,Hunter
German Shepherd,34986.8577,,10.7747,med,med,med,male,Ward
German Shepherd,37651.994,61.3864,10.7842,med,high,long,female,Cunningham
Welsh Corgi,14785.6647,27.096,11.4859,med,high,short,male,Blair
Australian Shepherd,19019.8691,55.0038,13.1815,med,high,med,male,Barron
Welsh Corgi,14663.3597,28.3637,11.5408,med,high,med,male,Thornton
German Shepherd,37828.6629,58.4249,11.7009,med,low,med,male,Chandler
Welsh Corgi,15628.2543,28.473,10.09,med,high,med,female,Obrien
German Shepherd,37322.5059,64.4918,12.0971,med,med,long,male,Carter
Bichon Frise,3302.152,30.6901,12.9384,med,high,long,female,Proctor
Australian Shepherd,18486.5887,54.8771,13.3565,high,high,med,male,Norton
