Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Welsh Corgi,15208.5822,34.1185,11.3251,med,high,short,male,West
Welsh Corgi,16458.7377,,10.9879,med,high,short,male,Alvarado
Welsh Corgi,18275.0977,,10.2519,med,high,med,male,Warner
Welsh Corgi,13304.4015,28.3535,12.0448,med,high,med,male,Garcia
Welsh Corgi,13709.908,,11.4883,low,high,med,female,Phillips
Bichon Frise,4983.1043,30.5766,12.95,med,high,med,female,Jones
Bloodhound,48747.8064,63.9517,8.1179,low,high,short,male,Owens
Bloodhound,47683.408,65.8385,6.4285,med,high,short,male,Vasquez
Welsh Corgi,15165.144,30.8265,10.4101,med,high,med,male,Collins
Bichon Frise,4122.1165,31.0515,12.4161,med,high,med,male,Wong
English Setter,35204.0806,58.4851,12.722,high,high,short,male,Martin
Bloodhound,47831.1476,64.5051,8.1209,high,high,short,male,Stone
English Setter,27997.7247,,9.8355,high,high,med,female,Robbins
Bloodhound,38523.4822,62.5802,8.9009,med,high,short,female,Morgan
Bloodhound,52369.0135,64.0938,7.3218,med,high,short,male,Stewart
Welsh Corgi,12468.7671,29.6812,9.4838,med,high,short,male,Barrett
Welsh Corgi,12754.3274,30.2101,11.2816,high,high,med,female,Goodwin
English Setter,25938.9968,61.7163,12.6847,high,high,med,female,Fisher
Bloodhound,45295.1461,65.1528,9.0359,med,high,short,female,Mcfarland
Welsh Corgi,13611.8601,,10.606,high,high,med,female,Davis
Bloodhound,39645.3724,63.5629,9.7036,med,high,short,male,Baxter
Bichon Frise,5135.8203,30.3137,13.1863,med,high,short,male,Michele
English Setter,25777.7914,,12.504,high,high,short,female,Watkins
Bloodhound,47582.3168,62.3167,8.5628,med,high,med,female,Serrano
Bloodhound,48698.4507,,7.8106,med,high,short,female,Gomez
English Setter,26966.4078,,13.3791,high,high,med,female,Johnson
Bichon Frise,4752.3087,29.9096,12.5921,med,high,short,female,Torres
English Setter,33236.2458,61.2569,10.7284,high,high,med,male,Sullivan
English Setter,25054.6952,,13.4386,high,high,med,female,Woodard
Bloodhound,45061.8368,61.1038,9.3962,med,high,short,female,Silva
Welsh Corgi,12068.3243,30.9701,10.1538,med,high,long,female,Peterson
English Setter,27961.8029,,11.0754,high,med,med,male,Stewart
English Setter,28947.9709,64.2621,11.4154,high,high,med,male,Roth
Bichon Frise,5281.6392,30.4408,14.2818,med,med,med,male,Williams
Bichon Frise,5407.9635,30.063,12.3782,med,high,med,female,Brown
Welsh Corgi,12972.858,30.0659,11.305,high,high,short,female,Spencer
Welsh Corgi,12565.3774,,10.7949,med,high,short,male,Booth
Bloodhound,46667.286,63.3592,8.1741,med,med,short,male,Kennedy
Bloodhound,37301.0917,,7.5711,med,high,short,female,Patel
Welsh Corgi,12956.1767,,10.6298,med,med,long,female,Meyer
Welsh Corgi,14478.3283,23.9593,10.4787,med,high,med,female,Crawford
English Setter,27929.9827,63.1865,12.3176,med,high,long,female,Rodriguez
Welsh Corgi,14104.8095,29.7406,10.8497,med,high,med,male,Davis
Bloodhound,45580.9077,65.3435,9.094,med,med,short,female,Adkins
Bloodhound,40264.6234,63.6244,8.3846,med,high,short,female,Peck
Bichon Frise,5508.7084,30.7965,12.0644,low,high,med,female,Salas
Welsh Corgi,14495.2465,29.7321,11.6077,med,high,med,female,Guzman
English Setter,28711.3045,64.9836,11.2352,high,high,med,female,Dixon
Bloodhound,40512.4514,,9.2706,med,high,med,male,Meyer
Welsh Corgi,14209.4613,26.1925,10.3772,med,high,med,female,Joyce
Bloodhound,43769.6689,,8.1359,high,high,short,female,Ramirez
Welsh Corgi,9718.9278,34.1413,11.1977,low,high,med,female,Nicholson
English Setter,23665.3313,62.3217,12.4749,high,high,med,male,Richardson
English Setter,27383.2694,,10.4967,high,high,med,female,Morgan
English Setter,23930.2417,59.9276,10.3317,high,high,med,female,Ramirez
Bichon Frise,2780.2576,30.4587,13.6732,low,high,med,female,Harrison
Welsh Corgi,13518.5164,,10.8381,med,high,med,male,Kent
Welsh Corgi,14043.2785,30.2075,10.0754,high,high,med,female,Ortiz
English Setter,33558.5956,62.3979,11.933,high,high,long,female,Delgado
Bloodhound,34289.7237,62.5503,9.6758,med,high,short,female,Bailey
Bichon Frise,5263.5148,30.3559,14.5731,low,high,med,male,Sweeney
Bichon Frise,4864.3534,30.7529,14.5086,med,high,long,male,Perez
Bloodhound,44825.8454,,8.7603,low,high,short,male,Gonzalez
Welsh Corgi,15496.6039,35.6837,11.481,med,med,med,female,Price
Bichon Frise,2382.1659,30.5866,13.8926,med,high,med,male,Martin
Welsh Corgi,12308.09,23.2155,10.2786,med,med,med,female,Lopez
Bloodhound,47471.1947,62.5845,6.6849,med,med,med,male,Holland
Welsh Corgi,12604.2796,30.4956,10.6699,med,high,med,female,Hale
English Setter,27737.3659,,11.1446,med,med,med,female,Nguyen
Bichon Frise,6892.0756,30.7345,13.1285,med,med,med,male,Thompson
English Setter,26071.6623,61.2531,11.2105,high,high,med,male,Lewis
English Setter,35989.441,60.6119,8.9803,high,high,med,female,Huang
Welsh Corgi,15413.6052,28.7534,10.3815,low,high,long,female,Wilson
Welsh Corgi,10500.4139,28.8904,11.6903,high,high,med,male,Martinez
Bichon Frise,4255.232,30.3716,14.4812,high,high,med,male,Foster
Bloodhound,36014.6179,63.3016,9.1398,med,high,short,male,Baker
Bloodhound,37726.0375,63.0445,8.7839,med,high,short,male,Hardy
Welsh Corgi,13555.4006,33.9438,10.6818,med,high,med,male,Jackson
Welsh Corgi,11923.5551,,11.7231,med,high,med,female,Rodriguez
Bloodhound,41087.5671,61.2298,9.2555,med,high,short,female,Rosario
Bloodhound,46963.884,64.5373,9.5663,high,high,short,female,Fowler
Bichon Frise,3050.9999,,13.1896,med,high,med,male,Davis
Welsh Corgi,14533.6526,27.7876,10.7194,med,high,med,male,Anderson
Bichon Frise,4865.8118,31.1283,13.0749,med,med,long,male,Harper
English Setter,30423.4182,62.7507,10.6511,high,med,short,male,Cox
Bichon Frise,4987.1677,30.8583,12.1143,med,high,med,male,Johnson
English Setter,31915.1836,66.186,11.5213,high,high,med,male,Holden
Welsh Corgi,13574.7538,31.5326,10.836,med,high,med,male,Oliver
Welsh Corgi,12281.3076,31.1142,10.5521,high,high,med,female,Hughes
Bichon Frise,5673.1297,30.2063,12.6056,med,high,med,male,Ewing
Bichon Frise,3834.8085,,12.3816,med,high,med,female,Montoya
Welsh Corgi,14460.8063,,12.3448,low,high,med,female,Haney
English Setter,20928.7367,64.9427,10.8991,high,high,med,female,Gill
Bichon Frise,5056.4846,30.6022,12.093,med,high,short,male,Richards
Bichon Frise,4933.8002,,13.1563,low,high,med,female,Howe
Bloodhound,46341.1736,62.3993,9.6471,med,high,short,male,Galvan
Welsh Corgi,15656.3618,26.5896,10.7763,med,high,med,male,Snyder
Bichon Frise,2860.7479,,13.1479,high,high,med,female,Brooks
Bichon Frise,4464.655,30.4929,13.1777,med,high,med,female,Roberts
English Setter,22818.0879,,12.7264,med,high,med,male,Chen
Bloodhound,38958.3578,,7.1394,med,high,med,male,Roberts
Bichon Frise,6569.3555,30.7609,13.0319,med,high,med,male,Aguilar
Bloodhound,42492.7359,63.0073,6.314,med,high,med,female,Medina
Welsh Corgi,13020.558,27.8715,11.1606,med,high,med,female,Dalton
Welsh Corgi,13374.4225,29.1033,10.7565,med,high,med,female,Woods
English Setter,35069.0289,64.0427,11.3573,high,high,med,male,Arnold
Welsh Corgi,8627.52,29.4892,10.5588,med,high,med,male,Sullivan
Welsh Corgi,12853.6541,28.1035,11.6577,med,high,med,female,Rivera
Bloodhound,49106.9253,65.8012,8.3249,high,high,short,female,Coleman
Bichon Frise,5513.8663,30.6336,14.6673,med,high,med,female,Williamson
Bichon Frise,4683.925,30.4287,12.8702,low,high,med,female,Turner
Welsh Corgi,15233.8845,30.9039,10.6598,high,high,med,female,Simmons
Welsh Corgi,13155.1766,,11.3038,high,high,med,female,Clark
Bichon Frise,4272.974,,13.2321,med,high,med,male,Edwards
Bichon Frise,4841.0397,30.7169,14.955,med,high,long,male,Floyd
English Setter,25156.8994,64.759,12.0147,high,high,med,female,Jefferson
English Setter,34118.4616,63.4085,13.0794,high,high,med,male,Adams
Bloodhound,43440.25,63.7203,7.3459,med,high,short,female,Branch
Bloodhound,38795.4274,62.9612,7.6164,med,high,med,female,Smith
Bloodhound,45861.0802,62.7217,9.0741,med,high,short,male,Holland
English Setter,35918.5053,62.6267,13.0639,med,high,med,female,Wagner
Welsh Corgi,9921.4459,27.3434,11.6436,med,high,med,female,Vazquez
Bloodhound,37877.4844,63.4497,10.1041,high,med,short,female,Barnett
Bichon Frise,4546.1855,,14.729,low,high,med,male,Smith
Bichon Frise,4391.1754,30.2567,14.4088,high,high,med,female,Jones
Bichon Frise,4840.483,30.4809,15.6695,med,high,long,female,Nelson
Welsh Corgi,10524.7922,30.9009,10.5347,med,med,med,male,Gutierrez
Bloodhound,41645.0499,63.3304,5.9664,med,high,med,female,Sullivan
English Setter,22401.2682,66.209,11.6997,high,high,med,female,Lyons
English Setter,28034.7498,63.7251,13.0275,high,high,med,male,Wolf
Welsh Corgi,15572.6263,,11.7112,med,high,short,female,Banks
English Setter,31511.1551,63.3506,12.9147,high,high,med,male,Lucas
Bloodhound,45119.4622,61.4477,9.2219,high,med,short,female,Wiley
Bichon Frise,4007.5554,30.6947,14.4584,med,high,med,female,Nguyen
Bloodhound,37277.3881,,7.2401,med,high,short,male,Amy
Bichon Frise,5363.1104,30.7172,12.1186,med,high,long,female,Chung
Bloodhound,45802.3087,62.3165,8.9615,high,high,short,female,Dillon
Welsh Corgi,14713.3753,,11.1433,med,high,med,female,Hansen
Bloodhound,46178.8929,59.4933,8.6301,med,high,med,female,Taylor
Bloodhound,50480.8256,63.723,8.2855,high,med,med,male,Wilson
Welsh Corgi,14256.6312,27.3948,11.8139,med,med,short,female,Baker
Bichon Frise,4892.8068,30.2303,13.8018,med,high,short,female,Lee
Welsh Corgi,11366.7747,30.9036,11.3223,med,high,med,female,Lucas
Bloodhound,41479.4542,66.6842,9.3034,med,high,short,male,Smith
Bichon Frise,4622.3738,30.7523,14.1381,med,high,med,female,Bowman
English Setter,30503.7451,58.1756,11.5388,high,high,med,female,Esparza
Bloodhound,37023.6029,,7.9998,med,high,med,male,Ward
Welsh Corgi,18063.8834,,11.1912,med,high,med,male,Hill
Bichon Frise,3462.6101,30.4816,15.0808,med,high,med,female,Smith
Bloodhound,46285.9476,64.1277,9.2644,low,high,short,female,Gomez
Bloodhound,44286.3023,63.4145,8.368,med,high,short,female,Andrews
Bloodhound,37929.3387,63.6938,8.1975,med,high,short,male,Williamson
Bloodhound,41698.2745,61.2857,8.6765,med,med,short,male,Williams
English Setter,25639.3652,63.8716,11.6482,high,high,med,male,Tran
English Setter,31339.0252,62.3452,10.5772,high,high,med,female,Marquez
Welsh Corgi,14967.1402,23.5409,10.4923,med,high,med,male,Sims
Bloodhound,41785.5603,65.1171,7.1099,med,high,short,female,Garcia
Bichon Frise,4608.8864,30.5185,14.2645,low,high,med,female,Mathews
Welsh Corgi,14878.2518,31.9274,11.5509,low,high,med,male,Phillips
Welsh Corgi,14260.2083,27.3224,10.8445,med,high,med,male,Simon
Bichon Frise,5299.41,30.4876,13.6646,med,high,med,female,Mata
Welsh Corgi,15136.5862,29.6586,11.5742,med,high,short,male,Nunez
English Setter,31097.3289,,11.7744,high,high,med,female,Rodriguez
English Setter,30917.267,63.4469,11.2564,high,high,long,female,Wood
English Setter,33853.1947,61.7005,11.8091,med,med,short,male,Castro
English Setter,25263.8465,60.7096,11.241,high,high,med,female,Mccormick
Bichon Frise,5666.3399,30.4922,15.7017,med,high,med,male,Burnett
Bloodhound,46267.7294,64.8753,8.6901,high,high,short,male,Moore
English Setter,29359.1723,60.2814,12.7566,high,high,short,male,Anderson
Bichon Frise,3288.1985,30.5061,13.8381,low,high,med,female,Mcclure
Bichon Frise,1650.2581,30.1798,14.3697,med,high,med,female,Taylor
English Setter,30138.4284,63.5222,11.7207,high,high,med,male,Burke
Bloodhound,37994.5732,,8.7562,med,high,short,male,Campos
Bloodhound,40357.6999,,8.7046,med,high,short,female,Williams
Welsh Corgi,15823.77,27.9627,9.7031,med,high,med,male,Tucker
Welsh Corgi,13198.5269,32.1796,11.463,high,med,med,female,Morrison
Bichon Frise,4048.7996,30.2355,13.2223,med,high,med,male,Hinton
Bichon Frise,3581.6484,30.3489,13.3238,high,high,med,female,Mitchell
Bichon Frise,2640.0965,30.7307,14.1889,med,high,short,male,Rivera
Bichon Frise,4798.3358,31.1363,14.4503,med,high,med,male,Anderson
Bichon Frise,5591.5086,30.9897,13.9282,med,high,med,male,Wilson
English Setter,27927.9784,,12.3737,high,high,med,male,Roberts
Bloodhound,41464.3958,,8.2074,med,high,short,female,Holmes
English Setter,31636.8839,57.9908,12.7091,high,high,med,female,Martin
Bloodhound,44387.4338,62.4173,7.1237,med,high,short,male,Gill
Bloodhound,38140.7192,,8.7262,med,high,short,male,Wood
Bloodhound,38186.6636,,8.1128,med,high,short,male,Young
Welsh Corgi,11267.3771,,11.1161,high,high,long,female,Clark
Bichon Frise,4593.2285,30.5005,13.1111,med,high,med,male,Townsend
Bloodhound,41601.9611,64.4314,9.7694,low,high,short,male,Andrews
Welsh Corgi,13024.1343,27.0913,10.9381,med,high,med,female,Smith
English Setter,38914.9566,58.6048,11.1526,high,high,long,male,Hawkins
Bichon Frise,6057.4745,30.2714,13.5482,high,med,med,female,Doyle
Bloodhound,44392.9717,65.2583,9.2306,med,high,short,female,Beck
English Setter,26667.6859,61.664,11.7065,high,high,med,female,Morrow
Bichon Frise,5260.6671,,13.5408,low,high,med,male,Park
Welsh Corgi,16355.2643,31.5507,9.8803,med,med,med,female,Williams
Bichon Frise,4708.4313,30.4616,14.1541,med,med,med,female,Johnson
English Setter,26758.284,57.4845,11.1248,high,high,med,male,Ortiz
English Setter,27274.1743,59.8585,13.6078,high,high,short,male,Davis
Bloodhound,42298.6603,62.9417,8.8489,med,med,short,male,Yang
Bichon Frise,5364.3264,30.4881,13.088,med,high,med,male,Dudley
Bichon Frise,3597.5056,30.4245,12.8417,low,high,med,male,Hodge
English Setter,34532.6478,62.5238,12.4574,high,high,med,female,Kelley
English Setter,26587.7573,65.445,13.6847,med,high,med,female,Grimes
English Setter,28221.1961,60.3477,13.6105,high,high,short,female,King
Bichon Frise,4865.0738,,12.9667,med,high,med,female,Marsh
English Setter,33370.5753,60.8421,12.6132,high,high,long,female,Martinez
Welsh Corgi,15847.7422,26.8775,11.1373,med,high,med,male,Berry
Bloodhound,35650.8462,,10.1273,med,med,short,male,Taylor
English Setter,33962.7989,62.6946,12.2056,high,high,med,female,Reyes
Welsh Corgi,12041.9431,27.9167,10.9062,med,high,med,male,Campbell
Bichon Frise,4559.0542,30.9426,12.5867,low,high,med,female,Lance
Welsh Corgi,15966.8142,27.1679,10.7007,med,high,med,female,Gilbert
Bloodhound,36191.2026,63.9626,9.1813,med,high,short,male,Johnson
Bichon Frise,3391.9002,30.1263,14.22,med,high,med,female,Gibson
Welsh Corgi,14564.4263,27.8143,11.2433,med,high,med,male,Freeman
Welsh Corgi,11891.1013,32.3517,10.9229,med,med,med,male,Nguyen
Welsh Corgi,13947.1606,29.3061,10.8305,med,high,med,female,Smith
Bichon Frise,4562.246,29.9176,14.5305,med,high,long,female,Shannon
Welsh Corgi,13879.8582,28.5799,10.8413,low,high,med,female,Livingston
Bloodhound,43363.3264,66.3156,8.8023,med,high,short,female,Brown
Welsh Corgi,14246.8672,28.4677,11.8783,med,high,med,female,Alexander
English Setter,31559.4687,63.3105,11.9091,high,high,med,female,Alvarez
Bloodhound,42366.7103,62.1096,9.743,med,high,short,female,Moore
Bichon Frise,4510.8295,30.5487,13.0975,med,high,med,female,Lara
Bichon Frise,5054.36,30.6058,15.3773,med,high,long,female,Williams
Bloodhound,48772.0089,64.517,9.6752,med,high,short,male,Bailey
Welsh Corgi,13822.9054,32.8476,10.47,med,high,med,male,Davis
Bichon Frise,4463.2321,30.8183,13.5503,med,high,med,female,Edwards
English Setter,32796.0703,65.9896,10.6246,high,high,long,female,Cochran
English Setter,37131.2714,62.0568,12.4144,high,high,med,male,Fowler
Bloodhound,36289.0729,64.7547,8.4327,med,high,short,female,Fields
Welsh Corgi,14578.962,28.1685,11.5156,med,med,med,female,Jenkins
Bloodhound,40264.3836,63.7767,9.0755,med,high,short,female,Huff
Bloodhound,41037.3478,64.6731,8.938,med,med,short,male,Ramirez
Bichon Frise,4204.8189,30.4288,13.4775,high,high,med,female,Scott
Bichon Frise,5014.9462,30.7898,14.6626,med,high,med,female,Cox
Welsh Corgi,15226.4526,,11.4365,med,high,med,male,Bates
Welsh Corgi,16332.571,31.6915,10.8728,med,high,med,male,Gonzalez
Welsh Corgi,14825.5559,31.5685,11.0963,med,high,med,female,Wallace
English Setter,23481.0975,63.5134,11.775,high,high,med,male,Davidson
Bloodhound,44331.3621,64.6002,6.8121,med,high,short,female,Sanchez
English Setter,26002.7333,63.6318,12.5502,high,high,med,female,Clark
English Setter,29870.6166,,12.604,high,high,med,male,Andersen
Welsh Corgi,12157.4956,,10.9456,med,high,med,male,Villanueva
Welsh Corgi,13701.7425,28.2069,10.455,med,high,med,male,Freeman
English Setter,24099.6503,58.9484,14.2006,high,high,med,male,Anderson
English Setter,30398.2162,61.1732,11.9628,high,high,med,male,Montoya
English Setter,33306.332,,12.7086,high,high,med,male,Hutchinson
English Setter,29247.0904,62.3741,12.9572,high,high,med,female,Whitehead
Bichon Frise,3986.7503,30.954,14.9067,med,high,med,female,Nelson
Bloodhound,48810.2235,,8.8733,med,high,short,male,Smith
Bloodhound,40289.9308,65.4163,9.2885,med,med,short,female,Jordan
Welsh Corgi,12938.6431,28.4756,10.6735,med,high,med,female,Hart
English Setter,35365.0632,59.5908,9.1671,high,med,med,male,Anderson
Welsh Corgi,15210.1111,24.3752,10.5864,med,high,med,female,Hogan
Bichon Frise,4931.7536,30.0182,14.5085,high,high,med,female,Smith
Welsh Corgi,11309.7619,33.4542,11.2512,high,med,short,female,Williams
Bichon Frise,5106.7621,,14.3819,med,high,med,female,Torres
Bichon Frise,3950.3701,30.7794,15.0147,med,high,med,female,Miller
Bloodhound,40243.2816,63.2761,9.6169,med,high,short,female,Hess
Bloodhound,48288.2772,62.2207,7.543,med,high,short,female,Coleman
Bloodhound,48661.6297,64.8261,6.9296,med,high,short,female,Sanford
Welsh Corgi,11031.8861,26.1947,11.0332,med,high,med,female,Martinez
Bloodhound,39564.7634,63.7254,9.869,med,high,short,female,Nelson
Welsh Corgi,13984.2905,29.4437,11.7503,med,high,med,female,Beck
