Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Pug,8187.0163,36.0146,14.7455,med,high,short,female,Keith
Pug,8023.6276,,13.7078,high,high,short,female,Roberts
English Setter,28666.6756,60.34,11.5377,high,high,med,male,Woodward
Welsh Corgi,12417.3446,29.3092,10.7352,low,high,med,male,Fisher
Japanese Chin Dog,3563.7751,23.2915,12.5768,med,high,med,male,Mann
Pug,7458.6123,33.9544,15.6499,low,high,short,female,Cortez
English Setter,23520.192,63.4506,11.2703,high,high,long,male,Jenkins
Welsh Corgi,15087.6635,25.3102,10.1862,low,high,med,male,George
English Setter,24119.9361,58.7627,11.6183,high,high,long,female,Hunt
Japanese Chin Dog,3494.2824,,12.7619,med,high,med,male,Campbell
Welsh Corgi,13171.5068,28.6184,11.6818,med,high,med,male,Vega
Pug,7006.7215,36.64,13.5867,high,high,short,female,Jackson
Pug,5687.9592,34.583,14.3225,med,high,short,female,Barnes
Welsh Corgi,11783.5837,36.3786,11.339,med,high,med,male,Mcclure
Welsh Corgi,15155.1422,28.2868,10.7796,high,high,med,male,Long
English Setter,29110.8463,61.5254,10.3717,high,high,med,female,Phillips
Japanese Chin Dog,3585.4266,23.8393,12.1563,med,high,med,male,Williams
Welsh Corgi,16034.0724,28.1624,10.735,med,high,med,female,Simmons
English Setter,36742.5746,62.7623,9.3224,med,high,med,male,Holmes
Pug,7565.2285,34.6193,13.4619,med,med,med,male,Chavez
English Setter,24497.2416,60.512,10.2232,high,high,med,male,Hall
Pug,6569.1001,34.1883,13.7349,med,high,short,male,Reed
Welsh Corgi,13714.8291,29.8743,11.5724,med,high,long,male,Green
Pug,8079.3983,,12.8398,med,high,med,male,Hood
Welsh Corgi,12374.8186,32.0324,10.9265,med,med,med,male,Johnson
English Setter,31641.9538,63.7951,12.2134,high,high,med,female,Schneider
Welsh Corgi,11426.1433,28.6242,11.1567,med,high,med,male,Herrera
Pug,7473.5469,,12.8819,med,high,short,male,Williams
Japanese Chin Dog,2586.3346,24.0372,12.6786,med,high,med,female,Gonzalez
Welsh Corgi,15006.4189,30.3269,11.6833,med,high,med,female,Foster
English Setter,31483.7467,,10.3104,high,high,med,female,Bishop
Welsh Corgi,15135.9826,26.5627,11.2175,med,high,short,male,Daniel
English Setter,28597.2808,,12.2007,high,high,med,female,Hall
English Setter,27358.3262,65.6288,13.0119,high,high,short,male,Hernandez
English Setter,25165.8446,,10.7412,high,high,short,male,Ingram
Japanese Chin Dog,2944.1622,,12.8709,med,high,med,male,Thomas
English Setter,24473.7686,59.859,12.1227,high,high,med,female,Howell
Japanese Chin Dog,4187.483,22.2471,14.0947,med,high,short,male,Flores
English Setter,29393.3167,64.1911,10.4768,high,high,med,female,Odom
English Setter,26004.9818,61.2448,12.6743,high,high,med,female,Walker
English Setter,30681.8697,60.2825,12.8699,high,high,med,female,Tran
Welsh Corgi,13707.068,28.6876,11.3101,med,high,med,female,Powell
Welsh Corgi,15474.0449,28.5345,11.146,low,high,med,female,Miller
Welsh Corgi,12281.8817,32.7399,11.9703,low,high,med,female,Barton
Pug,6268.7383,31.1365,13.2473,med,high,short,female,Steele
Welsh Corgi,15133.8457,26.9924,9.9345,med,high,med,female,Dennis
Pug,7047.588,,11.3087,med,med,short,male,King
English Setter,25001.5014,61.8823,12.9193,high,high,med,male,Johnson
English Setter,26414.5838,60.4316,12.1143,high,high,med,female,Thornton
Pug,6928.8493,35.7529,11.3935,med,high,short,male,Turner
English Setter,29740.2746,,9.5431,high,high,med,female,Hughes
Japanese Chin Dog,3071.7719,22.4303,13.2129,med,high,long,female,Shah
English Setter,20234.3636,62.3445,13.1636,med,med,long,male,Walker
Pug,6229.7913,35.8852,12.4936,low,high,med,female,Marsh
Pug,7453.8179,33.1621,15.6397,low,high,short,male,Benson
Pug,6487.9529,30.8516,13.8142,med,high,short,female,Cuevas
Japanese Chin Dog,5294.6029,23.554,12.2644,med,high,med,male,Morse
Japanese Chin Dog,4556.2823,,13.5098,med,high,med,male,Holland
Japanese Chin Dog,3859.3973,23.6877,13.3842,med,high,med,male,Michael
Japanese Chin Dog,2323.4318,24.8887,12.6678,med,med,med,male,Hughes
Japanese Chin Dog,2189.9243,22.5633,12.5572,med,high,med,male,Christian
Welsh Corgi,12425.6281,25.6409,11.5952,high,high,med,male,Gonzalez
Welsh Corgi,10037.8425,25.3875,10.9982,high,high,med,female,Cochran
English Setter,27820.0997,,11.7301,med,high,med,female,Hogan
Pug,6417.8082,35.7193,13.8462,low,high,short,male,Wright
Welsh Corgi,15637.1649,29.4905,10.4685,med,high,med,male,Moreno
Pug,7046.04,31.8575,14.2635,med,med,short,male,Stanton
Pug,6592.0544,38.1378,12.7062,med,med,short,male,Le
Welsh Corgi,16566.2572,27.4752,10.7529,med,high,med,male,Rodriguez
Japanese Chin Dog,4781.2274,23.8593,12.3902,low,high,med,female,Delgado
Pug,6527.1728,36.4116,12.5764,med,high,short,male,Young
English Setter,28476.8446,61.5209,11.682,high,high,med,male,Moore
English Setter,39564.1071,63.9793,10.3003,high,high,long,male,Mcdonald
Pug,5180.9946,36.5767,12.2283,med,high,short,male,Clayton
Japanese Chin Dog,4287.3634,23.5416,13.6532,high,high,med,male,Phillips
Pug,7289.3196,34.4631,13.0028,med,med,short,male,Wolfe
Japanese Chin Dog,4938.8805,25.9788,12.8524,med,high,long,male,Riddle
Japanese Chin Dog,2666.5234,23.2428,12.6438,high,high,long,male,Lynn
Pug,6185.3376,36.8859,12.9933,med,med,short,male,Cunningham
Welsh Corgi,15484.6677,31.1727,11.2968,med,high,med,female,Burch
English Setter,33537.1086,58.6569,11.545,high,high,med,male,Burnett
Pug,7035.0407,,14.3479,high,med,short,female,Hughes
English Setter,30440.3018,55.8903,12.1302,high,high,med,female,Rogers
Welsh Corgi,18259.5415,27.2615,10.9679,med,high,med,male,Morris
Japanese Chin Dog,4760.7339,23.083,13.6881,low,high,med,female,Ho
Japanese Chin Dog,2081.3758,,13.0214,med,high,long,female,White
Welsh Corgi,14646.3964,,10.5385,med,med,med,male,Rollins
English Setter,26580.941,60.9368,11.8717,high,high,med,male,Freeman
Japanese Chin Dog,3973.8723,23.2941,12.7551,low,high,med,male,Davis
Pug,6580.9747,37.4856,13.6234,med,high,short,female,Chandler
English Setter,29799.4997,,13.0746,high,high,short,male,White
Pug,6778.6651,38.4506,13.3631,med,high,short,female,Baker
Pug,6672.8875,28.5769,14.4609,med,high,short,male,Garcia
Welsh Corgi,13574.2617,30.1123,10.9399,med,high,med,female,Stone
Pug,7014.3504,36.3302,14.51,med,med,short,female,Carter
Japanese Chin Dog,4885.7354,24.0166,12.9503,med,med,med,female,Joseph
Welsh Corgi,13962.5323,,11.1897,med,high,med,male,Kaiser
Japanese Chin Dog,3933.8814,23.6256,14.0102,med,high,med,female,Castaneda
English Setter,34863.8889,61.1612,10.9709,high,high,med,male,Clark
Welsh Corgi,16232.2177,31.7907,10.6117,high,med,med,female,Williams
Pug,7582.5075,,14.8021,med,high,short,male,Chavez
English Setter,32617.4439,62.7481,12.8612,high,high,long,male,Perkins
Japanese Chin Dog,4233.0772,23.7726,12.5211,med,high,med,male,Reyes
Pug,7427.091,30.3631,13.6662,med,high,short,female,Morse
Pug,6985.5002,32.2404,12.558,med,med,short,male,Ward
Welsh Corgi,13121.3231,29.2896,10.3106,med,high,med,male,Adams
