Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Bloodhound,48981.7948,64.041,8.9324,med,high,short,female,Miller
Bearded Collie,21179.1071,54.7372,12.7357,high,high,long,female,Henderson
Bloodhound,45464.0583,64.3968,8.1038,med,high,short,male,Gillespie
Bearded Collie,23631.2579,53.9443,12.2599,high,high,long,female,Thomas
Bearded Collie,24394.2273,52.4524,13.9635,high,med,long,male,Maddox
Bloodhound,39717.9678,62.9171,7.8713,med,high,short,male,Johnson
Australian Shepherd,22603.7655,52.561,12.6164,high,high,med,male,Pierce
Bloodhound,48982.7242,64.2195,7.3673,high,med,short,female,Clark
Australian Shepherd,26130.6259,52.6662,12.7578,high,high,long,male,Tanner
Bloodhound,41999.7191,65.7056,7.5037,med,high,short,female,Vazquez
Pit Bull,28902.4042,47.0777,12.0272,med,high,short,female,Hernandez
Bloodhound,43545.3661,,7.8367,med,high,short,male,Adams
Pit Bull,37112.5079,45.8986,12.7471,med,high,short,female,Sanchez
Pit Bull,20415.1044,,11.9385,med,med,short,female,Harris
Bearded Collie,18751.348,52.3846,12.9414,high,high,long,male,Contreras
Bearded Collie,19679.7164,52.4542,14.1934,high,high,long,female,Blair
Australian Shepherd,22361.7374,52.9925,13.426,high,high,med,female,Lee
Pit Bull,13903.6615,,12.4823,high,high,short,female,Thompson
Bearded Collie,20703.5785,56.8083,13.148,high,high,long,male,Farmer
Australian Shepherd,23858.8774,55.0012,12.9011,high,high,long,female,Bush
Bearded Collie,26608.2652,,12.4976,high,high,long,female,Harris
Pit Bull,22625.5825,45.8493,12.4058,med,high,short,female,Sandoval
Australian Shepherd,28945.5246,50.8709,12.6475,high,high,short,male,Valdez
Pit Bull,11481.1714,,12.5745,med,high,short,male,Mccarthy
Bearded Collie,25046.3738,53.2392,13.213,high,high,med,male,Graham
Bearded Collie,24780.6413,53.5226,13.2441,high,high,long,female,Cummings
Bloodhound,44313.935,61.8648,9.0592,med,high,short,female,Mays
Pit Bull,32087.0165,,12.8978,med,high,short,female,Bright
Australian Shepherd,22585.3075,54.3145,13.2211,med,high,med,female,Castaneda
Pit Bull,21967.2007,45.5819,12.0009,med,high,short,male,Best
Bloodhound,41507.4638,61.6771,9.5163,low,high,short,female,Holland
Australian Shepherd,22123.0122,51.9861,13.0029,high,high,med,male,Jones
Bearded Collie,20153.1915,55.8033,13.0183,high,high,long,female,James
Bloodhound,41490.9567,61.5075,7.6015,low,high,short,male,Branch
Pit Bull,27073.4793,,11.8128,med,med,med,male,Hill
Bloodhound,37891.3704,60.4293,9.2873,med,high,short,female,Reynolds
Pit Bull,31760.3501,46.5671,11.8709,med,high,short,female,Harris
Bloodhound,42132.7195,,10.5293,med,high,short,female,Wilson
Bearded Collie,20389.3932,,13.5215,high,high,long,female,Little
Bearded Collie,22284.8523,,11.8597,med,high,long,male,Walker
Australian Shepherd,25327.3562,,12.2386,high,high,med,male,Collins
Bloodhound,48125.4726,64.2331,7.5901,med,high,short,male,Payne
Pit Bull,29887.9286,45.1345,11.7557,med,high,short,female,Garcia
Pit Bull,35101.9915,45.7135,12.786,med,high,med,male,Werner
Pit Bull,27670.9375,45.6134,11.7743,low,high,short,female,Rivera
Bloodhound,42563.8975,,7.6542,med,high,short,female,Lopez
Bearded Collie,22873.4154,55.3363,13.1826,high,high,long,male,Olsen
Bearded Collie,26303.2486,54.6272,13.4998,high,high,long,male,Banks
Pit Bull,29541.1163,45.0292,12.384,med,high,short,female,Thomas
Bloodhound,43824.3491,62.8795,9.3238,med,high,short,female,Cook
Bloodhound,44937.3538,63.544,8.4602,med,med,short,female,Cabrera
Pit Bull,34058.8961,45.887,12.5451,med,high,short,male,Barajas
Bloodhound,41974.1175,65.0049,9.4696,med,high,med,female,Robinson
Bearded Collie,23912.7125,50.6941,13.3014,high,high,long,female,Cruz
Bloodhound,44424.5337,65.2445,9.2296,med,high,short,female,Logan
Australian Shepherd,22404.3329,51.9151,12.5605,high,high,short,female,Murray
Bloodhound,49863.4326,62.2785,6.9953,high,high,short,male,Johnson
Bloodhound,45148.671,64.0785,9.1155,low,high,short,female,Jenkins
Australian Shepherd,20215.1381,,11.6054,high,high,med,male,Gallegos
Bloodhound,44707.7115,62.1,7.9436,med,high,short,male,Page
Bearded Collie,20044.0977,54.0115,12.7466,high,high,long,female,Quinn
Pit Bull,28206.8186,,11.7337,med,high,short,male,Thomas
Australian Shepherd,22339.2941,56.4236,12.9954,high,high,short,male,Thompson
Bloodhound,47089.3133,65.2694,9.5309,med,high,short,male,Parrish
Australian Shepherd,23434.0192,53.0744,13.1459,high,high,med,male,Harris
Pit Bull,25829.4419,46.5295,12.6741,med,high,short,female,Downs
Australian Shepherd,26039.498,54.501,12.6421,high,high,short,female,Mathis
Pit Bull,22103.9505,46.4049,11.9623,med,med,short,male,Hood
Australian Shepherd,22941.8636,54.6834,13.2019,high,high,med,female,Perry
Bearded Collie,19180.653,51.3952,12.7228,high,high,med,female,Brennan
Bearded Collie,25741.8268,54.7388,13.3379,high,high,long,male,Allen
Pit Bull,14378.0946,46.2382,12.078,med,high,short,female,Bauer
Bloodhound,39239.0807,65.121,9.8967,med,high,short,female,Vasquez
Bearded Collie,20808.9111,51.5636,12.7406,med,med,long,female,Solomon
Australian Shepherd,22620.9279,54.2358,13.0627,high,high,med,male,Lawson
Bloodhound,45829.6978,,8.7405,med,med,short,male,Zamora
Pit Bull,13602.2351,45.9331,12.1087,med,high,short,male,Meadows
Bearded Collie,28915.0612,52.7908,13.1956,high,high,long,male,Adams
Bearded Collie,22656.06,53.6192,12.925,high,high,long,male,Hernandez
Australian Shepherd,28287.4871,,12.8736,high,high,long,male,Briggs
Bearded Collie,21469.1416,54.2762,13.6801,high,high,long,male,Stanton
Australian Shepherd,20021.4473,54.9013,14.0882,high,med,med,male,Smith
Bloodhound,37742.8707,,8.9102,low,high,short,male,Perry
Australian Shepherd,21838.271,,12.9714,high,high,short,female,Bell
Pit Bull,35661.4303,46.0169,11.7683,med,high,short,female,Hamilton
Australian Shepherd,23712.593,53.5309,12.8529,med,high,med,female,Zavala
Pit Bull,17011.2376,44.4585,11.9171,med,high,short,female,Barnes
Bloodhound,36429.8243,64.8761,8.8548,low,med,short,male,Jacob
Bearded Collie,21052.755,52.609,12.5608,med,high,med,male,Holmes
Bearded Collie,24182.9919,,14.2029,high,high,med,female,Anthony
Bloodhound,44496.6975,65.2733,9.3021,med,high,short,female,Rogers
Bloodhound,40968.7307,64.2379,8.5384,med,high,short,female,Davis
Australian Shepherd,22937.3474,53.4405,12.4116,high,high,med,male,Torres
Pit Bull,19345.9889,46.1136,12.2645,low,high,short,male,Delgado
Pit Bull,30743.4981,,11.2344,med,high,short,female,Fuentes
Australian Shepherd,26404.196,,12.8567,high,high,med,female,Lewis
Pit Bull,30511.2517,45.8479,11.959,high,high,short,female,Davis
Bloodhound,40579.1981,,9.1231,med,high,short,male,Phillips
Bearded Collie,21128.5031,53.5391,12.8159,high,high,med,female,Wright
Pit Bull,18577.0881,46.0718,12.5045,med,high,short,male,Jennings
Bearded Collie,25234.036,52.5881,12.9842,high,high,long,female,Peck
Australian Shepherd,27912.8286,55.1943,12.7687,med,high,med,female,Molina
Bearded Collie,25879.3352,52.8408,12.6371,high,med,med,female,Parker
Australian Shepherd,21863.8823,53.6362,13.8454,high,high,med,female,Johnson
Bloodhound,45239.8586,65.1884,9.5473,med,high,med,male,Tucker
Bloodhound,42408.0984,62.658,7.5993,med,high,short,female,Mckenzie
Australian Shepherd,28741.1212,53.7332,13.5649,high,high,med,female,Hall
Australian Shepherd,21203.7787,54.4539,12.5381,high,med,short,male,Martin
Australian Shepherd,19829.7806,54.1841,12.5236,high,high,med,male,Ellis
Bloodhound,43861.5594,64.9515,9.1382,med,high,short,male,Gardner
Bearded Collie,23952.7451,55.4828,13.4822,high,high,long,female,Boyd
