Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
French Bulldog,11303.4773,29.7173,9.449,med,high,short,male,Davis
Beagle,9415.655,35.1625,13.7449,med,high,short,male,Freeman
Akita,50634.5633,66.8703,10.2793,med,med,med,male,Nolan
Akita,45571.7796,,11.4843,med,med,med,male,Rios
Bearded Collie,20876.9352,55.2496,13.1845,high,high,long,female,Owens
Akita,42934.8883,,10.2494,med,med,med,male,Butler
Akita,46217.4454,66.5389,10.7431,med,med,short,male,Farley
Bearded Collie,20719.582,,12.5734,high,high,long,female,Sullivan
French Bulldog,11948.2223,28.4147,9.6231,med,high,med,male,Miranda
French Bulldog,12094.9328,29.0556,10.0917,med,high,short,female,Smith
Beagle,10849.2236,36.094,12.2078,low,high,short,male,Bowman
Bearded Collie,26056.9322,,13.0994,high,high,long,male,Pena
French Bulldog,12594.613,28.4462,10.4153,med,high,short,female,Hurst
French Bulldog,11617.8984,,9.5405,med,high,short,male,Reid
Beagle,9445.6343,,13.8209,med,high,short,male,White
Beagle,9576.5109,34.0276,15.5645,high,high,short,male,Potter
French Bulldog,11157.3329,28.748,9.8397,med,high,short,female,Barton
French Bulldog,12225.2768,,9.5213,med,high,short,male,Jones
Akita,56515.5144,64.2002,10.9234,med,high,med,male,Hill
French Bulldog,12736.4869,28.3899,10.156,med,high,short,female,Mcmillan
Beagle,11045.9861,34.8121,12.5307,med,high,short,female,Myers
French Bulldog,12588.5954,29.3297,9.7675,med,high,short,male,Harris
Akita,23378.1156,64.6044,11.3618,med,med,med,male,Melissa
Bearded Collie,23299.788,52.5317,13.264,high,high,long,male,Montgomery
French Bulldog,12742.4564,,8.9482,med,high,short,female,Hatfield
French Bulldog,11449.9499,,9.6025,med,high,short,male,Stewart
Akita,52441.135,65.8443,10.662,med,med,short,male,Powell
French Bulldog,13152.7261,28.9757,9.202,med,high,short,female,Price
Beagle,12039.9086,,13.4951,med,high,short,female,Garcia
Beagle,8959.006,,13.2622,med,high,med,female,Ryan
Bearded Collie,23237.9911,51.5602,12.7907,med,high,long,female,Davis
French Bulldog,12507.9053,29.4129,10.5629,med,high,med,male,Stanley
Akita,54409.1786,,10.207,med,med,med,female,Miller
Akita,44657.2912,65.23,10.8676,med,med,med,male,Alexander
