Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Siberian Husky,20955.0162,53.7834,12.0154,low,med,med,female,Miller
Bearded Collie,23778.4997,52.9155,12.7086,high,high,long,female,Mullins
Siberian Husky,22004.669,52.0806,11.1445,med,med,med,male,Galvan
Pit Bull,13976.2538,46.1215,11.9811,med,high,short,female,King
Siberian Husky,20122.6361,,10.9132,med,med,med,female,Wilson
Bearded Collie,18086.8056,55.8665,13.1088,med,high,long,male,Smith
Pit Bull,15614.0939,46.7293,12.8828,med,high,short,male,Obrien
Siberian Husky,22331.5018,58.1104,12.9759,med,low,med,female,Davenport
Pit Bull,27754.9653,45.4787,9.9517,low,high,med,female,Walker
Pit Bull,17562.3691,,11.9968,med,high,short,female,Gross
English Setter,30296.1683,65.1558,11.3192,high,high,med,male,Hernandez
Siberian Husky,14458.8974,55.0307,12.6243,med,med,med,female,Potter
Pit Bull,31949.0701,46.8018,11.3698,low,high,short,female,Salazar
Pit Bull,25797.1602,46.115,12.3456,med,high,short,female,Kelli
Siberian Husky,17706.9036,52.3761,10.4174,med,med,med,female,Moore
Siberian Husky,19258.0038,53.253,12.4723,med,high,med,male,Todd
Siberian Husky,19647.6519,53.4504,11.981,high,high,long,male,Contreras
Pit Bull,13196.7088,45.6626,10.6119,med,high,short,female,Sanchez
Siberian Husky,17228.7716,54.4545,12.4712,high,med,med,male,Anderson
English Setter,27289.2192,59.4707,12.6241,high,high,med,female,Joyce
English Setter,30185.803,62.8891,15.017,high,high,short,male,Turner
Siberian Husky,19295.2921,53.2726,12.5401,med,med,long,female,Erickson
Siberian Husky,20124.1928,51.9948,11.8371,med,med,med,female,Hall
English Setter,31432.3912,62.4331,11.5981,high,high,long,male,Peterson
Pit Bull,19284.7524,45.483,12.2692,med,high,short,female,Tran
English Setter,33454.323,56.4337,12.5796,high,high,med,male,Potts
English Setter,31873.6272,62.7125,10.162,high,high,med,male,Estrada
Siberian Husky,19915.6276,,12.1243,low,med,med,male,Franklin
English Setter,23146.0057,62.5995,13.4167,med,med,med,female,Barnes
Bearded Collie,22814.3991,50.8581,11.621,high,high,long,male,James
English Setter,31487.5438,62.6685,11.4713,high,high,med,female,Coleman
Siberian Husky,21070.0281,52.4227,12.6302,med,med,med,male,Howell
Pit Bull,24781.8867,46.4551,10.8449,med,high,short,male,Ward
Bearded Collie,25241.6394,53.3003,13.2836,high,high,long,female,Hernandez
English Setter,29009.7171,58.7562,14.095,high,high,med,male,Lee
Pit Bull,38667.8761,45.0407,12.159,med,med,short,male,Brown
English Setter,16988.3284,,12.595,high,high,med,female,Joseph
English Setter,33661.2829,,14.9063,high,high,med,male,Turner
English Setter,33414.7133,59.0002,12.2377,high,high,med,female,Allen
Bearded Collie,22273.1959,52.2779,13.2193,high,high,long,female,Berg
English Setter,27364.2822,65.9926,12.7488,high,high,med,male,Fritz
Siberian Husky,19283.326,52.9162,10.7117,med,med,med,male,Hoffman
English Setter,29646.789,59.1332,12.6123,high,high,short,female,Smith
English Setter,27704.2172,,11.3926,med,high,short,female,Martinez
Siberian Husky,18615.0697,53.2835,11.6938,med,med,med,female,Blair
Siberian Husky,16022.8873,56.4551,11.8908,med,med,med,male,Walsh
Pit Bull,24068.2511,46.1318,11.7807,low,high,short,female,Hayes
Siberian Husky,19815.3504,54.6374,13.1475,med,med,med,female,Jackson
English Setter,21212.3742,67.0358,12.071,high,high,med,female,Bender
English Setter,32277.298,56.0304,10.3849,high,med,short,female,Martin
English Setter,27863.9443,62.443,7.9704,high,high,med,male,Chavez
English Setter,33025.3921,61.7033,12.4823,high,high,med,female,Wilkins
Siberian Husky,19445.6423,55.3092,12.0187,med,med,med,female,Henry
Bearded Collie,24127.5944,53.4148,13.4518,med,high,long,female,Richardson
Pit Bull,24085.6333,47.1472,12.8149,med,high,short,male,Wiggins
English Setter,23386.6135,65.4286,11.6355,high,high,med,male,Peters
Bearded Collie,17537.7243,54.2206,13.4061,high,high,long,female,Jarvis
Bearded Collie,20278.9829,,13.5738,high,high,long,male,Townsend
English Setter,31762.4935,63.01,13.4659,high,high,med,male,Reynolds
English Setter,35981.6977,,13.3107,med,med,med,male,Cruz
Bearded Collie,22980.6055,51.132,12.9707,high,high,long,female,Harris
Bearded Collie,19768.5922,49.6943,14.4717,high,high,long,male,Perry
English Setter,29945.5751,62.1167,12.9433,high,med,long,female,Wood
Bearded Collie,18138.504,55.1281,14.7358,high,high,med,female,Williams
Bearded Collie,20479.4057,49.7443,13.345,high,high,long,female,Hale
Pit Bull,26481.1911,,12.3196,med,high,med,male,Miller
Bearded Collie,25341.0155,52.9655,13.4315,med,high,long,female,Sanford
Siberian Husky,17189.8341,54.8629,12.9347,med,med,med,female,Walker
Bearded Collie,22496.853,50.7645,13.1548,high,high,long,female,Brown
Pit Bull,19333.8666,44.9617,12.1223,high,high,med,male,Davidson
Bearded Collie,21447.1504,,13.8085,high,high,med,male,Hunt
Pit Bull,27238.6198,46.4478,11.7945,high,high,short,male,Morris
Pit Bull,23228.5016,45.9783,11.8274,high,med,short,female,Dawson
Pit Bull,24483.592,45.762,12.3178,med,high,short,male,Oneal
Bearded Collie,27085.1466,54.1206,12.8635,high,high,long,male,Collins
English Setter,25926.0213,59.6432,11.9865,high,high,long,female,Cross
Siberian Husky,24294.0704,56.4981,11.5599,med,med,med,male,Walker
Bearded Collie,21007.1613,54.3974,13.2229,high,high,long,male,Black
Pit Bull,24447.9576,,11.4355,med,high,short,female,Johnson
Pit Bull,26969.4545,,12.2008,med,high,short,female,Tucker
Siberian Husky,18434.5021,52.9976,12.8392,med,med,med,male,Sandoval
Siberian Husky,21123.0035,49.906,11.9164,med,med,med,male,Sharp
Pit Bull,25289.2601,45.858,12.3874,med,high,short,male,Cook
Pit Bull,25784.51,46.0161,11.9056,med,high,short,male,Davis
Pit Bull,32234.9744,,11.5468,med,med,short,female,Pugh
Pit Bull,17612.9263,45.5526,11.2449,med,high,short,female,Nelson
Siberian Husky,17911.9935,54.0071,11.0409,med,high,med,male,Stewart
Siberian Husky,19715.1866,53.0559,12.4358,med,low,med,male,Murphy
Pit Bull,25782.628,45.9224,12.3494,med,high,short,male,Lewis
Siberian Husky,18340.3043,52.3195,11.9406,med,high,med,female,Mullins
English Setter,29275.6228,62.5155,10.6711,high,high,med,male,Jimenez
English Setter,30364.3003,64.996,8.2947,high,high,med,male,Hernandez
Siberian Husky,17944.4315,52.8786,11.5574,med,med,med,male,Rose
Bearded Collie,19664.9445,54.1599,13.2308,high,high,long,female,Brown
Siberian Husky,19460.387,,11.861,med,med,med,female,Miller
Pit Bull,31276.3609,44.9965,11.6203,med,high,short,female,Peterson
Pit Bull,21432.3681,45.5637,13.2918,med,med,short,female,Rasmussen
Siberian Husky,17958.6883,57.0779,11.5685,med,low,med,male,Parks
Bearded Collie,22569.9893,53.226,12.9619,high,high,long,female,Lopez
English Setter,24468.0636,64.0764,9.8765,high,high,med,female,Smith
Pit Bull,21845.52,45.8497,12.4441,med,high,short,male,Friedman
Pit Bull,32607.1725,45.5691,13.1271,med,high,short,male,Guerra
Pit Bull,23697.6247,45.8704,12.7216,med,high,short,male,Reynolds
Bearded Collie,25571.6731,,12.4514,high,med,long,male,Murphy
Siberian Husky,21162.948,52.8192,12.2906,med,med,med,male,Steele
Bearded Collie,19788.4602,,12.6149,high,high,long,female,Mann
Pit Bull,19811.2086,46.3418,12.0106,med,high,short,female,Cook
English Setter,25427.1712,61.7818,12.3579,med,high,med,male,Copeland
English Setter,26395.1767,66.7553,10.9452,high,high,med,female,Jacobs
Siberian Husky,18215.6487,55.174,12.0443,med,med,med,female,Aguilar
Siberian Husky,19129.4472,54.6541,11.1269,med,med,med,female,Brown
Pit Bull,25252.2756,45.7498,12.3407,med,high,short,female,Waller
Bearded Collie,26115.6889,54.1244,13.0832,high,high,long,female,Price
Pit Bull,12380.0271,47.1685,11.6943,med,med,short,female,Hutchinson
Bearded Collie,17432.8816,52.2694,13.5591,high,high,long,male,Mclaughlin
Siberian Husky,21575.4643,57.6834,12.386,med,med,med,male,Boyd
English Setter,27484.9916,64.2193,11.269,high,high,long,female,Wagner
Bearded Collie,24070.2192,52.0402,12.82,high,high,long,male,Reyes
Siberian Husky,18465.3493,,11.3948,high,med,med,male,Duran
English Setter,29788.3426,,11.5587,high,high,short,male,Mitchell
Pit Bull,25082.3913,45.8316,12.6644,med,high,short,female,Patterson
Bearded Collie,22585.6066,52.6961,11.9787,med,high,long,male,Weaver
Pit Bull,25133.626,46.6056,10.9981,med,high,short,male,Espinoza
Pit Bull,28619.7066,,12.8595,med,high,med,male,Lopez
Siberian Husky,21764.0724,,12.6295,med,med,med,male,Dunlap
English Setter,24480.9701,59.0959,13.2355,high,high,med,male,Hebert
Siberian Husky,17663.9752,53.2995,12.3259,high,med,med,male,George
Pit Bull,23500.0338,45.787,11.5981,low,high,short,male,Mclaughlin
English Setter,27622.8073,60.8018,13.3271,high,high,med,female,White
English Setter,35575.5935,66.0447,12.2094,high,med,med,female,Carrillo
English Setter,31609.4006,61.8914,11.0098,med,high,short,male,Sanchez
Pit Bull,26925.2067,46.4041,10.9496,med,high,short,male,Brewer
Siberian Husky,21348.2356,57.4801,11.9764,med,med,med,male,Hill
Pit Bull,16759.7154,,12.5773,med,med,short,female,Fernandez
Pit Bull,24439.7126,,13.5615,med,high,short,male,Johnson
English Setter,38546.421,61.0699,13.0895,high,high,med,female,Moore
Pit Bull,26748.808,,11.3823,med,high,short,male,Hoover
English Setter,19937.6424,60.4389,9.9526,high,high,med,female,Petty
English Setter,24924.3479,,11.8631,med,high,short,male,Thompson
Pit Bull,29820.3433,45.3516,11.6088,low,high,short,male,Brown
English Setter,31721.5512,,11.9908,high,high,long,male,Miller
Pit Bull,21378.9044,46.6481,12.8752,med,high,short,male,Cox
Bearded Collie,29559.0296,52.2268,13.5015,high,high,long,male,Gomez
English Setter,26309.2591,61.7488,11.3621,high,med,med,female,Vaughn
English Setter,24769.7812,57.6997,12.2574,high,med,short,male,Petty
Pit Bull,26480.0859,45.5356,12.3195,med,high,short,female,Dixon
Bearded Collie,25398.7785,54.3339,12.4928,high,high,long,female,Rivera
English Setter,30262.3787,59.0946,12.3813,high,high,med,female,Lawson
Pit Bull,20892.8997,45.9899,11.7467,high,high,short,male,Colon
Bearded Collie,28841.0053,51.9112,11.8447,high,high,long,female,Cardenas
Siberian Husky,19190.331,51.2476,11.7899,high,med,med,male,Jones
Pit Bull,22982.5453,46.7352,12.4674,med,high,short,male,Boyd
English Setter,26257.6443,,11.1972,high,high,med,female,Herring
Bearded Collie,22561.2851,53.1617,12.4298,high,med,long,male,Hernandez
Siberian Husky,16340.0282,51.8629,11.4668,med,med,med,female,Brown
Bearded Collie,25910.4731,,13.6689,high,high,long,female,Butler
English Setter,38331.6739,,12.5875,high,high,long,female,Jones
Siberian Husky,21717.5363,56.709,11.1083,med,med,long,female,Mills
English Setter,27156.1409,61.3291,13.1111,high,high,med,female,Wilson
Pit Bull,30392.944,46.3822,11.9833,med,high,short,female,Victoria
Pit Bull,13020.5379,46.135,11.6983,med,high,short,female,Hopkins
Pit Bull,26058.8053,,12.2737,med,high,short,female,Robertson
English Setter,33269.8278,59.143,12.7243,high,high,med,female,Horton
Siberian Husky,19464.9403,54.4791,12.1507,med,med,long,male,Peck
Bearded Collie,21177.0861,52.863,13.1515,high,high,long,male,Martinez
Bearded Collie,25340.2287,,12.046,high,med,long,female,Foster
Pit Bull,18627.944,46.2128,12.4455,med,high,short,male,Trevino
English Setter,26668.3542,65.4467,11.8815,high,med,med,male,Anderson
Pit Bull,35484.0932,46.2551,12.1191,med,high,short,male,Bates
Siberian Husky,19307.2672,,11.8178,med,med,med,male,Short
Bearded Collie,18492.3639,54.2231,14.086,high,med,long,male,Wagner
Siberian Husky,20383.0615,57.0211,11.7905,med,med,med,female,Blankenship
Siberian Husky,20573.4936,54.3028,11.7609,med,med,long,male,Brown
Bearded Collie,28718.8625,50.7666,12.3923,high,high,long,male,Dorsey
Siberian Husky,17613.2995,52.4669,12.9842,med,med,short,male,Ortiz
Bearded Collie,22388.6508,52.2988,12.0365,high,high,long,male,Ortiz
Siberian Husky,18038.0993,55.3939,11.5262,med,med,med,male,Higgins
English Setter,27317.7823,62.6536,12.6891,med,high,med,male,Washington
Pit Bull,26805.3935,46.0484,12.1602,med,high,short,male,Guzman
Pit Bull,23920.2344,46.5009,12.296,low,high,short,female,Sloan
English Setter,24875.1732,60.1387,11.5202,high,high,long,female,Tate
Pit Bull,26415.1634,46.0061,11.9517,med,high,med,female,Fuller
Bearded Collie,19447.7659,55.0653,13.2853,high,high,long,female,Shelton
Siberian Husky,18183.0416,57.2357,11.1332,low,med,med,male,Thompson
Bearded Collie,21927.6285,55.2006,14.6451,high,med,long,male,Conley
Siberian Husky,18822.0073,54.0411,12.0878,med,low,med,male,Lopez
Siberian Husky,20685.1145,52.1259,12.3853,med,med,med,female,Franklin
English Setter,30153.6891,61.667,11.2525,med,high,med,female,Kaiser
Siberian Husky,18228.1266,54.1993,11.2974,low,med,med,female,Calhoun
Siberian Husky,20201.7677,,11.3821,high,med,med,male,Weaver
Siberian Husky,19879.1629,,11.4293,low,med,short,female,Miller
Siberian Husky,17946.9684,57.7684,11.2751,med,low,med,male,Wendy
Siberian Husky,19761.9369,,12.9227,med,med,med,female,Turner
Siberian Husky,21876.2572,55.1448,11.3903,med,med,med,female,Baker
Siberian Husky,17954.8388,53.3813,12.1132,med,med,med,male,Turner
English Setter,33459.7238,64.3102,10.0752,high,high,med,female,James
Pit Bull,30041.7784,45.7305,12.1957,med,med,med,male,Morris
English Setter,25226.3736,,12.46,high,high,med,female,Roberts
Pit Bull,34109.7473,45.1515,12.3189,med,med,med,male,Richardson
Pit Bull,23094.6096,45.9298,12.302,med,high,short,male,Rojas
English Setter,29503.8628,66.7827,12.322,high,high,long,male,Campos
Bearded Collie,23815.2685,51.4491,13.8088,high,high,long,female,Brown
Bearded Collie,24048.962,54.9672,11.9188,high,high,long,female,Hicks
Pit Bull,22266.7874,,12.9957,med,high,short,female,Edwards
Pit Bull,28942.6407,46.7039,11.2449,med,high,short,female,Gordon
Siberian Husky,19362.0544,53.4741,11.4891,high,med,med,female,Adams
Bearded Collie,23542.9588,,13.5175,high,high,long,male,Torres
English Setter,17519.0084,59.6387,11.2918,high,high,med,male,Hooper
English Setter,27517.4589,62.3553,11.7632,high,high,med,female,Turner
Pit Bull,20613.8058,45.8668,11.3598,med,high,short,female,Floyd
Siberian Husky,18820.5514,56.4705,12.2183,med,med,short,female,Bass
Siberian Husky,18483.6157,53.0065,12.6259,high,med,med,male,Davis
Siberian Husky,16045.4625,54.8979,12.1658,med,high,med,male,Mays
Siberian Husky,18625.5738,54.3261,11.2158,med,med,long,male,White
Siberian Husky,17734.8398,56.8465,11.5051,med,med,med,female,Rodriguez
English Setter,30166.6632,59.7766,12.3886,high,high,med,female,Barker
English Setter,30466.7448,64.6115,14.3933,high,high,med,male,Shelton
Pit Bull,33714.3153,45.9603,12.1708,med,high,short,female,West
English Setter,29212.0908,59.6641,12.6571,high,high,long,male,Erickson
Pit Bull,23846.8301,45.8413,11.97,low,high,med,male,Cunningham
Siberian Husky,17414.9149,52.2367,12.2438,med,high,short,female,Acosta
Siberian Husky,18198.1341,,12.3161,med,med,med,male,Hamilton
Bearded Collie,23903.1664,,12.4856,med,high,long,male,Smith
English Setter,23592.5285,,12.3066,high,high,med,male,Brock
English Setter,28302.7476,,12.0549,high,high,short,female,Montgomery
English Setter,27269.4756,,11.849,high,high,med,female,Duncan
Siberian Husky,17416.7627,53.1297,13.755,high,high,med,female,Fuentes
Pit Bull,24840.6665,45.4914,12.0861,med,high,short,male,Davis
Bearded Collie,22047.903,56.2061,13.6883,med,high,long,female,Fuentes
Bearded Collie,24618.179,54.8139,12.995,high,high,long,male,Sims
Pit Bull,35925.9867,47.3337,11.2073,med,high,short,male,Roberts
Bearded Collie,22657.6446,51.5737,13.6961,high,high,med,male,Campbell
Pit Bull,25680.8759,45.8955,12.7248,med,high,short,male,Olson
Bearded Collie,21651.6716,51.1144,13.1601,high,med,long,female,Palmer
English Setter,24213.0151,63.7924,10.7689,high,high,med,female,Hogan
English Setter,31756.2345,61.5839,10.9044,high,high,long,male,Arnold
Bearded Collie,20584.6232,53.7536,13.3692,high,high,long,male,Smith
Siberian Husky,15343.5873,55.0436,11.2865,med,med,med,female,Wright
Siberian Husky,20180.2758,55.1077,11.6243,med,med,med,female,Shelton
Bearded Collie,24911.0425,55.9471,12.6493,high,high,long,female,Martinez
Pit Bull,14507.7631,,11.9167,med,high,short,female,Beard
Bearded Collie,22437.3292,53.6253,12.4288,high,high,long,female,Nolan
Siberian Husky,20207.292,56.8401,11.7624,med,med,med,female,Hernandez
Bearded Collie,20023.1264,53.614,13.375,high,high,long,female,Robinson
Siberian Husky,19049.5203,53.1249,12.0001,med,med,med,female,Tiffany
Pit Bull,29915.0427,45.9046,11.6874,med,high,short,female,Dalton
Siberian Husky,18023.6754,52.8062,10.5223,med,med,long,female,Torres
Siberian Husky,20755.0231,,12.758,low,med,med,female,Cole
English Setter,29835.7413,62.4561,12.8072,high,high,med,male,Dean
Siberian Husky,19870.2996,53.6322,12.4485,med,med,med,male,York
English Setter,35365.4443,59.6183,12.1473,high,high,med,male,Garcia
Siberian Husky,16628.1815,55.9466,12.3434,med,high,med,male,Waters
Siberian Husky,22019.5484,56.4383,12.5386,med,med,med,female,Pratt
Pit Bull,26347.3139,,11.4939,med,high,short,male,Tracie
Bearded Collie,23079.1375,,11.8537,high,high,long,male,Walker
Siberian Husky,20826.3994,54.5909,11.7776,med,med,short,female,Chan
Siberian Husky,18569.8697,55.3916,11.9051,med,med,med,female,Kirby
Siberian Husky,16765.094,54.0206,11.4955,high,med,med,female,Randolph
English Setter,17407.7872,59.3311,8.6936,high,high,med,female,Gay
Bearded Collie,27371.6941,53.9355,12.9441,high,high,long,male,Franco
English Setter,31264.1268,57.8354,12.7256,high,high,med,male,Evans
Siberian Husky,18655.6088,,12.2564,med,low,med,female,Stanley
Siberian Husky,18164.0121,,11.4114,med,med,med,male,Key
Siberian Husky,19149.5586,55.8258,11.3747,med,med,short,male,Kim
Bearded Collie,26037.6138,54.2769,12.9369,high,high,long,female,Sanchez
Pit Bull,31224.6096,,12.3531,med,high,short,female,Williamson
English Setter,26215.5676,,11.119,high,high,long,female,Sanford
Bearded Collie,19790.6269,53.8592,13.737,high,high,long,male,Webb
English Setter,25752.5521,59.4689,10.9286,high,high,med,male,Ford
Pit Bull,31596.0967,,11.8374,med,high,short,female,Huff
Siberian Husky,21281.2983,54.7899,11.1581,med,med,med,male,Fernandez
Pit Bull,25378.8539,45.3253,11.0022,med,high,short,female,Scott
Siberian Husky,19071.1759,54.0602,11.8128,med,med,med,male,Odonnell
Bearded Collie,25264.8169,50.9349,13.5695,high,high,long,female,Li
English Setter,31532.6293,64.2675,12.5912,med,high,med,male,Hill
Siberian Husky,19967.7724,57.3434,12.0864,high,med,med,male,Lopez
English Setter,41405.2955,60.8228,10.6334,high,high,med,female,Townsend
Siberian Husky,21362.3861,56.5001,12.5714,med,med,med,female,Hernandez
Pit Bull,30898.984,46.676,12.2375,low,high,short,male,Meyer
Siberian Husky,19410.2786,,12.3107,med,low,med,male,Nelson
Bearded Collie,20642.1228,52.3293,12.8813,high,high,long,female,Greene
Siberian Husky,20893.2506,59.5031,12.5246,med,med,med,male,Wells
English Setter,31034.1136,,13.1514,high,high,med,male,Holland
Pit Bull,27204.4063,46.411,13.1629,med,high,short,female,Lozano
English Setter,31691.5935,61.941,11.79,high,high,med,male,Carney
English Setter,28266.6708,60.7186,13.2916,high,med,med,male,Torres
Pit Bull,12623.3686,46.6621,12.1584,med,high,short,female,Leach
Bearded Collie,22475.8121,53.3505,12.4783,high,high,long,female,Hicks
