Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Japanese Chin Dog,1605.4176,23.8576,13.4672,med,high,med,male,Page
Japanese Chin Dog,2861.0606,25.5215,13.8479,med,high,med,male,Wong
Airedale Terrier,17864.6277,,11.2332,high,high,med,female,Brown
French Bulldog,11615.5953,29.6752,9.3224,high,high,short,female,Reynolds
English Setter,31093.3144,64.2259,11.5057,high,high,short,male,Gonzalez
Japanese Chin Dog,2165.6195,21.585,12.6486,med,high,long,female,Smith
Airedale Terrier,22360.7089,,10.6021,med,high,med,male,Maxwell
Japanese Chin Dog,3389.9221,21.7685,13.8403,med,high,long,male,Clark
Airedale Terrier,19978.9344,56.7056,11.7685,high,high,short,female,Copeland
English Setter,24400.572,60.3619,13.6243,high,high,med,female,Mccoy
Airedale Terrier,20349.2506,,11.5179,high,high,med,female,Brown
Airedale Terrier,21069.3855,56.9216,10.4584,high,high,med,female,Cruz
Airedale Terrier,20922.3594,,11.4897,high,high,med,male,Baker
Japanese Chin Dog,3680.7866,,12.1524,med,high,med,male,Blankenship
Airedale Terrier,21050.2842,56.762,11.4243,high,high,med,male,Morgan
Airedale Terrier,20025.9264,,12.5453,high,med,med,female,Harvey
English Setter,31651.2365,64.2684,10.0668,high,high,med,female,Gonzalez
Airedale Terrier,23908.2172,56.4384,11.3047,high,high,long,male,Darrell
Airedale Terrier,20716.277,56.5376,10.6935,high,high,long,male,George
French Bulldog,12204.3319,29.1336,10.4351,high,high,short,female,Martinez
Japanese Chin Dog,2026.604,22.5496,12.5083,med,high,med,male,Sims
French Bulldog,12351.5016,28.7666,10.2304,med,high,short,male,Brown
Airedale Terrier,22504.1329,56.8932,11.4845,high,high,med,male,Wilkerson
Japanese Chin Dog,5318.7086,23.9935,12.2887,med,high,med,male,Mcbride
French Bulldog,11691.9033,29.1454,9.1782,med,high,med,male,Parker
French Bulldog,12403.5473,29.6367,9.5165,med,high,short,male,Russell
French Bulldog,11764.479,,10.2872,med,high,short,female,Crawford
French Bulldog,12005.8396,29.816,10.5012,med,high,short,female,Watkins
Airedale Terrier,19041.0095,57.4307,10.9367,high,high,med,female,Hansen
Japanese Chin Dog,4616.8616,23.3228,13.2321,med,med,short,male,Ford
Airedale Terrier,21875.3841,56.9096,11.5107,high,high,med,male,Walker
Airedale Terrier,19335.1303,56.6149,12.8374,high,med,long,male,Rachel
Airedale Terrier,24973.6161,57.6225,11.678,high,high,med,male,Chapman
English Setter,30804.8156,,13.4527,high,high,med,male,Moon
English Setter,33595.3105,63.946,13.2444,high,high,med,male,Wallace
French Bulldog,11716.7867,28.7648,10.1625,med,high,short,male,Erickson
