Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
French Bulldog,11224.6947,,10.0968,high,high,short,male,Hayes
English Setter,26547.2137,,10.2087,high,high,med,male,Gonzalez
English Setter,33592.7142,64.755,11.9223,high,high,med,male,Ward
French Bulldog,11312.4761,28.0362,10.9299,med,high,med,male,Cruz
French Bulldog,12215.9036,29.5239,9.575,med,high,short,female,Munoz
English Setter,23473.254,65.6163,12.6635,high,med,med,male,Johnson
Great Dane,57602.4426,,5.4193,med,high,short,female,Alvarez
French Bulldog,11690.1676,29.8455,10.6548,low,high,short,male,Dillon
French Bulldog,12250.4434,29.3612,10.7282,med,high,short,male,Fox
English Setter,35627.2423,62.188,9.3055,high,high,med,female,Nielsen
Golden Retriever,32648.3493,56.0968,11.4517,med,high,med,female,Benton
Golden Retriever,27705.9428,55.428,12.1955,med,high,med,male,Weaver
Golden Retriever,24291.8909,59.6118,11.285,med,high,med,female,Torres
English Setter,32533.206,,12.8692,high,high,med,male,Wilson
Golden Retriever,34575.2941,60.3508,12.0404,med,high,short,female,Smith
Golden Retriever,27318.6165,56.7811,9.8303,med,med,med,male,Lloyd
Great Dane,49866.8634,78.7944,7.9152,med,high,short,male,Thomas
Golden Retriever,32157.4447,55.6748,11.6662,high,high,med,male,Taylor
Great Dane,49753.781,,7.6083,low,high,short,female,Hunt
English Setter,24878.7627,,13.1563,med,med,med,male,Andrade
Golden Retriever,33336.9987,59.7121,10.7094,med,med,med,female,Woods
Golden Retriever,28058.9073,56.701,11.6656,med,high,med,female,Garcia
French Bulldog,12687.7532,28.7719,9.7882,med,high,short,female,Lee
French Bulldog,13155.162,29.7308,11.1864,low,high,short,female,Koch
English Setter,26586.5076,60.848,11.2863,high,high,med,female,Smith
Golden Retriever,33092.7305,,13.018,med,high,med,female,Carroll
Great Dane,50412.1976,82.0958,6.1173,med,high,short,female,Marsh
French Bulldog,11884.9691,27.8405,9.0684,high,high,short,female,Coffey
Great Dane,50563.3479,79.4605,7.7445,med,high,short,male,Cowan
Golden Retriever,33150.3777,,11.7056,med,high,med,male,Nelson
Great Dane,51754.6592,80.0163,7.0216,med,med,short,male,Johnson
English Setter,32624.528,59.09,11.8666,high,high,med,female,Kelley
Golden Retriever,36234.9093,58.3222,12.71,med,med,med,female,Sanford
French Bulldog,11712.8685,,10.1027,high,high,short,male,Livingston
English Setter,27928.1767,64.7951,11.7776,high,high,short,female,Baxter
Great Dane,51446.3219,79.6454,8.1009,med,high,short,female,Mason
English Setter,34878.0124,64.5663,11.5063,med,high,med,female,Patrick
French Bulldog,12255.0195,28.8701,9.251,med,high,short,male,Alvarez
French Bulldog,12154.0084,28.445,10.3557,med,high,short,female,Perez
Great Dane,50626.5467,,7.0448,med,high,short,male,Phelps
English Setter,36284.4277,63.5095,10.3513,high,high,med,female,Martin
Golden Retriever,26607.6201,58.8387,12.94,med,high,med,male,Walker
French Bulldog,13233.2724,,9.5884,med,high,short,male,Hernandez
Golden Retriever,28215.064,58.6036,11.288,med,high,med,male,Morgan
Great Dane,44845.575,,6.3023,med,high,short,female,Sanchez
Great Dane,50117.7988,,6.4604,low,high,short,male,Hurley
English Setter,32031.917,66.5795,11.1493,high,high,short,male,Hill
Great Dane,44598.3994,78.5295,6.3696,med,high,short,female,Henderson
Golden Retriever,36976.1062,56.1651,9.8894,med,high,med,male,Diaz
Great Dane,51396.9333,80.9202,6.9618,med,high,short,male,Caldwell
English Setter,27200.3647,,14.091,high,high,med,female,Stein
Great Dane,52982.2227,79.2383,6.7547,low,high,short,male,Keith
Great Dane,51564.194,80.8727,6.7217,low,high,short,male,Hendrix
Great Dane,48544.5321,78.6307,6.8482,med,med,short,male,Lewis
Great Dane,49864.1154,79.2279,6.713,med,high,short,male,Samantha
Great Dane,52939.5325,,6.7533,med,high,short,female,Esparza
Great Dane,51419.2984,,7.8923,high,high,short,male,Price
English Setter,26258.6473,61.2251,12.3993,high,high,long,female,Mcgee
French Bulldog,11826.6431,,9.8736,med,high,short,female,Jenkins
Great Dane,45253.4238,,6.9164,low,high,med,female,Patel
English Setter,25269.1115,60.436,14.0562,high,high,med,female,Ali
Golden Retriever,25385.3896,56.8503,12.3325,med,high,med,male,Rios
French Bulldog,12322.988,28.0582,9.7844,med,med,short,female,Waters
Great Dane,47102.5657,79.9274,6.4263,med,high,short,female,Willis
French Bulldog,12384.7064,29.1729,9.5626,med,high,short,male,Love
Golden Retriever,30730.6564,60.8073,13.4014,med,high,short,female,Rush
French Bulldog,11394.0131,29.4108,10.0671,low,high,short,male,Bullock
French Bulldog,12679.3567,29.5236,10.4747,med,high,short,male,Prince
Golden Retriever,29713.2967,57.5902,11.7829,med,high,med,female,Cook
English Setter,25931.9669,66.4303,12.6984,high,high,med,female,Myers
Great Dane,47283.2865,81.1319,7.2051,med,high,short,male,Livingston
Golden Retriever,28773.9455,55.8556,10.9042,med,high,med,male,Gibson
English Setter,21478.1532,62.4949,11.9743,high,high,med,male,Frank
Great Dane,53625.0086,,7.408,med,high,short,male,Cole
French Bulldog,11905.7825,28.5577,9.7564,med,high,med,male,Griffith
Great Dane,49886.957,80.5109,7.1143,med,high,short,female,Arroyo
English Setter,28018.6067,62.3307,10.3182,med,high,med,male,Alvarez
Golden Retriever,27028.6344,55.1947,9.5949,med,high,med,female,Smith
Golden Retriever,27470.9433,55.0255,10.998,low,high,med,female,Ross
English Setter,22421.1032,,13.23,high,med,med,female,Owens
Great Dane,49878.0021,78.6818,6.7382,med,high,short,female,Wood
Golden Retriever,30559.4047,,11.094,low,high,med,female,Castillo
French Bulldog,11748.619,27.5585,9.8581,med,high,short,female,Collins
French Bulldog,11736.4427,29.5573,9.4195,med,high,short,female,Roberts
Golden Retriever,25548.9722,57.1509,11.6799,med,high,med,male,Mendoza
English Setter,26926.5904,65.9597,12.9642,high,high,med,female,Kelley
Golden Retriever,29115.6323,61.178,11.4837,med,high,med,male,Wu
Golden Retriever,32206.6261,57.6691,11.9634,med,high,short,female,Hobbs
English Setter,35446.0169,,15.747,high,high,med,female,Armstrong
French Bulldog,12614.6085,,9.931,med,high,short,male,Hampton
Great Dane,46736.2565,,7.1243,high,high,med,female,Richmond
Golden Retriever,29890.0719,58.6929,11.5398,med,high,long,female,Scott
English Setter,30986.539,60.2289,12.8771,high,high,short,male,Mayo
Golden Retriever,26760.1682,57.4691,11.5098,med,high,med,female,Mcdonald
Golden Retriever,35310.7316,,11.744,low,high,med,female,Long
English Setter,28481.2442,59.3751,12.502,high,high,med,female,Chang
French Bulldog,10346.1744,28.3297,9.5892,high,high,short,male,Meyer
Great Dane,46115.7621,,6.6113,med,high,med,female,Smith
French Bulldog,11576.099,,10.7654,med,high,med,female,Curtis
English Setter,24409.9595,55.4992,13.3526,high,high,med,female,Garcia
French Bulldog,12814.1601,29.1947,9.831,low,high,short,female,Marquez
French Bulldog,12787.0805,28.8674,11.0769,med,high,short,male,Hicks
