Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Welsh Corgi,12010.7624,30.6549,9.9671,med,high,med,female,Frey
Welsh Corgi,16668.3374,,10.3831,low,high,med,female,Cummings
Japanese Chin Dog,2115.5265,22.5272,12.271,high,high,med,female,Cline
Bearded Collie,22948.9482,,12.5776,high,high,long,female,Fowler
Bearded Collie,23432.0149,54.3369,13.5911,high,high,long,male,Aguilar
Japanese Chin Dog,3224.9006,22.5975,13.1214,med,high,med,male,Myers
Japanese Chin Dog,2125.9044,21.962,13.8153,med,high,med,male,Smith
Australian Shepherd,17885.5529,56.0491,13.7492,high,high,short,female,Haley
Japanese Chin Dog,5994.9366,23.5119,12.5812,med,high,long,male,Anderson
Japanese Chin Dog,1251.561,23.615,13.3664,med,high,med,male,Shelton
Bearded Collie,18484.3275,,13.0359,high,high,long,male,Anderson
Australian Shepherd,22162.7853,,13.9296,high,high,med,female,Acosta
Welsh Corgi,16013.1212,29.8731,11.3051,med,high,med,female,Barbara
Bearded Collie,16444.519,,13.343,high,high,med,male,Howell
Bearded Collie,18925.9067,51.4924,11.9296,high,high,long,male,Weiss
Bearded Collie,23244.3774,51.9577,13.4437,high,high,med,male,Cannon
Bearded Collie,20247.1824,,13.5747,high,high,long,female,Chapman
Welsh Corgi,15045.1264,,11.1716,med,high,med,female,Merritt
Bearded Collie,23787.0574,50.1724,12.8576,high,high,long,female,Watson
Bearded Collie,21618.6531,,12.4885,high,high,long,female,Rice
Welsh Corgi,15272.6943,27.4606,10.9197,low,med,med,female,Gomez
Japanese Chin Dog,3678.9216,,12.3156,med,high,med,female,Rodriguez
Bearded Collie,17073.2459,52.7529,12.4965,med,high,long,male,Romero
Bearded Collie,25058.4769,52.1681,12.6917,med,high,long,female,Nichols
Bearded Collie,19078.6473,52.8002,13.2449,high,high,long,female,Brown
Welsh Corgi,13813.8123,26.3936,11.294,med,high,med,female,Sparks
Australian Shepherd,18894.9762,53.189,12.7773,high,high,med,male,Russell
Bearded Collie,19304.8839,55.0721,11.7702,high,high,long,female,White
Bearded Collie,22668.9862,52.9931,12.7386,high,high,long,female,Morgan
Australian Shepherd,25874.2483,54.3333,12.1522,high,high,short,female,Kelley
Bearded Collie,23983.9695,,12.8458,med,high,long,female,Myers
Welsh Corgi,15395.8484,,10.9254,med,high,med,female,Casey
Welsh Corgi,12294.8079,29.2303,11.2792,med,high,med,male,Townsend
Welsh Corgi,13199.5133,29.9561,10.7422,med,med,med,male,Smith
Australian Shepherd,17678.2023,52.5972,13.0486,high,high,short,female,Frazier
Bearded Collie,23138.0537,54.9578,12.8603,high,high,long,male,Lewis
Australian Shepherd,14406.0925,,12.9889,high,high,long,male,Taylor
Australian Shepherd,29850.6693,55.6422,12.7526,high,med,med,female,Jones
Bearded Collie,27329.7913,52.748,12.8247,high,high,long,male,Lewis
Australian Shepherd,24818.4191,54.872,14.6344,high,high,med,female,Kelly
Bearded Collie,21534.3257,54.1867,13.0834,high,high,long,female,Snyder
Australian Shepherd,22303.62,54.3705,12.1989,high,high,med,female,Love
Australian Shepherd,28451.1622,,12.0753,high,high,med,female,Jones
Welsh Corgi,16671.5835,,11.6793,med,high,med,male,Romero
Welsh Corgi,10766.5405,30.3216,11.1079,low,high,long,female,Wolf
Australian Shepherd,25191.3836,54.1752,13.4272,high,high,med,female,Melendez
Welsh Corgi,16159.8602,30.0541,11.3474,med,high,med,male,Carr
Bearded Collie,27216.4494,53.2042,13.3213,high,high,long,male,Davis
Japanese Chin Dog,5381.3492,22.7184,12.8244,med,med,med,female,Lopez
Australian Shepherd,25373.3939,53.4958,13.1032,high,high,med,female,Lin
Welsh Corgi,12468.6959,27.3624,11.4761,med,high,med,female,Sullivan
Bearded Collie,20105.7966,55.3502,12.9143,high,high,long,male,Hall
Japanese Chin Dog,3610.244,23.832,13.5478,med,high,med,male,Yoder
Japanese Chin Dog,1686.5196,22.2648,12.3076,med,high,med,male,Hernandez
Bearded Collie,20933.0788,51.7208,13.561,high,med,long,female,Liu
Japanese Chin Dog,4931.9312,,12.7341,med,high,med,male,Garcia
Welsh Corgi,13207.5805,,12.0358,med,med,med,female,Conway
Japanese Chin Dog,3026.8545,23.5571,13.4701,med,high,med,male,Owen
Bearded Collie,20467.8406,50.9284,12.0319,high,med,long,female,Blake
Japanese Chin Dog,2919.6489,23.3439,13.3971,med,high,med,male,Campbell
Australian Shepherd,18518.3617,53.1848,13.0705,high,high,long,male,Walker
Japanese Chin Dog,4002.6767,,12.4523,low,high,med,male,Ward
Welsh Corgi,12053.0314,,11.278,low,high,med,female,Escobar
Australian Shepherd,19118.3455,53.739,13.4159,high,high,short,male,Thomas
Japanese Chin Dog,4546.7335,22.5835,13.3377,low,high,med,male,Coleman
Japanese Chin Dog,1876.9294,23.0297,12.5473,low,high,med,male,Hill
Japanese Chin Dog,3731.2086,24.0613,12.5924,med,high,long,male,Johns
Welsh Corgi,10956.5046,,11.0186,low,high,med,male,Davis
Australian Shepherd,23947.2375,52.0333,12.443,high,high,med,female,Davis
Bearded Collie,22963.5747,,12.9104,high,high,long,male,Lopez
Welsh Corgi,17397.8236,29.9194,10.0302,med,high,med,female,Hall
Japanese Chin Dog,5296.0912,23.2677,11.9787,med,high,med,female,Warren
Australian Shepherd,29186.8168,,13.87,high,high,med,female,Thompson
Japanese Chin Dog,3576.0989,23.4085,14.2399,low,high,med,male,Roberts
Japanese Chin Dog,2708.2442,23.5432,13.4228,med,high,med,female,Morales
Welsh Corgi,13361.4284,27.8809,9.8388,med,high,med,male,Scott
Japanese Chin Dog,3684.2387,23.828,13.4376,med,high,med,female,Evans
Bearded Collie,24092.1846,,13.558,high,high,long,female,Harris
Welsh Corgi,15365.0921,,10.8389,med,high,med,female,Bailey
Welsh Corgi,14629.0189,,11.6173,med,high,med,male,Christensen
Japanese Chin Dog,2042.3396,22.5743,13.0413,med,high,short,female,Sanchez
Japanese Chin Dog,3709.0169,22.1419,13.3592,med,high,med,male,Thornton
Bearded Collie,21096.8853,51.3557,13.7637,high,med,long,female,Martin
Japanese Chin Dog,4128.4809,23.306,12.7994,med,high,med,female,Miller
Welsh Corgi,13185.2047,32.059,11.2922,high,high,med,female,Sparks
Japanese Chin Dog,3911.6465,22.4116,12.5601,low,med,med,male,Garcia
Australian Shepherd,23235.8422,,12.4793,high,high,med,male,Walker
Bearded Collie,21732.1629,55.311,13.8451,high,high,long,male,Brooks
Welsh Corgi,13612.1483,30.0672,11.0513,med,high,med,female,Thompson
Bearded Collie,21753.4597,52.0161,12.6805,high,high,long,female,Brown
Japanese Chin Dog,2423.3428,,13.2674,med,high,med,female,Rebecca
Bearded Collie,18678.1026,49.7438,13.562,high,high,long,male,Davis
Bearded Collie,22532.234,54.0602,13.2577,high,high,long,female,Cooper
Japanese Chin Dog,3256.9411,24.3945,13.1214,med,high,short,male,Escobar
Welsh Corgi,13284.3121,,12.1885,med,high,med,female,Frank
Australian Shepherd,24226.2187,53.2626,13.9698,high,high,med,male,Hicks
