Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Bichon Frise,5212.0679,30.9675,13.5652,med,high,med,male,Sandoval
Jack Russel Terrier,5290.6843,33.8407,13.9553,high,low,short,male,Davis
Jack Russel Terrier,6338.8238,33.8872,14.0754,med,med,short,female,Richardson
Bichon Frise,3085.1738,30.1985,14.7285,med,high,med,female,Adams
Welsh Corgi,13706.2484,,10.8966,med,high,med,male,Martinez
French Bulldog,12082.0048,28.8158,10.6242,med,high,short,male,Wright
French Bulldog,11897.092,28.8884,11.4893,med,high,short,male,Matthew
Jack Russel Terrier,5603.0006,33.8049,14.547,high,low,short,female,Riddle
Jack Russel Terrier,9419.8949,,14.0188,high,high,short,female,Ross
Bichon Frise,2686.5667,30.7734,13.1939,med,high,med,male,Douglas
Bichon Frise,6376.4897,31.0455,13.7251,med,high,med,female,Benton
Bichon Frise,4867.9981,30.446,13.4761,med,high,long,male,Stevens
Bichon Frise,3982.6915,,12.6923,med,high,med,male,Hutchinson
Jack Russel Terrier,7783.4791,34.3674,13.9309,high,med,short,female,Reese
Jack Russel Terrier,6222.0192,34.0515,13.8676,high,med,short,male,Wallace
Bichon Frise,4593.8451,30.5769,13.002,low,high,med,female,Stephens
Bichon Frise,4363.0907,30.2289,14.5867,med,high,long,male,Thomas
Bichon Frise,3827.022,30.9001,14.6925,low,high,med,female,Day
Bichon Frise,3711.3543,30.6281,12.977,med,high,med,female,Alexander
Bichon Frise,2128.3552,30.1767,13.4467,med,high,short,female,Ortega
Jack Russel Terrier,7739.2204,34.0285,14.4545,high,med,short,female,Andrews
French Bulldog,12422.2424,,9.8742,low,med,short,female,Hart
French Bulldog,11901.2722,28.7693,9.9432,med,high,short,female,Brown
Jack Russel Terrier,4913.293,34.1057,14.4799,med,med,short,female,Martinez
Jack Russel Terrier,6662.4033,33.0854,13.0241,high,high,short,female,Johnson
French Bulldog,11968.5551,29.4852,10.8206,med,high,short,male,Perez
French Bulldog,11638.5022,28.8746,10.5195,low,high,short,female,Preston
Bichon Frise,5821.2419,30.5087,15.2555,med,high,med,male,Hardin
Bichon Frise,5351.8237,,15.1012,med,high,med,female,Castro
Bichon Frise,3808.3951,,14.0795,med,high,med,male,Parker
Jack Russel Terrier,7458.1761,35.0034,14.1475,med,low,short,male,Scott
French Bulldog,12407.9478,29.6,9.9529,med,high,med,female,Andersen
Welsh Corgi,15512.5782,28.6827,9.6334,med,med,med,male,Henson
Welsh Corgi,13327.0005,24.6327,11.0296,med,med,med,male,James
Bichon Frise,4841.5007,30.2359,13.1372,med,high,long,female,Petersen
French Bulldog,12645.9868,28.8564,10.7509,high,high,short,female,Rodriguez
Bichon Frise,3535.8573,,13.9941,low,high,med,female,Jackson
Jack Russel Terrier,6675.6373,32.6736,13.7235,high,med,short,male,Reed
Jack Russel Terrier,6481.0397,34.3666,13.6261,high,med,short,male,Bell
Welsh Corgi,12407.0462,26.5831,11.0051,high,med,med,female,Mcdowell
Welsh Corgi,16154.4647,31.3803,11.2517,med,high,med,female,Williams
French Bulldog,11949.0156,28.2696,10.3828,med,high,short,male,Smith
Jack Russel Terrier,5703.7652,33.8461,14.29,high,med,short,female,Robles
Bichon Frise,5040.0993,30.6454,13.3825,med,high,short,female,Morgan
Bichon Frise,3985.0642,30.0204,12.5834,med,high,med,female,Stone
Bichon Frise,4216.5098,30.3632,14.7677,med,high,med,male,Duke
Welsh Corgi,11993.5899,29.4554,11.6561,med,high,short,female,Rodriguez
French Bulldog,12167.0523,29.281,9.2656,low,high,short,female,Martinez
Jack Russel Terrier,5763.8529,34.6963,13.2411,high,high,short,female,Mendez
Jack Russel Terrier,7371.7696,34.6209,14.5249,high,med,short,female,Meadows
Jack Russel Terrier,7274.4035,34.5871,14.5313,high,med,med,male,Perkins
Jack Russel Terrier,6371.9322,32.9917,13.3532,med,low,short,female,Weaver
Welsh Corgi,13637.1424,,11.2918,med,high,med,female,Flores
Bichon Frise,3967.2881,30.9456,13.7489,med,med,med,male,Williams
Welsh Corgi,14989.0847,28.8788,11.0084,low,high,med,female,Mitchell
Jack Russel Terrier,7128.4676,34.365,13.6822,med,med,short,female,Page
Welsh Corgi,15034.2749,31.0991,12.1404,med,med,med,female,Bailey
French Bulldog,12464.7863,28.7944,10.0738,med,high,short,male,Meyer
Jack Russel Terrier,6965.5086,34.0621,13.9382,high,med,short,male,Perez
Bichon Frise,4833.13,,14.6367,med,high,long,male,Holland
Bichon Frise,4416.1675,,14.1688,med,high,med,male,Robinson
French Bulldog,12705.7383,29.3546,10.2958,med,high,med,male,Ryan
Bichon Frise,3609.0902,30.7409,14.112,low,high,short,male,Smith
French Bulldog,12580.1126,29.3939,8.8191,med,high,short,female,Wheeler
Jack Russel Terrier,5633.2665,33.476,14.7681,high,med,short,female,Marshall
Jack Russel Terrier,4626.4138,33.9174,13.2277,med,low,short,male,Clark
Jack Russel Terrier,7816.4989,34.8041,15.1304,high,med,short,male,Brooks
Jack Russel Terrier,7279.5783,,14.4588,high,low,short,male,Lin
French Bulldog,12218.6709,29.2204,10.2147,med,high,short,male,Schneider
Bichon Frise,4011.7748,,11.6714,med,high,med,male,Brown
French Bulldog,12065.7272,30.1998,10.4241,med,high,short,female,Andersen
Jack Russel Terrier,5685.8572,33.9159,14.0137,high,high,short,male,Yoder
French Bulldog,12551.7122,28.6831,9.4816,high,high,short,female,Miller
Bichon Frise,5311.1087,,14.3491,med,high,med,male,Pennington
Welsh Corgi,15396.1155,29.0546,10.316,med,high,med,female,Smith
Jack Russel Terrier,6109.2244,,13.8184,high,high,short,female,Knight
Welsh Corgi,12959.6662,30.914,10.786,med,high,med,female,Jones
Welsh Corgi,16179.1513,28.0248,10.3444,med,high,short,male,Cochran
Welsh Corgi,12498.6239,27.5624,10.2371,med,high,med,male,Wolf
Bichon Frise,4516.2134,30.4666,14.349,med,high,med,male,Lane
French Bulldog,11924.3425,29.0444,11.1487,high,high,short,female,Lynch
