Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Dalmatian,27093.3015,48.0,13.5471,high,high,short,female,Davis
Bichon Frise,4742.4234,30.4542,12.7418,high,high,short,female,Bryant
Bichon Frise,5605.7164,30.7435,15.1966,med,med,med,female,Dickerson
Bichon Frise,3975.4518,30.3749,12.7236,high,high,med,male,Davis
English Setter,23985.8299,65.5067,11.6841,high,high,short,male,Ellis
Jack Russel Terrier,6918.2049,33.0354,13.7942,med,med,short,female,Smith
Bichon Frise,5517.395,,13.7531,med,high,med,male,Reyes
English Setter,26370.1306,,11.124,high,high,med,male,Bradford
English Setter,20330.8386,65.4584,12.9327,high,high,short,male,Wyatt
English Setter,27108.2246,61.053,11.7882,high,high,med,male,Huff
English Setter,31743.7618,60.4978,11.1177,high,high,med,female,Thornton
Bichon Frise,2855.6167,30.5424,11.6065,med,high,med,male,Barber
Jack Russel Terrier,7652.8481,34.1239,12.869,high,med,short,male,Holt
Dalmatian,19299.253,48.0,13.117,high,high,short,female,Harrison
Jack Russel Terrier,6775.8926,34.2052,14.0723,high,med,short,male,Parker
Jack Russel Terrier,7223.7484,34.8871,13.9157,high,med,short,male,Prince
Jack Russel Terrier,6719.0942,,13.7441,high,med,short,female,Hull
Jack Russel Terrier,6891.7678,33.4615,14.5225,high,med,short,female,Cox
Jack Russel Terrier,5970.8591,34.2283,13.5814,high,med,med,female,Schultz
Jack Russel Terrier,7572.9181,34.4292,13.7033,med,med,short,female,Matthews
Dalmatian,23931.9656,48.0,12.9389,high,high,med,female,Velez
Bichon Frise,4659.9104,30.6646,11.1802,med,med,med,male,Johnson
English Setter,30198.7248,64.6587,12.7571,high,high,long,male,Miller
Dalmatian,22559.0473,48.0,13.8093,high,high,short,female,Harris
English Setter,32263.8203,62.0429,13.0661,high,high,long,female,Harrell
Dalmatian,23648.1161,48.0,12.9208,high,high,short,male,Walker
Dalmatian,25189.9427,48.0,13.8232,high,high,short,male,Acevedo
Jack Russel Terrier,7108.5711,34.3516,14.9901,high,med,short,female,Kirby
Bichon Frise,4288.9483,30.5642,11.8068,med,high,long,male,Marshall
Jack Russel Terrier,7303.1662,33.6592,14.1984,high,med,short,male,Gonzales
Bichon Frise,5779.8157,30.5255,14.133,med,high,med,female,Cook
Dalmatian,23303.2837,,13.397,high,high,short,male,Vargas
English Setter,31904.189,,11.7638,high,high,med,female,Hernandez
English Setter,27630.4973,,12.1107,high,med,med,male,Hebert
Jack Russel Terrier,6385.9725,35.2439,13.8189,med,med,med,female,Perez
Dalmatian,22045.7084,,13.3634,high,high,short,female,Carter
Dalmatian,23260.6408,48.0,13.0918,high,high,short,male,Price
Jack Russel Terrier,6152.1597,33.6982,13.8076,high,med,short,male,Smith
English Setter,28170.6682,,11.0102,high,med,med,female,Graves
English Setter,32057.6622,67.6246,11.1986,high,high,long,female,Alvarez
English Setter,34241.4742,65.9366,12.5109,high,high,med,female,Roberts
Dalmatian,22053.7389,48.0,13.2415,high,med,short,female,Cross
Dalmatian,27516.0954,48.0,12.2707,high,high,short,male,Greene
English Setter,39118.4044,62.5298,12.6837,high,high,med,female,Bradford
Jack Russel Terrier,7784.307,,13.168,high,high,short,male,Wells
Jack Russel Terrier,6315.5821,32.6576,14.9492,high,med,short,female,White
Jack Russel Terrier,6855.17,34.5243,13.7713,high,med,short,female,Mcclain
Jack Russel Terrier,6906.4211,34.3013,13.3037,high,med,short,male,Gray
Jack Russel Terrier,6267.7449,34.7209,14.0089,high,low,short,female,Baldwin
Jack Russel Terrier,7320.2896,,14.7264,high,med,short,female,Harris
Dalmatian,20280.8336,48.0,12.5914,high,high,short,male,Roberts
English Setter,26684.4959,63.4791,12.3663,high,high,short,female,Diaz
English Setter,25368.8993,57.0571,11.3491,high,high,med,female,Bell
Jack Russel Terrier,5461.4869,34.2757,13.6233,high,med,short,male,Greene
Bichon Frise,4372.8333,,13.6233,high,med,med,female,Weber
Bichon Frise,3396.0534,29.6672,14.5412,med,high,med,male,Freeman
English Setter,31840.6559,,12.1719,high,high,med,male,Chase
Jack Russel Terrier,6809.9875,33.7216,14.0905,high,med,short,female,Gonzalez
English Setter,28134.8286,63.2077,12.1857,high,high,med,female,Johnson
English Setter,32445.1774,62.5053,12.8357,high,high,med,male,Baker
English Setter,26776.0194,62.6127,13.397,med,high,med,male,Hobbs
English Setter,28423.3068,,11.0774,high,high,long,female,Barr
Jack Russel Terrier,5994.0565,35.0387,14.2584,high,med,short,male,Myers
Bichon Frise,4094.9253,,14.3132,med,high,short,male,Nash
English Setter,21863.5845,59.9511,11.8061,high,high,med,female,Martinez
Bichon Frise,5275.7576,30.2481,14.6129,med,high,med,male,Long
Jack Russel Terrier,5725.1795,33.9571,14.3011,high,med,short,female,Barton
Dalmatian,22917.875,,13.7638,high,high,short,male,Parker
Bichon Frise,3946.6811,30.5581,14.6343,med,high,med,male,Mullins
English Setter,32179.4879,61.593,12.8587,high,high,med,male,Reeves
Bichon Frise,5816.9972,30.2815,13.6254,med,high,med,female,Edwards
Jack Russel Terrier,6270.4674,33.7544,13.918,high,med,short,female,Castillo
English Setter,23398.7467,65.4176,12.1406,high,high,med,female,Myers
Jack Russel Terrier,5401.2233,34.1336,14.7793,med,low,short,male,Hart
Dalmatian,22768.1187,48.0,13.204,high,high,short,male,Brown
Bichon Frise,5534.0789,30.1984,13.2586,med,high,med,female,Davis
English Setter,21794.4544,63.4702,12.1821,high,high,med,female,Ramos
Dalmatian,21812.6869,48.0,11.8036,high,high,short,female,Hunt
Bichon Frise,3549.9935,30.0956,14.4083,high,high,med,male,Santana
English Setter,30315.1699,61.9737,13.6449,high,high,long,male,Smith
Bichon Frise,4686.849,,13.1779,low,high,med,male,Huynh
Jack Russel Terrier,6229.9147,34.5411,13.8796,high,low,short,male,Holmes
Jack Russel Terrier,7207.9893,,14.2298,high,med,short,male,Olson
Jack Russel Terrier,6929.8967,34.4187,14.3901,high,med,med,female,Nguyen
Jack Russel Terrier,6267.3221,34.5789,13.9239,high,med,short,female,Long
Bichon Frise,4322.6084,30.506,13.6757,med,high,short,female,Parks
English Setter,27562.216,60.8078,13.579,med,high,med,female,Valenzuela
Jack Russel Terrier,7908.9173,33.9355,14.2252,high,high,short,female,Garrett
English Setter,28626.4935,62.3279,13.1743,high,high,long,female,Mitchell
Dalmatian,22462.853,48.0,12.3902,high,high,short,male,James
English Setter,27880.8259,60.814,12.1022,high,high,med,female,Boyle
Bichon Frise,5242.6333,,13.7407,med,high,med,female,Powell
Dalmatian,25434.1353,48.0,12.1382,high,high,short,female,Patton
Jack Russel Terrier,6620.2808,34.2025,14.5367,high,med,short,female,Ortiz
Bichon Frise,3527.9928,,13.7858,med,high,med,female,Anderson
Dalmatian,21390.6407,48.0,12.1603,high,high,med,male,Johnson
English Setter,16942.6289,65.0214,13.1711,high,high,med,female,Vincent
English Setter,29579.2611,62.1954,12.254,high,high,long,female,Philip
Bichon Frise,6600.1103,30.5991,14.0518,med,high,med,female,Fields
Bichon Frise,2749.3132,29.7893,13.1317,med,high,short,male,Raymond
Jack Russel Terrier,5835.6117,34.4749,13.5145,high,med,short,male,Hoffman
English Setter,34996.9662,60.2333,12.3794,high,high,med,male,Hall
English Setter,32081.6539,64.6079,12.1297,high,high,long,female,Russell
English Setter,34683.1761,62.0552,12.4402,high,high,med,female,Miller
Bichon Frise,5045.0608,,12.9254,low,high,med,female,Jones
Bichon Frise,4506.051,30.455,13.0493,low,high,med,male,Butler
Jack Russel Terrier,4946.5516,33.4541,14.5887,high,low,short,male,Harvey
Bichon Frise,5558.5064,30.1098,12.1058,med,high,med,male,May
Jack Russel Terrier,6581.0465,33.8605,14.2049,high,med,short,male,Hall
Jack Russel Terrier,6656.6127,35.0396,13.6364,high,med,short,male,Velasquez
English Setter,20217.4153,,13.0457,high,high,med,female,Ellison
English Setter,28557.3082,58.835,10.2259,high,high,med,female,Walsh
Dalmatian,24499.2123,48.0,12.5623,high,high,short,male,Wall
Bichon Frise,3991.8553,30.0961,14.0929,med,high,med,male,Martin
Jack Russel Terrier,7153.7474,32.712,13.5932,high,med,med,male,Wells
Jack Russel Terrier,5292.6496,34.9828,14.1774,high,med,short,male,Miller
Dalmatian,21265.2307,48.0,12.9548,high,high,short,female,Martin
Jack Russel Terrier,6353.0789,34.0807,14.2721,high,med,short,female,Martin
Bichon Frise,5119.3056,,15.6384,med,high,med,male,Cruz
Bichon Frise,5685.3504,30.7544,12.3685,med,high,med,female,Williams
Dalmatian,23661.5517,48.0,12.7582,high,high,med,female,Lozano
English Setter,25201.3299,62.0972,13.8738,high,high,short,female,Alexander
Dalmatian,25759.852,48.0,13.0414,high,high,short,female,Miller
English Setter,31316.1602,62.4805,11.4308,high,high,long,female,Rodgers
Dalmatian,27492.3576,48.0,12.9464,high,high,short,female,Wallace
English Setter,37620.8106,66.253,11.0898,high,med,med,female,Woods
Bichon Frise,5524.7695,,15.011,med,med,short,female,Taylor
Dalmatian,21820.1739,48.0,13.3678,high,high,short,male,Young
Dalmatian,23854.0588,48.0,13.6089,high,high,short,male,Fisher
Dalmatian,22827.7974,48.0,13.4874,high,high,short,male,Stanley
