Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Samoyed,27218.0094,55.4842,10.3092,med,high,med,female,Knight
Bearded Collie,25593.8305,54.3663,14.5407,high,high,long,female,Mcpherson
Bearded Collie,23104.553,51.4324,13.7982,high,high,long,male,Howell
Bearded Collie,20552.5691,52.9461,12.7047,med,high,long,male,Foley
Airedale Terrier,20163.3668,57.1336,10.5662,high,med,med,male,Cole
Bearded Collie,20212.4636,55.4117,13.554,high,high,long,male,Shepard
Amstaff,27540.7933,45.8553,12.9428,med,med,short,female,Castillo
Bearded Collie,24941.4356,,14.2791,high,high,long,female,Harmon
Samoyed,25745.4812,53.6291,10.0782,med,high,med,female,Young
Airedale Terrier,20038.3223,58.0509,13.5823,high,high,med,female,Hall
Amstaff,27378.3741,46.1391,13.1238,med,high,short,male,Knight
Bearded Collie,20134.8305,51.4617,12.9363,high,high,long,male,Horton
Bearded Collie,17740.5241,54.5711,13.7762,high,high,long,male,Howard
Bearded Collie,23742.2787,52.9689,12.5107,high,med,long,male,Strickland
Samoyed,26368.0778,,11.3042,high,high,med,female,Harvey
Airedale Terrier,19432.0061,56.5169,10.8443,high,med,med,female,Quinn
Amstaff,24291.1135,45.8689,12.6939,med,high,short,male,Alexander
Airedale Terrier,21070.0627,56.3159,12.0432,high,high,med,female,Foster
Samoyed,20283.7182,53.4279,10.3861,med,high,med,male,Arroyo
Airedale Terrier,18318.4775,57.2641,11.2892,high,high,med,male,Quinn
Amstaff,21262.5508,45.9374,13.2768,low,med,short,female,Phelps
Bearded Collie,23578.3221,52.01,12.356,high,high,long,female,Thompson
Bearded Collie,21510.8721,,12.9462,high,high,long,female,Franco
Bearded Collie,23780.7079,49.6049,12.8817,high,high,long,female,Ramirez
Airedale Terrier,19669.3725,57.5002,11.6929,high,high,med,female,Ruiz
Bearded Collie,20711.1227,57.1783,13.1689,high,high,long,female,Olson
Amstaff,21108.9274,,13.9089,high,high,short,female,Obrien
Bearded Collie,18359.8765,52.9004,13.0826,high,high,med,male,Carpenter
Samoyed,12631.0898,56.2266,10.6549,med,high,med,female,Ramirez
Amstaff,21691.3017,46.3961,13.2451,med,high,short,male,Gentry
Bearded Collie,22713.5745,49.7208,13.7297,high,high,long,male,Morrow
Amstaff,29589.5414,,11.7916,med,high,short,female,Thompson
Bearded Collie,17694.0802,54.6142,12.6203,high,high,long,female,Young
Airedale Terrier,19876.3636,56.3934,10.2043,high,high,med,female,Bowers
Amstaff,24872.4416,45.2038,13.972,med,high,short,female,Brown
Airedale Terrier,21508.5195,57.3214,11.2774,high,high,med,female,Moore
Bearded Collie,20120.0778,,13.29,high,high,med,male,Juarez
Samoyed,22780.0209,54.9563,10.5198,med,high,med,male,Gonzalez
Airedale Terrier,21038.2821,57.3447,9.8123,high,med,long,male,Cline
Bearded Collie,25542.9732,52.152,13.2983,med,high,long,female,Becker
Samoyed,18738.0115,51.6266,10.5414,med,high,med,male,Dominguez
Samoyed,19800.444,51.5352,10.8155,high,high,med,male,Brown
Amstaff,32400.3913,46.5202,13.0992,med,high,short,female,Jones
Samoyed,20156.9568,53.3981,11.3087,med,high,long,female,Davis
Amstaff,20831.8587,46.0768,12.994,med,high,short,female,Mathews
Samoyed,25389.9263,,12.1886,med,high,med,female,Clark
Bearded Collie,27682.3134,50.4026,11.9353,high,high,long,female,Morales
Bearded Collie,21049.406,52.3588,13.2596,high,high,long,female,Butler
Samoyed,23154.2639,53.4866,10.4559,low,high,med,male,Davis
Airedale Terrier,21058.5569,56.54,10.7834,high,high,med,female,Adams
Amstaff,26341.5212,46.3393,12.8074,med,high,short,male,Stephanie
Samoyed,20293.9145,52.0725,10.5168,med,high,short,male,Mills
Amstaff,26653.4339,46.2396,13.5874,low,high,short,female,Burgess
Samoyed,22095.3583,55.0138,11.333,med,high,med,male,Leonard
Airedale Terrier,20441.9071,56.5672,11.295,high,high,med,male,Palmer
Bearded Collie,24914.9465,52.2098,13.5229,high,high,med,male,Williams
