Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Samoyed,25195.458,55.551,10.5374,med,high,med,female,Allen
German Shepherd,37998.8455,,11.5577,med,med,med,female,Watson
German Shepherd,37894.283,59.5987,11.1926,med,med,med,female,Carson
Akita,49905.4788,68.7278,11.5583,med,med,long,female,Dixon
Samoyed,21939.7318,52.8556,10.8007,med,high,med,female,Goodwin
German Shepherd,39610.7904,59.2648,11.3949,med,med,med,male,Williams
Akita,40916.4816,67.5783,9.8086,high,high,short,female,Hunter
Samoyed,29562.6161,,10.4914,med,high,med,male,Cochran
German Shepherd,35937.6636,,11.5474,med,med,med,male,Armstrong
German Shepherd,35668.1599,62.9538,11.0256,low,med,med,female,Walsh
Akita,45547.0244,67.051,11.3433,med,med,med,male,Salinas
German Shepherd,35666.3154,59.7446,10.4693,med,med,med,female,Smith
German Shepherd,34119.7824,64.0542,11.4302,med,med,med,female,Hicks
Samoyed,24179.6683,52.4064,10.5475,low,high,med,male,Mark
German Shepherd,34827.5616,62.1458,10.8599,low,med,med,female,Jason
Bearded Collie,24763.0729,,12.6027,high,high,long,female,Sanchez
Akita,63082.9072,64.0117,9.9823,med,med,med,female,Wells
Samoyed,25576.473,51.0974,10.6326,high,high,med,female,Neal
German Shepherd,37126.2208,63.1805,10.4252,med,high,med,female,Howard
Bearded Collie,20143.7122,54.2,12.7993,high,high,long,female,Yoder
German Shepherd,37609.6423,61.941,11.5412,med,low,med,male,Reeves
Akita,48492.9504,,10.8827,med,high,med,male,Vasquez
Akita,40173.4146,63.277,11.0562,med,med,med,female,Vaughan
Samoyed,29381.4075,53.1468,11.035,med,high,med,female,Rivera
Samoyed,17120.4013,55.0012,9.8278,med,high,med,female,Jackson
Samoyed,23238.1676,53.2313,11.6816,low,high,med,female,Myers
Akita,47967.0364,66.981,10.136,low,med,med,female,Thompson
Akita,52324.6898,,11.3362,med,med,med,female,Garrett
German Shepherd,35005.4694,60.9406,10.302,med,med,med,female,Gilbert
German Shepherd,35739.4008,62.4004,11.2806,med,med,long,male,Duran
German Shepherd,38391.6126,59.9606,10.8388,high,med,med,male,Morgan
Akita,52327.8035,68.5212,10.6856,med,med,med,female,King
German Shepherd,37122.3191,60.1589,10.4695,med,med,med,male,Gibson
Bearded Collie,25709.2974,51.3937,12.7878,high,high,long,male,Barker
German Shepherd,36149.1664,60.7175,11.1758,med,med,med,male,Gomez
Akita,36920.734,66.4169,10.8215,med,med,med,female,Wilson
German Shepherd,37274.1069,64.3705,11.2364,low,med,med,female,Osborn
German Shepherd,38814.2963,61.2721,10.8782,med,med,med,male,Jacobs
Akita,45189.6006,67.3996,9.971,med,med,med,female,Garcia
Akita,26285.8943,66.6647,11.2724,med,med,med,female,Howard
Bearded Collie,22405.5755,,13.4673,high,high,long,male,Wong
German Shepherd,37380.2275,58.0726,12.4273,med,med,med,male,Carr
German Shepherd,37545.1073,,10.5234,med,low,med,female,Allen
Samoyed,20363.2598,52.4544,11.9143,med,high,med,female,Shaw
Bearded Collie,25105.3647,49.7518,13.2874,high,high,long,female,Ramirez
Samoyed,23371.6285,,11.2919,med,high,med,female,Hernandez
Samoyed,22696.1878,54.2414,10.6568,med,high,med,female,Martin
German Shepherd,35208.3603,,11.8152,low,med,med,female,Holmes
Akita,36548.3745,65.2827,11.5898,med,med,med,female,Pratt
German Shepherd,32081.0475,61.8685,12.1892,med,low,med,female,Matthews
Akita,33766.1767,,11.3696,med,med,med,male,Hawkins
Bearded Collie,23162.0245,52.0257,13.2904,high,high,med,female,Lawson
Samoyed,24657.2429,56.324,11.0841,med,high,med,female,Sharp
Akita,50540.2376,,11.1628,med,med,med,male,Roy
Akita,55465.8546,,10.9224,med,med,short,male,Gonzalez
Bearded Collie,26508.7673,51.5848,11.8656,high,high,long,male,Hall
Samoyed,19436.9628,51.8418,11.2815,med,high,med,male,Nunez
Samoyed,29286.346,,10.0515,med,high,med,male,Hoffman
German Shepherd,37089.2489,60.7394,10.6764,med,med,med,female,Mcdaniel
German Shepherd,38303.553,64.1349,11.5543,med,low,med,male,Phillips
Bearded Collie,23277.8379,54.7735,13.2211,high,high,long,male,Watkins
German Shepherd,35299.1163,,10.2687,med,med,med,male,Molina
Samoyed,22658.4118,55.5011,10.3801,low,high,short,female,Morris
Bearded Collie,23996.4229,,12.3474,high,high,long,male,Perez
Akita,25467.602,66.7444,10.1553,med,med,med,female,Wright
German Shepherd,34005.5944,61.2739,11.4489,med,med,med,female,Wilson
Akita,36834.5762,66.2526,12.2349,med,med,med,female,Anderson
Bearded Collie,23218.7539,,13.0856,high,high,long,female,Mitchell
Akita,53427.032,65.0104,11.6301,med,med,med,male,Wright
Akita,47003.2377,65.6843,11.1065,med,med,med,female,Fuller
German Shepherd,36375.7028,64.5701,11.8886,low,low,med,male,Miller
German Shepherd,37187.4731,61.9226,11.1469,med,med,med,male,Oliver
Bearded Collie,20798.1204,51.0464,12.1214,high,high,long,male,Harrison
Bearded Collie,17419.2032,52.4194,13.5049,high,med,long,female,Pena
Bearded Collie,23311.1618,49.0673,13.0777,high,high,long,male,Frederick
Akita,43041.6964,65.5193,11.66,high,med,med,female,Anderson
Bearded Collie,20160.0673,51.9799,13.1311,high,high,long,male,Gonzalez
Samoyed,16498.2229,52.7127,11.2386,med,high,med,female,Taylor
Bearded Collie,19484.9347,,13.6243,high,high,long,female,Kirk
Akita,44759.3166,65.486,10.6682,med,med,med,female,Navarro
Akita,42235.5002,66.8397,11.0704,med,low,med,male,Lowe
German Shepherd,37857.3898,61.8385,12.0456,med,med,med,female,Herrera
Akita,50068.4229,66.6145,10.8031,high,med,med,male,Rodriguez
Bearded Collie,21213.6829,53.3123,11.3058,high,high,long,female,Tim
Bearded Collie,26349.3244,,13.7311,high,high,med,male,Johnson
Bearded Collie,21570.7582,,13.9233,high,high,long,female,Ellis
German Shepherd,36697.991,61.2407,10.6348,med,med,med,female,Butler
Akita,35009.5967,70.6974,11.4715,med,med,med,female,Smith
Bearded Collie,25677.7415,,12.4249,high,high,long,female,Garcia
Samoyed,22061.2564,55.6428,11.2242,med,high,med,female,Carter
