Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Daschhund,9351.0284,,12.9163,high,med,short,female,Ruiz
Airedale Terrier,20135.3152,56.3476,12.0423,med,high,med,female,Vang
Airedale Terrier,20816.6716,57.5236,11.3216,med,high,med,female,Miller
Boxer,33118.4734,58.381,8.2539,high,high,short,male,Powell
Bloodhound,44185.2964,63.5284,7.7326,med,high,short,male,Schneider
Boxer,23041.6896,,9.439,high,high,short,male,Hubbard
Airedale Terrier,20405.6932,56.3687,11.1792,high,high,med,male,Cox
Airedale Terrier,20160.2137,57.8657,12.1745,high,med,med,female,Vega
Bloodhound,45944.8742,64.672,9.2153,low,high,short,female,Strickland
Boxer,38193.9623,59.2483,8.85,high,high,short,male,Charles
Boxer,35178.1625,55.5136,9.1859,high,high,short,male,Larson
Daschhund,338.4808,21.0799,13.5262,high,med,short,male,Anderson
Airedale Terrier,21840.2743,56.8283,10.6447,med,high,med,female,Schwartz
Airedale Terrier,23480.1728,57.3495,12.4875,med,high,med,female,Romero
Airedale Terrier,20500.4867,57.0116,11.389,high,high,long,male,Burnett
Boxer,28676.3728,56.2512,8.1893,high,high,short,male,Allen
Bloodhound,47102.4307,63.1335,9.4497,med,high,short,male,Turner
Bloodhound,46477.2831,63.8034,9.0704,med,high,short,female,Sexton
Airedale Terrier,20809.7802,57.5504,10.1556,high,high,med,male,Rice
Boxer,24531.0575,58.0192,7.5734,high,high,short,female,Herrera
Bloodhound,45699.1692,64.2785,8.9489,med,high,short,male,Cervantes
Daschhund,11480.3644,20.6533,13.5131,high,med,short,female,Carter
Airedale Terrier,21737.5495,56.7091,11.7233,high,high,med,female,Johnson
Airedale Terrier,21787.4606,,11.6148,high,high,med,female,Lane
Airedale Terrier,20212.571,56.9786,12.3179,high,high,med,female,Rivera
Bloodhound,39810.6112,63.3847,8.7523,med,high,short,female,Krueger
Daschhund,9137.8368,21.4145,13.1249,high,med,short,male,Nelson
Airedale Terrier,19663.372,57.2684,12.6564,med,high,med,male,Conner
Boxer,32681.4264,59.9169,8.7453,high,high,short,female,Gonzalez
Airedale Terrier,18739.3077,56.2615,12.4439,high,high,med,male,Oneal
Daschhund,7874.7974,20.5722,13.2895,med,med,short,male,Todd
Daschhund,15007.0882,21.2052,11.9355,high,med,short,male,Phillips
Daschhund,7510.0826,,12.9157,high,low,short,female,Frye
Boxer,20129.4505,,8.4719,high,high,short,female,Castillo
Airedale Terrier,18284.1761,57.0561,12.7401,high,high,med,male,Harris
Boxer,27186.5169,59.6013,8.8708,high,high,short,female,Smith
Airedale Terrier,20775.1513,58.0545,11.728,high,high,med,female,Craig
Bloodhound,41615.3229,63.2265,10.0952,high,med,short,female,Santos
Daschhund,11333.3177,,12.476,high,med,short,female,Hill
Bloodhound,42851.6816,64.5405,9.669,med,high,short,male,Cox
Bloodhound,42892.7105,,7.0821,med,high,short,female,Dalton
Airedale Terrier,19990.9362,,11.668,high,high,med,male,Grant
Bloodhound,33004.3696,63.7336,8.104,high,high,short,female,Henderson
Boxer,27599.7689,57.5471,9.1343,high,high,short,female,Taylor
Boxer,31575.3909,58.5138,8.7353,high,high,short,female,Davenport
Airedale Terrier,23084.2084,56.9115,11.2879,high,high,med,female,Wilson
Boxer,34255.0877,60.4201,9.9156,high,high,med,male,Jenkins
Daschhund,16827.4271,20.8621,13.9194,high,med,short,male,Morales
Bloodhound,46219.7196,62.363,8.7673,med,high,short,male,Rodriguez
Daschhund,10716.9547,20.8541,13.9397,high,med,short,female,Aguilar
Bloodhound,36996.5459,65.0886,9.3297,med,high,short,male,Greene
Daschhund,7822.4187,20.4454,13.5832,high,med,short,female,Watkins
Boxer,34391.0607,57.0526,8.4981,high,high,med,female,Daniel
Boxer,21466.431,57.7067,8.2107,high,high,short,male,Stone
Boxer,28387.3691,59.742,10.302,high,high,short,female,Leblanc
Boxer,31797.5912,58.4057,8.6245,high,high,short,male,Wright
Airedale Terrier,18979.8797,57.195,10.9909,high,high,med,female,Mason
Airedale Terrier,20842.664,57.4834,12.4316,med,high,med,male,Alvarez
Daschhund,9706.9056,21.2874,11.7375,high,med,short,female,Mendoza
Daschhund,11202.1689,,12.8333,high,med,short,female,Baker
Boxer,27035.8281,,7.6861,high,med,short,female,Combs
Daschhund,6887.5588,21.7686,13.1546,high,high,short,female,Wood
Daschhund,7804.1153,21.051,13.3684,high,med,med,male,Wood
Boxer,25440.4498,58.993,10.0422,high,high,short,male,Walters
Airedale Terrier,20623.9348,56.433,10.8402,high,high,med,male,Blake
Airedale Terrier,23613.1794,57.132,11.0109,high,high,long,female,Carter
Airedale Terrier,20828.3633,,11.8981,med,med,med,male,Campbell
Bloodhound,46311.014,63.9022,9.928,med,high,short,female,King
Bloodhound,46244.4209,62.8767,7.2226,med,high,short,male,Jones
Daschhund,7258.9523,20.9686,13.2334,high,low,med,male,Harmon
Boxer,35186.6426,60.0101,9.2387,med,high,short,female,Bryant
Daschhund,5780.9016,21.5289,13.4389,med,med,short,male,Cruz
Daschhund,11707.1832,,12.7121,high,med,short,male,Hawkins
Bloodhound,37461.7111,60.2053,10.2627,med,high,short,male,Brown
Daschhund,7610.2711,21.8954,13.4945,high,low,short,male,Gray
Airedale Terrier,18842.4985,,10.8048,med,high,med,female,Walker
Daschhund,14349.3781,,13.3189,high,med,short,male,Peterson
Daschhund,8451.345,20.8874,13.4631,high,med,short,male,Lewis
Airedale Terrier,21245.5016,57.2002,12.0609,high,high,med,female,Smith
Daschhund,10726.2503,21.7776,12.6737,high,med,short,male,Summers
Boxer,26193.2048,60.0185,8.8883,high,high,short,male,Hill
