Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Samoyed,21073.3158,51.8656,11.8859,med,high,med,female,Buckley
Samoyed,19736.9687,53.3947,11.3992,med,high,med,male,Ballard
Bearded Collie,24652.6798,,12.6923,high,high,long,male,Austin
Akita,48884.8296,67.4896,10.4579,med,med,med,male,Thornton
Pit Bull,22599.555,45.5965,10.8841,low,high,short,male,Morgan
Akita,39489.7757,63.8251,11.1221,high,high,med,female,Choi
Bearded Collie,24526.3403,51.568,13.3229,high,high,long,female,Cole
Bearded Collie,23498.2144,,13.3123,high,high,long,male,Rodriguez
Pit Bull,10210.141,45.9273,12.129,med,high,short,male,Hernandez
Samoyed,25374.7041,52.8836,11.163,med,high,med,male,Castro
Akita,37459.5949,,10.4426,med,med,med,female,Powell
Akita,35609.9901,68.0154,11.0116,med,low,med,female,Rodriguez
Akita,45040.5396,,11.4975,med,med,long,female,Jackson
Samoyed,22030.0593,,11.4425,med,high,short,male,Maldonado
Bearded Collie,27703.4328,55.1923,13.4685,high,med,long,male,Schultz
Samoyed,20316.2512,53.9967,10.3731,med,high,med,male,Murray
Akita,54004.0547,66.7008,9.9006,med,med,med,male,Werner
Akita,39729.5199,65.9328,11.7574,med,high,med,female,Davis
Samoyed,23064.0318,54.8132,11.2931,low,high,long,female,Massey
Akita,34525.591,64.477,11.2715,med,med,med,female,Higgins
Samoyed,18563.6172,52.3332,10.9905,med,high,med,male,Long
Bearded Collie,24219.5362,58.4006,12.4975,high,high,long,female,Patrick
Samoyed,26464.0303,53.7822,10.4029,med,high,med,female,Dennis
Bearded Collie,19692.3218,54.9809,12.7074,high,high,long,male,Hull
Bearded Collie,21898.8713,50.8559,12.9525,high,high,long,male,Hernandez
Samoyed,29277.903,,11.0287,med,med,med,female,Freeman
Bearded Collie,17510.4783,,11.6193,high,high,med,female,Miller
Bearded Collie,19547.0386,52.3605,14.1587,med,high,long,female,Taylor
