Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Rottweiler,52787.3276,62.1122,8.4217,med,high,short,male,Weeks
Jack Russel Terrier,6669.3211,33.3848,13.5024,high,med,short,female,Martin
Rottweiler,45018.1711,64.0892,9.9118,med,high,med,female,Cameron
Jack Russel Terrier,6341.0568,34.0254,13.7296,high,med,short,female,Ward
Rottweiler,38854.0808,65.1381,9.4556,med,high,short,female,Soto
Bloodhound,41848.4288,62.9202,9.4066,high,high,short,male,Jones
Jack Russel Terrier,5914.0043,,14.231,high,med,short,female,Allen
Rottweiler,45815.1515,62.0813,10.1098,med,high,short,male,Vazquez
Pit Bull,14215.8741,46.6611,12.308,low,med,short,female,Haynes
Bloodhound,38413.1122,62.8815,8.3905,med,high,short,male,Hanna
Rottweiler,39501.7862,65.4218,9.5966,med,high,med,male,Mcfarland
Pit Bull,25956.4839,46.5678,12.3244,med,high,short,male,Williamson
Jack Russel Terrier,7072.4734,34.0849,13.5639,high,med,med,female,Jones
Pit Bull,39095.1698,,11.3474,med,high,short,female,Tran
Pit Bull,36193.8609,45.2969,12.0076,med,high,short,female,Sanders
Jack Russel Terrier,7271.48,,14.3764,high,med,short,male,Perez
Bloodhound,45166.7415,63.154,7.2374,med,high,short,male,House
Jack Russel Terrier,6816.3119,,15.4674,high,med,short,male,Lane
Pit Bull,29892.0657,45.2106,12.7254,med,high,short,female,Baker
Pit Bull,28398.1819,46.1569,13.3037,med,high,short,female,Crane
Bloodhound,45620.6816,63.5324,8.8738,med,high,short,male,Navarro
Jack Russel Terrier,7247.3949,34.5441,14.1624,high,low,med,female,Alvarez
Pit Bull,23049.3444,46.6466,12.3354,high,high,short,female,Spencer
Bloodhound,43605.7999,,7.3397,med,high,short,male,Duran
Jack Russel Terrier,4389.0944,,14.6541,high,med,short,female,Hernandez
Bloodhound,38799.8241,62.8936,8.0204,low,high,short,male,Hunt
Bloodhound,38127.8267,,7.9999,med,med,short,female,Blake
Jack Russel Terrier,6856.0791,33.4795,14.4671,high,med,short,female,Johnson
Rottweiler,49240.5913,63.8433,10.0283,med,high,med,male,Lawrence
