Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Samoyed,21908.1316,,10.3098,high,high,short,female,Williamson
Beagle,10076.0951,35.5698,12.4686,med,high,short,male,Norris
Bearded Collie,20491.6253,50.8652,13.2328,med,high,long,female,Bradley
Amstaff,21089.4498,46.2502,12.658,med,high,med,female,Tyler
Bearded Collie,25258.0502,52.575,13.4002,high,high,long,male,Harris
Samoyed,21238.2291,55.4258,10.3823,med,high,med,male,Knapp
Amstaff,25990.2868,,12.3492,med,high,short,male,Johnson
Bearded Collie,21430.119,54.9145,12.6813,high,high,long,female,English
Amstaff,26231.5427,,12.2906,low,high,short,male,Daniel
Beagle,9618.6153,36.203,14.0511,med,high,short,male,Sullivan
Samoyed,18412.8439,52.6891,11.2255,med,med,med,female,Wolf
Amstaff,29471.3153,46.5725,13.3544,low,high,med,male,Bowman
Samoyed,22094.1531,54.6394,9.9801,med,high,med,male,Miranda
Samoyed,17976.3614,54.7722,9.7402,med,high,med,male,Watson
Bearded Collie,24381.3887,53.257,13.2307,high,high,long,male,Miller
Beagle,11108.6718,35.1186,12.4702,med,high,short,male,Peters
Bearded Collie,21427.3694,,11.8833,high,high,long,female,Elliott
Amstaff,27822.9387,,12.8661,med,high,short,female,Gaines
Samoyed,18972.4112,54.4318,11.8037,med,high,med,female,Walker
Bearded Collie,23792.1941,52.8855,13.4372,high,high,med,female,Cuevas
Beagle,8009.8256,,13.4781,med,med,short,female,Franklin
Samoyed,23727.6024,54.4105,9.4427,low,high,long,male,Marks
Beagle,10498.7224,35.8138,12.5945,med,high,med,male,Garcia
Amstaff,22890.9995,46.0555,12.4032,med,high,short,female,Gray
Amstaff,28035.4473,46.6962,12.3152,med,high,short,male,Blair
Bearded Collie,21090.9338,,13.6455,med,high,long,male,Lewis
Bearded Collie,25144.3823,55.0352,12.4148,med,high,long,female,Nash
Samoyed,20983.9577,53.7089,10.4434,med,high,long,male,Sims
Bearded Collie,21553.8554,51.3251,12.6911,med,high,long,male,Kaiser
Beagle,12409.42,35.0354,13.7679,med,high,short,female,Palmer
Amstaff,24213.7373,45.3821,13.7478,med,high,short,male,Thompson
Beagle,11528.1024,36.0214,12.787,med,med,short,male,Flores
Amstaff,29633.0816,45.5925,12.7636,med,high,short,female,Park
Beagle,9563.4459,35.2037,13.4335,low,high,short,male,Singh
Beagle,10823.4608,33.7858,12.5484,med,high,short,male,Martinez
Samoyed,22413.0966,49.5899,10.496,high,high,med,male,Dunn
Beagle,10141.9534,35.6696,13.0573,med,high,short,male,Vaughan
Amstaff,29857.9804,46.5546,13.8621,low,high,short,male,Hancock
Amstaff,19888.3329,45.0557,13.8876,med,high,short,male,Coleman
Samoyed,17580.3491,,10.7104,med,high,long,male,Curtis
Amstaff,29954.718,46.0788,12.958,med,high,short,female,James
Samoyed,24764.2921,,11.4532,low,high,med,male,Grant
Beagle,11522.6968,35.9974,14.7814,med,med,short,female,Jensen
Bearded Collie,19675.2925,52.7661,13.3157,high,high,long,male,Wood
Beagle,13974.1606,35.3138,13.0935,med,high,short,male,May
Samoyed,28442.1652,,10.4023,high,high,med,male,Hernandez
Bearded Collie,20974.4079,,12.8328,high,high,long,female,Smith
Bearded Collie,21366.454,53.5492,14.3,high,high,long,female,Smith
Bearded Collie,19597.7222,52.813,12.562,high,high,long,male,Simpson
Beagle,9735.5037,36.2091,13.5242,med,high,short,male,Fletcher
Samoyed,19601.2826,54.6494,11.6073,high,high,med,male,Mercer
Amstaff,21968.445,45.8416,12.2366,med,med,short,male,Williams
Samoyed,25084.439,,10.1333,low,high,med,male,Long
Beagle,13217.6411,34.5338,13.5055,med,high,med,female,Wright
Bearded Collie,22556.5765,,12.9216,med,high,long,male,Dean
Samoyed,21970.8804,54.0386,10.9393,med,high,med,female,Harvey
Amstaff,30434.4666,,13.111,med,high,short,female,Sharp
Bearded Collie,22752.0821,,12.5509,high,high,long,male,Stevens
Beagle,9940.2849,37.4088,13.5181,med,high,short,male,Ayala
