Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Rottweiler,49641.3481,64.6687,7.7864,med,high,short,female,Sullivan
Jack Russel Terrier,7221.5818,34.0084,14.182,med,med,med,male,Stevens
English Setter,32076.6454,60.8456,11.4679,high,high,med,male,Roberts
Rottweiler,45733.5177,61.779,9.2059,low,high,med,female,Wood
Welsh Corgi,10967.2328,26.7887,11.7717,med,high,long,male,Dawson
Welsh Corgi,14270.4513,26.6691,10.2724,med,high,short,male,Young
Rottweiler,35667.4916,62.0087,8.3887,med,high,short,female,Chan
Welsh Corgi,14428.8532,25.7562,10.9761,med,high,long,female,Peterson
Jack Russel Terrier,8951.0726,,13.7632,high,med,short,female,Martinez
English Setter,27679.9766,57.6084,11.3805,high,high,med,male,Spencer
Jack Russel Terrier,6539.7055,34.3416,14.68,high,low,med,female,Gould
Welsh Corgi,14894.4681,31.2663,11.4964,high,high,med,male,White
Jack Russel Terrier,5710.4064,33.7041,13.7483,high,high,short,male,Callahan
English Setter,29323.1405,61.0677,14.5366,high,high,long,female,Waller
Rottweiler,48654.344,63.3334,9.2055,med,med,short,male,Brown
Jack Russel Terrier,6966.4619,32.8313,15.2705,high,med,short,male,Wright
Rottweiler,58046.5769,63.5987,8.7469,low,high,short,female,Joseph
Rottweiler,44575.9857,63.9196,10.1974,med,med,short,female,Peters
Rottweiler,54278.2835,63.4424,8.1437,med,high,med,male,Williams
Welsh Corgi,14675.3834,29.8775,11.3615,med,high,med,male,Matthews
Rottweiler,54079.4579,61.8443,8.5978,med,high,short,female,Dodson
Rottweiler,39290.1219,63.7426,9.9467,low,high,short,male,Durham
Welsh Corgi,13191.1385,30.7647,11.3097,high,high,short,male,Ramirez
English Setter,32449.5441,63.7458,11.9271,high,high,med,female,Waller
Welsh Corgi,11914.0047,32.3829,10.2447,med,high,med,male,Bryant
English Setter,27103.0464,59.2756,10.9389,high,high,med,female,Cooper
Jack Russel Terrier,6554.998,33.1494,14.4267,high,med,short,female,Lee
Jack Russel Terrier,6323.2955,34.8004,13.5341,high,med,short,male,Hines
Rottweiler,38129.3755,,8.8944,med,high,short,female,Estrada
Jack Russel Terrier,6270.4854,,13.8634,high,high,short,male,Reid
Rottweiler,53917.3238,,8.2473,high,high,short,female,Perez
English Setter,30246.1024,67.6107,11.624,high,high,short,male,Nunez
English Setter,30181.333,62.8337,10.4604,high,high,med,female,Herrera
Jack Russel Terrier,7932.3225,33.7674,14.281,high,med,short,male,Evans
Rottweiler,60081.9955,,9.0576,med,high,short,male,Meyer
Welsh Corgi,17546.4312,,11.7841,med,high,med,female,Savage
Welsh Corgi,12756.4254,24.7432,10.0273,med,high,med,male,Roberts
Jack Russel Terrier,6225.893,34.3219,13.7052,high,low,short,female,Wyatt
English Setter,29613.2908,59.9864,12.2902,high,high,short,male,Mueller
Jack Russel Terrier,7176.9076,,14.777,high,med,short,male,Burke
Welsh Corgi,13908.9387,,10.2882,med,high,med,female,Zimmerman
Welsh Corgi,19043.0016,30.2432,10.326,med,high,med,female,Blair
Rottweiler,51023.4237,,10.9231,med,high,short,female,Smith
Rottweiler,47610.0567,,9.1345,med,high,short,female,Wood
Jack Russel Terrier,6062.3163,34.0737,13.8914,med,high,short,male,Haley
Welsh Corgi,13451.9858,27.0458,11.6458,med,high,med,female,Stephenson
Welsh Corgi,13139.5797,,10.9516,med,med,med,female,Martinez
Jack Russel Terrier,7497.3402,,14.0813,high,low,short,female,Williams
Welsh Corgi,12739.3229,27.334,12.1662,med,high,med,male,Martin
English Setter,34949.9611,,10.9268,high,high,med,male,Brown
English Setter,27906.4689,62.0526,11.4607,high,med,short,male,Taylor
Rottweiler,56702.6698,,9.2982,med,high,short,female,Henderson
English Setter,28137.1942,60.6623,14.3977,high,high,med,male,Scott
English Setter,32812.214,62.0256,11.332,high,high,med,female,Williams
Rottweiler,41741.6187,64.6784,8.7387,med,high,short,female,Rose
Rottweiler,56663.7888,62.3306,8.9338,med,med,short,female,Rose
Rottweiler,36939.6736,63.0505,10.2529,med,high,short,female,Oneal
English Setter,24293.5787,60.2583,12.5963,high,high,med,female,Hall
Welsh Corgi,12433.8652,33.6072,12.1222,high,high,short,female,Hudson
Jack Russel Terrier,6953.6337,33.4661,14.5571,med,med,short,male,Savage
Welsh Corgi,11780.5044,,11.5239,med,high,long,female,Burns
Welsh Corgi,15624.0464,30.6786,11.2609,med,high,med,female,Good
Rottweiler,44832.1106,61.1851,9.828,med,high,short,male,Galvan
Rottweiler,60197.3,62.2763,8.5559,med,high,short,male,Ryan
Welsh Corgi,12808.7206,29.9199,11.0027,med,high,med,female,Powers
English Setter,31896.322,65.133,11.4817,high,high,short,female,Rice
Jack Russel Terrier,7022.3222,,13.9257,high,med,short,female,Lane
Jack Russel Terrier,3600.7664,,13.6411,high,med,short,male,Martinez
Jack Russel Terrier,6292.2113,33.9594,13.3962,high,med,short,female,Young
Rottweiler,30686.528,,9.6939,med,high,short,male,Moss
Welsh Corgi,15297.142,30.7896,10.2995,med,high,short,male,Hamilton
Jack Russel Terrier,6616.7972,34.5051,13.6932,high,high,short,male,Lester
Welsh Corgi,14118.4942,32.243,11.4483,high,high,med,male,Castillo
English Setter,37049.1379,66.2159,9.2541,high,high,med,male,Allen
Jack Russel Terrier,5592.4449,34.1631,13.7344,high,med,short,female,Davis
English Setter,25630.0788,61.1457,9.5692,med,high,med,female,Solis
Welsh Corgi,13228.203,,11.1413,high,high,med,female,Castro
Rottweiler,48206.7214,62.9205,9.4547,med,high,short,male,Jackson
Rottweiler,56485.9116,,8.55,med,med,short,female,Anderson
English Setter,26553.8192,61.6333,12.8637,high,high,med,male,Perez
English Setter,31643.5521,65.4485,16.0249,high,high,med,male,Jimenez
Jack Russel Terrier,7774.8729,34.4805,13.2903,high,med,short,male,Hill
Jack Russel Terrier,5265.9476,33.911,13.7372,med,med,short,male,Morrow
Welsh Corgi,13467.0982,32.1659,11.5882,med,med,med,female,Robinson
Welsh Corgi,13969.0244,35.8993,11.0922,med,high,med,female,Brown
Welsh Corgi,11735.1867,30.283,11.1861,high,high,med,female,Baker
Welsh Corgi,13080.8807,29.956,11.4923,med,high,short,female,Humphrey
Rottweiler,46207.9114,,9.8738,med,high,short,female,Armstrong
Welsh Corgi,12560.5403,,11.2202,med,high,med,female,Gonzalez
English Setter,25951.3885,59.0793,13.4417,high,high,med,male,Neal
Rottweiler,53915.1912,64.7138,10.1729,med,high,short,female,Farmer
Welsh Corgi,13882.185,28.3928,11.0238,med,high,med,male,Laura
Jack Russel Terrier,6558.3589,34.779,13.2962,med,med,short,female,Austin
Rottweiler,33082.096,65.6277,8.8361,med,high,short,female,Brown
Rottweiler,57676.6412,67.3905,8.915,med,high,short,female,Buchanan
Rottweiler,44964.3857,62.9892,9.2691,med,high,short,male,Huerta
Jack Russel Terrier,6701.8342,,12.396,high,low,med,female,Sullivan
Welsh Corgi,10562.1745,29.9068,11.6399,med,high,med,male,Simmons
Rottweiler,50769.486,63.3665,7.7899,med,high,short,male,Chavez
Jack Russel Terrier,5748.3037,32.7434,13.3513,high,low,med,female,Palmer
Welsh Corgi,13563.7094,27.9913,11.2199,med,high,long,female,Peterson
English Setter,20340.8978,65.015,10.4451,high,high,short,female,Davis
Jack Russel Terrier,5914.1211,33.2327,13.6181,high,med,short,male,White
Rottweiler,44008.6284,64.8177,9.8853,med,med,short,male,Stephens
Welsh Corgi,15765.9339,29.1918,11.1659,med,high,long,female,Martinez
Welsh Corgi,15933.6193,28.8663,10.9158,med,high,long,male,Davenport
English Setter,29288.4214,65.3232,11.6194,high,high,med,female,Dickson
English Setter,16761.305,60.6529,12.1213,high,high,med,male,Frey
Jack Russel Terrier,5108.766,,12.8276,high,high,short,male,Rivers
Jack Russel Terrier,5712.6797,33.5561,13.5897,med,med,short,female,Hatfield
Jack Russel Terrier,6586.8488,34.5334,15.0105,high,high,short,male,Mitchell
English Setter,35546.3472,61.3661,13.371,high,med,med,female,Smith
Jack Russel Terrier,5093.08,,14.5492,high,med,short,female,Fernandez
Welsh Corgi,11008.4372,25.7896,9.9444,med,high,med,female,Garcia
English Setter,24102.4886,61.2096,11.971,high,high,med,female,Smith
Rottweiler,42552.4091,62.6873,9.3828,med,high,short,male,Allen
English Setter,29359.7991,62.5176,12.3653,high,high,med,male,Harris
Rottweiler,38647.7034,64.7692,7.4118,med,high,short,female,James
Rottweiler,58171.0858,,8.5442,low,high,short,female,Perez
Jack Russel Terrier,5899.2661,34.1314,14.4244,high,high,short,male,York
English Setter,22633.1906,62.1306,11.7695,high,med,short,female,Stuart
English Setter,26688.278,64.2068,11.934,high,high,med,female,Morgan
Welsh Corgi,13287.2958,27.0469,10.8445,med,high,med,male,Moran
Rottweiler,49411.3713,64.0097,9.8959,med,high,short,female,Morris
Jack Russel Terrier,7308.7198,35.1606,13.1245,high,med,short,male,Rodriguez
Jack Russel Terrier,6202.3805,,14.5327,high,med,short,female,Brooks
English Setter,31131.8547,63.6573,12.5137,high,high,med,female,Hanna
English Setter,25077.694,64.1084,12.751,high,high,med,female,Lambert
Jack Russel Terrier,6148.1289,,13.9306,high,med,short,male,Sullivan
Welsh Corgi,11925.4643,30.584,11.2223,med,high,med,male,Cervantes
Rottweiler,45310.7156,64.807,9.5483,high,high,short,female,Rogers
Welsh Corgi,14334.0329,32.1242,11.0791,low,high,med,female,Mcgee
Jack Russel Terrier,5456.895,34.1097,13.7142,high,med,med,male,Edwards
Jack Russel Terrier,8026.1204,34.195,14.1084,high,med,med,female,Hernandez
English Setter,27350.3775,62.6367,11.0056,high,high,med,male,Johnson
English Setter,40820.111,59.9913,12.3733,high,high,med,male,Patel
Jack Russel Terrier,8502.7462,34.3813,13.7495,high,med,short,male,Grant
Rottweiler,34717.1816,60.6623,9.9797,med,high,short,female,Oneal
English Setter,26959.4055,,13.2877,high,med,short,female,Rasmussen
Welsh Corgi,12689.2771,29.2303,11.5214,med,high,med,female,Weber
Welsh Corgi,14091.7695,27.2701,11.4894,med,high,med,male,Scott
Welsh Corgi,15012.5762,28.8492,11.9525,med,high,med,female,Sharp
Jack Russel Terrier,5793.4333,33.2929,13.7461,high,low,short,male,Poole
Welsh Corgi,10169.6076,28.9062,11.3285,med,high,med,female,Finley
Jack Russel Terrier,7370.2236,33.62,13.3757,med,med,short,female,Aguirre
Jack Russel Terrier,6766.196,34.3296,14.7783,high,med,short,female,Montgomery
Rottweiler,60373.5328,,9.2865,high,high,short,female,Perez
English Setter,25921.9161,61.8294,12.3504,high,high,med,female,Cox
Welsh Corgi,12083.3991,27.9923,11.6557,med,high,short,male,Roth
Jack Russel Terrier,6216.5421,33.1509,14.6719,high,med,med,female,Mcclure
English Setter,33187.7587,57.5625,12.312,high,high,short,male,King
Welsh Corgi,15780.0008,30.6156,11.6485,med,high,short,male,Brown
