Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Bearded Collie,19146.5563,52.8448,12.7539,high,high,long,male,Roth
Bearded Collie,28585.8042,51.8962,12.9064,high,high,long,female,Williams
Rottweiler,67425.2115,66.4197,9.6038,med,high,med,male,Garcia
Bearded Collie,29422.3034,54.7629,12.9595,high,high,long,male,Bradley
English Setter,17068.5518,60.4496,12.8964,high,med,med,male,Cameron
Rottweiler,50683.4533,,9.1171,low,high,short,male,Chung
Bearded Collie,21351.831,,12.6806,med,high,med,female,Chandler
Great Dane,53254.6742,77.9993,8.2405,med,high,short,male,Schmidt
English Setter,28935.1445,,10.0401,high,med,med,male,Riley
Bearded Collie,21461.9479,52.9464,13.0585,high,high,long,female,Rodriguez
Bearded Collie,21267.1863,57.5814,12.0937,high,high,long,male,Johnson
Rottweiler,46837.4915,,10.1352,med,high,short,female,Barry
Great Dane,45392.2148,76.1674,6.273,high,high,short,female,Ewing
Great Dane,51040.822,,6.8107,med,high,short,male,Wilson
Bearded Collie,20769.4439,,13.0082,med,high,long,male,Hawkins
Rottweiler,37468.4442,66.479,10.9777,med,high,short,female,Romero
Rottweiler,48959.2656,60.8087,9.5633,med,high,short,male,Park
Rottweiler,46546.6102,62.9242,8.8286,high,med,short,male,Perez
Bearded Collie,18365.2216,49.5725,12.4919,high,high,long,male,Wells
Rottweiler,61274.7723,,10.8516,med,high,short,male,Wilson
English Setter,21951.7137,63.852,12.8921,high,high,med,female,Haley
Bearded Collie,22309.4285,52.9679,12.6698,high,high,long,female,Phillips
Rottweiler,38858.2006,61.6619,9.0994,med,high,short,male,Blanchard
Great Dane,45930.9111,79.064,6.6216,med,high,short,male,Williams
Bearded Collie,19490.2114,52.2489,11.8538,high,med,med,female,Frederick
Bearded Collie,20666.4874,51.7619,13.3502,high,med,long,female,Ross
Great Dane,51896.2494,,7.597,med,high,short,male,Hart
Great Dane,50259.8082,79.0491,6.1637,med,med,short,female,Mason
Rottweiler,58046.5834,64.4395,9.1917,med,high,med,female,Garcia
Rottweiler,46040.6162,62.971,10.3556,med,high,short,male,Nichols
Rottweiler,42303.8493,,10.2384,high,high,short,female,Banks
English Setter,25605.2212,65.1342,10.2818,high,high,med,male,Rodriguez
Great Dane,48563.4283,79.547,5.8566,med,high,short,male,Jones
Rottweiler,46777.2776,63.4569,9.0074,med,high,short,male,Jones
Bearded Collie,21397.4385,52.8105,12.2588,high,high,long,male,Wagner
Bearded Collie,23380.6653,51.4145,12.77,high,high,long,female,Sparks
Bearded Collie,21589.3047,,14.436,high,high,long,male,Moore
English Setter,19952.8281,,10.7903,high,high,med,male,Walton
Rottweiler,45333.7344,63.2551,11.8041,med,high,short,male,Mccoy
Great Dane,51747.5904,80.4734,7.7929,low,high,med,female,Brown
English Setter,28427.9887,59.038,10.9668,med,high,med,female,Anderson
Great Dane,47761.5033,81.8828,6.8514,med,high,short,female,Wagner
Rottweiler,61280.1992,63.4142,10.2754,high,high,short,male,Myers
English Setter,32053.3785,,13.4902,high,med,long,female,Thomas
English Setter,27874.4725,63.9685,11.7019,high,high,med,female,Reyes
Rottweiler,44773.0032,,8.97,med,high,short,male,Wilkinson
English Setter,28419.2372,,12.0661,high,high,med,male,Hardy
Bearded Collie,19982.5655,,13.2439,med,high,long,male,Phillip
Great Dane,47033.1557,78.9495,6.8281,high,high,med,male,Alvarez
English Setter,26924.0029,63.8338,11.9627,high,high,med,female,Hunter
Rottweiler,49726.6877,64.1433,9.7711,med,high,short,female,Gutierrez
English Setter,26728.1169,58.3665,11.059,high,high,med,female,Villegas
English Setter,33447.6331,,13.7723,high,high,short,female,Sanchez
Bearded Collie,20139.9416,,13.3856,high,high,long,female,Larson
Bearded Collie,20204.2406,,13.6075,high,med,long,male,Frazier
Bearded Collie,26608.2167,,13.382,med,high,med,female,Flores
Rottweiler,52872.3649,65.8586,9.6523,high,high,short,male,Perez
English Setter,35735.3323,65.1956,8.997,high,high,med,female,Mathis
Bearded Collie,20913.8682,,12.6691,high,high,long,male,Barker
Rottweiler,48178.726,64.1289,8.6151,high,high,short,male,Wilkerson
Great Dane,47547.2159,80.9909,5.8826,med,high,short,female,Elliott
Rottweiler,44247.2545,62.8755,9.7667,med,high,short,female,Day
Rottweiler,35584.0494,63.7457,8.6533,med,med,med,male,Mcconnell
Bearded Collie,21500.1183,51.3137,13.3701,high,high,long,female,Munoz
Bearded Collie,19453.9922,,13.0857,high,high,long,female,Nielsen
Rottweiler,45686.2973,,9.6104,med,high,short,female,Smith
Rottweiler,47135.8742,62.2314,9.3709,med,high,short,female,Edwards
Great Dane,44678.2825,80.1305,6.6767,med,high,med,male,Wilson
English Setter,22047.1676,61.9318,11.2219,high,high,med,female,Roth
English Setter,34851.1402,,11.5156,high,high,med,male,Sullivan
Great Dane,48321.9203,,7.0074,med,high,short,male,Jennifer
Great Dane,49521.4671,76.0303,7.1465,med,high,short,male,Marsh
English Setter,27336.9028,63.5436,12.582,high,high,med,male,Smith
English Setter,28282.3766,63.602,14.274,high,high,long,male,Perez
Great Dane,49190.7423,81.5655,7.6407,low,high,short,female,Rivera
English Setter,28103.2917,64.2001,12.6094,high,high,med,male,Galloway
Great Dane,53288.1228,,5.8784,med,high,short,male,Robbins
English Setter,32935.6286,60.2047,11.7522,high,high,med,female,Norris
Great Dane,49245.7114,79.038,8.0069,med,high,short,female,Black
