Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Dalmatian,26000.1636,48.0,13.1674,high,high,short,male,Cervantes
Dalmatian,25349.6088,48.0,12.7093,high,high,short,male,Ingram
Dalmatian,21661.385,48.0,12.7355,high,high,short,male,Pruitt
Pug,7208.9884,31.7781,11.5434,med,high,short,female,Nelson
Samoyed,16966.5098,53.1132,10.4988,med,high,med,male,Gibson
Bearded Collie,25357.7161,53.8227,13.5978,high,high,long,female,Lawson
Bearded Collie,23060.2613,52.9419,12.9344,high,med,long,female,Schultz
Bearded Collie,20084.8519,,12.4875,med,high,long,male,Sawyer
Samoyed,24632.3694,51.8431,10.0244,med,high,med,male,Thomas
Samoyed,22167.9044,,11.8186,med,high,med,female,Young
Samoyed,19606.1971,53.0338,11.387,med,high,med,female,Compton
Bearded Collie,20135.4426,53.7083,12.5455,med,high,long,male,Jeremiah
Pug,5814.3618,,14.2463,med,high,short,female,Keith
Samoyed,23953.4698,50.1597,10.6207,med,high,med,male,Merritt
Dalmatian,24706.7898,48.0,13.7757,high,high,med,female,Smith
Dalmatian,21032.9741,48.0,13.9535,high,high,short,female,Horn
Pug,6600.0326,,12.9309,med,high,short,male,Chavez
Bearded Collie,19307.3258,,12.3656,high,high,long,male,Bailey
Pug,8105.0111,34.6583,14.2405,med,high,med,female,Franklin
Samoyed,17963.9034,54.257,11.3172,med,high,med,female,Joyce
Dalmatian,23373.7558,48.0,13.0063,high,high,short,female,Meyer
Samoyed,24014.4595,,11.3062,med,high,med,male,Kennedy
Samoyed,22637.2716,52.539,9.836,med,med,med,female,Clark
Pug,7108.0848,,15.6931,med,high,short,female,Wilson
Bearded Collie,21213.6243,53.5323,13.2409,high,high,long,male,Scott
Samoyed,31226.5773,53.3037,11.1378,low,high,med,male,Jones
Bearded Collie,18825.577,52.9775,13.9151,high,high,long,male,Torres
Bearded Collie,18676.4326,52.7202,13.2092,high,high,long,male,Walker
Bearded Collie,22987.045,54.5767,12.8718,high,high,med,female,Mcgrath
Bearded Collie,20943.2849,50.6523,13.7412,high,high,long,female,Rodriguez
Bearded Collie,24217.4142,55.3576,12.7734,high,high,med,male,Banks
Dalmatian,25134.1585,48.0,12.5986,high,med,short,male,Ashley
Dalmatian,24023.0689,48.0,11.6182,high,high,short,female,Hensley
Dalmatian,24787.4552,48.0,13.8088,high,high,short,male,Nelson
Samoyed,26785.3442,55.0241,11.0757,med,high,med,female,Mccormick
Pug,6580.2908,,11.4786,med,high,short,female,Dean
Bearded Collie,20079.567,51.6598,12.4722,high,high,long,male,Guzman
Dalmatian,23008.1491,48.0,12.1042,high,high,short,female,Shaw
Dalmatian,27741.7396,48.0,12.7501,high,high,short,female,Vasquez
Pug,6670.494,,14.5724,med,high,short,male,Carpenter
Dalmatian,21892.3914,48.0,13.2787,high,high,short,male,Blevins
Bearded Collie,24867.3239,53.8384,12.74,high,high,long,male,Thomas
Bearded Collie,25528.0949,56.4232,13.1473,high,high,long,female,Thompson
Bearded Collie,19969.1982,54.0028,13.2812,high,high,long,male,Richards
Samoyed,21174.0146,52.7595,11.7728,med,high,med,female,Herring
Dalmatian,21845.89,,12.8366,high,high,short,female,Hodge
Samoyed,29135.37,,11.491,med,med,med,female,Warner
Samoyed,25274.9172,53.3468,10.6602,med,high,short,female,Duncan
Pug,6609.9374,37.5661,13.7084,high,high,short,male,Mitchell
Dalmatian,24417.7206,48.0,12.9066,high,med,short,male,Wright
Samoyed,22037.1133,,10.6565,high,med,short,female,Robinson
Dalmatian,23695.0945,48.0,13.4948,high,high,med,male,Barnes
Samoyed,28608.6363,52.4431,11.6121,med,high,long,female,Price
Dalmatian,23069.3065,48.0,11.6798,high,high,short,female,Prince
Pug,6452.5522,,12.4771,med,high,short,male,Costa
Bearded Collie,20222.423,51.5829,13.4506,high,high,long,male,Collins
Dalmatian,21943.7813,48.0,13.1086,high,high,short,female,Bright
Pug,6574.0462,31.6195,13.9133,med,med,short,male,Smith
Pug,7058.4572,28.5523,11.7352,low,med,short,male,Nelson
Samoyed,19091.5434,,11.5016,med,high,med,female,Pace
Dalmatian,20767.1157,48.0,12.7047,high,med,short,female,Morris
Bearded Collie,24488.0281,52.8757,12.902,high,high,med,female,Baldwin
Pug,7385.3444,32.7913,12.1856,med,high,short,male,Thompson
Pug,6404.0099,37.0445,13.9449,med,high,short,male,Doyle
Bearded Collie,22712.3377,50.9593,13.5589,high,high,long,male,Smith
Bearded Collie,26339.1141,53.1991,13.5635,med,high,med,female,Mitchell
Dalmatian,23030.4069,48.0,12.6421,high,high,short,male,Collins
Dalmatian,23800.5295,48.0,13.5796,high,high,short,female,Brown
Samoyed,23846.4069,,10.7029,med,high,med,male,Pierce
Pug,7567.7807,33.1395,13.1342,med,med,short,female,Sullivan
Pug,6472.7197,32.6718,12.7123,med,high,short,male,David
Dalmatian,23733.3061,,12.8732,high,high,short,male,Mcintyre
Bearded Collie,18554.1406,,12.8537,high,high,long,female,Francis
Pug,7069.396,37.6439,13.485,med,high,short,female,Zavala
Pug,7331.1585,32.4749,15.0583,med,high,short,female,Rose
Dalmatian,24117.0869,,13.0563,high,high,short,female,Munoz
Samoyed,23274.0206,53.7296,10.9403,med,med,med,female,Swanson
Pug,7232.2687,30.9278,14.2195,med,high,med,female,Collins
Pug,6006.8952,,13.8166,med,high,short,female,Carson
Pug,6246.7774,38.5071,13.2545,low,high,short,male,Graham
Dalmatian,26102.4321,48.0,12.8974,med,high,short,male,Ryan
Pug,7308.9492,31.9368,12.3747,med,high,short,male,Hines
Dalmatian,24072.1384,48.0,13.6688,high,med,short,male,Evans
Dalmatian,20915.2391,48.0,13.6321,high,high,short,male,Medina
Pug,6638.6886,34.9804,13.5457,med,high,short,male,Hopkins
Samoyed,20780.6493,52.4556,11.6285,med,high,med,female,Moore
Samoyed,21841.3822,54.9054,10.8732,med,high,short,female,Gomez
Dalmatian,23441.8758,48.0,13.6949,high,high,short,male,Barber
Dalmatian,18908.262,48.0,12.5395,med,high,short,male,Mata
Dalmatian,20941.7258,48.0,13.6909,high,high,short,female,Huynh
Dalmatian,25307.1657,48.0,12.7806,high,high,short,female,Horn
Pug,8235.0104,,13.1208,med,high,short,male,Smith
Dalmatian,19511.7586,48.0,12.6561,high,high,short,male,Nguyen
Bearded Collie,22253.7053,52.455,12.9865,high,high,long,female,Gonzalez
Pug,6259.5663,31.1298,13.5628,med,high,short,female,Hamilton
Dalmatian,21635.1279,48.0,13.0315,high,high,short,male,Davis
Bearded Collie,22620.4598,51.9369,13.377,high,high,long,male,Fischer
Pug,6800.41,31.3318,14.5733,med,high,short,female,Greer
Samoyed,23625.2635,54.541,10.9649,med,high,med,male,Alexander
Dalmatian,25057.3886,48.0,13.3586,high,high,short,female,Chavez
Dalmatian,23549.3482,48.0,13.5217,high,high,short,female,Davis
Bearded Collie,24781.7011,52.9683,12.9671,high,high,med,female,Brennan
Samoyed,28211.7547,53.0996,10.663,high,high,med,male,Dorsey
Dalmatian,22188.3592,,12.7215,high,high,short,male,Page
Pug,7391.6768,29.9923,13.9409,med,high,short,male,Hood
Samoyed,18740.2129,54.3777,10.6357,med,high,med,female,Harmon
Samoyed,28612.8683,53.9524,10.7518,med,high,med,female,Alexander
Dalmatian,23596.7577,48.0,14.0436,high,high,short,male,Mcdonald
Pug,6010.7682,36.7011,13.0048,med,high,short,female,Maldonado
Pug,5814.5631,38.5191,12.3768,med,high,short,female,Simmons
Samoyed,18975.032,52.7162,10.8829,med,high,med,female,Schmidt
Pug,7566.5006,30.2473,13.6269,med,high,short,male,Schwartz
Samoyed,21514.1444,,11.1044,med,high,long,male,Bishop
Samoyed,15149.4982,,10.9506,high,high,med,female,Hines
Bearded Collie,21230.5949,55.0199,14.3726,high,med,long,male,Morgan
Pug,8140.1288,29.8518,13.9008,med,high,short,female,Mcneil
Samoyed,25173.4717,,10.1649,med,high,med,female,Ortega
Bearded Collie,23602.7408,55.4942,12.8975,high,med,long,female,Sutton
Samoyed,20716.3668,52.812,11.9737,med,high,med,male,Adams
Dalmatian,23373.954,48.0,12.6941,high,high,short,female,Matthews
Bearded Collie,26116.1918,52.0205,12.2517,high,high,long,female,Richardson
Dalmatian,25243.8414,48.0,13.6476,high,high,short,female,Patton
Pug,6951.5813,35.7572,12.4732,med,high,short,female,Andrade
Pug,7132.4636,,14.7297,med,high,short,male,Rivera
Bearded Collie,20878.1489,51.474,14.0763,high,high,med,male,Nelson
Samoyed,23260.9635,56.0756,10.9848,med,high,long,female,Davis
Pug,5924.0699,33.6902,14.5152,med,high,short,female,Middleton
Bearded Collie,23125.2467,51.5501,12.7201,high,high,long,female,Sanchez
Samoyed,20593.5327,52.8532,10.9361,med,high,med,female,Gray
Bearded Collie,21673.6309,56.2523,14.1765,high,high,long,female,Li
Dalmatian,22821.177,48.0,12.9827,high,high,short,male,Mendoza
Samoyed,22444.0685,54.0714,11.7764,med,high,med,male,Anderson
Bearded Collie,19640.3099,,12.9027,high,high,long,male,Williams
Samoyed,24302.6516,55.3262,11.0868,high,high,med,male,Lewis
Bearded Collie,22637.7087,54.6481,13.7261,high,high,long,female,Franklin
Bearded Collie,24544.6179,53.7513,12.3802,high,high,long,male,Jordan
Dalmatian,23480.3405,,13.5928,high,high,short,male,Hill
Samoyed,22179.7537,,11.4258,high,high,med,female,Mccann
