Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Welsh Corgi,16948.3079,28.7276,10.0893,high,high,long,female,Cook
Boxer,31010.9979,56.552,8.548,high,high,short,female,Fields
Boxer,29308.6597,,8.7616,high,med,short,male,King
Great Dane,51845.422,76.2986,7.0179,high,high,short,female,Lee
Welsh Corgi,14335.1279,28.9977,10.2802,med,high,med,female,Schmidt
Welsh Corgi,14669.0523,29.9634,11.0191,med,high,long,male,James
Welsh Corgi,14540.4205,30.3187,11.7878,med,high,med,female,Brown
Boxer,25674.9407,59.6591,9.1463,high,med,short,female,Smith
Boxer,27768.9174,57.6937,9.033,high,high,short,male,Yates
Great Dane,45658.7057,77.9788,6.5154,med,high,short,female,King
Dalmatian,24676.0848,48.0,13.2149,high,high,short,female,Boyd
Dalmatian,24862.6858,,12.4699,high,med,short,female,Martin
Dalmatian,20923.4573,48.0,12.1955,high,high,short,female,Coffey
Boxer,29183.1823,59.4695,9.2573,med,high,short,female,Reyes
Boxer,28953.5405,57.8345,8.0334,high,med,short,male,Rogers
Great Dane,44948.3794,82.5368,6.3238,med,med,short,female,Stevens
Great Dane,45385.5029,79.5856,7.6539,low,high,short,female,Ingram
Great Dane,54338.4617,81.702,5.5738,med,high,short,male,Ryan
Dalmatian,21637.187,,12.821,high,high,short,male,Higgins
Boxer,36899.8383,58.6571,9.5316,high,high,short,male,Clark
Great Dane,53993.9325,79.073,6.5398,med,high,short,female,Miller
Great Dane,52195.2897,76.4422,6.3817,med,high,short,female,Jones
Welsh Corgi,14976.0532,,12.3012,med,high,long,male,Fowler
Dalmatian,22994.2301,48.0,13.708,high,high,short,male,Cruz
Dalmatian,25605.1662,48.0,12.8431,med,high,short,female,Delacruz
Welsh Corgi,13065.069,30.2175,10.5613,med,high,med,female,Smith
Welsh Corgi,15788.0024,29.7197,10.8921,med,high,long,male,Melton
Welsh Corgi,13602.0337,29.132,10.7886,med,med,med,male,Christopher
Dalmatian,24298.9349,48.0,12.8353,high,high,short,male,Lee
Dalmatian,21667.9526,48.0,13.5879,high,med,short,female,Soto
Welsh Corgi,15007.546,29.6019,10.4538,med,high,med,female,Harris
Great Dane,46920.7268,78.9142,6.4133,med,high,short,female,Jarvis
Great Dane,49981.099,78.4217,7.1334,med,high,short,male,Chavez
Boxer,30978.9463,,10.1903,high,high,short,male,Deleon
Welsh Corgi,14562.6185,32.6415,10.43,med,med,med,female,Moore
Great Dane,53460.0816,,6.0681,med,high,short,female,Baxter
Great Dane,47968.3592,79.0255,7.1359,low,high,short,male,Hernandez
Welsh Corgi,14822.7045,28.0636,10.9621,med,high,med,female,Edwards
Welsh Corgi,12940.7879,26.7074,11.2704,med,high,long,male,Thomas
Dalmatian,25250.3257,48.0,12.9634,high,high,short,female,Esparza
Great Dane,62612.8281,78.5815,7.1168,low,high,short,female,White
Dalmatian,26848.526,,11.9723,high,high,short,female,Odonnell
Dalmatian,25595.3007,48.0,12.8966,med,high,short,female,Pearson
Dalmatian,21263.8641,48.0,11.5132,high,high,short,female,Price
Great Dane,45094.546,78.6145,6.9335,med,high,short,female,Meyer
Great Dane,44773.9289,80.7383,7.3444,low,high,short,female,Thomas
Welsh Corgi,12460.2424,27.2321,11.5899,med,high,med,female,Mills
Welsh Corgi,13486.016,,10.9804,med,high,med,female,Smith
Dalmatian,24102.954,48.0,11.7145,high,high,short,female,Simon
Dalmatian,22283.5771,48.0,13.0189,high,high,short,female,Adams
Welsh Corgi,13474.6988,27.6713,10.4529,med,high,med,female,Watson
Welsh Corgi,14157.8812,29.1102,10.8065,med,high,med,female,Martinez
Welsh Corgi,12131.7764,26.3535,10.214,med,high,med,female,Klein
Great Dane,49810.2332,78.6819,6.2263,med,high,med,female,Kelly
Welsh Corgi,13738.9867,,12.0036,med,high,med,female,Reese
Boxer,28716.6581,59.4822,9.1033,high,high,short,female,Kline
Dalmatian,24753.1208,,12.9541,high,high,short,female,Raymond
Dalmatian,24635.0397,48.0,12.8664,high,high,short,male,King
Dalmatian,22121.8761,48.0,13.1925,high,high,short,female,Dominguez
Dalmatian,24113.5113,48.0,12.546,med,med,short,female,Brown
Dalmatian,24477.9302,48.0,12.0838,high,high,short,male,Turner
Welsh Corgi,17169.2199,30.1909,10.4205,med,high,med,female,Raymond
Dalmatian,22502.0906,48.0,13.368,high,high,short,female,Mcmahon
Dalmatian,22887.3008,,11.7508,high,high,short,female,Bowman
Great Dane,49765.8232,80.3564,6.4852,med,high,short,female,Cook
Boxer,23882.0016,60.3355,9.0401,high,high,short,male,Jones
Great Dane,47918.9308,84.0452,6.7889,med,high,short,female,Torres
Boxer,30051.4691,59.5561,9.1512,high,high,short,male,Bonilla
Boxer,38379.5688,58.9219,8.911,high,high,short,male,Strickland
Great Dane,50540.2797,,8.1247,med,high,short,female,Little
