Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Bichon Frise,3405.397,30.8893,14.6767,med,high,long,female,Foster
Jack Russel Terrier,7019.1797,34.0262,15.2215,high,med,short,female,Long
Japanese Chin Dog,1348.3633,22.9416,13.8022,med,high,med,female,Castaneda
Dalmatian,27690.995,48.0,13.7735,med,high,short,male,Ritter
Dalmatian,22265.2511,,12.8088,high,high,short,female,Hunt
Bichon Frise,2194.7088,30.3422,13.9711,med,med,med,female,John
Jack Russel Terrier,7419.0859,34.488,14.2711,high,med,short,male,White
Dalmatian,22842.0999,,12.846,high,high,short,male,Frye
Dalmatian,24323.44,48.0,12.7696,high,high,short,male,Hernandez
Bichon Frise,5461.3078,30.717,12.743,med,med,med,female,Davis
Jack Russel Terrier,6850.6752,,14.4482,high,med,med,female,Long
Jack Russel Terrier,5962.3854,33.68,13.1478,high,med,short,female,Bryan
Dalmatian,26631.3562,48.0,12.2676,high,high,short,male,Morgan
Bichon Frise,4028.0855,,13.7102,med,high,med,male,Young
Bichon Frise,4320.2457,30.8335,16.189,med,high,med,female,Robinson
Dalmatian,22602.1586,48.0,12.7177,high,high,short,male,Evans
Jack Russel Terrier,5863.6218,32.83,13.6004,high,med,short,male,Ashley
Dalmatian,22168.609,48.0,13.4763,high,med,short,female,Colon
Jack Russel Terrier,5403.812,33.9767,13.5824,high,med,short,female,Baldwin
Dalmatian,21469.9154,48.0,11.7084,high,high,short,female,Johnson
Dalmatian,22484.5791,48.0,12.803,high,high,short,female,Young
Dalmatian,26928.3928,48.0,12.7231,high,high,short,male,Walker
Jack Russel Terrier,8602.8962,,12.8055,high,med,med,female,Williams
Bichon Frise,6158.0172,30.7289,13.8007,high,med,med,female,Saunders
Jack Russel Terrier,7006.6454,34.2134,13.308,med,med,short,male,Smith
Jack Russel Terrier,6935.008,35.2064,13.8486,high,med,short,female,Johnson
Jack Russel Terrier,7134.0087,,15.1212,high,med,short,male,Wood
Jack Russel Terrier,6300.5698,35.5713,14.6812,high,low,short,male,Warren
Bichon Frise,3246.5003,30.3519,13.2441,med,high,med,male,Bradshaw
Dalmatian,24280.0302,,13.0551,med,high,short,female,Brian
Dalmatian,27970.7532,48.0,13.6564,high,high,short,male,Smith
Dalmatian,27656.7738,48.0,12.3824,high,high,short,female,Dillon
