Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Great Dane,49849.7014,79.0354,6.3006,med,high,short,male,Miller
Great Dane,50283.3197,,7.5654,med,high,short,male,Smith
Great Dane,52338.9604,,6.7278,med,high,short,female,Johnson
Boxer,32624.2496,58.0017,9.7797,high,high,short,male,Brown
Welsh Corgi,15181.2502,31.4661,11.2258,med,high,med,female,Christopher
Boxer,35494.2284,58.1371,9.5416,high,high,short,female,Coffey
Rottweiler,54621.4844,61.9572,8.8875,med,high,short,male,Wagner
Boxer,20377.0733,56.5922,8.6743,high,high,short,female,Lambert
Rottweiler,56153.4305,65.331,8.4109,med,high,short,female,Williams
Rottweiler,42875.8255,,10.8098,med,high,med,female,Rush
Boxer,26707.7463,59.2518,8.2098,high,med,short,female,Lopez
Rottweiler,47543.3866,64.5779,9.0799,low,high,short,male,Osborne
Rottweiler,56307.1911,,8.0967,med,high,short,male,Li
Rottweiler,41011.6822,62.8487,9.0045,med,high,short,female,Walters
Rottweiler,38213.6435,63.1157,8.3281,med,high,short,male,Christopher
Rottweiler,45683.5599,63.5045,8.771,high,high,short,male,Nichols
Welsh Corgi,12201.2055,25.1748,11.1221,med,high,med,male,Nichols
Rottweiler,39090.1479,62.0892,9.367,med,high,short,female,Garner
Rottweiler,48544.898,60.8385,10.0761,med,high,short,male,Clark
Rottweiler,55346.2692,62.4111,9.3553,med,high,short,male,Collins
Boxer,27937.5102,58.3391,9.427,high,high,short,female,Hood
Great Dane,50133.0955,78.0243,7.2794,high,med,short,female,Ali
Rottweiler,46822.4934,64.3268,10.5259,high,high,short,male,Buchanan
Boxer,30660.6828,59.0597,9.346,high,high,short,male,Cole
Boxer,26205.2913,,8.8723,high,high,short,male,Vargas
Great Dane,50573.5466,77.3461,6.112,high,high,short,female,Brown
Rottweiler,56120.5674,,9.1474,med,high,short,female,Walters
Welsh Corgi,12273.2692,27.752,11.8995,high,high,med,female,Walker
Welsh Corgi,12973.8914,32.9855,11.0933,med,high,med,female,Duarte
Great Dane,58053.359,78.564,7.4041,med,med,short,male,Adams
Rottweiler,53433.828,62.9408,8.8218,med,high,med,female,Holmes
Welsh Corgi,11963.0224,28.9569,10.7933,low,high,med,female,Morris
Rottweiler,53929.9096,65.0756,9.4531,med,high,short,female,Gibson
Welsh Corgi,14610.6953,29.7312,11.6768,low,high,med,male,Johnson
Rottweiler,47581.9742,63.2344,8.4651,med,high,short,male,Williams
Boxer,28468.3236,,9.9154,med,high,short,female,Smith
Welsh Corgi,18067.1414,24.8421,12.5102,med,high,short,female,Hogan
Rottweiler,41143.3071,62.4153,10.5664,high,high,short,female,Johnson
Welsh Corgi,9925.134,,11.3328,med,med,med,male,Fox
Rottweiler,49145.9375,62.4588,9.1877,med,high,short,female,Stanley
Boxer,22020.588,56.0885,9.1002,high,high,short,female,Jensen
Welsh Corgi,13339.4896,32.7192,11.5427,med,high,long,female,Smith
Great Dane,48168.741,79.0402,5.4424,high,high,short,female,Schmidt
Welsh Corgi,13132.2688,32.1722,10.6432,med,high,long,female,Schultz
Rottweiler,43378.4374,65.7257,8.1819,low,high,short,female,Anderson
Rottweiler,49257.7831,62.0315,7.5448,med,high,short,male,Farmer
Welsh Corgi,10382.3793,28.5598,10.4954,med,high,med,male,Hoffman
Boxer,29827.8754,,8.6488,high,high,short,male,Lindsey
Great Dane,54925.3982,81.5796,7.6193,med,high,short,female,Beltran
Rottweiler,52489.371,63.9307,9.878,med,high,med,male,Marshall
Rottweiler,52814.8317,63.2817,8.8463,med,high,short,male,Roach
Great Dane,51122.0924,77.5648,7.0114,med,high,short,female,Higgins
Rottweiler,43122.6157,,8.4127,med,high,short,male,Wilson
Great Dane,49196.8474,79.0601,6.7232,med,high,short,male,Moore
Welsh Corgi,13276.9419,30.815,10.5818,med,high,med,female,Leon
