Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Dalmatian,22390.9179,48.0,12.4664,high,high,short,male,Allen
Rottweiler,57351.4114,61.2893,11.1189,med,high,short,female,Shaw
Pug,7156.9525,32.2106,12.5911,med,high,short,male,Munoz
Australian Shepherd,22877.8776,55.8712,13.391,high,high,med,male,Jones
Dalmatian,24412.9266,,13.2525,high,high,short,male,Smith
Pug,6815.6832,31.5682,13.9826,med,high,short,female,Henderson
Rottweiler,57632.0975,64.0713,8.7857,low,high,short,female,Bell
Pug,8696.9148,,13.5298,low,med,short,female,James
Dalmatian,24780.6593,48.0,12.4947,high,high,med,male,Monroe
Dalmatian,26705.4218,48.0,12.965,high,high,short,female,Barnes
Rottweiler,50290.6288,63.5276,9.5629,med,high,short,male,Matthews
Pug,5864.6036,29.0681,13.5412,med,med,short,male,Hayes
Australian Shepherd,18655.4121,54.1354,14.1307,high,high,med,male,Smith
Australian Shepherd,21899.1137,53.5236,13.3824,med,high,med,female,Burns
Dalmatian,21151.7161,48.0,12.5377,high,high,med,male,Silva
Rottweiler,48161.4103,,9.4024,med,high,med,female,Swanson
Dalmatian,22780.9539,48.0,12.4857,high,high,short,female,Taylor
Australian Shepherd,23967.306,54.0163,13.4471,high,high,med,female,Hall
Australian Shepherd,21475.5673,54.955,12.8637,high,high,long,female,Jackson
Dalmatian,24366.0625,48.0,13.1245,high,high,short,female,Booth
Dalmatian,24034.1352,48.0,12.956,high,high,short,male,White
Pug,6956.0351,42.5722,15.0047,med,med,med,female,Gonzales
Australian Shepherd,29257.8824,53.9481,12.8562,med,high,med,female,Walker
Rottweiler,52373.928,62.0924,9.0433,high,high,short,female,Cowan
Pug,6808.7723,32.943,14.4392,med,high,short,male,Davis
Pug,8198.6221,34.9435,14.1561,med,high,short,female,Salinas
Pug,7770.2552,29.1609,12.4538,low,high,med,male,Henderson
Pug,6814.7255,37.2831,14.183,med,med,short,male,Ross
Pug,6205.024,32.1827,11.4361,med,high,short,male,Greer
Rottweiler,49845.0137,66.1034,9.1765,med,high,short,male,Butler
Dalmatian,22517.9134,,12.3319,high,high,short,male,Hull
Rottweiler,32963.0928,64.0702,9.8054,high,high,short,male,Richardson
Rottweiler,52821.1753,,8.7367,med,high,short,female,Sanchez
Dalmatian,25508.5047,,13.3601,high,high,short,female,Howard
Australian Shepherd,28738.9747,53.0568,12.5508,high,high,med,male,Glover
Dalmatian,24590.5509,48.0,12.4489,high,high,short,female,Williams
Australian Shepherd,21498.9605,53.3837,12.6542,high,high,med,male,Davis
Pug,6589.9675,,12.9288,med,high,short,female,Cox
Pug,6966.3945,29.7839,12.4664,med,high,short,male,Hurley
Australian Shepherd,24787.8296,,13.6733,high,high,med,male,Vazquez
Dalmatian,26932.9969,48.0,13.0633,med,high,short,male,Obrien
Pug,7487.6253,,14.4183,med,high,short,female,Schroeder
Dalmatian,20463.6216,,12.7019,high,med,short,male,Williams
Pug,6704.7675,36.0376,13.604,med,med,short,male,Howell
Australian Shepherd,28122.7649,54.5473,14.3255,high,high,med,female,Scott
Rottweiler,42434.0337,61.7141,9.4253,med,med,short,female,Nichols
Pug,6793.6837,33.0877,13.5835,med,high,short,male,Hobbs
Dalmatian,22486.3523,48.0,14.4965,high,med,short,male,Weber
Rottweiler,50666.9936,,9.5379,low,high,med,female,Madden
Pug,5754.2784,36.851,13.7052,med,high,med,female,Murphy
Australian Shepherd,21123.4331,53.5336,12.216,med,high,short,male,Day
Australian Shepherd,17909.6572,50.661,13.5356,high,high,long,female,Smith
Australian Shepherd,22815.145,54.7402,13.1116,high,high,med,female,Holmes
Pug,6557.682,35.288,13.1699,med,high,short,female,Gonzalez
Dalmatian,21854.2546,48.0,14.1312,high,high,short,female,Collins
Pug,6504.4392,,12.2257,low,high,short,male,Steele
Dalmatian,24555.2431,48.0,13.142,high,high,short,male,Blevins
Dalmatian,22545.1778,,13.6629,high,high,short,male,Johnson
Australian Shepherd,18827.2556,52.8349,13.3906,high,high,long,male,Hamilton
Australian Shepherd,23694.4865,53.922,12.8241,high,high,med,male,Buck
Dalmatian,24454.1874,,14.3168,high,high,short,female,Stafford
Rottweiler,44608.2624,,10.9152,med,high,short,female,Cantrell
Pug,6872.8883,,13.7325,low,high,short,male,Hayden
Australian Shepherd,24420.6687,,12.9472,high,high,med,male,Waters
Dalmatian,23731.8849,48.0,13.8044,high,high,short,female,Steele
Pug,7182.478,29.9784,13.0292,med,high,short,male,Herrera
Pug,6932.45,36.9559,12.1404,low,high,med,male,Sanchez
Pug,6418.1404,,14.4826,high,high,short,male,Murray
Australian Shepherd,22859.7412,52.1914,13.3035,med,high,med,male,Welch
Dalmatian,22380.9328,48.0,12.3254,med,high,short,male,Peterson
Rottweiler,27544.8022,64.5541,8.8866,med,high,short,male,Green
Rottweiler,46203.6521,63.7989,8.3565,med,high,med,female,Phelps
Pug,7646.7483,26.7007,14.4708,med,high,short,female,Wallace
Pug,7043.8061,37.1787,12.6793,high,med,short,female,Walls
Rottweiler,62527.4228,65.4437,11.5972,med,high,short,male,Morgan
Rottweiler,53309.9219,,9.8251,med,med,short,male,Gilbert
Rottweiler,39968.8537,65.1505,9.4035,med,high,short,female,Curry
Rottweiler,38324.9664,66.4276,9.322,high,high,short,male,Williams
Dalmatian,25005.3693,48.0,13.0969,high,high,med,male,Howe
Pug,6987.2735,37.7341,12.0181,med,high,short,female,Davis
Rottweiler,52644.4318,63.6181,10.3997,high,high,short,female,Steele
Australian Shepherd,26125.0627,51.1718,13.3136,high,high,med,male,James
Pug,6668.2937,,12.7075,med,med,short,male,Mcclain
Dalmatian,24824.7687,,14.1802,high,med,short,female,Jones
Australian Shepherd,22317.7546,52.2178,13.3442,med,high,med,male,Perry
Dalmatian,22204.1982,48.0,12.3986,med,high,short,male,Cervantes
Australian Shepherd,17611.5743,51.9317,12.6328,high,high,long,female,Rojas
Australian Shepherd,24365.3559,53.1506,11.6678,high,med,short,female,Meyers
Australian Shepherd,25594.4077,,13.2528,high,med,med,male,Campbell
Dalmatian,19689.8196,48.0,12.7641,high,high,short,male,Harrison
Pug,7054.3454,30.8445,15.1411,med,high,med,female,Wright
Rottweiler,53051.5782,64.2886,9.8083,med,high,short,male,White
Rottweiler,39533.7487,63.2887,9.6933,low,high,short,female,Lopez
Dalmatian,22584.375,48.0,11.634,high,high,short,male,Chandler
Rottweiler,54487.0725,65.3318,8.8155,med,high,short,female,Baxter
Dalmatian,24263.0791,48.0,12.8917,high,high,med,female,Simmons
Australian Shepherd,29692.1241,53.4742,13.1291,high,high,med,female,Eaton
Rottweiler,36492.519,63.9387,10.4865,med,high,short,male,Nichols
Australian Shepherd,18119.8265,,13.3013,high,med,med,male,Jackson
Dalmatian,22979.9643,48.0,13.8351,high,high,short,female,Linda
Pug,7794.6754,36.5609,13.9406,med,high,short,male,Barrera
Pug,6592.0722,34.8456,12.5208,med,high,short,male,Jeffrey
Dalmatian,21453.3076,48.0,12.9626,high,high,med,male,Mark
Australian Shepherd,22559.361,53.5956,13.3104,high,high,med,male,Kelley
Australian Shepherd,23096.5676,,12.7635,high,med,long,male,Jones
Rottweiler,59540.3437,65.4879,7.9391,med,high,short,male,Schmidt
Australian Shepherd,26233.0584,51.6285,12.7417,high,high,med,female,Esparza
Pug,7469.8117,,13.6505,med,high,short,female,Payne
Australian Shepherd,22677.9408,53.4212,11.8178,high,med,med,female,Jenkins
Rottweiler,42427.2319,63.0199,9.5581,med,high,short,male,Hubbard
Dalmatian,23974.2048,48.0,13.077,high,high,short,female,Cook
Rottweiler,43296.822,65.6152,9.4452,low,high,short,female,Anna
Dalmatian,25661.3759,48.0,13.0413,high,med,short,male,Gray
Rottweiler,48840.5554,62.5258,9.875,med,med,short,male,Anderson
Rottweiler,49429.2442,63.7875,9.0524,low,high,short,male,Dixon
Pug,5832.634,32.2573,14.1388,med,high,short,male,Byrd
Rottweiler,40204.3402,61.4833,9.7076,med,high,short,female,Le
Pug,7285.5214,,11.9075,high,high,short,female,Willis
Dalmatian,22608.594,48.0,13.712,high,high,med,female,Roth
Dalmatian,24679.1405,48.0,13.2535,high,med,short,female,Obrien
Pug,6729.4814,,12.2282,med,high,short,male,Graham
Rottweiler,50185.78,63.3599,9.4017,med,high,short,female,Miranda
Australian Shepherd,22379.1066,57.0743,13.0587,high,high,long,female,Frye
Dalmatian,21872.5283,,13.0935,high,high,short,male,Kemp
Australian Shepherd,20917.4209,52.1514,14.1179,med,high,med,male,Stevenson
Pug,6338.1073,36.5732,13.3936,med,high,short,female,Russell
Dalmatian,25741.3849,48.0,13.3641,high,high,short,female,Lee
Dalmatian,23456.4753,48.0,13.4768,high,high,short,female,Chen
Rottweiler,31785.2723,61.6127,8.7116,med,high,short,female,Morgan
Dalmatian,22189.9532,48.0,13.4888,high,high,short,female,Gutierrez
Rottweiler,47434.1065,64.259,7.9799,low,med,short,male,Middleton
Australian Shepherd,23249.6963,53.9043,12.4923,high,high,med,female,Cook
Pug,6713.1059,27.303,12.0253,med,high,short,male,Moore
Pug,6951.5718,34.5626,13.249,med,high,short,male,Kristine
Dalmatian,19227.1701,48.0,13.6697,high,high,short,female,Carroll
Pug,6186.7792,31.7912,11.7126,med,high,short,female,Wright
Australian Shepherd,22786.6312,52.0551,12.63,high,high,med,female,Barber
Pug,7094.4866,37.22,13.0635,med,high,med,female,Castillo
Rottweiler,45221.7765,64.8507,10.3877,med,high,short,female,Hunter
Pug,7685.4194,35.0622,11.9335,med,high,short,male,Diaz
Rottweiler,40400.0184,60.6011,10.7306,med,high,short,female,Bird
Rottweiler,39520.7991,63.8422,8.7916,med,high,short,female,Ramirez
Dalmatian,23703.0006,48.0,14.0181,high,med,short,male,Powell
Dalmatian,24850.26,48.0,13.3425,high,high,short,male,Stewart
Australian Shepherd,29823.9272,54.328,13.5335,high,high,med,female,Mejia
Pug,7424.2805,29.9961,13.5549,med,high,short,male,Castro
Dalmatian,25906.185,48.0,12.9764,high,high,short,male,Clark
Pug,7577.8562,38.3558,12.2708,med,high,short,female,Clarke
Pug,5883.7294,29.1625,13.7255,med,high,short,female,Garcia
Rottweiler,48050.0888,64.135,9.507,med,high,short,male,Guzman
Australian Shepherd,20159.7668,53.3835,12.9139,med,high,med,female,Lewis
Rottweiler,43366.3757,,9.1148,med,high,short,male,Rivera
Rottweiler,44984.4144,66.177,8.0565,med,high,short,male,Castillo
Rottweiler,47093.7273,64.9621,8.9432,high,high,med,female,Ortega
Dalmatian,23999.2804,,14.4432,high,med,short,female,Camacho
Australian Shepherd,23688.2062,51.567,13.1805,high,high,med,male,Gomez
Rottweiler,44087.7101,61.7389,8.2674,med,high,short,female,Young
Rottweiler,53659.8455,63.6898,10.0604,med,high,short,female,Rodriguez
Dalmatian,26230.4219,48.0,13.7382,high,high,med,male,Thompson
Pug,7412.4398,,13.6939,med,high,short,male,Cooper
Australian Shepherd,27030.7244,52.8321,12.4764,high,high,med,male,Evans
Dalmatian,21692.5338,,12.6262,high,high,short,female,Hahn
Dalmatian,21826.7683,48.0,13.0668,high,high,short,male,Espinoza
Australian Shepherd,25284.4565,54.1352,13.6989,med,high,med,male,Evans
Rottweiler,47838.2308,66.6342,8.7925,high,high,short,male,Wallace
Australian Shepherd,27272.597,55.7988,12.2138,high,high,med,female,Cannon
Pug,6129.5617,36.2291,13.4624,med,high,short,female,Wilson
Dalmatian,22316.9165,48.0,12.1714,high,high,short,male,Elliott
Australian Shepherd,24379.9853,52.5563,12.424,high,high,med,female,Mejia
Rottweiler,49733.1451,63.2753,9.0668,med,high,short,female,Jones
Dalmatian,21669.0643,48.0,12.1788,med,high,short,male,Stephens
Dalmatian,22671.578,48.0,11.5378,high,high,short,male,Coleman
Rottweiler,48419.0652,64.2333,10.3913,med,high,med,female,Gonzales
Rottweiler,40140.6636,,9.5776,high,high,short,female,Young
Rottweiler,46692.4206,61.1687,10.0668,med,high,short,female,Kelley
Australian Shepherd,19747.4986,53.9393,13.0777,high,high,long,female,Smith
Australian Shepherd,24163.3045,,13.8041,high,med,med,male,Mendoza
Pug,7052.4721,32.4249,13.3254,high,high,short,female,Rosario
Rottweiler,45427.2785,,10.43,med,high,med,male,Brown
Rottweiler,46388.0566,62.7302,8.0686,med,med,short,male,Robertson
Pug,7231.2899,30.2379,14.1696,med,high,med,male,Zamora
Australian Shepherd,22224.2627,53.1262,12.6525,high,high,med,female,Miller
Rottweiler,65296.1162,65.3761,8.9277,low,high,short,female,King
Rottweiler,48479.996,63.2392,8.7516,med,high,short,male,Anderson
Rottweiler,50184.3693,62.7663,9.983,high,high,short,male,Graham
Dalmatian,23851.7596,48.0,13.203,high,high,short,male,Lucero
Rottweiler,48715.7248,62.3999,10.5551,low,high,short,female,Valenzuela
Rottweiler,44373.8653,65.9852,8.9545,med,high,short,female,Hopkins
Australian Shepherd,27885.2201,52.1379,12.3474,high,high,med,male,Jessica
Pug,7873.3541,37.4169,13.1669,med,high,short,male,Johnson
Dalmatian,21425.5559,,13.5862,high,high,short,male,Nelson
Pug,6531.0135,31.8325,12.3513,med,high,short,male,Bender
Dalmatian,22500.7299,,13.3011,high,med,short,male,Montgomery
Australian Shepherd,23499.1511,51.8342,12.4429,high,high,med,female,Frost
Rottweiler,42314.1301,,11.4571,med,high,short,male,Richard
Dalmatian,25910.1079,,13.3502,high,med,med,female,Lee
Australian Shepherd,24648.3877,52.6448,13.3036,high,high,med,female,Baxter
Dalmatian,21967.0317,,12.4274,high,high,short,male,Olson
Rottweiler,56513.2409,65.7753,8.3948,med,high,short,male,Williams
Pug,6248.4975,,13.928,med,high,short,male,Melton
Pug,7329.5407,41.319,14.1003,med,high,short,male,Williams
Pug,6003.2556,34.2493,13.7597,med,high,short,female,Hill
Australian Shepherd,23142.4806,50.1611,13.0926,high,high,long,female,Cooper
Dalmatian,25199.0315,,12.6712,high,high,short,female,Bass
Dalmatian,22394.6274,48.0,12.6029,med,high,short,male,Chavez
Pug,7081.8789,36.8211,13.1615,med,med,med,female,Murphy
Pug,6513.6651,31.3873,12.5741,med,high,short,female,Allen
Pug,6317.3186,31.0572,13.1006,med,high,short,male,Bell
Dalmatian,23706.3774,48.0,14.1543,high,high,short,female,Chung
Pug,7955.1758,29.1054,12.7934,med,high,short,female,Jacobson
Australian Shepherd,24384.258,51.3509,13.8113,high,med,med,female,Perez
