Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Australian Shepherd,18978.5925,,12.9833,med,high,short,male,Hall
Siberian Husky,17704.0594,53.8626,11.7769,med,med,short,male,Garcia
Siberian Husky,19925.6105,55.4772,11.3517,med,med,med,female,Mccarthy
Akita,49681.5086,64.7115,11.0266,med,med,med,female,Owens
Siberian Husky,20078.5202,52.3407,11.8875,high,med,med,male,Roberts
Akita,37128.2729,66.2675,10.802,med,med,med,male,Williams
French Bulldog,12860.3933,29.9649,9.7118,med,high,short,male,Martin
Australian Shepherd,24162.348,53.1081,12.1241,med,high,med,male,Rose
Australian Shepherd,25573.3632,53.1564,12.2886,high,high,med,male,Carpenter
French Bulldog,12505.539,29.4321,10.2452,low,high,short,male,Harvey
Akita,55460.7838,66.6088,10.464,med,low,med,male,Mitchell
Siberian Husky,18794.483,54.3156,11.6413,high,med,med,male,Taylor
Akita,52997.987,69.4136,10.624,med,med,med,male,Garrett
Siberian Husky,20341.7609,57.8927,11.8746,med,high,med,male,Calderon
Siberian Husky,16491.8534,54.471,12.1913,med,med,med,male,Dillon
French Bulldog,12334.6468,29.0817,8.855,med,high,short,male,Durham
French Bulldog,11887.5909,28.9358,11.2223,med,high,short,female,Combs
Siberian Husky,18883.272,55.7459,11.323,med,med,med,male,Thomas
Akita,40258.6404,67.6038,10.5274,high,med,med,male,Tucker
Akita,41193.0561,67.1407,10.4315,med,med,med,female,Dominguez
Australian Shepherd,24787.0152,53.6061,13.4809,high,high,med,female,Bishop
French Bulldog,11354.6519,28.3766,8.67,med,high,med,male,Sarah
Akita,62492.4188,65.5973,10.8663,low,med,short,male,Craig
Australian Shepherd,26679.347,54.0548,13.3866,high,high,med,female,Chang
Akita,39475.3651,64.8515,10.0029,med,med,med,male,Mejia
French Bulldog,12139.3371,29.0036,10.3502,med,high,short,female,Miller
Akita,43617.9987,66.5732,10.9141,high,med,med,female,Ford
Siberian Husky,21252.5417,53.5334,12.324,med,med,med,female,Nelson
Siberian Husky,15929.9153,,11.3935,med,med,med,female,William
Akita,53104.7485,63.5077,11.7509,med,med,short,female,Charles
Australian Shepherd,21976.3507,54.6012,12.783,high,high,med,female,Fuller
Siberian Husky,18987.9335,54.6739,12.2494,med,med,short,female,Lambert
Siberian Husky,16210.1156,,12.1024,low,med,med,male,Mcfarland
French Bulldog,11786.2621,,10.8575,high,med,short,female,Patterson
Siberian Husky,23429.836,53.3213,12.366,med,low,short,female,Austin
Akita,42926.3908,66.7377,10.9783,med,low,med,male,Arnold
French Bulldog,12003.8895,28.9294,11.0212,med,high,short,female,Garcia
Siberian Husky,19657.5113,53.271,12.0612,high,med,med,female,Hill
Australian Shepherd,23902.1532,,11.9983,high,high,med,female,Wright
French Bulldog,12448.0865,,10.7939,med,high,short,female,Evans
Akita,39319.8904,65.8356,10.1645,med,high,med,female,Kennedy
Siberian Husky,20119.8354,54.9772,12.0281,high,low,short,female,Smith
Australian Shepherd,18001.1177,,13.9236,high,high,short,female,Hale
Akita,28988.7398,64.6597,11.5047,med,med,med,female,Ross
French Bulldog,11912.2404,28.5764,9.3968,high,high,short,male,Dixon
French Bulldog,13352.8437,,10.2581,low,high,short,male,Cordova
Akita,34856.0421,,10.0017,med,med,short,female,Gibson
French Bulldog,11986.8104,,9.8293,med,high,short,female,Hall
French Bulldog,12145.593,27.7176,10.0184,med,high,short,female,Cole
French Bulldog,12799.3575,28.006,9.1516,low,high,short,female,Williams
Australian Shepherd,22478.1269,,11.7482,high,high,med,female,Park
Australian Shepherd,26015.3521,54.0825,12.9005,high,med,med,female,Davis
Australian Shepherd,24339.9431,53.6177,12.9654,high,high,short,male,Bowman
Siberian Husky,20099.1539,51.2076,11.6537,med,med,med,female,Copeland
Akita,39191.6688,,9.557,med,med,long,male,Russell
French Bulldog,12620.5661,29.7012,10.6088,med,high,short,female,Wilson
Akita,50973.1638,66.9488,10.5696,med,high,med,female,Rios
Siberian Husky,22890.4571,60.7416,11.9979,med,high,med,male,Anderson
Australian Shepherd,25871.0498,52.7244,13.3307,high,med,short,male,Walker
Siberian Husky,19829.9499,54.3644,11.2692,med,med,long,male,Cook
French Bulldog,11797.305,28.4986,10.5073,med,high,short,male,Wallace
French Bulldog,11453.1155,27.878,9.5408,low,high,short,male,Maynard
Siberian Husky,23235.6971,54.4657,13.0128,med,med,long,male,Howard
French Bulldog,11786.8925,29.2418,10.4051,med,high,short,male,Mendez
French Bulldog,12477.5112,29.0269,10.5763,high,med,short,female,Lawson
French Bulldog,10748.6214,29.2174,10.0796,med,high,short,female,Lopez
Akita,47345.6231,66.3112,11.3454,med,low,long,male,Gaines
Akita,48091.3575,64.0249,9.7985,med,high,med,female,Manning
Australian Shepherd,25381.6611,51.5735,13.6011,high,high,med,female,Murphy
Akita,41586.0829,67.7204,12.3531,med,med,med,female,Flores
French Bulldog,11619.8848,28.1432,9.0258,high,high,short,male,Young
French Bulldog,11698.3878,29.4264,9.0111,med,high,short,male,Espinoza
Akita,46722.7353,65.9932,9.8088,high,med,med,male,Brown
Akita,45030.5131,64.6277,10.4926,med,med,med,male,Wong
Australian Shepherd,20452.0795,,13.4315,high,high,short,male,Herrera
French Bulldog,11218.5348,,10.0342,med,high,short,male,Nelson
Siberian Husky,17798.1128,55.3163,12.4865,high,med,med,female,Summers
Australian Shepherd,21440.1046,55.1879,12.9078,high,high,med,female,King
Australian Shepherd,21848.6481,52.5953,12.9545,high,high,med,female,Ramos
Siberian Husky,18650.2417,53.1185,11.849,low,med,med,male,Coleman
Australian Shepherd,25569.798,,13.0766,high,med,med,male,Brown
Akita,53762.0068,67.4587,11.9364,med,med,med,male,Gonzales
Siberian Husky,15897.7683,54.4516,11.7025,med,high,med,female,Dorsey
Akita,46077.5782,67.4202,11.0568,med,med,med,male,Martinez
Akita,42019.5046,66.3973,11.478,med,med,med,male,Lucero
Siberian Husky,21167.6147,,11.3922,med,med,med,male,Jones
French Bulldog,11902.6791,28.8863,9.9248,med,high,short,female,Ferrell
Akita,45258.6382,64.9066,10.6303,med,med,med,female,Reed
French Bulldog,11826.1951,29.6776,11.3028,med,high,short,female,Ramirez
Australian Shepherd,25772.1292,,12.9382,high,high,long,male,Kennedy
Australian Shepherd,21408.6516,55.3277,12.8625,high,high,med,female,Smith
Siberian Husky,18668.7218,,12.0408,med,high,med,male,Walters
Siberian Husky,21004.508,52.196,11.4073,med,med,med,female,Kelley
Akita,44413.5931,68.3409,9.9768,med,med,short,male,Tate
Siberian Husky,21377.1045,54.8755,11.398,med,high,med,female,Brady
Siberian Husky,20496.1575,57.0748,12.1213,high,med,short,male,Adams
French Bulldog,11649.6105,,9.9509,high,high,short,male,Rowe
Akita,29116.1245,67.5882,10.962,med,med,med,female,Newman
Siberian Husky,21511.1976,53.3636,10.8575,med,med,long,male,Silva
French Bulldog,11849.9623,28.1358,10.9692,med,high,short,male,Miller
Siberian Husky,20100.6788,53.8759,12.0149,med,med,med,male,Harrison
Siberian Husky,22209.5907,56.3087,11.1862,med,med,med,male,Green
Akita,52667.5026,67.1624,10.7218,low,med,med,male,Gay
French Bulldog,11893.4294,29.5997,9.889,med,high,short,male,Thompson
French Bulldog,12075.4453,28.8768,9.641,med,med,short,male,Herrera
Akita,34748.4155,,11.346,med,med,med,male,Benton
Siberian Husky,17673.4648,,11.0479,low,med,med,female,Hamilton
