Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
French Bulldog,13253.9385,29.4303,9.4596,med,high,short,male,Roberts
German Shepherd,36531.6362,58.3718,10.718,low,med,med,male,Benson
German Shepherd,34117.5761,60.9155,11.8381,med,med,med,female,Bradford
Pit Bull,29407.5446,45.8166,12.056,med,high,short,male,Moreno
Jack Russel Terrier,8103.5196,,13.6059,high,med,short,female,Lloyd
French Bulldog,11458.535,29.5591,10.7618,med,high,short,female,Garcia
German Shepherd,37968.6165,,11.386,med,med,med,female,Phillips
German Shepherd,38783.5165,59.5522,10.1203,med,high,med,female,Bryant
French Bulldog,12177.6168,,9.4535,med,high,short,male,Perez
German Shepherd,36724.4543,58.5041,10.6858,med,med,med,male,Morales
German Shepherd,34465.8328,61.3491,11.6342,med,med,long,female,Love
Jack Russel Terrier,7143.4893,34.6759,14.0149,high,med,short,male,Compton
French Bulldog,12392.2641,28.0295,8.6152,low,high,short,male,Nichols
Pit Bull,33351.3141,46.2898,12.3002,low,high,short,female,Wood
Pit Bull,31956.5518,45.2592,11.5336,med,high,short,female,Pacheco
Jack Russel Terrier,8002.7601,33.1151,13.4898,high,med,short,female,Rich
Pit Bull,26998.5697,44.8019,13.2008,high,high,short,male,Morgan
French Bulldog,11636.8653,28.7594,10.2727,med,high,med,male,Moore
Pit Bull,17649.0146,45.2849,12.3959,low,high,med,male,Ewing
Jack Russel Terrier,5363.1884,34.0094,14.7787,high,med,med,male,Johnson
German Shepherd,37037.6463,,11.0954,med,med,med,female,Carlson
French Bulldog,11916.306,28.814,9.8641,med,med,short,female,Brown
Jack Russel Terrier,7503.8149,34.2986,14.0782,high,low,short,male,Gallagher
French Bulldog,11576.5141,,10.9864,low,med,short,female,Munoz
Pit Bull,26765.9824,45.696,12.1582,low,high,med,female,Bell
French Bulldog,12261.9308,29.4388,9.7791,low,high,med,female,Porter
Pit Bull,24330.7928,45.4625,11.7581,med,high,short,male,Washington
French Bulldog,10903.6936,27.3115,10.4469,med,high,med,male,Cook
Jack Russel Terrier,5896.4817,33.8962,13.6895,high,med,short,male,Jones
Pit Bull,29984.7022,45.5966,12.1138,high,high,short,male,Ballard
Jack Russel Terrier,8772.0308,34.2184,13.3859,high,med,short,female,Adams
French Bulldog,12585.246,28.5884,10.0802,med,high,short,female,Willis
French Bulldog,12125.0582,28.8854,9.9037,med,high,short,male,Nelson
German Shepherd,36317.162,59.6914,11.4661,med,med,med,male,Jimenez
German Shepherd,37365.089,59.2925,10.5443,low,high,med,female,Burnett
French Bulldog,11486.2376,28.3104,12.0647,med,med,short,male,Lopez
Pit Bull,21389.8611,47.0966,12.4848,med,high,short,female,Ramos
Pit Bull,25297.4429,46.06,10.7425,med,high,short,female,Campbell
German Shepherd,37417.1254,60.0909,12.0997,med,med,short,male,Montes
Pit Bull,34269.0506,44.8868,12.303,med,high,med,male,Davis
French Bulldog,11858.9652,28.1315,10.5068,med,high,short,male,Hicks
French Bulldog,11333.1826,28.897,9.7889,med,high,med,male,Cook
Jack Russel Terrier,6248.3957,33.7875,14.3359,high,med,med,male,Wilcox
German Shepherd,34065.0114,,10.8801,high,med,med,male,Castillo
Pit Bull,22663.0262,46.631,12.3582,med,med,short,female,Johnson
Pit Bull,31328.4944,,11.5542,med,high,short,female,Ayers
French Bulldog,12448.1627,28.9476,9.0811,med,high,short,female,Cohen
Jack Russel Terrier,6163.3012,,13.6459,high,med,short,female,Mccarthy
Pit Bull,23965.3485,46.2127,12.4263,med,high,short,female,Wright
