Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Dalmatian,24253.0843,48.0,12.7759,high,high,short,female,Hernandez
Airedale Terrier,24607.6005,56.6501,11.0119,high,high,short,female,Richardson
Japanese Chin Dog,2904.1787,23.2161,13.0189,med,high,med,female,Mccoy
Airedale Terrier,20460.0721,56.6031,11.8211,high,high,med,male,Rogers
Australian Shepherd,21262.8597,54.8637,12.9775,high,high,med,male,Cole
Airedale Terrier,21108.6082,56.4657,12.2932,high,high,med,female,Lutz
Dalmatian,21247.5669,,13.0071,high,high,short,male,Gray
Airedale Terrier,18885.2336,57.839,11.9934,high,high,med,female,White
Australian Shepherd,22896.4162,53.6227,14.4061,med,high,med,male,Clayton
Australian Shepherd,24120.5133,53.893,12.2335,high,high,med,female,Gutierrez
Australian Shepherd,29549.5279,52.8398,12.0023,high,med,long,female,Perez
Airedale Terrier,19613.962,57.0335,11.253,high,high,short,male,Wilkins
Dalmatian,25081.2994,48.0,12.9386,high,med,short,female,Alexander
Airedale Terrier,21824.1156,57.6062,12.0149,high,high,long,female,Crawford
Australian Shepherd,19212.1435,54.8564,12.7987,med,high,med,male,Ortega
Japanese Chin Dog,3768.5255,23.2413,12.5187,med,high,med,female,Cross
Airedale Terrier,19652.5697,57.2652,10.2504,high,high,med,female,Campbell
Airedale Terrier,20368.4545,57.0946,12.7287,med,med,short,female,Sandoval
Japanese Chin Dog,4950.8493,24.3463,13.1738,low,high,med,male,Hernandez
Australian Shepherd,23765.8016,54.0981,13.6268,high,high,med,male,Gomez
Airedale Terrier,18639.0741,56.8548,11.3101,med,high,med,female,Bailey
Dalmatian,23705.8188,48.0,11.8266,med,med,short,female,Williams
Japanese Chin Dog,4251.5902,23.0116,13.9733,med,high,med,male,Ortega
Japanese Chin Dog,3984.7138,23.705,12.7816,high,high,long,male,Arias
Airedale Terrier,17288.8194,56.65,11.8931,med,high,med,male,Morris
Airedale Terrier,19892.561,,10.4609,high,high,med,female,Rodriguez
Dalmatian,20733.6815,48.0,13.5752,high,high,short,female,Dorsey
Japanese Chin Dog,4909.5297,25.0908,12.4166,med,high,med,female,Ayala
Airedale Terrier,21688.4143,57.7831,10.8536,high,high,long,male,Lopez
Airedale Terrier,21317.804,56.4585,11.4384,high,high,med,male,Becker
Australian Shepherd,19875.0112,54.5295,12.5695,high,med,long,male,Knight
Dalmatian,26854.4696,48.0,12.9382,high,med,short,male,Fischer
Japanese Chin Dog,4866.8952,21.9316,13.0287,med,high,med,female,Carter
Australian Shepherd,20724.1034,54.9327,13.188,high,high,med,male,Schwartz
Dalmatian,21186.2852,48.0,12.5639,high,med,short,female,Reynolds
Japanese Chin Dog,4920.0194,24.524,13.6327,med,high,med,female,Frank
Japanese Chin Dog,3212.9486,24.6754,12.7681,med,high,med,male,Nelson
Airedale Terrier,21695.0757,56.3122,11.0388,high,high,med,male,Robinson
Dalmatian,27561.6884,,12.1321,high,high,med,female,Cook
Japanese Chin Dog,4186.4468,22.4953,13.699,med,high,med,male,Jones
Dalmatian,28310.6414,48.0,12.8744,high,high,short,male,Craig
Airedale Terrier,20037.5869,,12.2099,high,med,med,female,Lam
Australian Shepherd,20504.1065,52.4771,13.3133,high,high,med,male,Baker
Airedale Terrier,18291.3835,56.5026,10.1261,high,high,med,male,Hill
Dalmatian,23413.9968,48.0,14.0692,high,high,short,female,Boyer
Dalmatian,24585.06,,12.9459,high,high,short,female,Casey
Dalmatian,23511.5552,48.0,13.1119,high,high,short,male,Mcdaniel
Airedale Terrier,21659.0605,56.6963,10.8373,high,high,med,male,Davis
Australian Shepherd,25717.3358,55.5256,13.4882,high,high,med,male,Roberson
Airedale Terrier,23065.8141,57.2667,11.0757,high,high,med,female,Lawrence
Airedale Terrier,22942.1589,57.0174,13.4754,med,high,med,male,Cooke
Airedale Terrier,21963.8407,56.9204,11.7007,high,high,med,male,Mcpherson
Dalmatian,22599.1596,48.0,13.396,med,high,short,male,Jones
Japanese Chin Dog,3621.7532,22.7996,12.8847,low,high,med,male,Pearson
Dalmatian,23292.7726,48.0,12.7285,high,high,short,female,Price
Japanese Chin Dog,3865.7606,23.815,12.7806,med,high,med,female,Wagner
Airedale Terrier,18337.3447,,10.9867,med,high,med,male,Morris
Japanese Chin Dog,2339.7916,24.0552,12.2342,med,high,med,female,Mendoza
Airedale Terrier,22077.9346,57.5851,10.8818,med,high,med,female,Griffin
Australian Shepherd,26034.577,55.0323,13.9149,high,high,med,female,Tapia
Australian Shepherd,22293.8373,52.9535,12.3091,high,high,med,female,Anderson
Japanese Chin Dog,3676.7487,24.55,12.0473,med,med,med,male,Castro
Dalmatian,21918.6743,48.0,13.8471,med,high,med,female,Lopez
Dalmatian,24989.0753,48.0,13.819,high,high,short,male,Barnes
Airedale Terrier,22501.7456,57.3235,12.3287,high,high,med,female,Harrell
Airedale Terrier,17492.1042,56.6402,11.0335,high,med,med,male,Fox
Dalmatian,23262.838,48.0,12.2396,high,high,short,male,Ferguson
Japanese Chin Dog,5766.5403,21.407,13.5997,med,high,med,male,Mckenzie
Australian Shepherd,20550.7928,,14.0631,med,med,long,female,Harrison
Australian Shepherd,22755.1527,51.9664,13.5306,med,high,med,female,Wilson
Japanese Chin Dog,3703.3663,25.3287,13.6844,med,high,med,female,Navarro
Airedale Terrier,24325.1814,57.3365,10.7412,high,high,med,male,Carter
Australian Shepherd,22676.8949,,12.1386,high,high,med,female,Dillon
Australian Shepherd,23722.1301,52.4057,12.8509,high,high,med,male,Raymond
Airedale Terrier,17834.2586,57.2456,12.2161,med,high,med,female,Hernandez
Australian Shepherd,23671.2227,53.6704,12.5964,med,high,long,male,Davenport
Airedale Terrier,17225.927,56.7472,11.7856,high,high,med,male,Hayes
Japanese Chin Dog,2991.7125,23.9488,12.8061,med,high,med,male,Vargas
Airedale Terrier,18752.2025,,11.6256,high,high,short,female,Webb
Australian Shepherd,24509.7609,53.6823,12.0568,high,high,med,female,Kelly
Airedale Terrier,21806.2214,56.541,12.588,high,high,med,male,Moore
