Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Siberian Husky,17778.4179,54.9522,12.4306,high,med,short,male,Walker
Samoyed,27678.6023,52.7413,11.3533,med,high,med,female,Davis
Samoyed,28210.2384,53.2813,10.4482,med,high,med,female,Marks
Daschhund,9139.8506,,13.3928,high,med,short,male,Walker
German Shepherd,35972.4497,,11.7771,high,med,med,male,Brown
Samoyed,19824.5126,,11.1686,med,high,short,male,Gross
German Shepherd,34177.2654,65.3041,10.9027,med,med,long,male,Martin
Daschhund,4494.9668,20.5203,11.9182,high,med,short,male,Hardy
Samoyed,16320.9917,55.0074,9.8374,med,high,med,male,Williams
Siberian Husky,18831.837,,12.129,med,med,med,male,Robinson
Daschhund,16778.9759,,13.2708,high,med,short,female,Garcia
Siberian Husky,19380.403,,12.2678,med,med,long,male,Evans
German Shepherd,37019.2066,60.4372,10.5652,low,med,med,male,Higgins
Daschhund,18343.5617,,12.8505,high,med,short,female,Russell
Daschhund,10614.5303,21.2921,12.8439,high,high,short,female,Small
German Shepherd,37418.9593,58.5431,11.0305,med,med,med,female,Mckenzie
Siberian Husky,18284.7659,54.1046,11.5039,med,med,short,female,Fleming
Samoyed,21432.4529,,11.1124,med,high,med,male,Gray
Siberian Husky,19451.3948,54.6043,11.8906,med,med,med,female,White
Daschhund,10960.949,19.9665,11.888,high,med,short,male,Palmer
Samoyed,17473.1134,50.5667,11.0895,high,high,med,male,Barrett
Samoyed,24110.5749,51.6096,9.8413,med,high,med,female,Dunn
Samoyed,22242.5418,,11.7775,med,high,med,male,Alexander
German Shepherd,36349.4593,,10.5103,med,high,med,male,Smith
German Shepherd,38960.3484,61.8781,9.6335,low,med,med,female,Carter
Daschhund,13011.6123,20.8096,13.0638,high,low,short,male,Mckenzie
German Shepherd,34159.5329,61.7327,11.4182,med,low,med,male,Lee
Samoyed,24702.9647,,10.9525,med,high,med,male,Jackson
Siberian Husky,16666.6047,51.7423,11.2014,med,med,med,male,Hodges
German Shepherd,34548.659,60.9198,11.5818,low,low,med,male,White
Samoyed,25448.0173,,10.7866,med,high,med,male,Lindsey
Siberian Husky,17986.1547,57.0001,11.2382,high,med,med,male,Perry
Siberian Husky,15672.2972,54.9434,12.067,med,med,short,female,Allen
Siberian Husky,19402.599,50.5196,12.7576,med,med,med,female,Watts
German Shepherd,36376.2806,,11.1133,low,med,med,female,Skinner
Samoyed,21330.3626,53.7776,11.5284,med,high,med,male,Mcknight
Samoyed,27195.3306,51.4791,10.6067,med,med,short,male,Chaney
Samoyed,14920.949,,11.2113,med,high,med,female,Thomas
German Shepherd,37980.5548,,10.9963,high,med,med,female,Perez
Samoyed,18343.738,51.4556,9.8834,med,high,med,male,Conner
Daschhund,8603.9692,22.0554,12.855,high,med,med,female,Brown
German Shepherd,36505.3725,61.4273,10.6403,med,med,med,female,Jones
Samoyed,19263.037,56.1204,11.3965,high,high,med,male,Callahan
Siberian Husky,16966.8632,54.0118,12.2697,med,med,med,female,Allison
German Shepherd,39916.8821,62.5001,10.8302,med,low,med,male,Brown
Samoyed,19995.4949,,10.8076,med,high,med,female,Sandoval
German Shepherd,35034.5414,56.0859,10.4946,med,med,med,male,Miller
Siberian Husky,19704.8193,,12.6867,med,low,med,female,Allen
Siberian Husky,16760.3694,55.6597,11.4586,med,med,med,male,Murray
Samoyed,23864.9712,52.4315,11.4413,high,high,med,female,Kim
German Shepherd,37262.8704,,10.8726,med,med,med,male,Harris
Siberian Husky,21640.1315,56.1641,12.0323,med,med,med,male,Day
Daschhund,9541.7108,21.1048,13.4367,high,med,med,female,Walker
Siberian Husky,20321.8415,52.3519,11.633,med,high,med,female,Gonzalez
German Shepherd,36039.5067,62.4777,10.6784,med,med,med,female,Copeland
Samoyed,19713.2666,52.2019,11.0513,med,med,med,male,Benson
Siberian Husky,18526.2087,55.9822,11.0084,med,med,med,female,Erickson
