Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Beagle,11836.6662,34.2096,13.3403,med,high,short,male,Bond
Beagle,10873.1302,36.1819,13.2161,med,high,short,female,Clark
Pit Bull,22416.5141,46.6834,12.1181,high,high,short,male,Anthony
Pit Bull,26702.8694,,11.8675,med,high,short,female,Horne
Rottweiler,45967.2093,62.7645,10.3459,high,high,short,female,Moore
Daschhund,10177.5542,,12.3647,high,med,short,male,Baker
Rottweiler,52140.2925,64.3579,8.945,med,high,med,female,Johnson
Pit Bull,25567.5721,45.8875,10.8263,med,high,short,female,Taylor
Pit Bull,15003.6019,45.345,11.4583,med,high,med,female,Bradley
Pit Bull,33093.8905,45.6612,11.9695,med,high,short,female,Luna
Pit Bull,24048.581,46.1232,12.5454,high,high,short,female,Stephens
Daschhund,10056.0174,20.2375,12.9841,high,med,short,male,Lyons
Pit Bull,24896.0389,45.758,11.6995,med,high,short,male,Ward
Rottweiler,44780.5124,63.4276,9.1175,med,high,short,female,Welch
Beagle,9947.0378,36.9214,13.4095,med,high,med,female,Pugh
Daschhund,11816.2183,19.8286,12.6192,high,med,med,female,Baxter
Rottweiler,46215.6373,60.3229,10.7587,med,high,short,female,Long
Beagle,10236.2676,32.3525,13.1418,med,med,short,female,Stephens
Pit Bull,20817.8433,44.8129,12.9934,high,high,short,female,Colon
Rottweiler,47294.5762,63.6975,9.5152,med,med,short,female,Nguyen
Rottweiler,54927.7996,,10.5215,med,high,short,male,Shah
Pit Bull,36270.9455,45.0253,12.4568,med,high,short,male,Burke
Rottweiler,57719.8084,65.6071,8.5887,med,high,short,male,Hoffman
Beagle,10626.2819,,14.5737,low,high,short,female,Price
Pit Bull,20165.5086,46.2389,12.7121,med,high,short,female,Lambert
Beagle,9701.7049,38.4938,14.2095,med,high,short,female,Gonzalez
Beagle,11417.188,,13.5083,med,high,short,female,Pearson
Rottweiler,38152.288,62.3145,9.9941,med,high,short,female,Hardy
Daschhund,9243.5941,21.4406,12.9007,high,high,short,female,Carpenter
Rottweiler,47286.3872,63.2539,8.7443,low,high,short,male,Weber
Rottweiler,60271.0237,65.0014,8.562,med,high,short,female,Paul
Rottweiler,51790.1286,63.8623,9.6426,med,high,short,female,Cole
Pit Bull,28343.5608,45.962,11.1833,med,high,short,male,Mckinney
Rottweiler,43559.6042,63.8453,9.1849,med,high,short,male,Reeves
Daschhund,9411.5646,20.1971,12.9061,high,med,short,male,Alexander
Rottweiler,42865.6318,62.3537,8.3589,med,high,short,male,Smith
Rottweiler,43755.3428,65.0581,7.8405,med,high,short,male,Paul
Daschhund,9377.289,,13.2191,high,med,med,male,Walters
Daschhund,14443.9222,21.4014,12.8486,high,med,short,male,Baker
Daschhund,11035.3268,,12.4109,high,med,short,female,Garner
Pit Bull,30764.9608,,11.1655,med,high,short,female,Jackson
Daschhund,12637.4852,20.3747,13.8355,med,med,short,male,Boyd
Daschhund,6317.5707,21.2791,12.8708,high,med,short,male,Beltran
Daschhund,6814.8179,21.2046,12.3749,high,med,short,female,Nunez
Rottweiler,48196.1191,63.5552,10.8151,med,med,short,male,Justin
Pit Bull,20893.8742,45.4417,11.8734,med,high,short,male,Smith
Daschhund,5537.2307,21.4624,13.258,high,med,short,male,Ramirez
Beagle,9027.2061,38.7587,12.8836,med,high,short,male,Knapp
Daschhund,7044.2819,,12.7114,high,med,med,male,Decker
Daschhund,10866.0452,,12.8825,high,high,short,female,Blankenship
Pit Bull,23714.9116,45.6048,12.0777,med,high,short,male,James
Pit Bull,34210.7211,46.1745,11.9222,med,high,med,female,White
Pit Bull,23827.751,46.492,11.908,low,high,short,male,Adams
Beagle,12426.4922,34.8962,13.474,med,high,med,male,Mckinney
Rottweiler,49696.6979,62.738,9.1707,med,high,short,male,Berry
Pit Bull,23983.7334,45.9375,11.8383,low,high,short,female,Cole
Rottweiler,50139.2366,,8.8104,med,med,med,female,Winters
Beagle,7616.5596,34.2862,14.431,high,high,short,female,White
Rottweiler,44927.7751,62.154,9.9115,high,med,short,male,Avila
Beagle,8117.1864,33.6542,14.3225,high,high,med,male,Foster
Rottweiler,45636.9976,64.9067,9.8877,med,high,short,female,Rodgers
Rottweiler,30123.6638,61.6771,10.5696,med,high,short,male,Munoz
Rottweiler,46409.137,65.3743,9.8733,high,high,short,male,Odom
Daschhund,3638.3232,21.1256,12.8132,high,med,short,female,Carter
Daschhund,12005.9527,20.6066,13.1838,high,med,short,male,Garcia
Rottweiler,57860.3862,65.4142,10.2932,med,high,short,male,Mora
Pit Bull,34623.6777,46.9436,11.4153,med,med,short,male,Moore
Pit Bull,18523.337,45.8487,11.7381,med,high,med,male,Prince
Rottweiler,47909.5518,62.1807,8.7365,high,high,short,female,Gomez
Pit Bull,24691.2144,46.449,12.677,high,high,short,male,Torres
Pit Bull,28610.2524,44.9499,12.3743,low,med,short,female,Parker
Pit Bull,17141.9389,,12.6556,med,high,short,female,King
Beagle,10900.607,,14.5638,med,high,short,female,Graves
Beagle,11310.8637,36.0238,14.0511,med,high,short,female,Rangel
Daschhund,8310.8868,21.1809,12.961,high,low,short,male,Harvey
Pit Bull,23601.1426,45.4411,11.6756,high,high,short,male,Larson
Rottweiler,60460.3697,61.551,10.1343,high,high,short,female,Patel
Pit Bull,27296.6291,,11.2172,med,med,short,female,Garrison
Beagle,10403.0468,37.3682,13.7806,med,high,short,male,Thomas
Daschhund,8252.9399,,13.4281,high,med,short,female,Miles
Pit Bull,37529.5923,,12.0777,med,med,short,female,Garza
Pit Bull,24862.8006,46.3947,12.0038,med,high,short,female,Sanchez
Beagle,10620.7989,34.6228,13.5451,med,high,short,male,Stevenson
Pit Bull,26925.2517,46.5789,12.8663,med,high,short,male,Booth
Beagle,10686.2981,35.8555,12.6352,med,med,med,male,Berry
Pit Bull,18630.8109,45.2327,12.9136,med,high,short,male,Brock
Daschhund,10556.0317,20.9659,12.0864,high,med,short,female,Castillo
Daschhund,7717.5604,19.9333,13.2707,high,med,short,female,Sullivan
Daschhund,5991.3217,,12.603,high,med,short,female,Nelson
