Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Australian Shepherd,23154.6259,52.7176,13.389,high,high,med,female,Walters
Australian Shepherd,25117.0734,52.1807,12.9612,high,high,med,female,Lee
Bloodhound,40788.7054,,9.5413,high,high,short,male,James
Airedale Terrier,23222.3239,55.7918,10.2575,high,high,med,female,Garza
English Setter,28218.0367,,12.2734,high,high,med,male,Kimberly
Airedale Terrier,21657.4174,,13.715,high,high,long,female,Brown
Bloodhound,52112.7518,63.71,8.0116,med,high,short,male,Robinson
English Setter,27170.0032,65.8991,12.7978,high,high,med,male,Mason
English Setter,31364.64,,12.638,high,high,long,female,Wise
English Setter,26439.4432,62.1881,12.2791,high,high,med,male,Robinson
English Setter,24997.1247,57.2146,13.9331,high,high,med,female,Shannon
Airedale Terrier,19263.5332,57.3701,11.3269,high,high,long,female,Lara
English Setter,31011.5654,63.627,14.2623,high,high,med,female,Morgan
English Setter,29682.9388,61.9322,11.6029,high,high,med,female,Hill
Airedale Terrier,21989.1902,,11.3339,high,high,med,female,Cameron
Bloodhound,38383.5011,63.2671,8.4386,med,med,short,female,Peterson
English Setter,19359.6473,60.6659,10.2533,high,high,med,male,Cruz
Airedale Terrier,23503.5978,,12.4437,med,high,short,male,Campbell
Australian Shepherd,20735.6092,53.8334,13.4662,high,high,med,female,Thompson
Airedale Terrier,19835.8076,,12.863,med,high,med,female,Santos
Bloodhound,33600.3103,64.9931,8.6449,low,high,short,male,Shannon
Airedale Terrier,21178.6866,55.9364,12.6021,high,high,med,male,Evans
Bloodhound,42561.3595,63.4361,9.1373,med,high,short,male,Bennett
English Setter,25618.9106,61.032,11.4659,med,high,med,male,Weeks
Australian Shepherd,24722.5295,55.2729,12.4549,high,high,med,female,Roman
Australian Shepherd,15829.7309,52.4148,13.8315,high,high,short,male,Lester
Airedale Terrier,20721.5093,57.0598,11.5225,high,high,med,female,Clark
Airedale Terrier,22808.518,56.6483,12.2686,high,high,med,female,Martin
Australian Shepherd,23746.5767,55.2951,12.8596,med,high,long,female,Tate
Australian Shepherd,28280.5129,53.8327,12.6823,high,med,med,male,Johnson
Airedale Terrier,18134.05,56.2437,11.9344,med,high,med,female,King
English Setter,21058.6502,58.9407,11.1811,high,high,short,female,Hanson
Bloodhound,40237.7474,,9.8346,med,med,short,female,Lewis
Australian Shepherd,20584.2069,52.9672,12.8044,high,high,long,male,Moreno
Bloodhound,42422.5561,62.9461,8.5766,med,high,short,female,Phillips
Airedale Terrier,17988.3066,56.9546,13.3554,high,high,med,male,Taylor
Bloodhound,46248.2749,65.3215,9.1954,low,high,short,female,Cox
Bloodhound,48087.657,61.7608,9.3734,med,high,short,male,Hunter
Australian Shepherd,23572.6914,,12.7079,high,high,long,male,Garcia
Bloodhound,46397.2908,63.3225,7.7057,high,med,short,female,White
Airedale Terrier,17574.5288,56.4048,11.4223,med,high,med,female,Reyes
Airedale Terrier,20252.7673,,12.2363,high,med,med,female,Gould
English Setter,31964.703,62.2234,12.3402,high,high,med,female,Walton
English Setter,26853.4571,65.0203,13.4864,high,high,med,female,Weber
English Setter,25285.7016,60.919,12.3379,high,med,med,male,Brown
English Setter,31789.2601,58.182,12.6614,high,high,med,female,Adams
Airedale Terrier,22772.5742,56.8135,11.205,high,high,long,male,Jackson
Bloodhound,47268.8008,,8.2635,high,high,short,female,Tyler
Australian Shepherd,26756.4577,56.1163,12.9789,high,high,med,male,Carter
Airedale Terrier,19583.416,56.4628,11.8332,high,high,short,male,Bird
Bloodhound,34753.6194,64.0582,9.208,med,high,short,male,Johnson
Airedale Terrier,21467.7944,56.3835,11.3671,high,high,med,female,Chambers
Australian Shepherd,23520.7408,51.3288,13.3176,high,med,med,female,Ross
Australian Shepherd,22681.2352,56.4464,13.2936,high,high,long,male,Lindsey
Airedale Terrier,22652.4819,,13.4339,high,high,med,female,Mcknight
Bloodhound,41742.6841,,8.1648,med,high,short,female,Gibson
Bloodhound,43536.5652,62.965,8.3322,low,high,short,female,Larry
Bloodhound,39084.602,61.1225,8.626,med,high,short,male,May
English Setter,29387.7295,61.1241,12.4962,high,high,med,male,Robinson
English Setter,29453.6592,61.852,11.5262,high,high,med,male,Delgado
Australian Shepherd,22675.9764,54.1412,12.1047,high,high,med,male,Melton
Airedale Terrier,22233.7305,57.2073,11.3665,high,med,short,male,Harris
Airedale Terrier,22487.117,,10.4467,high,high,med,female,Bird
Australian Shepherd,27554.5669,52.8942,12.9621,med,high,med,female,Newman
English Setter,22693.2584,60.7722,13.0296,high,high,med,female,Brown
Bloodhound,37452.5943,63.763,8.5052,high,high,short,female,Crane
Australian Shepherd,23058.1952,54.5212,13.1662,high,high,short,female,Hubbard
English Setter,19498.7653,59.4591,10.8005,high,med,med,male,Hutchinson
Australian Shepherd,27426.4255,54.0439,13.0044,high,high,short,female,Mills
Bloodhound,47287.9011,62.2267,7.7995,med,high,short,female,Williams
Australian Shepherd,20537.7936,54.7425,12.426,high,high,med,male,Harrison
English Setter,27362.4804,59.0949,13.2408,high,high,med,male,Mack
English Setter,25158.7404,61.0722,13.4109,high,high,med,male,Taylor
English Setter,30351.7818,59.7451,9.4666,high,high,med,female,Gutierrez
Airedale Terrier,19699.8175,56.9767,11.8539,high,high,long,male,Deanna
Airedale Terrier,19766.0095,56.2427,12.2024,high,high,med,male,Vaughan
Australian Shepherd,21231.7093,,12.1966,high,med,med,male,Perkins
Bloodhound,36696.2268,62.8492,10.1809,med,high,short,male,Coleman
Bloodhound,44395.1967,66.1387,8.8046,med,high,short,female,Andersen
Australian Shepherd,30158.2394,54.7063,13.932,high,high,med,female,Wiggins
Airedale Terrier,21454.0223,56.4202,12.8301,high,high,med,male,Rodriguez
English Setter,24679.629,62.8716,12.8806,high,high,med,male,Terry
Airedale Terrier,22076.4455,56.7763,11.4887,high,high,med,female,Sutton
English Setter,33190.2617,57.5447,11.6863,high,high,med,male,Walker
Bloodhound,42990.6938,65.4024,8.849,med,high,short,male,Berry
Airedale Terrier,22075.2391,56.8104,9.927,high,high,med,male,Newman
Bloodhound,37960.069,64.4442,8.3096,med,high,short,male,Mcguire
Airedale Terrier,22192.5839,57.2564,10.394,high,med,long,male,Gonzales
English Setter,25466.7717,64.0034,13.3056,high,high,med,male,Brooks
Bloodhound,48908.3965,,8.2538,med,high,short,female,Miller
English Setter,28709.8277,,10.4769,high,med,med,female,Smith
Australian Shepherd,27755.6436,53.8635,13.7027,high,high,med,male,Alexander
Australian Shepherd,24688.3627,,11.5829,high,high,med,female,Gilbert
Airedale Terrier,20797.2461,56.5624,11.1188,high,high,med,female,Humphrey
Airedale Terrier,19691.6415,57.1553,11.1552,high,high,short,female,Mathis
Bloodhound,35374.6201,,9.394,med,med,short,male,Rice
Bloodhound,41763.8239,62.0902,8.2664,low,high,short,female,Miller
Australian Shepherd,27046.4427,56.1968,13.5848,high,high,med,male,Snyder
Australian Shepherd,22662.4056,49.2562,13.0238,high,high,med,female,Castaneda
Airedale Terrier,22274.6729,58.5274,11.408,high,high,long,male,Bradley
Australian Shepherd,26653.368,55.4762,12.1758,high,med,med,female,Miles
Bloodhound,41787.4184,64.268,8.9155,med,high,short,female,Love
Australian Shepherd,24771.4137,51.9152,13.4374,high,high,med,male,Henry
Australian Shepherd,22190.0543,55.3957,12.4355,high,high,med,male,Bradley
Airedale Terrier,22107.6755,57.0554,12.4748,high,high,med,female,Washington
Bloodhound,37362.2042,63.6187,8.3934,high,med,short,male,Cooper
Airedale Terrier,19354.5488,57.0584,11.4482,high,high,med,female,Jackson
Australian Shepherd,26691.7126,55.2574,12.9695,high,high,short,male,Alvarez
Bloodhound,41137.5946,64.0489,9.7874,med,high,short,male,Rios
Australian Shepherd,24952.547,53.143,13.8559,high,high,short,male,Brown
Bloodhound,43235.8946,65.2816,8.3179,med,high,med,male,Kidd
English Setter,30406.8816,64.062,11.0528,high,high,med,female,Kim
Australian Shepherd,27830.5257,54.8646,12.7194,high,high,med,male,Hunter
English Setter,25952.7297,61.347,12.0459,high,high,med,female,Barton
English Setter,26792.4058,63.7469,11.2393,high,high,med,female,Cole
Bloodhound,39230.2229,61.4818,9.5567,med,high,short,female,Alexander
English Setter,21444.3576,,11.5056,high,high,med,male,Green
Bloodhound,51749.6521,65.3964,8.9538,med,high,short,female,Sanchez
English Setter,20731.6667,64.3615,10.0312,high,high,med,female,Petersen
Bloodhound,36391.7357,64.7298,7.7899,med,high,short,female,Shepherd
Australian Shepherd,26989.7906,,13.2377,high,high,med,female,Pearson
Australian Shepherd,25890.4248,54.6557,13.4761,high,high,med,male,Smith
Airedale Terrier,18989.1596,56.5129,10.7393,high,high,med,male,Johnson
English Setter,29384.0985,64.6727,8.1769,high,high,long,female,Bean
Australian Shepherd,28601.4293,51.6439,13.1147,high,high,short,male,Preston
Australian Shepherd,22100.5861,51.9352,12.367,high,high,med,female,Edwards
Australian Shepherd,22871.5522,55.6651,12.8415,high,med,med,male,Brown
English Setter,30290.8194,62.1442,9.5984,high,high,med,female,Wang
English Setter,27472.5221,60.9201,11.8249,med,high,med,male,Thompson
Airedale Terrier,22539.9386,56.6922,11.4134,high,high,med,male,Montes
Airedale Terrier,19394.1731,57.3517,12.5785,high,high,med,female,Bailey
Airedale Terrier,21356.8904,57.4843,10.0762,high,high,long,female,Jones
Airedale Terrier,19689.1824,55.9041,10.4869,high,high,long,male,Lewis
Bloodhound,45255.6838,62.1968,7.3996,med,high,short,female,Davis
English Setter,25360.2061,,10.8726,med,high,long,male,Price
Australian Shepherd,21980.9525,54.4885,13.0088,high,high,med,male,Moore
Airedale Terrier,20239.4879,56.4556,13.2758,high,high,med,female,Brandy
Australian Shepherd,21066.3554,,13.5931,high,high,med,female,Kim
Australian Shepherd,24066.429,52.1541,13.3638,med,high,med,male,Harding
Australian Shepherd,17143.1041,53.1348,13.9929,high,high,med,female,Conley
English Setter,25282.5236,62.466,11.6433,high,high,med,male,Hebert
Bloodhound,46294.4837,62.6742,8.6957,med,high,med,female,Cruz
Airedale Terrier,20293.1394,56.2483,13.1441,med,high,short,male,Hernandez
Bloodhound,39393.9594,,8.9961,med,med,short,female,Perez
Australian Shepherd,22545.8851,55.365,13.7302,high,high,med,female,Madden
Australian Shepherd,20566.3372,,13.2189,high,high,med,male,Bennett
English Setter,40048.1767,,11.9262,high,high,med,male,Berg
Bloodhound,45591.7834,,7.6648,med,high,short,male,Rose
Bloodhound,47745.4197,63.5962,7.0054,low,high,short,female,Stout
Australian Shepherd,26168.4781,54.0762,13.6077,med,high,med,male,Wilson
Bloodhound,45328.5554,64.1509,9.1412,low,high,short,female,Hanson
English Setter,30096.2904,66.1894,10.4949,high,high,long,male,Hall
Australian Shepherd,19366.1783,56.5697,12.5064,high,high,med,female,Hampton
Australian Shepherd,24423.0004,53.7091,13.3124,med,high,med,female,Rogers
English Setter,25649.2684,,13.2945,med,high,med,male,Baxter
Airedale Terrier,21101.4863,57.9473,11.5669,high,med,med,male,Tucker
Australian Shepherd,22039.1264,,13.4712,high,high,med,female,Best
Bloodhound,38578.1849,,7.3222,low,med,short,female,Schwartz
Bloodhound,42851.8303,62.6585,6.9914,low,high,short,male,Moore
Australian Shepherd,20906.6214,53.0757,12.1817,high,high,short,male,Lucero
Bloodhound,36360.6683,63.1017,8.7344,med,high,short,female,Jacqueline
Australian Shepherd,21127.6522,52.747,12.8324,high,high,med,female,Powell
Australian Shepherd,18293.2312,57.3713,13.1151,high,med,med,female,Brown
Bloodhound,46672.9023,68.3934,9.5588,med,high,short,female,Newman
English Setter,22968.9093,60.504,12.649,high,high,med,female,Morales
Airedale Terrier,20188.6651,57.3933,10.99,high,med,med,female,Koch
Bloodhound,40097.2167,63.1333,9.3052,med,high,short,female,Brown
Australian Shepherd,24180.2961,54.5828,11.8488,high,high,med,male,Bass
English Setter,24379.6882,60.0995,13.2512,med,high,long,male,Jackson
Australian Shepherd,20213.4466,51.7377,12.7845,high,high,med,female,Nielsen
Bloodhound,48741.4247,64.6896,10.2608,med,high,short,female,Ryan
English Setter,22385.8909,,12.3451,high,high,med,male,Riley
Bloodhound,44820.2107,63.8389,9.539,high,high,short,male,Smith
English Setter,25056.6911,,10.8807,high,high,med,female,Rosario
Bloodhound,47714.3023,64.282,11.4122,med,high,short,female,Green
English Setter,26385.5218,,13.295,high,med,med,male,George
English Setter,28863.7901,61.8457,12.4977,high,high,med,female,Rivers
Bloodhound,48660.734,64.1675,8.3628,med,high,short,male,Cisneros
English Setter,30300.7885,65.2589,10.6466,high,high,med,male,Jackson
Airedale Terrier,21000.0471,56.8581,11.3203,high,high,med,female,Mitchell
Australian Shepherd,22218.11,53.9191,12.9739,med,high,med,female,Smith
Airedale Terrier,21614.984,57.2216,10.0211,high,high,med,male,Miller
Airedale Terrier,21663.2226,56.8225,9.7291,high,high,med,female,Peters
English Setter,31834.1779,,12.9419,high,high,med,female,Spencer
Australian Shepherd,21747.4463,49.3912,12.724,high,high,med,female,Preston
English Setter,27734.0489,62.1154,11.821,high,high,short,female,Lewis
English Setter,27437.3162,,13.6791,high,high,short,female,Allen
Bloodhound,35613.4891,64.7264,9.4316,high,high,short,male,Garcia
Airedale Terrier,19612.1052,57.2505,10.9827,high,high,med,female,Kelly
Airedale Terrier,19712.2941,57.2541,10.9983,high,high,long,female,Gaines
Airedale Terrier,19578.7225,,13.1142,high,high,med,female,Jennings
English Setter,27157.5843,,11.517,high,high,med,female,Anderson
English Setter,31657.9866,58.9546,11.8637,high,high,med,female,Stokes
Airedale Terrier,19831.4795,57.2965,12.4355,high,high,med,male,Hayden
Australian Shepherd,21734.3118,,13.4624,high,high,short,female,Parker
English Setter,26931.8559,65.033,11.9601,high,high,short,female,Lewis
Bloodhound,50171.6543,63.8515,9.7591,med,high,short,female,Tran
English Setter,23309.4432,66.3485,13.0981,high,high,med,male,Mccarthy
English Setter,24139.6143,63.958,11.365,high,high,med,female,Howard
Bloodhound,45536.6149,62.5915,6.4321,high,high,med,male,Wolf
Australian Shepherd,20657.0933,51.9363,12.9345,high,high,med,female,Anderson
Airedale Terrier,19615.8081,56.7476,11.2988,high,high,med,male,Meadows
English Setter,31127.161,,11.6645,high,high,med,female,Calderon
English Setter,28999.0409,64.2597,11.5819,high,high,long,male,Thomas
Bloodhound,41587.0528,63.5119,8.8174,med,med,short,female,Hurst
Airedale Terrier,21400.6544,,11.1443,high,high,med,male,Joseph
Bloodhound,43790.8606,,7.9455,med,high,short,male,Barnes
Airedale Terrier,21605.3379,57.9464,11.3466,med,high,med,female,Herrera
Airedale Terrier,19795.9744,57.0314,11.4339,high,med,med,male,Acosta
English Setter,33693.5129,61.8914,11.2395,high,high,med,male,Maxwell
Airedale Terrier,18771.8891,57.5821,12.3124,high,high,short,male,Taylor
Airedale Terrier,18102.4455,57.487,10.9094,high,high,med,female,Henry
Australian Shepherd,18256.4346,,13.0898,high,high,med,female,Gutierrez
Bloodhound,47713.3599,65.9694,9.5364,med,high,short,female,Jackson
Bloodhound,48034.1857,63.47,6.9778,high,med,short,male,Fitzgerald
English Setter,27968.035,62.0353,10.3992,high,high,long,female,Robles
Bloodhound,46816.6623,60.7738,6.6699,med,high,short,female,Flores
Airedale Terrier,23478.8618,,10.0393,high,med,med,male,Cobb
Bloodhound,41176.0655,62.7785,8.3664,low,high,short,male,Butler
Bloodhound,39929.744,61.7982,8.6432,low,high,short,female,Hart
English Setter,30692.4067,62.6496,14.5665,high,med,med,male,Wheeler
Bloodhound,42605.437,63.4741,8.821,med,med,short,female,Richardson
Airedale Terrier,20251.5549,58.0034,9.7967,high,high,med,male,Brown
English Setter,27144.7004,60.9048,13.1034,med,med,long,male,Houston
Bloodhound,42344.9812,64.2641,10.2324,med,high,med,female,Oneill
