Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Jack Russel Terrier,5699.3664,34.9412,13.7029,med,low,short,male,Jackson
German Shepherd,37433.7798,,10.7063,med,med,short,male,Moore
Pug,6575.8932,31.6887,13.1777,med,high,short,female,Brown
German Shepherd,36201.6956,60.0689,11.0444,high,med,med,male,Stevens
Australian Shepherd,19477.3947,54.3401,13.0917,high,med,med,male,Hunter
Australian Shepherd,20451.3709,,12.336,med,high,med,female,Lee
Jack Russel Terrier,6741.1372,32.9992,14.7433,high,med,short,male,Davis
German Shepherd,39093.9733,,9.3692,med,med,med,female,Lamb
Pug,6761.1203,33.9892,14.0935,med,high,med,female,George
Australian Shepherd,31086.3862,,12.9313,high,high,med,male,Simmons
Jack Russel Terrier,6413.692,34.4539,13.9904,high,med,short,male,Baxter
German Shepherd,39960.6776,59.3117,11.2025,med,med,long,male,Reynolds
Jack Russel Terrier,6685.613,33.8158,13.4879,high,high,short,male,Cruz
Jack Russel Terrier,5964.4327,33.9349,14.5949,high,med,short,male,Walker
Australian Shepherd,23902.7002,55.6356,13.1917,med,high,med,male,West
German Shepherd,38416.9943,,11.8396,med,med,med,female,Munoz
Jack Russel Terrier,6563.6138,33.9647,14.4333,med,low,med,female,Clark
Pug,6676.6364,28.5406,13.177,med,med,short,male,Flynn
Pug,6735.5002,29.607,12.0502,med,high,short,female,Garcia
Pug,7721.7389,34.2022,13.0386,med,high,short,female,Wilkerson
Pug,7627.3728,,14.3676,med,med,med,male,Gould
Australian Shepherd,23668.9225,54.7594,12.6177,high,med,med,male,Cummings
German Shepherd,38843.2195,60.2256,10.6998,med,med,med,female,Kent
Australian Shepherd,21557.5973,52.8786,11.7762,high,high,med,male,Coleman
Jack Russel Terrier,7095.3562,33.7135,14.7438,high,med,short,male,Simon
Jack Russel Terrier,5598.2007,33.6065,14.0551,high,med,short,male,Willis
German Shepherd,36756.5801,,11.047,med,med,med,female,Smith
Jack Russel Terrier,6648.2195,33.061,13.5819,high,med,short,female,Shah
Pug,6964.6888,26.0438,14.787,low,med,short,female,Francis
Jack Russel Terrier,7531.3966,33.229,13.861,high,high,short,male,Hines
German Shepherd,34167.3606,59.2411,10.9578,med,med,med,male,Perry
Pug,8086.2307,30.4808,14.3311,med,high,short,female,Watkins
Pug,7167.312,27.8473,14.7623,low,high,short,male,Sanders
Pug,6373.2988,39.9295,11.7093,high,high,short,male,Ortiz
Pug,6468.0219,29.9916,13.7919,low,high,short,male,Olson
Jack Russel Terrier,6066.5866,,14.1002,high,med,short,male,Burke
Jack Russel Terrier,7162.7924,34.0416,14.1156,high,high,short,female,Johnson
German Shepherd,36939.6931,61.7268,11.3291,med,low,med,female,Stevens
Australian Shepherd,24011.8623,51.0348,12.1405,high,med,long,female,Romero
German Shepherd,35863.2712,61.9487,11.2299,med,med,med,female,Berry
Australian Shepherd,23129.0009,54.4105,11.6638,high,high,med,female,Smith
Jack Russel Terrier,5486.231,,14.5214,high,med,short,male,Brown
Pug,7500.0797,,13.2861,med,high,short,female,Wilson
Jack Russel Terrier,6905.9718,34.137,14.4461,high,med,short,female,Carter
Australian Shepherd,27954.1122,55.343,13.2034,high,high,med,female,Meyers
Jack Russel Terrier,7078.726,35.4419,14.2513,high,med,short,female,Watkins
Pug,6294.955,31.8622,14.1702,med,high,short,female,Jordan
German Shepherd,34043.6789,,10.1595,med,med,short,female,Perry
German Shepherd,36575.6813,62.2211,12.0178,med,low,med,male,Hendrix
Australian Shepherd,22630.3661,54.4186,13.5037,med,high,med,female,Johnson
Australian Shepherd,27741.0507,52.3568,12.8123,high,high,med,male,Hickman
German Shepherd,35535.4569,61.7934,11.1946,med,high,med,female,Smith
Pug,6686.0343,35.8518,14.1301,med,high,short,female,Smith
Australian Shepherd,30842.0763,53.9609,13.9697,high,high,med,male,Torres
German Shepherd,38761.5302,60.1534,11.0589,med,low,long,male,Gibson
Australian Shepherd,25164.7892,52.9109,13.828,high,high,long,female,Boyd
Australian Shepherd,20580.4327,53.1083,13.4034,high,high,med,female,Sullivan
Jack Russel Terrier,4434.538,34.3416,15.5761,high,low,med,female,Farmer
Pug,6369.2528,29.1711,12.3617,med,high,short,female,Rush
Australian Shepherd,24416.3389,50.8432,14.5225,high,med,short,female,Pratt
Pug,5774.6003,31.5042,13.4098,med,high,short,male,Johnson
Jack Russel Terrier,5690.2337,33.7113,14.2876,high,med,short,female,Pierce
German Shepherd,34528.5939,62.4253,10.5619,med,med,med,female,Sawyer
Jack Russel Terrier,5580.2918,,15.4616,high,med,short,female,Golden
Australian Shepherd,26900.0928,54.0115,13.5223,high,high,short,male,Clark
Australian Shepherd,25359.8672,54.648,12.4922,med,high,med,female,Clarke
Pug,6242.6944,37.5358,13.0161,med,high,short,female,Murray
Jack Russel Terrier,5527.5465,33.8069,14.2266,high,med,short,female,Gomez
Jack Russel Terrier,7058.9986,35.3541,14.5532,high,med,short,male,Jones
Pug,6528.6552,30.3606,14.1601,med,high,short,female,Hawkins
Pug,7270.3275,30.2142,13.1295,med,high,short,male,James
Australian Shepherd,20745.6439,53.6219,12.5079,high,high,med,male,Green
Australian Shepherd,26175.3654,54.5479,13.8018,high,high,short,female,Anderson
Pug,6981.4691,34.4371,12.7468,med,high,short,female,Murphy
Pug,7147.3877,40.7762,11.9089,med,high,short,female,Wise
Jack Russel Terrier,6178.4687,34.4782,13.7182,high,med,short,male,Williams
Australian Shepherd,24990.4347,,14.1595,high,high,med,female,Whitaker
German Shepherd,35640.4992,59.7447,11.1994,med,med,med,female,Frye
German Shepherd,35189.5697,60.7698,11.2441,med,high,med,male,Nelson
Jack Russel Terrier,7095.1669,33.7927,13.2946,med,high,short,male,House
German Shepherd,35850.4678,59.449,10.5508,med,med,med,female,Ferrell
Pug,6365.1388,,14.5239,med,high,short,male,Thompson
Jack Russel Terrier,6996.1533,34.8125,14.4693,high,med,short,male,Wright
German Shepherd,34976.466,57.3977,11.5584,med,med,long,male,Pearson
Pug,7854.1889,31.4685,12.5509,med,high,short,female,Jennings
Pug,7802.0189,36.8393,12.1226,med,med,short,male,Fowler
Pug,6218.6352,34.471,13.1252,high,high,short,female,Rodriguez
Pug,7168.6776,28.255,14.365,med,high,short,male,Haas
German Shepherd,37521.4611,61.817,10.9212,med,high,med,male,Moore
Jack Russel Terrier,8032.3416,33.7905,13.7067,high,med,short,female,Gould
Jack Russel Terrier,6460.5869,34.7104,13.2294,med,med,short,male,Mcdonald
Australian Shepherd,25066.7964,55.082,13.6889,med,high,med,female,Hall
Jack Russel Terrier,5712.569,34.2457,13.9355,high,high,short,male,Zhang
German Shepherd,32425.9818,61.2872,10.6311,high,low,med,female,Diaz
Pug,7221.0081,31.1166,12.9529,med,med,short,female,Stephenson
Jack Russel Terrier,7355.3067,34.2022,13.1949,high,med,med,male,Hernandez
German Shepherd,36675.4546,59.9979,11.6541,low,med,med,female,Escobar
German Shepherd,36076.3343,,10.8878,high,med,med,male,Rodriguez
Australian Shepherd,32399.0241,54.2167,13.277,high,high,med,male,Chelsea
German Shepherd,38233.0356,61.3048,11.0778,med,med,long,female,Evans
Jack Russel Terrier,6315.1899,,15.4079,med,med,short,female,Shepherd
Australian Shepherd,20901.6934,52.2658,12.9864,high,high,med,female,Armstrong
Jack Russel Terrier,7390.3949,33.981,14.5012,high,med,med,male,Owens
Jack Russel Terrier,7147.8569,,14.2091,med,med,short,female,Mcintyre
German Shepherd,38791.6809,61.2896,10.7306,med,med,med,female,Rose
Pug,6077.988,36.0776,14.4842,med,high,short,female,Ortiz
Pug,7162.4656,,12.5467,med,high,short,male,Johnson
German Shepherd,34399.8764,,10.7687,med,med,med,male,Jimenez
