Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Siberian Husky,19849.489,52.3178,12.0567,med,med,med,male,Strickland
Beagle,11020.5531,36.9657,12.5093,med,high,med,female,White
Beagle,11582.625,34.1227,12.4583,med,high,short,female,Garza
Siberian Husky,19192.6007,54.6832,12.3784,low,med,long,male,Katrina
Samoyed,24681.4864,52.4812,12.1149,med,high,med,female,Hall
Siberian Husky,21356.4828,52.8202,11.9742,low,med,med,male,Stone
Siberian Husky,19291.8689,56.1906,11.3213,med,med,med,female,Lopez
Siberian Husky,19330.9664,,11.2387,high,low,med,male,Thomas
Golden Retriever,26553.2432,,12.2616,med,med,med,male,Barnett
Beagle,9103.5417,35.3475,13.9802,med,high,med,male,Stephens
Beagle,11165.3594,35.465,13.8603,med,high,short,female,Keller
Samoyed,22267.6475,53.8302,11.1955,med,high,med,male,Garrison
Siberian Husky,19690.4866,,10.8694,med,med,med,female,Gomez
Siberian Husky,18563.8091,53.0709,12.5608,med,med,med,female,Walker
Siberian Husky,18266.1489,55.1603,12.0711,med,med,med,female,Hawkins
Siberian Husky,22326.0225,55.5889,12.9659,high,med,med,female,Owens
Samoyed,19479.3268,53.8065,10.82,med,high,med,female,Smith
Golden Retriever,30062.935,,11.8161,med,high,med,male,Morris
Golden Retriever,25168.7432,58.4028,11.2631,med,high,med,female,Barrett
Siberian Husky,20444.6898,51.5498,12.2561,med,med,med,female,Nichols
Beagle,11334.2374,34.2042,12.7959,med,high,short,male,Robinson
Beagle,11185.8542,,13.0835,low,high,short,male,Parker
Siberian Husky,21799.9711,51.9033,12.8702,high,med,med,male,Nelson
Samoyed,10864.6553,53.4511,10.5288,med,high,med,male,Glenn
Golden Retriever,30025.3458,60.055,9.4707,med,high,med,female,Herrera
Samoyed,29578.196,50.5119,11.0283,med,high,med,female,Wu
Samoyed,23535.7585,,11.3157,med,high,med,female,Underwood
Beagle,12849.0806,37.3802,13.67,med,high,short,female,Luna
Golden Retriever,25853.0953,56.2058,11.7693,med,high,med,male,Massey
Beagle,8954.0211,36.8147,13.1198,med,med,short,male,Cooper
Siberian Husky,19702.1881,57.37,11.8056,med,med,med,male,Perez
Beagle,11638.0908,36.6538,11.8839,med,high,short,male,Dennis
Golden Retriever,30178.3539,55.4864,11.394,med,high,med,male,Sanchez
Samoyed,28277.9498,54.2543,11.8362,low,high,med,female,Wolfe
Golden Retriever,30485.5063,56.7115,10.4917,med,high,med,female,George
Samoyed,20760.8973,52.3901,11.389,med,high,med,male,Tucker
Golden Retriever,30855.554,56.5892,10.5328,med,high,med,male,Stokes
Beagle,9758.1512,32.5891,15.3325,med,high,short,male,Moore
Beagle,9660.5859,34.4306,13.9818,med,high,short,male,Ayers
Beagle,9376.6871,36.5105,14.2531,med,high,short,female,Beck
Samoyed,20761.6779,,11.2153,med,high,med,female,George
Samoyed,18208.8607,52.3383,10.667,med,high,med,female,Matthews
Samoyed,23620.9513,54.1593,11.3954,med,high,med,male,Goodman
Golden Retriever,28718.7383,,9.9739,med,med,med,female,Mayer
Samoyed,22144.9772,,10.2567,med,high,med,male,Washington
Beagle,10857.2558,36.5939,14.5409,med,high,short,female,Johnson
Golden Retriever,27446.7039,58.8732,10.1282,low,high,short,female,Castillo
Siberian Husky,15277.3262,57.4003,12.0375,med,low,long,female,Cox
Beagle,7735.0041,35.8773,13.3995,high,med,short,female,Benson
Samoyed,24823.8178,54.0493,11.8056,med,high,short,female,Lynch
Samoyed,16865.5151,54.2231,10.9615,med,high,long,female,Chang
Beagle,10587.7126,35.0125,13.5887,med,high,short,male,Richardson
Golden Retriever,32775.8133,55.9733,11.7151,med,med,med,female,Howell
Beagle,10740.5689,33.079,14.0489,med,high,med,female,Dixon
Samoyed,23688.2273,55.8155,11.1766,low,high,med,female,Marquez
Siberian Husky,20120.442,54.5769,11.991,high,med,med,male,Taylor
