Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Airedale Terrier,20512.444,,10.9636,high,high,med,male,Conner
Dalmatian,24253.843,48.0,13.5267,high,high,short,male,Bryant
Airedale Terrier,20397.7638,56.8351,12.5338,high,high,med,male,Ayala
Airedale Terrier,22037.2391,,10.939,high,high,long,female,Garcia
Beagle,10299.8447,33.3678,13.8428,low,high,short,male,Russell
Airedale Terrier,21402.6425,,11.5533,high,high,short,male,Cameron
Airedale Terrier,19839.5475,56.9036,11.3971,high,high,med,male,Mahoney
Dalmatian,21590.7888,48.0,13.8199,high,high,short,male,Turner
Welsh Corgi,14596.2029,,9.7807,med,high,long,male,Kim
Welsh Corgi,14504.4288,27.8568,11.4195,med,high,med,female,Horton
Beagle,8271.5398,35.6056,15.2032,med,high,short,male,Hall
Dalmatian,24512.0054,,12.9046,high,high,short,male,Campbell
Beagle,9662.255,,13.0959,med,high,short,male,Smith
Dalmatian,26772.6507,48.0,13.0353,high,high,short,male,Kent
Welsh Corgi,11730.5574,24.7206,12.4087,med,high,med,female,Rosario
Beagle,11446.4496,34.8833,14.8126,med,high,short,male,Smith
Welsh Corgi,12982.2333,,11.3018,med,high,med,female,Baker
Welsh Corgi,12611.8128,29.6816,10.6504,med,high,med,male,King
Airedale Terrier,16873.777,56.3671,10.8954,high,high,med,female,Casey
Beagle,11166.6101,35.613,12.1523,low,high,short,male,Spencer
Beagle,8860.8386,35.9996,12.5708,med,high,short,male,Kemp
Beagle,12301.4908,34.3485,12.2374,med,high,short,male,Ellis
Dalmatian,22697.9049,48.0,13.102,high,high,med,female,Carter
Airedale Terrier,23758.6115,,13.9025,high,high,med,male,Horne
Beagle,9893.677,36.0928,15.3598,high,high,short,male,Bennett
Welsh Corgi,16269.7272,26.8019,11.2185,med,high,med,female,Miller
Welsh Corgi,15211.6339,,11.2572,med,high,med,female,Stephenson
Dalmatian,19450.1736,48.0,13.1445,high,high,short,male,Anderson
Dalmatian,22980.8715,48.0,12.7608,high,high,short,male,Mckee
Beagle,11951.3764,36.7425,12.6499,med,high,short,male,Benjamin
Welsh Corgi,14161.9687,25.5372,11.7872,med,high,med,male,Randolph
Airedale Terrier,20438.0093,55.9532,10.493,med,med,med,female,Yu
Airedale Terrier,21680.7404,56.4497,11.3097,high,high,short,female,Burke
Dalmatian,23794.762,48.0,13.2381,high,high,short,male,Wilson
Beagle,12238.9079,,12.4445,med,high,short,male,Hayes
