Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
German Shepherd,35836.6806,61.4641,11.0031,low,low,med,male,Morris
Golden Retriever,27132.7505,59.515,11.5788,med,high,med,male,Vasquez
Golden Retriever,28355.4768,57.6184,12.3039,med,high,med,male,Rice
Golden Retriever,30264.5981,,11.6376,med,high,med,male,Sutton
Amstaff,24082.6758,45.5755,13.1546,med,high,short,male,Gross
German Shepherd,36396.6144,59.296,10.8949,med,med,med,female,Thompson
Amstaff,25386.2756,45.8449,12.4463,med,high,short,male,Hull
Amstaff,26299.0384,46.3205,13.2283,med,high,short,female,Singh
Dalmatian,22432.8706,48.0,13.3683,high,med,short,female,Hicks
German Shepherd,37261.4441,61.1991,9.2757,high,med,med,female,Johnson
Dalmatian,25103.5605,48.0,13.5886,high,high,short,female,Fischer
Golden Retriever,34381.4803,57.7609,11.8041,med,high,med,male,Cantrell
German Shepherd,35910.7694,62.0073,10.4453,med,med,med,male,Lewis
Amstaff,22190.2212,47.0339,11.6854,med,high,short,male,Price
German Shepherd,37103.2933,59.7724,11.7961,med,high,med,male,Miller
German Shepherd,36972.503,60.8503,11.5162,med,low,med,female,Oneal
Amstaff,25977.5965,,11.1929,low,high,short,male,Jimenez
Dalmatian,25610.8594,48.0,13.261,high,high,short,female,Edwards
Dalmatian,21782.0995,48.0,12.9027,high,high,short,female,Wade
Golden Retriever,31205.2859,59.9796,11.8458,med,high,short,male,Mendez
Amstaff,21783.0869,46.3017,12.8699,med,high,short,female,Wilcox
Amstaff,32084.6986,,12.7038,med,med,short,male,Leonard
German Shepherd,37201.4794,61.955,11.2924,med,med,med,female,Christian
Amstaff,25388.4156,45.8057,13.2821,med,high,short,male,Kathryn
Dalmatian,25469.0804,48.0,12.7258,high,high,med,male,Cook
Dalmatian,20530.8828,48.0,13.6504,high,high,short,female,Hughes
Golden Retriever,28560.5072,59.0981,13.9763,low,high,med,male,Brown
Amstaff,20155.817,46.943,13.4123,med,high,short,male,Sandra
German Shepherd,36800.642,62.1848,10.665,med,high,med,female,Adams
Amstaff,26414.8641,45.7117,13.5801,med,high,short,female,Hill
Golden Retriever,30936.8456,59.3655,11.4747,high,high,med,female,Kirk
Dalmatian,19549.262,,13.6112,high,high,short,male,Rivera
German Shepherd,35866.0779,59.6142,11.4204,med,med,med,female,Rowe
Amstaff,23227.4921,46.8687,13.2672,med,high,short,male,Martin
Dalmatian,25815.5769,48.0,13.0887,high,high,short,female,Booth
German Shepherd,37425.7328,62.4797,9.2293,med,high,med,female,Brown
Golden Retriever,29908.1331,,12.6208,med,high,med,male,Becker
Amstaff,24128.875,46.1406,11.912,high,high,short,male,Carson
German Shepherd,35048.1544,59.4369,9.7204,med,med,med,male,Mills
Dalmatian,23118.2704,48.0,12.7927,high,high,med,male,Sexton
German Shepherd,38613.0826,65.1067,11.8705,med,med,med,female,Taylor
Dalmatian,20968.5039,,12.6262,high,high,short,female,Wyatt
German Shepherd,35749.7445,63.3693,10.4002,med,high,med,female,Molina
Amstaff,27600.6606,46.2032,13.9768,med,high,short,female,Perez
German Shepherd,37203.5674,61.8424,10.5897,med,med,med,male,Good
German Shepherd,39621.0814,58.1977,11.7491,med,med,med,female,Garza
Amstaff,27087.621,46.3435,13.5163,med,high,short,male,Hernandez
Golden Retriever,28855.3992,,11.4651,med,high,med,female,Jones
German Shepherd,37416.0141,62.1371,10.6786,med,low,med,male,Flynn
German Shepherd,35085.2808,64.1138,10.6312,med,high,long,female,Wright
Golden Retriever,27736.7422,59.113,10.8127,med,high,med,male,Gutierrez
Dalmatian,23464.1045,,12.8976,high,high,short,male,Baker
Dalmatian,23989.9249,48.0,13.1343,high,med,short,female,Ford
Dalmatian,25297.0713,48.0,12.7104,high,high,short,female,Roberts
Dalmatian,26764.1974,48.0,13.3893,high,high,short,female,Case
Dalmatian,21110.9463,48.0,13.0018,high,high,short,female,Mcpherson
Amstaff,27573.3388,46.1502,13.082,med,high,short,female,Rasmussen
Dalmatian,25873.6439,48.0,12.9231,high,high,short,female,Gray
Golden Retriever,32137.8859,57.0621,11.9981,med,high,med,male,Meyer
German Shepherd,39683.5635,,10.4787,med,med,med,female,Kelsey
Dalmatian,22911.1146,,12.3962,high,high,short,female,Williams
Amstaff,21391.6886,45.3201,12.7463,med,high,short,female,Gregory
Amstaff,19545.6376,44.0862,12.321,low,high,short,female,Perkins
Amstaff,27625.16,45.4567,12.8667,med,high,med,female,Murillo
Dalmatian,23126.4575,,15.0304,high,med,short,male,Gonzalez
Golden Retriever,32201.2637,60.0735,11.0008,low,med,med,female,Clark
Dalmatian,23286.5885,48.0,13.1364,med,high,short,male,Williams
Golden Retriever,29716.8695,58.1008,10.8253,med,high,med,male,Cox
Dalmatian,23119.0613,48.0,13.302,high,high,med,female,Sanford
Dalmatian,21269.388,48.0,11.9237,high,high,short,female,Gray
Amstaff,21647.9481,45.7325,13.1374,med,high,short,male,Morrison
Amstaff,28662.2299,45.7576,13.6042,med,high,short,female,Chan
German Shepherd,36341.6241,,9.5128,med,high,med,female,Zhang
Golden Retriever,26782.9599,59.9375,11.1221,med,high,med,male,Harris
Dalmatian,23649.4633,48.0,12.8881,high,high,short,female,Webster
German Shepherd,36784.6613,60.329,11.0609,med,med,med,male,Torres
Golden Retriever,29868.1153,54.9038,11.4032,med,high,med,male,Gonzales
Dalmatian,21748.4065,48.0,12.2189,high,high,short,male,Yang
Dalmatian,23909.8179,48.0,13.6536,high,high,short,male,Mcdonald
Amstaff,23294.4932,,12.8753,high,high,short,male,Oconnor
Dalmatian,23149.5709,48.0,12.053,high,high,short,male,Michelle
Amstaff,27228.6895,,12.1588,med,high,short,male,Rose
Golden Retriever,28275.5454,56.6418,10.8358,med,high,med,female,Santiago
German Shepherd,38158.745,61.5674,11.733,med,high,short,female,Scott
Golden Retriever,27558.1576,,12.2204,med,high,short,female,Clay
Golden Retriever,29779.8936,57.1251,10.447,low,high,med,female,Turner
Golden Retriever,25310.1985,,11.4284,med,high,med,female,Shea
Amstaff,24637.5776,45.2594,12.9049,med,high,short,male,Davis
Dalmatian,22058.3605,48.0,13.6068,high,high,short,male,Hernandez
Dalmatian,22253.9247,48.0,12.9409,high,high,short,male,Ross
German Shepherd,35881.5969,63.7061,11.0403,med,med,med,male,Torres
Golden Retriever,27295.9417,,10.903,med,high,med,male,Gibson
Amstaff,33664.5588,45.423,12.946,med,high,short,male,Ross
Dalmatian,20767.0333,48.0,13.555,high,high,short,female,Chase
Golden Retriever,35546.5653,56.6971,11.7985,med,high,med,female,Martinez
Amstaff,25820.0797,46.2299,13.5744,high,high,short,female,Rhodes
Dalmatian,19841.9514,48.0,12.875,high,high,short,male,Hall
Golden Retriever,29073.4969,54.8407,10.5056,med,high,med,female,Williams
Dalmatian,28598.2015,48.0,12.2776,med,high,short,female,Silva
Amstaff,27433.7496,45.4335,12.5717,med,high,short,male,Chavez
Golden Retriever,28559.5533,57.3754,10.3437,low,med,med,male,Brown
Dalmatian,18627.7423,48.0,12.8692,med,med,short,male,Johnson
Golden Retriever,27892.6432,,12.3846,med,high,med,male,Anderson
Golden Retriever,29638.0365,57.5793,11.05,med,high,med,male,Davis
German Shepherd,37635.4347,62.2861,10.8196,med,med,med,male,Brooks
German Shepherd,35907.6075,59.0203,10.5046,high,med,med,male,Tucker
German Shepherd,36562.5315,59.9675,10.1076,low,med,med,male,Brady
Golden Retriever,26743.8291,,13.2248,med,high,med,male,Dunn
Golden Retriever,25328.9363,56.254,12.6006,med,med,med,female,Jones
Dalmatian,21241.7784,48.0,13.7112,high,high,short,male,Parks
German Shepherd,36113.3425,60.9109,10.1237,med,low,med,male,Preston
Golden Retriever,30279.2394,60.8884,12.5848,low,high,long,female,Evans
Dalmatian,23640.5137,48.0,12.2939,high,high,short,male,Hartman
Dalmatian,22904.7657,,12.7252,high,high,short,female,Wilson
Amstaff,23267.0796,46.6513,12.0671,med,med,med,male,Ramirez
Amstaff,20524.1344,46.2445,12.6265,med,high,short,male,Cowan
Amstaff,29975.6341,45.7984,12.218,low,high,med,male,Mcbride
German Shepherd,37435.2122,60.6991,10.6291,med,med,med,male,Park
Amstaff,26863.6457,46.0216,13.0658,med,high,short,female,Aguilar
Amstaff,32052.486,45.8084,14.0439,med,high,short,male,Landry
Golden Retriever,32445.799,,12.2626,med,high,med,female,Gray
Amstaff,25760.9866,46.2077,13.7109,med,high,med,female,Gray
Amstaff,22893.6196,45.5684,12.7333,med,high,short,male,Ortiz
Golden Retriever,29565.1839,,11.546,med,high,long,female,Jones
German Shepherd,38443.3264,59.5876,11.4445,med,high,med,female,Smith
Golden Retriever,29126.7839,58.2946,11.1301,low,high,med,female,Santiago
German Shepherd,36814.6575,59.667,10.3126,med,med,long,male,Mayer
Golden Retriever,30811.679,55.377,11.7677,med,high,med,female,Bass
Amstaff,22424.8486,46.1126,13.1575,low,high,short,male,Cruz
Amstaff,25980.9421,46.0199,13.8089,med,high,short,female,Esparza
German Shepherd,35282.0395,59.3039,10.9101,med,high,long,male,Gentry
German Shepherd,35672.8882,62.4164,11.4606,med,med,med,female,Smith
German Shepherd,35364.7661,,10.2259,low,med,med,female,Fitzgerald
Golden Retriever,28307.5859,59.0938,11.0112,med,high,med,female,Irwin
Golden Retriever,31213.932,58.9603,11.0447,high,high,med,female,Turner
Amstaff,25633.3017,45.7766,12.5165,high,high,short,male,Eaton
Golden Retriever,27922.0016,55.5859,11.5906,med,high,med,female,Thomas
German Shepherd,34485.7053,62.0952,10.2385,med,low,med,male,West
Golden Retriever,29130.2238,58.7657,11.9653,high,high,med,female,Brown
Amstaff,29523.75,45.9047,13.6239,med,high,short,female,Hale
Dalmatian,23550.4829,48.0,12.4647,med,high,short,male,Bailey
Golden Retriever,29090.2648,55.1256,12.9714,high,high,med,male,Scott
Dalmatian,21763.5851,48.0,12.9451,high,high,short,male,Gentry
German Shepherd,35275.7554,,11.0591,med,med,med,male,Hernandez
German Shepherd,37991.1259,64.8267,11.1464,med,med,med,male,Moore
Amstaff,27108.4878,45.5722,13.0077,med,high,short,female,King
Golden Retriever,31678.8934,60.0149,10.4697,med,high,med,female,Torres
German Shepherd,35765.5481,,11.0179,med,high,med,male,Owens
Golden Retriever,31045.979,,11.0055,high,high,med,female,Pearson
Dalmatian,23262.3737,48.0,13.8106,high,high,short,female,Collins
Amstaff,23818.452,,13.4705,med,high,short,male,Green
Dalmatian,25981.8756,48.0,13.0875,high,high,short,male,Johnson
Dalmatian,23387.1978,48.0,12.9091,high,high,short,female,Moss
Amstaff,29233.9122,46.8682,12.4181,med,high,short,female,Daniels
Golden Retriever,29158.252,57.6397,12.5322,low,high,med,female,Coleman
Dalmatian,22636.8671,48.0,12.7719,high,high,short,female,Mendoza
Dalmatian,25818.7789,,13.6196,high,med,short,male,Smith
Amstaff,20493.4709,46.054,12.9174,med,high,short,female,Arnold
German Shepherd,36818.6435,,11.3158,high,med,short,female,Lee
Golden Retriever,26483.2816,,12.8528,med,high,med,female,White
Dalmatian,26466.3866,,13.0689,high,high,short,male,Anderson
Amstaff,26125.3016,,14.1713,med,high,short,female,Armstrong
Golden Retriever,29741.3391,60.6053,11.5556,low,med,med,male,Dominguez
German Shepherd,35991.0056,64.2081,10.532,high,med,med,male,Bradley
Amstaff,28968.3053,46.2022,12.7639,med,high,short,male,Arnold
German Shepherd,38287.7499,63.846,10.8906,med,med,med,male,Evans
German Shepherd,34897.1059,,10.0104,med,med,med,male,Humphrey
German Shepherd,36241.4626,60.1285,11.0246,med,med,med,male,Mercer
German Shepherd,37143.5358,63.2143,10.8756,med,med,med,female,Bates
Amstaff,26215.1344,,12.0865,med,high,short,male,Tucker
Dalmatian,23511.4893,48.0,13.6664,high,med,short,female,Hannah
German Shepherd,34814.922,60.9671,10.4433,med,high,med,female,Ramsey
Golden Retriever,34602.3601,56.0884,9.9682,med,high,med,female,James
Golden Retriever,29627.659,61.0659,12.7035,low,high,med,male,Jenkins
Golden Retriever,25475.4915,56.5249,11.8469,low,high,med,male,Williams
Amstaff,24464.0191,46.3848,11.6746,med,high,short,female,Lynn
Dalmatian,26891.4786,48.0,12.8847,med,high,short,female,Carey
Dalmatian,26590.1895,48.0,13.2059,high,high,short,female,Morse
Amstaff,27297.7101,,13.187,med,high,short,female,Jones
Golden Retriever,26859.4389,56.0524,11.838,low,high,med,male,Silva
Amstaff,23960.5958,,12.9111,med,high,short,female,Davenport
German Shepherd,38863.4225,60.8153,11.0536,med,high,med,male,Wiley
Dalmatian,23367.4279,,13.1975,high,high,short,male,Hansen
German Shepherd,38486.1203,62.6707,10.7218,low,high,med,male,Sanders
German Shepherd,35673.1013,62.5276,11.2587,med,med,short,male,Coleman
German Shepherd,38756.0153,59.9211,10.9309,med,med,short,male,Crawford
German Shepherd,36002.9937,60.3768,10.497,low,med,med,female,Castro
Amstaff,27219.8536,46.5236,13.0164,med,high,short,male,Mcgee
Golden Retriever,31287.6478,56.2957,11.9956,med,high,med,male,Mcdonald
Dalmatian,23610.9668,,12.9752,high,high,short,female,Tucker
Dalmatian,25949.3638,48.0,13.2199,high,high,short,female,Reyes
German Shepherd,37282.0424,58.8043,11.0035,med,med,med,male,Walton
Amstaff,28740.781,45.437,12.1755,med,high,short,male,Dunn
Amstaff,24442.5733,,12.4624,med,high,short,female,Wagner
Dalmatian,21321.917,48.0,12.7695,high,high,short,male,Garcia
Golden Retriever,26750.7568,,10.8099,med,high,short,male,Harris
German Shepherd,39409.2759,59.7025,10.3571,med,med,med,female,Alvarez
Amstaff,25950.7252,45.8033,13.0103,med,high,med,female,Allen
German Shepherd,35592.0112,60.7754,11.448,high,med,med,female,Patrick
Golden Retriever,26812.7729,60.2009,12.3438,med,high,short,female,Klein
Golden Retriever,25242.0285,59.3307,10.0167,med,high,med,male,Gray
Golden Retriever,32147.0438,61.0604,11.3229,high,high,med,female,Brown
Dalmatian,26005.8347,,13.5607,high,high,short,male,Lewis
Golden Retriever,30913.0751,56.1461,12.2239,low,high,med,male,Barton
Amstaff,26944.2599,47.2171,13.4517,med,high,short,female,Yates
Dalmatian,23837.9545,48.0,13.2812,high,high,short,female,Morrow
Dalmatian,25685.5723,,12.8838,high,med,short,male,Graham
Golden Retriever,30037.0183,59.336,12.0192,med,high,med,female,Thompson
Dalmatian,24582.1305,,13.6048,high,high,med,male,Barajas
Dalmatian,26108.4848,48.0,12.2837,high,high,short,male,Vance
German Shepherd,36261.3456,63.556,10.6886,med,low,long,male,Pittman
Dalmatian,25318.2501,48.0,12.6947,high,high,short,male,Cohen
German Shepherd,37338.9243,,11.047,med,med,med,male,Harvey
Dalmatian,22743.3906,,12.9594,high,high,short,female,Berger
German Shepherd,34529.0449,60.2759,11.1221,high,med,med,female,Price
Dalmatian,22821.9848,48.0,14.068,high,high,short,male,Peterson
Dalmatian,20933.0209,48.0,11.8699,high,high,med,female,Shelton
Dalmatian,23746.2311,48.0,12.8887,high,high,short,male,Shaffer
Amstaff,22730.6047,45.6329,13.2296,med,high,short,male,Joyce
Amstaff,23332.2777,45.4948,12.9034,med,high,short,female,Payne
Dalmatian,20253.7232,48.0,12.0366,high,high,short,male,Rodriguez
German Shepherd,38395.2148,,10.3592,med,med,med,male,Fischer
Dalmatian,22932.1396,48.0,12.5982,high,high,short,female,Williams
German Shepherd,35376.8193,58.9058,10.7619,med,med,med,male,Bowers
Amstaff,34381.6817,45.8849,13.5829,med,high,short,male,Parker
Dalmatian,23756.578,48.0,12.7748,med,high,short,male,Taylor
Dalmatian,27368.6492,48.0,13.2113,med,high,short,female,Moore
German Shepherd,35049.3759,61.1096,10.2086,high,med,med,male,Guerra
Golden Retriever,28103.5329,57.6336,11.1442,high,med,med,male,Miller
Amstaff,30993.8502,45.9955,12.9768,high,high,short,female,Hale
Golden Retriever,35103.5352,54.4215,11.7403,med,high,med,male,Schneider
German Shepherd,35486.8332,58.8224,11.4969,med,med,med,female,Thomas
Dalmatian,27522.5018,48.0,13.1755,med,high,short,female,Martin
Amstaff,27159.2516,45.8828,14.5459,med,high,short,male,Vaughn
Dalmatian,20820.3727,,12.9184,med,high,short,female,Rios
Amstaff,25730.54,45.4315,13.8826,med,high,short,female,Fowler
Golden Retriever,25515.3189,,13.1699,med,high,med,female,Palmer
Dalmatian,22324.575,48.0,13.2076,high,high,short,male,Diaz
Dalmatian,21488.4693,48.0,12.9394,high,high,short,female,Collier
Golden Retriever,27111.7984,55.7898,11.2817,med,high,med,female,Carr
Golden Retriever,31944.7534,,12.0519,med,high,med,female,Arias
Amstaff,25900.7823,45.4336,14.0841,med,high,short,male,Hess
Dalmatian,24358.3753,,13.814,high,high,short,male,Wright
German Shepherd,36445.7519,61.149,10.833,low,high,med,male,Gallagher
Amstaff,24674.5347,46.5426,12.3352,med,high,short,male,Williams
Golden Retriever,27168.1867,56.741,10.4855,med,high,med,male,Wood
Golden Retriever,30356.8833,57.5755,11.8402,med,high,med,male,Johnson
Dalmatian,24057.4535,48.0,12.6057,high,high,short,male,Edwards
Golden Retriever,27041.5442,56.3809,11.206,high,high,med,male,Love
Dalmatian,24742.5151,48.0,14.1044,high,high,short,female,Miller
German Shepherd,36502.9785,60.8386,11.982,med,med,med,male,Mccoy
