Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Great Dane,50029.5027,75.101,7.1206,med,med,short,female,Joyce
Great Dane,51412.681,77.2724,7.1015,med,high,med,male,Ferguson
Akita,47333.5043,66.6234,11.8851,low,med,med,male,Baker
Akita,48465.4966,68.556,10.9863,med,med,med,female,Guerrero
Akita,44637.3659,67.211,11.0315,med,med,short,female,Morrow
Akita,50822.1021,65.0755,12.0286,med,high,med,male,Navarro
English Setter,25676.6813,,10.7589,high,high,med,male,Ramos
Great Dane,54955.1424,,7.3735,low,high,short,male,Edwards
German Shepherd,36635.116,60.2801,11.6454,low,med,med,female,Mullen
Great Dane,50850.7781,82.1958,6.3959,med,med,short,female,Lee
Akita,47353.1662,64.4862,11.7612,med,high,med,female,Fischer
Akita,50345.725,,11.3955,med,med,med,male,Joseph
German Shepherd,36617.2455,60.9719,12.0903,med,med,med,female,Morgan
Great Dane,49288.4836,,7.0875,med,med,short,male,Ramirez
Akita,41419.6805,67.5828,10.8352,med,med,med,female,Rodriguez
Great Dane,49344.6466,82.0219,6.9113,med,high,short,female,Weeks
English Setter,31607.5876,63.3405,9.6821,high,high,med,male,Sweeney
Great Dane,53110.0007,78.078,6.2023,med,high,short,male,Jordan
English Setter,28256.8741,,11.6726,high,high,med,male,Liu
Akita,52349.1881,,11.341,med,med,short,female,Young
English Setter,32209.4986,62.6932,12.4063,high,high,long,female,Palmer
English Setter,32492.9937,65.5573,11.4523,high,high,short,male,Case
Akita,54222.1088,68.8857,10.6399,med,low,short,female,Cox
Akita,37637.8147,65.4845,11.8665,med,med,med,female,Kelly
Great Dane,48303.5751,77.0214,6.4655,med,high,short,female,Montoya
Akita,41852.984,,10.7877,med,med,short,female,Russell
Great Dane,51011.778,75.2158,6.5044,med,high,short,female,Harding
Great Dane,52903.2187,79.6958,7.4524,med,high,short,female,Lopez
German Shepherd,36439.4093,56.4719,10.4509,med,med,med,male,Crane
English Setter,31034.3846,60.6977,12.1006,high,high,med,female,Davidson
English Setter,33543.5637,59.9685,12.0747,high,high,med,male,Kim
German Shepherd,39551.6492,,12.3745,med,med,med,female,Sanders
Akita,42977.2136,67.753,10.8665,med,med,med,male,Walker
English Setter,34265.2702,60.6515,11.2884,high,high,med,male,Gray
German Shepherd,37425.9213,60.4106,10.8373,low,med,long,male,Campbell
English Setter,20933.5967,61.099,11.5042,high,high,med,male,Moore
Great Dane,51735.9133,78.6651,6.6768,med,high,short,male,Hall
