Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Japanese Chin Dog,1698.377,22.928,12.272,med,med,short,female,Case
Japanese Chin Dog,3472.3555,25.2815,11.917,high,high,med,female,Caldwell
Akita,48768.773,67.9392,10.6918,high,med,med,male,Lee
Japanese Chin Dog,3851.012,23.9552,13.9314,med,high,med,male,Calhoun
Japanese Chin Dog,3091.7061,23.5094,12.5548,med,high,med,female,Mills
Japanese Chin Dog,5023.5342,24.4255,13.2025,med,high,long,female,Brown
Siberian Husky,21343.1122,56.9027,12.5332,med,med,med,male,Berry
Akita,49360.4054,66.1891,11.5671,med,med,med,male,Kline
Japanese Chin Dog,2313.9404,25.8009,13.5626,med,high,med,female,Wood
Siberian Husky,21223.1965,56.8909,12.1722,med,high,long,male,Davis
Siberian Husky,19887.6781,52.5594,12.1028,med,med,med,male,Lewis
French Bulldog,11229.2507,28.5805,9.1249,med,high,short,male,Mcgee
French Bulldog,12372.2183,28.0285,9.6159,med,high,short,female,Hernandez
Japanese Chin Dog,1765.1547,24.1467,11.4269,med,med,med,female,Dixon
Japanese Chin Dog,3534.3774,,13.7545,low,high,short,female,Watson
French Bulldog,11894.3319,30.1451,9.9799,low,high,med,male,Ortega
Japanese Chin Dog,3119.0995,23.6368,12.5842,med,med,med,female,Moore
Akita,45927.2991,66.4584,11.9537,med,med,med,female,Miller
Akita,48920.6661,,10.7397,med,med,med,female,Herring
Akita,46646.905,68.4789,11.7751,low,med,long,male,Shaw
Japanese Chin Dog,3851.6345,22.7488,12.7718,high,high,med,female,Graham
French Bulldog,12213.9615,28.9867,10.2734,med,high,short,male,Ray
Siberian Husky,18877.1005,53.7878,11.6363,med,med,med,male,Miller
Siberian Husky,16309.4147,54.8729,11.2308,high,med,med,male,Taylor
French Bulldog,11918.2617,30.5399,9.8266,high,high,med,male,Garza
Japanese Chin Dog,2622.9603,22.9021,13.1709,med,high,med,female,Mendoza
Akita,53550.6173,,11.4579,med,med,med,male,Quinn
Japanese Chin Dog,4265.6737,,13.1505,med,high,med,male,Jones
Akita,38778.1433,67.4341,10.8565,med,low,med,female,Perez
Akita,44413.6166,65.6785,11.8353,med,med,med,female,Jordan
Japanese Chin Dog,2806.8043,22.5694,12.9138,med,high,short,male,Johnson
Akita,51172.5808,63.7155,10.4799,med,med,med,male,Brewer
Siberian Husky,18790.9893,52.8547,12.1451,med,med,long,male,Becker
Akita,43508.5787,65.7395,11.6724,low,high,med,female,Reynolds
Akita,38560.2497,65.3894,10.837,med,med,med,female,Wise
French Bulldog,12770.5557,,9.0944,med,high,short,male,Martin
French Bulldog,11775.3774,28.7669,10.5463,low,high,med,male,Blevins
Akita,48042.4632,65.8846,10.9152,med,low,med,male,Crosby
Akita,45450.2087,66.1974,10.594,med,med,med,female,Campbell
Siberian Husky,22824.4588,53.104,11.6918,med,low,med,female,Martin
