Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Australian Shepherd,24479.1047,,13.148,high,high,med,female,Dean
Golden Retriever,29357.1642,55.3365,10.642,high,high,med,male,Barker
Australian Shepherd,20521.6617,53.8292,13.2127,high,high,long,male,Roberson
Golden Retriever,34062.0845,58.0974,12.208,med,high,med,female,Miller
Japanese Chin Dog,4525.5118,22.5594,13.76,med,high,med,female,Russell
Beagle,10492.4923,37.8516,13.5698,med,high,short,female,Gray
Golden Retriever,28585.3006,58.6415,13.0933,med,high,med,male,Costa
Australian Shepherd,21868.7902,54.6617,12.1751,high,high,med,female,Terry
Beagle,12283.7487,,13.7134,med,high,short,female,Martin
Japanese Chin Dog,2705.2458,24.9,13.061,med,high,long,female,Cole
Golden Retriever,27333.2155,,13.2848,med,high,med,male,Wallace
Golden Retriever,28696.9678,58.9255,12.2356,med,high,med,male,Hernandez
Australian Shepherd,24073.7402,53.2587,13.133,high,high,med,female,Barajas
Australian Shepherd,25932.062,51.2574,12.3647,high,high,med,male,Greene
Australian Shepherd,26582.4962,51.3348,13.1972,high,high,med,female,Wilson
Australian Shepherd,27617.2645,54.9684,12.9867,high,high,med,male,Bradford
Golden Retriever,29463.79,,10.8453,med,high,med,female,Dean
Golden Retriever,30369.2752,,10.8942,med,high,long,female,Trevino
Australian Shepherd,16753.95,,12.459,high,high,med,female,Blanchard
Golden Retriever,31171.7698,57.2385,10.7091,high,high,long,male,Huerta
Australian Shepherd,22678.0831,53.2203,12.5527,high,high,med,male,Ortiz
Japanese Chin Dog,3280.7516,22.1998,13.6421,low,high,short,female,Rodriguez
Japanese Chin Dog,3695.4597,23.519,13.5087,med,high,med,male,Conrad
Beagle,12446.9615,38.1643,14.1408,med,high,short,male,Price
Japanese Chin Dog,4898.5818,23.4415,13.126,low,high,med,female,Harrison
Japanese Chin Dog,1609.2108,23.0608,11.9,med,high,long,male,Hill
Japanese Chin Dog,4548.4561,23.4292,13.3318,med,high,med,female,Debra
