Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
French Bulldog,11612.9518,30.0273,9.2526,med,high,short,female,Kelly
French Bulldog,12233.2547,28.9056,10.0283,med,high,short,female,Holland
Akita,41790.5818,65.8786,11.2006,high,med,med,male,Drake
Golden Retriever,26109.0946,58.2974,11.4281,med,high,med,female,Saunders
Akita,44394.0195,66.3137,10.0422,med,med,med,male,Whitehead
Golden Retriever,31941.6073,57.338,12.1516,high,high,med,male,Kirk
Golden Retriever,30941.6205,56.9113,10.898,med,high,med,female,Garcia
Akita,48458.0427,65.8553,11.2787,med,med,med,male,Edwards
English Setter,31927.4819,65.5534,12.9212,high,high,long,male,Edwards
Akita,45503.6512,65.0265,9.7846,low,med,med,male,Rodgers
English Setter,33497.1632,61.7352,10.7996,high,high,med,female,Hahn
Golden Retriever,28890.7577,,11.1252,low,med,med,female,Gross
Akita,47523.3102,67.5743,11.2113,med,med,med,male,Sharp
Golden Retriever,29621.2273,58.9232,12.7285,med,high,med,male,Alexander
Akita,49223.0605,64.9649,11.5148,low,med,med,female,Burke
Akita,54836.8705,66.3134,10.252,med,low,med,male,Martinez
French Bulldog,12486.4004,,9.9396,med,high,short,male,Campbell
Akita,46562.2432,68.6355,11.2071,med,med,med,female,Little
Akita,37663.2789,,11.0834,low,med,med,female,Schwartz
English Setter,21033.2197,61.3369,13.4778,high,high,med,male,Daugherty
Akita,58276.4953,,11.1222,med,high,long,male,Martinez
Akita,37061.3213,,10.153,med,med,med,female,Smith
Golden Retriever,23212.2468,55.0948,10.6687,med,high,med,male,Franklin
Akita,43761.0699,66.9285,10.3986,med,med,med,female,Frances
English Setter,29856.5583,,11.8156,high,high,short,female,Dunlap
English Setter,23669.9084,61.8469,11.3386,high,med,med,male,Glenn
Golden Retriever,31305.0584,,12.2653,med,med,med,female,Smith
Golden Retriever,27027.1985,56.9952,12.6228,med,high,med,female,Montgomery
French Bulldog,11318.4215,28.412,11.0209,high,med,short,male,Coleman
French Bulldog,12410.313,28.8367,10.1118,med,high,short,female,Stevenson
French Bulldog,12060.6505,28.1893,10.0097,med,high,short,female,Mccormick
Akita,27603.1197,67.7746,11.6604,med,med,med,female,Knight
Golden Retriever,26870.7169,58.7402,13.2408,med,high,med,female,Shaffer
Akita,38364.1445,66.4127,10.8862,med,med,med,male,Riddle
English Setter,30899.8032,60.8766,11.412,high,high,med,female,Mcintyre
English Setter,25717.2215,,11.1962,high,med,med,female,Estes
French Bulldog,12611.2949,28.9143,10.1629,high,high,med,male,Miller
Akita,32031.8111,67.2916,10.5352,high,med,med,female,Taylor
English Setter,27954.1866,64.2498,11.2634,high,high,short,male,Coleman
Golden Retriever,32723.0336,,10.502,med,med,short,female,King
English Setter,31407.3002,,10.7342,med,high,med,male,Lee
English Setter,18329.0422,59.4355,12.3192,high,med,med,male,Moody
English Setter,27503.7226,58.3163,11.6014,high,high,med,female,Reynolds
French Bulldog,13129.9115,29.2438,9.9282,med,high,short,male,Goodman
Akita,38544.8595,64.6718,11.8179,med,med,med,male,French
French Bulldog,11954.0505,28.8635,10.0745,med,high,short,female,Thomas
Golden Retriever,29771.9955,60.5748,11.3207,med,high,med,female,Cabrera
English Setter,22814.143,62.3472,11.739,med,high,long,male,West
French Bulldog,12131.7266,29.9165,10.9293,med,high,short,male,Jenkins
Akita,43830.0183,64.8905,10.6326,med,med,med,female,Miller
French Bulldog,11662.3404,28.5451,10.0536,med,high,short,female,Cortez
French Bulldog,11855.0853,,11.0407,med,high,short,female,Olson
