Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Beagle,10159.9452,32.4621,12.7791,med,high,short,male,Riddle
Bearded Collie,24427.8142,48.9394,12.1412,high,high,long,male,Lee
Bearded Collie,24066.1378,,13.0649,high,high,long,male,Rojas
Australian Shepherd,23518.7886,51.789,12.0541,high,high,med,male,Parker
Beagle,9692.6832,35.3624,12.8863,med,high,med,male,Collins
Bearded Collie,28277.2047,52.3311,13.2693,high,high,med,male,Walker
Beagle,7809.15,35.7506,12.8616,low,high,short,male,Thompson
Beagle,8833.2096,34.7765,13.9092,med,med,short,female,Gonzalez
Pug,5908.4524,36.3415,13.3699,med,high,med,male,Brennan
Bearded Collie,22779.0651,,12.2825,high,med,long,female,Howard
Beagle,7570.5146,36.3142,13.8939,med,high,short,female,Harris
Pug,7392.4116,,14.6178,med,high,short,male,Nelson
Bearded Collie,25174.5809,,12.2003,med,high,long,female,Anderson
Pug,7759.7201,31.6598,14.061,med,high,short,male,Washington
Pug,6863.997,35.6782,13.9514,high,high,short,male,Burgess
Pug,7708.2104,30.8717,13.8126,med,high,short,male,Hernandez
Pug,7104.749,32.4454,14.8425,low,high,short,male,Bender
Beagle,10261.2227,35.5193,12.8155,med,high,short,male,Scott
Bearded Collie,20814.5433,49.6954,13.336,high,high,short,female,Bradley
Beagle,9944.5046,34.4099,14.6275,low,high,short,female,Leonard
Pug,7022.2853,32.2108,13.9272,med,high,short,male,Hart
Bearded Collie,23022.87,52.329,13.7233,high,high,long,female,Hamilton
Bearded Collie,20209.4275,,13.1356,high,high,long,female,Potts
Australian Shepherd,26751.1287,54.7251,13.7149,high,high,short,male,Jenkins
Bearded Collie,20555.8727,53.0992,13.5248,high,high,med,female,Harris
Bearded Collie,21043.2567,,12.544,high,high,long,female,Gould
Pug,6815.225,32.5405,14.7096,med,high,short,female,Nichols
Pug,7697.6258,28.0338,13.8748,med,high,med,female,Hess
Pug,7173.207,33.3433,13.7723,med,med,med,male,Garcia
Pug,6351.4674,36.4674,13.8025,med,high,short,male,Lewis
Beagle,12051.1282,36.9787,14.1552,med,high,short,female,Lopez
Bearded Collie,22030.4518,47.9257,13.784,high,high,long,female,Boyer
Australian Shepherd,24248.8212,,12.5965,high,high,med,female,Garner
Bearded Collie,20354.5574,54.8679,12.931,high,high,long,female,Carter
Bearded Collie,26452.0656,,13.6683,high,high,long,male,Carr
Beagle,8383.0179,38.0329,14.5898,high,high,short,male,Rodriguez
Bearded Collie,28504.9839,54.907,14.2333,high,high,long,female,Taylor
Bearded Collie,19405.8225,,13.5131,high,high,long,male,Mckenzie
Pug,6243.405,,14.9898,med,high,med,male,Rogers
Australian Shepherd,18737.3181,53.1196,12.0874,high,high,long,male,Rubio
Australian Shepherd,29277.4519,53.0474,13.6893,high,high,med,male,Schultz
Bearded Collie,21243.41,51.1717,13.2426,med,high,long,female,Moran
Bearded Collie,19881.7867,50.1369,13.0514,high,med,long,male,Jennings
Beagle,9515.1489,36.6171,13.2771,med,high,short,male,Clay
Beagle,9935.4722,34.8336,14.531,med,high,short,female,Flores
Australian Shepherd,23252.5197,,12.946,high,high,short,female,Williams
Australian Shepherd,18149.2015,,12.016,med,high,med,female,Williams
Bearded Collie,21488.3558,,13.4033,high,high,med,female,Greene
Australian Shepherd,22178.1808,53.4004,11.9653,high,high,med,male,Henderson
Bearded Collie,22277.1071,,12.8911,high,high,med,male,Holmes
Australian Shepherd,17581.0907,54.645,13.0933,high,high,med,male,Bates
Australian Shepherd,23212.3701,53.356,13.4314,high,high,short,male,Thomas
Pug,7028.445,33.98,13.8015,med,high,short,female,Miller
Pug,6611.169,,13.544,med,high,short,male,Walker
Australian Shepherd,19148.1194,54.0034,13.1072,high,high,long,male,Sanchez
Beagle,11099.8128,,12.3682,med,high,short,female,Hayes
Pug,7119.0497,37.2919,14.1512,med,med,short,female,Stewart
Australian Shepherd,20726.2603,51.3913,13.1295,high,high,med,male,Sandoval
Bearded Collie,24225.8748,54.8512,12.8837,high,high,long,female,Davis
Pug,7007.9523,29.6086,12.8643,low,high,short,female,Lee
Bearded Collie,19420.4407,53.6914,13.9645,high,high,long,male,Jones
Bearded Collie,23822.3474,,13.112,high,high,long,male,Little
Australian Shepherd,22765.4298,53.4096,13.1614,med,med,long,female,Erik
Beagle,12335.3812,,13.4051,high,high,short,female,Webb
Bearded Collie,18229.8441,50.7024,13.9255,high,high,long,male,Jones
Australian Shepherd,20198.3409,52.3307,12.6749,high,high,med,female,Martinez
Bearded Collie,25725.227,53.793,12.848,high,high,long,male,Jordan
Bearded Collie,25155.1896,53.6417,11.6673,high,high,long,male,Liu
Pug,7307.6099,,14.5035,low,high,short,male,Wang
Pug,5680.9121,,13.9859,med,high,med,female,Chase
Pug,7356.6955,33.623,15.3775,med,high,short,male,Rollins
Australian Shepherd,18243.8179,52.1959,13.2228,high,med,med,female,Day
Australian Shepherd,15661.9908,55.619,12.3827,high,high,med,female,Case
Australian Shepherd,27382.3429,53.2331,12.2958,high,high,med,female,Juarez
Beagle,8284.8395,33.1833,12.2868,med,high,short,female,Lewis
Australian Shepherd,22528.2497,,12.5787,high,high,long,female,Hanson
Bearded Collie,24996.9186,53.7907,12.8903,med,high,long,male,James
Australian Shepherd,23341.3019,53.1228,13.3677,high,high,med,male,Black
Pug,7506.1736,,13.181,med,high,short,female,Sandoval
Pug,8662.9404,44.5417,14.7368,med,high,short,male,Wilson
Beagle,11557.8537,35.86,13.4813,med,high,short,female,Watson
Australian Shepherd,24515.554,53.0427,12.8403,high,high,med,male,Brown
Pug,8541.2644,34.6082,14.2689,med,high,short,female,Pope
Bearded Collie,22632.349,51.4134,13.3564,high,high,long,male,King
Beagle,11885.7604,36.6307,13.7609,high,high,med,male,Garcia
Bearded Collie,25600.5947,52.96,12.5049,high,high,long,male,Stephens
Australian Shepherd,18777.587,,13.5934,high,high,med,male,Page
Australian Shepherd,20900.4896,,13.402,high,med,med,male,Hunter
Beagle,10256.7475,35.9951,14.9088,med,high,short,male,Booth
Pug,7574.5474,33.5858,13.463,high,med,short,female,Cummings
Beagle,9136.0538,36.2266,13.4516,med,high,short,female,Harris
Bearded Collie,23284.8449,,12.8325,high,high,long,male,Jones
Bearded Collie,20938.0342,52.6636,13.5808,high,high,long,female,Mathis
Pug,7473.3604,30.0566,12.9702,med,high,short,female,Armstrong
Bearded Collie,22185.7185,54.3131,12.8744,high,high,long,female,Roach
Pug,7327.0666,,14.3787,low,high,short,female,Thompson
Beagle,11930.5576,33.6541,12.2735,med,high,short,male,Henry
Beagle,12373.9903,37.5801,13.1657,med,high,short,female,Williams
