Breed Name,Weight(g),Height(cm),Longevity(yrs),Energy level,Attention Needs,Coat Lenght,Sex,Owner Name
Japanese Chin Dog,3235.3399,22.9828,13.502,med,med,short,female,Nguyen
Samoyed,27595.3585,55.7031,11.2692,med,high,med,female,Reyes
Pit Bull,41338.8433,45.9838,11.2078,low,high,short,female,Webb
Pit Bull,37911.9196,,12.1195,med,high,short,male,Rosales
Great Dane,44227.3327,76.9583,6.4112,med,high,short,female,Hernandez
Japanese Chin Dog,1637.7797,22.3902,12.7315,med,high,med,male,Watson
Pit Bull,34691.2396,45.9481,12.1893,med,med,short,male,Stone
Japanese Chin Dog,2526.5499,,12.5102,low,high,med,female,Cook
Pit Bull,23124.2302,45.1683,11.6352,med,high,short,male,Bennett
Japanese Chin Dog,4093.7799,23.4351,12.2103,med,high,med,male,Ramirez
Samoyed,21117.1634,54.4249,11.4286,med,high,med,male,Jones
Japanese Chin Dog,925.3513,22.356,12.8167,med,high,med,male,Soto
Great Dane,49596.7117,,6.6555,med,med,short,male,Taylor
Pit Bull,26806.9551,45.6936,12.2148,med,high,short,female,Fuller
Pit Bull,25271.7138,,12.0232,med,high,short,male,Bell
Great Dane,50015.9164,77.6456,7.5124,high,high,short,male,Jennings
Great Dane,51072.7211,77.9722,7.736,med,high,short,female,Stevens
Pit Bull,23886.2749,47.0052,11.4817,med,high,short,male,Park
Pit Bull,22933.1831,46.3499,12.4564,med,high,short,male,Campbell
Samoyed,19456.4212,54.2846,10.5335,med,high,med,female,Norris
Samoyed,19111.6006,52.9177,10.1957,med,high,med,male,Jones
Samoyed,24098.9017,,10.677,high,high,short,male,Rodgers
Pit Bull,22564.4138,,11.9772,med,high,med,male,Perez
Pit Bull,19722.9467,46.4697,12.328,med,high,med,male,Arroyo
Pit Bull,30886.1489,46.0763,11.3629,med,high,short,female,Brewer
Samoyed,21304.7466,57.3678,10.2296,med,high,short,male,David
Samoyed,19696.4171,55.2963,10.7708,med,med,med,male,Morales
Japanese Chin Dog,2380.9314,23.9803,13.4814,med,high,med,female,Jenkins
Samoyed,18839.1382,51.7941,11.3501,med,high,med,female,Wheeler
Pit Bull,32131.8481,46.0773,12.6065,low,high,short,female,Davidson
Pit Bull,31729.2536,,11.9647,med,high,short,female,Carpenter
Japanese Chin Dog,2646.4447,24.6918,13.0412,med,high,med,female,Reynolds
Japanese Chin Dog,2973.1906,22.9606,11.9394,med,high,short,male,Sandoval
Pit Bull,19379.8987,46.0837,11.0019,med,high,short,female,Berry
Samoyed,29123.506,53.1366,11.8318,high,high,med,male,Andersen
Samoyed,22914.3239,53.8011,11.3044,med,high,med,male,Salazar
Pit Bull,20316.9853,46.0289,11.4991,low,high,short,female,Williams
Great Dane,47273.766,79.0499,7.291,med,high,short,male,Davis
Pit Bull,25398.0706,,11.6272,high,med,med,male,Green
Japanese Chin Dog,3166.3794,23.825,12.1477,high,high,long,female,James
Japanese Chin Dog,3206.9601,23.7025,12.4037,med,high,med,female,Rios
Japanese Chin Dog,2841.8222,23.7833,12.7259,med,high,med,female,Dyer
Great Dane,47774.8906,78.8893,6.8106,low,high,short,male,Franco
Pit Bull,23308.8189,,12.6277,med,high,short,male,Robles
